,id_recipe,name,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Cook Time:,Additional Time:,Cholesterol
0,6793830,Almond and Parsley Salsa Verde,15 mins,15 mins,8 ,8,311,33g,4g,44mg,3g,2g,1g,3g,10mg,42mg,1mg,129mg,4.9,8,,,,
1,6664470,Pico de Gallo,20 mins,20 mins,12 ,12,10,0g,,15mg,2g,1g,1g,0g,6mg,7mg,0mg,91mg,4.7,615,3 cups,,,
2,6599925,The Best Canning Salsa,25 mins, 13 hrs 35 mins,272 ,272,9,0g,,83mg,2g,0g,,0g,5mg,4mg,0mg,64mg,4.4,71,17 pints,35 mins, 12 hrs 35 mins,
3,7255584,Tomatillo-Kiwi Salsa,15 mins,15 mins,4 ,4,43,1g,0g,67mg,10g,2g,6g,1g,51mg,24mg,0mg,264mg,,,,,,0mg
4,6741756,The Best Fresh Tomato Salsa,20 mins,20 mins,40 ,40,5,,,25mg,1g,0g,1g,0g,4mg,3mg,0mg,45mg,4.7,644,5 cups,,,
5,6737824,Fresh Homemade Salsa,20 mins, 1 hr 20 mins,12 ,12,11,0g,,68mg,2g,1g,1g,0g,6mg,8mg,0mg,94mg,4.8,44,3 cups,, 1 hr,
6,6739678,Tomatillo Salsa Verde,10 mins,25 mins,8 ,8,24,1g,0g,440mg,5g,1g,3g,1g,8mg,13mg,1mg,180mg,4.6,597,,15 mins,,
7,6649375,"Heather's Cilantro, Black Bean, and Corn Salsa",25 mins,25 mins,72 ,72,30,1g,0g,85mg,5g,1g,1g,1g,5mg,9mg,0mg,84mg,4.7,478,,,,
8,6663377,Best-Ever Texas Caviar,25 mins,40 mins,10 ,10,262,12g,2g,564mg,36g,6g,8g,6g,40mg,49mg,2mg,455mg,4.7,236,,5 mins,10 mins,
9,6664703,Mango Salsa,15 mins,45 mins,8 ,8,21,0g,,1mg,5g,1g,4g,0g,17mg,6mg,0mg,70mg,4.7,507,,,30 mins,
10,6738390,How to Make Pico de Gallo,15 mins,45 mins,4 ,4,21,0g,,76mg,5g,1g,2g,1g,7mg,13mg,0mg,144mg,4.4,531,4 servings,,30 mins,
11,6575728,Easy Corn Salsa,15 mins,15 mins,6 ,6,65,0g,,212mg,15g,2g,6g,2g,41mg,8mg,0mg,83mg,4.7,59,,,,
12,6579043,Salsa,10 mins,10 mins,4 ,4,53,1g,0g,13mg,12g,3g,7g,2g,31mg,34mg,1mg,545mg,4.3,250,4 cups,,,
13,6739770,Cranberry Salsa,15 mins,15 mins,6 ,6,144,0g,,38mg,37g,5g,29g,1g,25mg,46mg,1mg,228mg,4.7,250,,,,
14,6593157,Fresh Pineapple Salsa,15 mins, 1 hr 15 mins,6 ,6,22,0g,,195mg,6g,1g,4g,0g,24mg,8mg,0mg,66mg,4.9,15,,, 1 hr,
15,6736579,Avocado Tomatillo Salsa,15 mins,15 mins,10 ,10,39,3g,0g,17mg,3g,2g,1g,1g,7mg,5mg,0mg,153mg,4.5,52,1 1/4 cups,,,0mg
16,6591727,Jen's Fresh and Spicy Salsa,15 mins,15 mins,16 ,16,9,0g,,160mg,2g,1g,1g,1g,6mg,11mg,0mg,87mg,4.5,235,,,,
17,6738714,Avocado Mango Salsa,20 mins,20 mins,8 ,8,63,4g,1g,3mg,8g,3g,5g,1g,13mg,11mg,0mg,188mg,4.8,259,,,,
18,6738243,D's Famous Salsa,10 mins,10 mins,16 ,16,16,0g,,283mg,4g,1g,2g,1g,7mg,20mg,1mg,120mg,4.7,"1,173",,,,
19,6598286,Spicy Green Tomato Salsa,30 mins,30 mins,40 ,40,27,0g,,9mg,6g,1g,4g,1g,21mg,16mg,0mg,166mg,4.7,25,,,,
20,6738070,Tomato Concasse,10 mins,11 mins,2 ,2,33,0g,0g,9mg,7g,2g,5g,2g,23mg,19mg,1mg,437mg,4.5,19,2 servings,1 mins,,
21,6582272,Black Bean Avocado Salsa,15 mins, 2 hrs 15 mins,10 ,10,140,6g,1g,493mg,19g,7g,3g,5g,21mg,28mg,1mg,471mg,4.9,187,10 servings,, 2 hrs,
22,6664004,Cool Cucumber Salsa,15 mins, 1 hr 15 mins,12 ,12,151,7g,1g,217mg,22g,2g,2g,3g,11mg,60mg,1mg,187mg,4.6,184,4 cups,, 1 hr,
23,6649846,Roasted Tomato Salsa,10 mins,20 mins,24 ,24,16,1g,0g,26mg,2g,1g,1g,0g,5mg,6mg,0mg,86mg,4.3,206,3 cups,10 mins,,
24,6595204,Chilean Pebre Sauce,5 mins, 2 hrs 5 mins,8 ,8,23,1g,0g,307mg,3g,1g,1g,1g,7mg,23mg,1mg,120mg,5.0,5,2 cups,, 2 hrs,
25,6648789,Fire-Roasted Cherry Tomato Salsa,15 mins, 2 hrs 25 mins,16 ,16,16,1g,0g,13mg,3g,1g,0g,0g,7mg,8mg,0mg,73mg,4.8,68,2 cups salsa,10 mins, 2 hrs,
26,6578937,Habanero Salsa,30 mins, 1 hr 40 mins,80 ,80,11,0g,,111mg,3g,1g,1g,0g,11mg,15mg,0mg,92mg,4.6,49,10 cups,10 mins, 1 hr,
27,6603241,Fresh Mild Salsa,30 mins,30 mins,4 ,4,51,1g,0g,1175mg,11g,3g,5g,2g,32mg,44mg,2mg,463mg,4.4,11,,,,
28,6588068,Garden Tomato Salsa,15 mins, 1 hr 15 mins,10 ,10,30,1g,0g,68mg,5g,1g,3g,1g,18mg,13mg,0mg,243mg,4.6,138,,, 1 hr,
29,6651089,Ex-Girlfriend's Mom's Salsa Fresca (Pico de Gallo),20 mins,40 mins,6 ,6,29,0g,,395mg,7g,2g,4g,1g,18mg,19mg,0mg,258mg,4.7,232,6 servings,,20 mins,
30,6572656,Fresh Mango Salsa,20 mins, 1 hr 20 mins,40 ,40,8,,,30mg,2g,0g,1g,0g,3mg,3mg,0mg,39mg,4.7,104,5 cups,, 1 hr,
31,6596872,Corn and Avocado Salsa,30 mins,35 mins,4 ,4,315,23g,3g,65mg,29g,10g,6g,5g,62mg,46mg,2mg,856mg,4.6,119,4 cups,5 mins,,
32,6565737,Rockin' Salsa,45 mins, 6 hrs 5 mins,64 ,64,25,0g,,230mg,6g,1g,4g,1g,13mg,11mg,0mg,209mg,4.7,471,8 pints, 3 hrs 20 mins, 2 hrs,
33,6590871,Smoky Four-Pepper Salsa,20 mins,45 mins,12 ,12,38,2g,0g,396mg,6g,2g,3g,1g,62mg,14mg,1mg,257mg,4.8,17,3 cups,10 mins,15 mins,
34,6568584,Shrimp Salsa,20 mins, 1 hr 20 mins,12 ,12,26,0g,0g,223mg,2g,0g,1g,4g,4mg,15mg,1mg,80mg,4.8,146,12 servings,, 1 hr,29mg
35,6600747,Mean Green Guacamole Salsa,10 mins,20 mins,12 ,12,94,8g,1g,6mg,7g,4g,2g,2g,11mg,12mg,1mg,357mg,4.7,24,12 servings,10 mins,,
36,6594204,Sweet and Mild Cooked Tomato Salsa,15 mins, 3 hrs 15 mins,32 ,32,11,0g,,44mg,3g,1g,2g,0g,7mg,5mg,0mg,85mg,4.5,29,4 cups, 3 hrs,,
37,6606006,"Mango, Peach, and Pineapple Salsa",20 mins, 1 hr 20 mins,16 ,16,40,0g,,150mg,10g,1g,7g,1g,48mg,14mg,0mg,199mg,4.7,137,8 cups,, 1 hr,
38,6579769,Black Bean Salsa,15 mins, 8 hrs 15 mins,40 ,40,42,0g,,207mg,8g,3g,0g,3g,5mg,23mg,1mg,171mg,4.5,205,5 cups,, 8 hrs,
39,6591991,Smoked Salsa,30 mins, 3 hrs 30 mins,8 ,8,58,0g,0g,31mg,13g,3g,7g,2g,119mg,33mg,1mg,447mg,5.0,2,, 3 hrs,,
40,6581168,Hatch Chile Salsa,10 mins,35 mins,8 ,8,63,,,178mg,12g,2g,5g,3g,9mg,37mg,2mg,151mg,3.8,15,,5 mins,20 mins,
41,6737376,"Tomato, Corn and Avocado Salsa",30 mins,30 mins,16 ,16,68,5g,1g,266mg,7g,2g,2g,1g,14mg,13mg,1mg,157mg,4.8,222,4 cups,,,
42,6737004,Fresh Tomato Salsa,10 mins, 1 hr 10 mins,4 ,4,52,0g,,592mg,10g,4g,3g,2g,62mg,18mg,0mg,283mg,4.6,754,4 servings,, 1 hr,
43,6736475,Grilled Pineapple Salsa,15 mins, 1 hr 20 mins,6 ,6,37,0g,,197mg,9g,1g,6g,1g,48mg,13mg,0mg,124mg,4.9,28,6 servings,5 mins, 1 hr,
44,6595239,Tangy Rhubarb Salsa,30 mins, 3 hrs 35 mins,12 ,12,26,0g,,392mg,6g,1g,3g,1g,64mg,28mg,0mg,213mg,4.9,26,12 servings,5 mins, 3 hrs,
45,6581510,Green Hot Sauce (Salsa Verde),15 mins,35 mins,32 ,32,6,0g,,437mg,1g,0g,1g,0g,2mg,2mg,0mg,39mg,4.3,53,2 cups,20 mins,,
46,6576422,Air Fryer Roasted Salsa,15 mins,35 mins,6 ,6,30,0g,,34mg,7g,2g,3g,1g,19mg,22mg,1mg,292mg,5.0,4,6 servings,10 mins,10 mins,
47,6599070,Fresh Restaurant-Style Salsa,10 mins,10 mins,24 ,24,11,0g,,168mg,3g,1g,1g,1g,6mg,14mg,0mg,102mg,4.7,7,6 cups,,,
48,6601773,Jalapeno Salsa,15 mins,27 mins,25 ,25,7,0g,,94mg,2g,1g,1g,0g,5mg,5mg,0mg,49mg,4.4,43,3 cups,12 mins,,
49,6572360,Roasted Tomatillo and Garlic Salsa,10 mins,40 mins,20 ,20,13,0g,,2mg,3g,1g,1g,1g,5mg,9mg,0mg,91mg,4.6,151,2 1/2 cups,30 mins,,
50,6603202,Mexina Salsa Verde,10 mins,40 mins,8 ,8,24,0g,,82mg,6g,1g,3g,1g,19mg,15mg,0mg,200mg,4.4,72,2 cups,30 mins,,
51,6588560,Fresh Salsa,20 mins, 1 hr 20 mins,36 ,36,9,0g,,17mg,2g,1g,1g,0g,6mg,7mg,0mg,67mg,4.5,66,9 cups,, 1 hr,
52,6589273,Tomato Salsa without Onions,5 mins,20 mins,24 ,24,7,0g,,4mg,2g,1g,1g,0g,6mg,6mg,0mg,82mg,4.4,17,3 cups,15 mins,,
53,6599874,Toe's Best Salsa,20 mins, 1 hr 20 mins,16 ,16,18,0g,,349mg,4g,1g,3g,1g,7mg,12mg,1mg,204mg,4.3,19,4 cups,, 1 hr,
54,6594857,Salsa Borracha (Drunk Salsa),5 mins,20 mins,8 ,8,38,0g,,5mg,6g,1g,2g,1g,16mg,12mg,0mg,204mg,3.5,30,,15 mins,,
55,6577222,Spicy Avocado Sauce,10 mins,10 mins,6 ,6,64,5g,1g,4mg,5g,3g,2g,1g,9mg,7mg,0mg,256mg,4.1,18,1 1/2 cups,,,
56,6600930,Cliff's Hot Sauce,10 mins,10 mins,16 ,16,10,0g,,107mg,2g,1g,1g,0g,6mg,17mg,1mg,99mg,4.3,21,4 cups,,,
57,6605437,Avocado Feta Salsa,20 mins, 2 hrs 20 mins,12 ,12,66,6g,2g,108mg,3g,1g,1g,2g,4mg,53mg,0mg,122mg,4.8,807,,, 2 hrs,8mg
58,6593593,"Avocado, Tomato and Mango Salsa",15 mins,45 mins,6 ,6,158,12g,2g,397mg,14g,4g,8g,2g,28mg,24mg,1mg,458mg,4.8,"1,094",6 servings,,30 mins,
59,6602094,Peach Salsa, 1 hr, 1 hr 30 mins,28 ,28,118,0g,,5mg,30g,0g,28g,0g,13mg,6mg,0mg,27mg,4.6,64,7 cups,30 mins,,
60,6580975,Peach Avocado Salsa,20 mins,50 mins,4 ,4,112,8g,1g,9mg,13g,5g,5g,2g,62mg,32mg,1mg,368mg,4.8,45,,,30 mins,
61,6572357,Instant Pot Canned Tomato Salsa,15 mins,55 mins,8 ,8,39,0g,,572mg,9g,2g,1g,2g,13mg,41mg,7mg,334mg,4.5,4,,30 mins,10 mins,
