,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Vitamin C,Additional Time:,Stand Time:,Cool Time:
0,6579393,15 mins,20 mins,35 mins,12 ,12 cookies,12,267,16g,10g,41mg,110mg,29g,1g,9g,3g,9mg,1mg,33mg,4.9,50,,,,,
1,6650400,10 mins,20 mins,30 mins,24 ,4 dozen,24,256,16g,10g,41mg,112mg,27g,1g,9g,3g,16mg,1mg,42mg,4.7,641,,,,,
2,7484388,25 mins,15 mins, 1 hr,42 servings,,42,84,5g,3g,12mg,29mg,10g,0g,6g,1g,3mg,0mg,9mg,5.0,1,20 mins,0mg,,,
3,6665021,45 mins,10 mins, 2 hrs 55 mins,24 ,24 cookies,24,317,18g,12g,48mg,62mg,37g,1g,20g,2g,15mg,1mg,35mg,4.6,30,,3mg, 2 hrs,,
4,6830035,15 mins,22 mins,42 mins,21 ,21 cookies,21,157,9g,6g,23mg,110mg,18g,3g,,2g,,,103mg,5.0,3,,,,5 mins,
5,6822387,40 mins,30 mins, 3 hrs 35 mins,18 ,18 shortbread bears,18,103,6g,4g,14mg,36mg,12g,0g,,1g,,,29mg,4.5,4,,,,, 2 hrs 25 mins
6,6650714,15 mins,10 mins,25 mins,12 ,2 dozen,12,490,31g,20g,81mg,219mg,49g,1g,17g,5g,16mg,2mg,55mg,4.5,"1,099",,,,,
7,6599675,20 mins,15 mins,40 mins,36 ,3 dozen,36,75,5g,3g,14mg,37mg,7g,0g,2g,1g,3mg,0mg,9mg,4.4,625,,,5 mins,,
8,6736540,10 mins,15 mins,25 mins,24 ,2 dozen,24,111,8g,5g,20mg,55mg,10g,0g,3g,1g,4mg,0mg,11mg,4.3,"1,514",,,,,
9,6650281,20 mins,15 mins,50 mins,20 ,20 to 24 cookies,20,139,5g,3g,23mg,33mg,23g,0g,15g,1g,6mg,0mg,18mg,4.5,87,,1mg,15 mins,,
10,6737135,10 mins,35 mins, 3 hrs 15 mins,81 ,81 squares,81,59,4g,2g,8mg,22mg,7g,0g,,1g,8mg,0mg,19mg,4.5,923,,0mg, 2 hrs 30 mins,,
11,6739836,15 mins,15 mins,30 mins,12 ,2 dozen cookies,12,317,22g,12g,41mg,73mg,30g,1g,14g,3g,27mg,1mg,84mg,4.5,525,,0mg,,,
12,6650534,25 mins,10 mins, 4 hrs 35 mins,24 ,2 dozen,24,153,8g,5g,20mg,72mg,20g,1g,10g,1g,7mg,1mg,15mg,4.6,357,,0mg, 4 hrs,,
13,6577833,15 mins,25 mins, 2 hrs 40 mins,18 ,3 dozen,18,191,10g,7g,27mg,73mg,23g,1g,9g,2g,6mg,1mg,22mg,4.3,205,,, 2 hrs,,
14,6605680,45 mins,15 mins, 1 hr,24 ,2 dozen cookies,24,70,5g,3g,10mg,40mg,6g,0g,2g,1g,7mg,0mg,21mg,4.2,27,,,,,
15,6587593,10 mins,10 mins,20 mins,48 ,4 dozen,48,223,8g,5g,21mg,56mg,38g,0g,28g,1g,7mg,1mg,22mg,4.7,67,,,,,
16,6582260, 1 hr 20 mins,15 mins, 1 hr 35 mins,36 ,3 dozen cookies,36,118,8g,5g,20mg,17mg,11g,0g,4g,1g,4mg,1mg,13mg,4.6,194,,,,,
17,6595225,,,,6 ,1 dozen,6,276,16g,10g,41mg,3mg,31g,1g,8g,3g,9mg,1mg,34mg,4.5,14,,,,,
18,6600840,20 mins,20 mins, 1 hr 40 mins,24 ,2 dozen cookies,24,186,12g,7g,31mg,107mg,19g,0g,7g,2g,6mg,1mg,18mg,4.5,109,,0mg, 1 hr,,
19,6738899,10 mins,35 mins, 2 hrs 15 mins,16 ,16 pieces,16,152,9g,4g,27mg,48mg,18g,1g,11g,2g,17mg,1mg,48mg,4.8,285,,, 1 hr 30 mins,,
20,6572823,25 mins,20 mins, 1 hr 15 mins,36 ,3 dozen cookies,36,149,8g,5g,20mg,71mg,19g,0g,11g,1g,6mg,1mg,16mg,4.7,43,,,30 mins,,
21,6593169,20 mins,10 mins,30 mins,16 ,32 cookies,16,245,14g,10g,54mg,128mg,29g,1g,16g,2g,34mg,1mg,25mg,4.7,20,,,,,
22,6589950,15 mins,15 mins,30 mins,18 ,36 cookies,18,147,10g,7g,27mg,73mg,13g,0g,3g,1g,5mg,1mg,20mg,4.2,176,,,,,
23,6581824,10 mins,10 mins,20 mins,24 ,24 cookies,24,123,8g,5g,20mg,84mg,12g,0g,4g,1g,11mg,0mg,28mg,4.2,54,,0mg,,,
24,6581197,30 mins,10 mins, 1 hr 40 mins,60 ,60 cookies,60,38,2g,1g,4mg,30mg,6g,0g,2g,1g,2mg,0mg,10mg,3.6,5,,0mg, 1 hr,,
25,6568470,30 mins,50 mins, 1 hr 55 mins,32 ,64 1-inch squares,32,156,8g,5g,32mg,59mg,20g,0g,15g,1g,6mg,0mg,14mg,5.0,6,,,35 mins,,
26,6570029,15 mins,20 mins,35 mins,12 ,2 dozen,12,180,12g,7g,31mg,82mg,18g,0g,6g,2g,6mg,1mg,20mg,4.6,294,,,,,
27,6568359,,,,18 ,3 dozen,18,212,10g,7g,27mg,77mg,28g,1g,15g,2g,18mg,1mg,42mg,3.7,47,,,,,
28,6587915,25 mins,10 mins, 1 hr 40 mins,50 ,,50,64,4g,3g,12mg,27mg,6g,0g,2g,1g,3mg,0mg,8mg,3.7,10,,, 1 hr 5 mins,,
29,6737090,15 mins,50 mins, 1 hr 15 mins,16 ,32 cookies,16,192,12g,7g,30mg,122mg,21g,1g,7g,2g,7mg,1mg,24mg,4.9,42,,,10 mins,,
30,6599903,20 mins,20 mins, 1 hr 40 mins,12 ,2 dozen,12,378,25g,15g,41mg,113mg,39g,2g,21g,4g,17mg,2mg,131mg,4.8,34,,, 1 hr,,
31,6593706,20 mins,50 mins, 1 hr 15 mins,36 ,6 dozen,36,175,10g,7g,27mg,2mg,19g,1g,6g,2g,6mg,1mg,22mg,4.6,175,,,5 mins,,
32,6598717,,,,12 ,2 dozen,12,418,23g,3g,31mg,135mg,46g,3g,39g,12g,60mg,1mg,358mg,4.2,26,,,,,
33,6596090,15 mins,15 mins,45 mins,20 ,20 small cookies,20,39,4g,1g,3mg,30mg,1g,1g,0g,1g,1mg,,3mg,4.4,8,,,15 mins,,
34,6597519, 1 hr,15 mins, 3 hrs 45 mins,24 ,2 dozen cookies,24,191,10g,6g,48mg,159mg,23g,1g,8g,3g,17mg,1mg,43mg,4.4,23,,0mg, 2 hrs 30 mins,,
35,6584121, 1 hr,40 mins, 2 hrs 10 mins,48 ,48 alfajores,48,227,8g,5g,37mg,83mg,36g,0g,20g,3g,67mg,0mg,87mg,3.0,2,,1mg,30 mins,,
36,6599795,15 mins,45 mins, 1 hr,20 ,20 cookies,20,146,9g,6g,24mg,66mg,15g,0g,5g,1g,5mg,1mg,16mg,4.3,3,,,,,
37,6583848,,,,24 ,4 dozen,24,179,12g,7g,31mg,107mg,18g,0g,5g,1g,5mg,1mg,15mg,4.3,77,,,,,
38,6595347,,,,12 ,2 dozen,12,283,16g,10g,58mg,207mg,33g,1g,5g,3g,13mg,1mg,58mg,4.0,28,,,,,
39,6600825,30 mins,20 mins, 1 hr 50 mins,36 ,36 servings,36,102,6g,4g,14mg,39mg,11g,0g,4g,1g,11mg,1mg,25mg,5.0,29,,1mg, 1 hr,,
40,6600311,5 mins,35 mins,40 mins,12 ,1 dozen,12,384,21g,10g,51mg,131mg,44g,2g,31g,7g,148mg,2mg,265mg,4.2,81,,1mg,,,
41,6588245,20 mins,20 mins,40 mins,48 ,4 dozen 2-inch cookies,48,62,4g,2g,10mg,34mg,6g,0g,2g,1g,3mg,0mg,11mg,5.0,2,,,,,
42,6603827,,,,12 ,2 dozen,12,320,17g,10g,41mg,194mg,40g,2g,18g,4g,32mg,2mg,113mg,4.4,25,,,,,
43,6572189,30 mins,20 mins,50 mins,36 ,36 cookies,36,96,6g,3g,14mg,37mg,10g,0g,5g,1g,7mg,0mg,16mg,4.2,9,,,,,
44,6581011,15 mins,30 mins,45 mins,16 ,16 servings,16,99,6g,4g,15mg,42mg,11g,0g,3g,1g,6mg,1mg,16mg,4.0,44,,,,,
45,6593754,15 mins,15 mins,50 mins,60 ,5 dozen cookies,60,126,8g,3g,14mg,63mg,12g,0g,6g,1g,4mg,1mg,28mg,5.0,1,,,20 mins,,
46,6582246,30 mins,15 mins, 1 hr 55 mins,24 ,24 servings,24,145,9g,5g,20mg,26mg,14g,1g,5g,2g,12mg,1mg,32mg,4.0,5,,0mg, 1 hr 10 mins,,
47,6569735,20 mins,20 mins, 5 hrs 10 mins,32 ,32 cookies,32,110,6g,4g,15mg,23mg,14g,1g,8g,1g,11mg,0mg,54mg,5.0,3,,6mg, 4 hrs 30 mins,,
48,6593874,15 mins,15 mins, 4 hrs 35 mins,32 ,32 shortbread cookies,32,93,4g,3g,11mg,41mg,13g,1g,7g,1g,5mg,0mg,12mg,5.0,2,,1mg, 4 hrs 5 mins,,
49,6568473,,,,18 ,16 to 20 ,18,199,13g,8g,31mg,83mg,19g,1g,7g,2g,12mg,1mg,34mg,3.8,11,,,,,
50,6576408,15 mins,15 mins,30 mins,96 ,8 dozen,96,80,5g,3g,10mg,40mg,8g,0g,4g,1g,3mg,0mg,18mg,4.7,51,,,,,
51,6600905,10 mins,30 mins,40 mins,12 ,12 cookies,12,204,16g,10g,41mg,158mg,15g,0g,7g,1g,13mg,1mg,19mg,5.0,1,,,,,
52,6577705,20 mins,15 mins,40 mins,48 ,4 dozen,48,97,8g,3g,10mg,1mg,7g,1g,3g,1g,7mg,0mg,30mg,,,,0mg,5 mins,,
53,6575969,10 mins,27 mins,42 mins,10 ,20 cookies,10,387,28g,13g,49mg,91mg,30g,4g,11g,6g,13mg,1mg,52mg,4.3,4,,0mg,5 mins,,
54,6574653,20 mins,15 mins,45 mins,25 ,25 cookies,25,125,8g,5g,20mg,25mg,14g,0g,6g,1g,4mg,1mg,13mg,4.6,5,,1mg,10 mins,,
55,6572116,20 mins,10 mins,30 mins,24 ,24 to 32 cookie fries,24,88,4g,3g,13mg,30mg,12g,0g,7g,1g,2mg,0mg,8mg,5.0,1,,,,,
56,6570889,20 mins,30 mins,50 mins,6 ,6 servings,6,567,31g,20g,81mg,414mg,65g,2g,17g,7g,29mg,3mg,86mg,4.0,20,,0mg,,,
57,6569436,5 mins,25 mins,30 mins,16 ,16 squares,16,217,14g,8g,31mg,90mg,21g,1g,8g,2g,18mg,1mg,46mg,4.3,15,,0mg,,,
58,6575212,15 mins, 1 hr 30 mins, 2 hrs 45 mins,120 ,120 cookie squares,120,50,3g,2g,8mg,22mg,5g,0g,2g,1g,2mg,0mg,6mg,2.0,1,,, 1 hr,,
59,6582964,15 mins,10 mins,35 mins,24 ,2 dozen cookies,24,150,8g,5g,20mg,103mg,20g,1g,11g,1g,6mg,1mg,23mg,5.0,1,,3mg,10 mins,,
60,6563668,15 mins,55 mins, 1 hr 10 mins,16 ,1 9-inch pan,16,343,21g,14g,39mg,117mg,36g,2g,21g,5g,82mg,1mg,195mg,4.0,3,,1mg,,,
