,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6648930,Shrimp Scampi with Pasta,20 mins,20 mins,40 mins,6 ,6 servings,6,511,19g,7g,135mg,260mg,58g,4g,1g,22g,10mg,52mg,5mg,269mg,4.6,"1,419",
1,6738379,Shrimp Scampi,15 mins,15 mins,30 mins,4 ,,4,606,31g,18g,247mg,680mg,36g,2g,2g,35g,5mg,245mg,5mg,426mg,4.4,"1,223",
2,6650703,Garlic Shrimp Linguine,10 mins,20 mins,30 mins,8 ,,8,287,5g,2g,77mg,126mg,42g,2g,2g,18g,2mg,46mg,3mg,206mg,4.3,958,
3,6573849,Creamy Shrimp Scampi,20 mins,25 mins,45 mins,4 ,,4,657,55g,31g,342mg,499mg,10g,0g,1g,26g,8mg,174mg,4mg,304mg,4.5,135,
4,6650607,Shrimp Scampi Bake,25 mins,15 mins,40 mins,8 ,,8,330,25g,15g,234mg,426mg,2g,0g,,23g,4mg,69mg,3mg,226mg,4.6,"2,755",
5,6578020,Parmesan-Crusted Shrimp Scampi with Pasta,25 mins,20 mins,45 mins,6 ,6 servings,6,419,21g,12g,165mg,732mg,33g,3g,2g,23g,19mg,185mg,4mg,294mg,4.4,192,
6,6602909,Penne with Shrimp,10 mins,25 mins,35 mins,8 ,8 servings,8,385,9g,3g,95mg,399mg,49g,4g,4g,25g,9mg,188mg,6mg,322mg,4.3,380,
7,6649540,Garlic Shrimp Scampi,5 mins,20 mins,25 mins,4 ,4 servings,4,660,30g,16g,323mg,737mg,48g,3g,3g,45g,4mg,178mg,7mg,503mg,4.5,505,
8,6570601,My Special Shrimp Scampi Florentine,30 mins,10 mins,40 mins,4 ,4 servings,4,446,38g,14g,216mg,384mg,6g,2g,3g,22g,19mg,124mg,4mg,504mg,4.7,185,
9,6739468,Absolutely The Best Shrimp Scampi,20 mins,20 mins,40 mins,4 ,4 servings,4,500,30g,4g,269mg,532mg,16g,1g,1g,36g,16mg,123mg,5mg,475mg,4.4,341,
10,6599424,Lemony Garlic Shrimp with Pasta,10 mins,15 mins, 2 hrs 25 mins,6 ,6 servings,6,502,20g,7g,251mg,11829mg,45g,3g,2g,33g,17mg,87mg,6mg,449mg,4.4,164, 2 hrs
11,6593366,Quick and Easy Shrimp Scampi,5 mins,25 mins,30 mins,4 ,4 servings,4,892,32g,11g,203mg,456mg,108g,6g,6g,43g,24mg,161mg,8mg,555mg,4.0,199,
12,6568884,Creamy Shrimp Scampi with Half-and-Half,5 mins,15 mins,20 mins,2 ,2 servings,2,1175,57g,25g,406mg,959mg,107g,5g,4g,59g,12mg,335mg,6mg,756mg,4.8,55,
13,6588687,Baked Shrimp Scampi,15 mins,20 mins,35 mins,4 ,4 servings,4,574,48g,29g,295mg,424mg,13g,1g,1g,22g,8mg,88mg,4mg,247mg,4.5,158,
14,6663735,Scrumptious Shrimp Scampi Linguine,30 mins,30 mins, 1 hr,6 ,6 servings,6,573,20g,8g,283mg,673mg,58g,3g,4g,38g,46mg,86mg,10mg,502mg,4.6,117,
15,6581593,Garlicky Appetizer Shrimp Scampi,15 mins,6 mins,21 mins,6 ,6 servings,6,303,22g,9g,261mg,461mg,1g,0g,0g,25g,4mg,54mg,4mg,237mg,4.7,181,
16,6589225,Sexy Shrimp Scampi,20 mins,15 mins,45 mins,2 ,2 servings,2,342,26g,10g,259mg,825mg,1g,0g,,25g,4mg,56mg,4mg,232mg,4.6,234,10 mins
17,6737932,Hawaiian Garlic Shrimp Scampi,15 mins,15 mins,30 mins,4 ,4 servings,4,294,20g,9g,203mg,923mg,10g,1g,0g,20g,8mg,68mg,4mg,274mg,4.7,32,
18,6574188,Shrimp Scampi with Orzo,10 mins,20 mins,45 mins,2 ,,2,625,22g,6g,190mg,943mg,70g,6g,8g,34g,27mg,91mg,7mg,469mg,4.7,81,15 mins
19,6589470,Broiled Shrimp Scampi,30 mins,15 mins,45 mins,4 ,4 servings,4,432,26g,15g,420mg,672mg,1g,0g,0g,45g,8mg,145mg,4mg,518mg,4.3,65,
20,6603018,Keto Shrimp Scampi,10 mins,25 mins,35 mins,3 ,3 servings,3,224,13g,6g,191mg,461mg,7g,5g,0g,19g,7mg,46mg,3mg,211mg,4.5,17,
21,6578228,Spicy Shrimp and Tomato Scampi,10 mins,25 mins,35 mins,4 ,4 servings,4,470,10g,2g,173mg,383mg,62g,4g,6g,34g,21mg,133mg,6mg,633mg,4.6,43,
22,6575779,Shrimp Scampi with Linguini,25 mins,20 mins,45 mins,4 ,4 servings,4,707,30g,10g,289mg,652mg,69g,5g,1g,33g,26mg,114mg,7mg,550mg,4.4,108,
23,6568705,Shrimp Scampi with Spaghetti Squash,10 mins,47 mins,57 mins,3 ,3 servings,3,417,29g,4g,230mg,345mg,16g,2g,0g,27g,40mg,115mg,5mg,468mg,4.4,28,
24,6650560,Shrimp Scampi with Rice,15 mins,20 mins,35 mins,6 ,,6,335,16g,4g,183mg,336mg,20g,3g,,26g,,,,405mg,,,
25,6664213,Zucchini Noodle Shrimp Scampi,30 mins,15 mins,45 mins,4 ,4 servings,4,325,20g,9g,205mg,298mg,9g,2g,4g,22g,35mg,104mg,4mg,694mg,4.8,54,
26,6583020,Lighter Baked Shrimp Scampi,10 mins,15 mins,25 mins,4 ,4 servings,4,233,7g,2g,180mg,416mg,27g,10g,0g,25g,97mg,118mg,4mg,380mg,4.0,9,
27,6603633,Shrimp Scampi with Angel Hair Pasta,15 mins,50 mins, 1 hr 5 mins,6 ,6 servings,6,936,68g,40g,397mg,954mg,48g,4g,4g,37g,17mg,131mg,6mg,662mg,4.6,18,
28,6571847,Herbed Shrimp Scampi in a Pouch,20 mins,15 mins,35 mins,6 ,6 servings,6,396,32g,20g,312mg,677mg,1g,0g,0g,25g,6mg,59mg,4mg,243mg,4.4,14,
29,6569700,Grilled Scampi,15 mins,10 mins,25 mins,4 ,4 servings,4,154,15g,8g,57mg,108mg,1g,0g,,4g,1mg,20mg,1mg,48mg,4.5,42,
30,6600265,"Shrimp Scampi with Tomatoes, Pasta, and Roasted Asparagus",20 mins,15 mins,35 mins,8 ,8 servings,8,442,19g,10g,125mg,381mg,47g,4g,3g,21g,17mg,137mg,5mg,418mg,5.0,1,
31,6602226,Instant Pot Asian-Style Shrimp Scampi,10 mins,10 mins,25 mins,4 ,,4,374,23g,8g,180mg,1084mg,19g,1g,1g,20g,4mg,77mg,3mg,301mg,,,5 mins
32,6597666,Keto Shrimp Scampi with Broccoli Noodles,15 mins,15 mins,30 mins,4 ,4 servings,4,267,14g,5g,188mg,334mg,13g,5g,3g,24g,157mg,122mg,4mg,726mg,4.7,29,
33,6577300,Tropical Shrimp Scampi,20 mins,20 mins,40 mins,6 ,6 servings,6,520,21g,3g,117mg,552mg,61g,3g,6g,23g,21mg,75mg,4mg,345mg,4.0,15,
34,6598091,Instant Pot® Shrimp Scampi Orzo,15 mins,30 mins,55 mins,4 ,4 servings,4,756,37g,9g,172mg,729mg,73g,4g,4g,32g,27mg,139mg,4mg,522mg,5.0,1,10 mins
