,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Stand Time:,Yield:,Additional Time:
0,7568539,15 mins, 5 hrs, 5 hrs 15 mins,5 ,5,669,31g,8g,233mg,685mg,52g,9g,10g,49g,33mg,114mg,4mg,1988mg,,,,,
1,7501402,5 mins, 8 hrs, 8 hrs 5 mins,4 ,4,506,31g,6g,107mg,1368mg,15g,0g,13g,39g,0mg,87mg,2mg,417mg,4.2,43,,,
2,6665017,15 mins, 4 hrs, 4 hrs 15 mins,8 ,8,407,30g,13g,165mg,727mg,9g,2g,,27g,,,,659mg,4.7,41,,,
3,6568739,15 mins, 3 hrs 15 mins, 3 hrs 30 mins,8 ,8,334,15g,5g,52mg,365mg,30g,5g,7g,18g,27mg,57mg,3mg,937mg,3.8,5,,,
4,6666175,10 mins, 4 hrs 30 mins, 4 hrs 42 mins,8 ,8,832,66g,31g,123mg,523mg,40g,3g,,40g,,,,759mg,5.0,2,2 mins,,
5,6581445,30 mins, 5 hrs, 5 hrs 30 mins,18 ,18,169,5g,3g,15mg,320mg,27g,3g,2g,5g,9mg,80mg,1mg,452mg,3.9,154,,18 servings,
6,6664604,20 mins, 4 hrs, 4 hrs 20 mins,6 ,6,576,30g,12g,132mg,542mg,30g,4g,4g,44g,26mg,57mg,6mg,1187mg,4.5,"5,462",,6 servings,
7,6663608,15 mins, 5 hrs, 5 hrs 15 mins,8 ,8,528,23g,9g,98mg,803mg,46g,3g,17g,32g,5mg,119mg,3mg,606mg,4.5,"3,144",,8 sandwiches,
8,6663249,15 mins, 8 hrs, 8 hrs 15 mins,8 ,8,473,20g,7g,100mg,1281mg,50g,7g,7g,24g,55mg,68mg,3mg,1126mg,4.6,"2,063",,,
9,6649232,20 mins, 3 hrs 20 mins, 3 hrs 40 mins,12 ,12,746,51g,20g,264mg,1347mg,46g,3g,,28g,,,,585mg,4.0,2,,12 burritos,
10,6648238,20 mins, 8 hrs 20 mins, 8 hrs 40 mins,8 ,8,540,31g,12g,147mg,272mg,18g,3g,2g,46g,18mg,47mg,6mg,1173mg,4.6,"2,411",,,
11,6663123,10 mins, 3 hrs, 3 hrs 10 mins,4 ,4,325,12g,3g,71mg,2204mg,34g,1g,31g,22g,6mg,34mg,2mg,389mg,4.0,"3,194",,,
12,6664404,5 mins, 8 hrs, 8 hrs 5 mins,8 ,8,553,46g,21g,153mg,1053mg,3g,0g,,29g,0mg,31mg,4mg,467mg,4.7,431,,,
13,6650765,5 mins, 2 hrs, 2 hrs 5 mins,10 ,10,346,22g,7g,50mg,1174mg,28g,0g,,10g,0mg,12mg,1mg,213mg,4.5,259,,,
14,6650706,10 mins, 5 hrs, 5 hrs 10 mins,8 ,8,385,18g,6g,45mg,1245mg,37g,1g,6g,18g,1mg,56mg,3mg,246mg,4.4,"9,821",,,
15,6648964,10 mins, 12 hrs, 12 hrs 10 mins,48 ,48,16,,,,139mg,4g,0g,3g,1g,1mg,1mg,0mg,1mg,4.7,170,,3 cups,
16,6649130,5 mins, 8 hrs, 8 hrs 5 mins,24 ,24,360,20g,7g,74mg,1425mg,18g,,18g,26g,,24mg,1mg,367mg,4.6,"1,424",,,
17,6648277,10 mins, 8 hrs, 8 hrs 10 mins,8 ,8,362,16g,6g,49mg,1356mg,38g,9g,9g,18g,22mg,84mg,5mg,670mg,4.6,"2,365",,8 servings,
18,6650417,10 mins, 4 hrs 15 mins, 4 hrs 25 mins,6 ,6,501,30g,11g,117mg,1067mg,32g,1g,23g,24g,2mg,61mg,2mg,517mg,4.7,"1,300",,,
19,6598898,5 mins, 1 hr, 1 hr 5 mins,8 ,8,172,0g,,,31mg,43g,1g,38g,0g,0mg,23mg,0mg,20mg,4.6,111,,,
20,6664215,10 mins, 4 hrs, 4 hrs 10 mins,6 ,6,526,25g,10g,103mg,547mg,42g,6g,5g,32g,45mg,60mg,5mg,1276mg,4.4,536,,6 servings,
21,6738880,20 mins, 4 hrs 10 mins, 4 hrs 30 mins,10 ,10,446,20g,10g,72mg,1420mg,36g,3g,8g,31g,11mg,453mg,3mg,715mg,4.2,"1,132",,,
22,6663729,10 mins, 4 hrs 15 mins, 4 hrs 25 mins,12 ,12,274,13g,5g,46mg,959mg,20g,7g,4g,19g,17mg,69mg,5mg,471mg,4.7,77,,,
23,6664737,10 mins, 6 hrs, 6 hrs 10 mins,6 ,6,314,8g,3g,171mg,1882mg,10g,1g,3g,48g,2mg,35mg,8mg,460mg,4.5,422,,,
24,6649490,10 mins, 4 hrs 5 mins, 4 hrs 15 mins,10 ,10,318,16g,6g,100mg,819mg,2g,0g,1g,39g,0mg,17mg,3mg,530mg,4.6,"2,682",,,
25,6648626,15 mins, 8 hrs 10 mins, 8 hrs 25 mins,8 ,8,273,8g,3g,34mg,975mg,33g,11g,5g,19g,22mg,85mg,5mg,546mg,4.3,993,,,
