,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Release Pressure Time:,Additional Time:
0,7970578,5 Ingredient Cheesy Taco Soup,5 mins,20 mins,25 mins,4 ,4,546,20g,7g,105mg,1728mg,47g,13g,7g,45g,16mg,151mg,7mg,1306mg,,,,,
1,7968859,Green Lentil “Gumbo” Soup,20 mins, 1 hr 20 mins, 1 hr 40 mins,6 ,6,374,23g,6g,76mg,704mg,20g,5g,5g,26g,28mg,74mg,3mg,870mg,5.0,3,,,
2,7967799,Real Lasagna Soup,20 mins, 1 hr 25 mins, 1 hr 45 mins,6 ,6,681,40g,16g,136mg,2119mg,33g,4g,11g,45g,8mg,379mg,5mg,1114mg,5.0,3,,,
3,7966125,5 Ingredient Chicken Taco Soup,15 mins,10 mins,25 mins,8 ,8,343,10g,3g,91mg,734mg,33g,11g,3g,32g,1mg,98mg,4mg,959mg,1.0,1,,,
4,7814275,Southern Shrimp Ramen,15 mins,25 mins,40 mins,4 ,4,459,17g,5g,143mg,5596mg,49g,11g,6g,30g,39mg,380mg,5mg,782mg,,,,,
5,7369568,Beef and Mushroom Dumplings in Broth,45 mins,10 mins,55 mins,4 servings,4,888,45g,12g,181mg,2899mg,63g,4g,7g,55g,11mg,161mg,8mg,1116mg,4.8,24,36 to 40 dumplings,,
6,7151647,Creamy Green Curry Chicken Ramen,15 mins,15 mins,30 mins,4 ,4,916,66g,43g,53mg,1801mg,68g,13g,,44g,,,,1380mg,5.0,2,,,
7,7113135,Miso Noodle Soup,5 mins,10 mins,15 mins,2 ,2,429,14g,3g,186mg,1633mg,59g,6g,,18g,,,,397mg,,,,,
8,7110579,Chicken Minestrone Soup,20 mins,35 mins,55 mins,8 ,8,260,8g,1g,17mg,1089mg,33g,8g,,15g,,,,531mg,,,,,
9,7105002,Roasted Broccoli Soup,15 mins,40 mins,55 mins,4 ,4,196,17g,7g,31mg,517mg,8g,1g,,3g,,,,84mg,5.0,2,,,
10,7104671,Dump-and-Go Instant Pot Tortilla Soup,5 mins,20 mins,30 mins,4 ,4,297,16g,3g,52mg,2198mg,48g,7g,,24g,,,,514mg,4.0,1,,5 mins,
11,6649944,Copycat Panera Broccoli Cheddar Soup,15 mins,45 mins, 1 hr,8 ,8,304,23g,14g,71mg,624mg,11g,1g,5g,14g,18mg,403mg,1mg,277mg,4.6,"1,801",,,
12,6648277,Slow Cooker Taco Soup,10 mins, 8 hrs, 8 hrs 10 mins,8 ,8,362,16g,6g,49mg,1356mg,38g,9g,9g,18g,22mg,84mg,5mg,670mg,4.6,"2,365",8 servings,,
13,6649681,Super-Delicious Zuppa Toscana,20 mins,55 mins, 1 hr 15 mins,6 ,6,554,33g,15g,99mg,2386mg,46g,6g,5g,20g,49mg,86mg,3mg,1248mg,4.8,"3,495",,,
14,6650861,Homemade Chicken Soup,15 mins, 1 hr 30 mins, 1 hr 45 mins,10 ,10,152,9g,2g,37mg,68mg,4g,1g,2g,13g,3mg,24mg,1mg,227mg,4.5,299,,,
15,6649770,Rich and Simple French Onion Soup,15 mins,40 mins,55 mins,4 ,4,586,44g,24g,98mg,1592mg,28g,3g,,21g,9mg,452mg,2mg,434mg,4.6,"1,429",4 servings,,
16,6649828,Miso Soup,5 mins,10 mins,15 mins,4 ,4,63,2g,0g,,513mg,5g,1g,2g,6g,1mg,38mg,1mg,159mg,4.7,494,,,
17,6578586,Creamy Roasted Parsnip Soup,30 mins,45 mins, 1 hr 15 mins,10 ,10,187,10g,5g,22mg,362mg,24g,6g,9g,3g,19mg,92mg,1mg,514mg,4.7,73,10 cups,,
18,6749375,Noodle Bowl Formula,5 mins,10 mins,15 mins,2 ,2,384,12g,4g,73mg,847mg,34g,2g,,34g,,,,146mg,4.8,5,2 2-cup servings,,
19,6755093,Creamy Chicken Ramen Soup with Dill,5 mins,10 mins,15 mins,1 ,1,589,18g,7g,101mg,1655mg,58g,3g,,45g,,,,308mg,3.8,4,,,
20,6581445,Creamy Slow Cooker Potato Cheese Soup,30 mins, 5 hrs, 5 hrs 30 mins,18 ,18,169,5g,3g,15mg,320mg,27g,3g,2g,5g,9mg,80mg,1mg,452mg,3.9,154,18 servings,,
21,6650430,Butternut Squash Soup,20 mins,45 mins, 1 hr 5 mins,4 ,4,305,7g,4g,21mg,1151mg,60g,10g,11g,7g,89mg,178mg,3mg,1650mg,4.7,"2,554",,,
22,6649653,Homemade Dumplings,5 mins,15 mins,20 mins,6 ,6,105,2g,1g,2mg,386mg,18g,1g,2g,3g,,118mg,1mg,54mg,4.7,"1,660",6 dumplings,,
23,6663559,Best Cream Of Broccoli Soup,10 mins,25 mins,35 mins,6 ,6,207,12g,7g,32mg,528mg,17g,4g,7g,9g,106mg,165mg,1mg,647mg,4.5,"1,692",6 servings,,
24,6649288,Quick and Easy Chicken Noodle Soup,10 mins,30 mins,40 mins,6 ,6,162,6g,2g,46mg,1357mg,12g,2g,4g,13g,2mg,31mg,1mg,174mg,4.7,"3,458",,,
25,6664169,Split Pea Soup,15 mins, 2 hrs, 10 hrs 15 mins,6 ,6,310,1g,0g,,255mg,58g,22g,10g,20g,14mg,85mg,4mg,1084mg,4.7,"1,407",,, 8 hrs
26,6650395,Basic Ham and Bean Soup,15 mins, 1 hr 30 mins, 2 hrs 45 mins,8 ,8,262,4g,1g,17mg,528mg,40g,12g,,18g,6mg,123mg,4mg,972mg,4.6,"1,219",,, 1 hr
27,6650404,Turkey Carcass Soup,45 mins, 2 hrs, 2 hrs 45 mins,12 ,12,133,1g,0g,2mg,439mg,28g,5g,5g,4g,29mg,67mg,2mg,667mg,4.7,397,,,
28,6649028,Rich and Creamy Tomato Basil Soup,10 mins,35 mins,45 mins,4 ,4,473,45g,28g,143mg,217mg,17g,3g,12g,4g,61mg,85mg,2mg,905mg,4.6,"1,487",,,
29,6665020,Fresh Tomato Soup,5 mins,30 mins,35 mins,6 ,6,80,4g,3g,12mg,743mg,9g,2g,5g,2g,16mg,19mg,1mg,298mg,4.6,"1,762",,,
30,6590366,Classic Minestrone Soup,15 mins,20 mins,35 mins,6 ,6,159,3g,1g,1mg,827mg,26g,6g,,7g,10mg,63mg,2mg,225mg,4.8,24,,,
31,6648918,Ham and Split Pea Soup Recipe — A Great Soup,15 mins, 1 hr 30 mins, 1 hr 45 mins,8 ,8,374,14g,6g,40mg,1187mg,37g,15g,6g,25g,23mg,54mg,3mg,805mg,4.8,804,,,
32,6664358,My Best Clam Chowder,20 mins,25 mins,45 mins,8 ,8,501,33g,20g,137mg,712mg,28g,2g,2g,24g,27mg,218mg,20mg,892mg,4.6,"2,500",,,
33,6664267,Lentil Soup,15 mins, 1 hr 20 mins, 1 hr 35 mins,8 ,8,349,10g,1g,,131mg,48g,22g,3g,18g,13mg,98mg,6mg,970mg,4.5,"3,204",8 servings,,
34,6740897,Caldo de Res (Mexican Beef Soup),30 mins, 2 hrs, 2 hrs 30 mins,8 ,8,234,6g,2g,39mg,1135mg,26g,7g,9g,22g,66mg,137mg,5mg,907mg,4.8,353,,,
35,6663877,Cabbage Fat-Burning Soup,20 mins,25 mins,45 mins,15 ,15,90,1g,0g,,483mg,21g,6g,12g,4g,77mg,100mg,2mg,769mg,4.5,"2,175",,,
36,6664654,Delicious Ham and Potato Soup,20 mins,20 mins,40 mins,8 ,8,195,11g,6g,30mg,394mg,20g,2g,4g,6g,18mg,91mg,1mg,442mg,4.8,"14,820",,,
