,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Cholesterol,Total Sugars,Vitamin C,Calcium,Iron,Release Pressure Time:,Bake Time:,Stand Time:,Yield:,Additional Time:
0,7101025,5 mins,25 mins,30 mins,4 ,4,384,18g,3g,1244mg,50g,5g,9g,960mg,4.8,23,,,,,,,,,,
1,6649813,10 mins,15 mins,25 mins,4 ,4,755,35g,8g,355mg,87g,4g,23g,321mg,4.7,474,18mg,3g,7mg,260mg,4mg,,,,,
2,7498554,15 mins,25 mins,50 mins,,,2376,86g,26g,7545mg,225g,32g,170g,5985mg,,,420mg,57g,76mg,568mg,31mg,10 mins,,,,
3,7482696,10 mins,20 mins,30 mins,5 servings,5,635,28g,10g,389mg,34g,2g,51g,550mg,5.0,1,149mg,2g,15mg,142mg,3mg,,,,,
4,6663819,15 mins,15 mins,30 mins,4 ,4,842,41g,12g,96mg,92g,4g,26g,403mg,4.8,4,44mg,,,,,,,,,
5,6891729,35 mins,, 1 hr 10 mins,8 ,8,943,64g,33g,1148mg,61g,5g,31g,749mg,5.0,3,205mg,,,,,,25 mins,10 mins,,
6,6650502,15 mins, 1 hr 15 mins, 1 hr 30 mins,8 ,8,797,41g,21g,1326mg,61g,5g,44g,722mg,4.7,"1,504",126mg,,2mg,667mg,4mg,,,,1 9x13-inch casserole,
7,6650312,20 mins,35 mins, 8 hrs 55 mins,2 ,2,1016,78g,20g,479mg,63g,8g,23g,1694mg,4.5,64,57mg,12g,100mg,385mg,4mg,,,,, 8 hrs
8,6737066,10 mins,20 mins,30 mins,4 ,4,543,32g,18g,1388mg,47g,2g,17g,222mg,4.7,215,99mg,3g,2mg,279mg,3mg,,,,,
9,6664836,25 mins, 1 hr 5 mins, 1 hr 30 mins,8 ,8,618,42g,24g,721mg,31g,2g,28g,471mg,4.5,356,136mg,6g,1mg,275mg,3mg,,,,,
10,6648530,10 mins,15 mins,25 mins,6 ,6,376,13g,6g,1111mg,39g,3g,26g,399mg,4.4,233,61mg,4g,3mg,183mg,3mg,,,,,
11,6649144,10 mins,20 mins,30 mins,4 ,4,671,34g,18g,573mg,53g,2g,38g,664mg,4.8,147,166mg,2g,5mg,118mg,5mg,,,,,
12,6604191,10 mins,30 mins,40 mins,4 ,4,606,27g,10g,1651mg,66g,2g,30g,420mg,4.6,49,53mg,9g,11mg,217mg,5mg,,,,,
13,6664095,5 mins,15 mins,20 mins,4 ,4,764,28g,10g,1182mg,85g,4g,39g,527mg,4.7,99,200mg,3g,,245mg,5mg,,,,,
14,6663574,20 mins,20 mins,40 mins,8 ,8,444,21g,7g,369mg,45g,2g,16g,259mg,4.4,"2,113",118mg,2g,2mg,102mg,3mg,,,,,
15,6573477,10 mins, 2 hrs 15 mins, 2 hrs 25 mins,4 ,4,557,20g,8g,1002mg,66g,6g,28g,1122mg,4.4,116,68mg,11g,23mg,59mg,6mg,,,,,
16,6649768,20 mins, 1 hr, 1 hr 25 mins,8 ,8,298,13g,6g,758mg,30g,2g,15g,318mg,4.6,295,35mg,,1mg,255mg,2mg,,,,,5 mins
17,6568960,25 mins,50 mins, 1 hr 15 mins,8 ,8,776,46g,20g,609mg,47g,3g,44g,531mg,4.7,32,315mg,,5mg,283mg,5mg,,,,,
18,6569145,15 mins,15 mins,30 mins,6 ,6,465,17g,5g,337mg,60g,4g,18g,327mg,4.4,59,20mg,3g,10mg,255mg,4mg,,,,6 servings,
19,6648558,5 mins, 1 hr 55 mins, 2 hrs,4 ,4,1336,65g,22g,3325mg,123g,10g,58g,1557mg,4.4,25,119mg,25g,7mg,229mg,8mg,,,,4 servings,
20,6581748,20 mins,50 mins, 1 hr 10 mins,6 ,6,406,21g,10g,470mg,20g,3g,34g,823mg,4.5,491,160mg,7g,16mg,184mg,4mg,,,,1 (10-inch) pie,
21,6588934,20 mins,45 mins, 1 hr 10 mins,4 ,4,928,24g,10g,1025mg,94g,8g,74g,699mg,4.5,90,261mg,5g,14mg,443mg,8mg,,,,4 servings,5 mins
22,6568659,15 mins, 1 hr 5 mins, 1 hr 20 mins,8 ,8,486,9g,1g,160mg,78g,5g,22g,642mg,4.4,9,80mg,7g,51mg,75mg,6mg,,,,8 servings,
23,6739383,5 mins,15 mins,20 mins,4 ,4,852,17g,4g,1514mg,117g,8g,44g,1442mg,4.8,143,72mg,19g,25mg,231mg,33mg,,,,4 servings,
24,6600906,20 mins, 1 hr, 1 hr 20 mins,6 ,6,275,8g,3g,1069mg,39g,4g,12g,673mg,4.5,178,15mg,8g,14mg,65mg,5mg,,,,4 to 6 servings,
25,6594783,10 mins,15 mins,25 mins,4 ,4,383,12g,5g,1114mg,41g,3g,25g,367mg,4.4,24,59mg,6g,2mg,36mg,3mg,,,,,
