,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6605950,Fresh Pear Cake,20 mins, 1 hr 10 mins, 1 hr 10 mins, 2 hrs 40 mins,12 ,1 (10-inch) Bundt cake,12,449,19g,2g,0mg,354mg,66g,3g,39g,5g,2mg,20mg,2mg,150mg,4.6,399
1,6739388,Best Carrot Cake Ever,20 mins,45 mins, 1 hr 10 mins, 2 hrs 15 mins,16 ,2 10-inch round cake layers,16,457,20g,3g,47mg,315mg,66g,3g,43g,6g,4mg,56mg,2mg,324mg,4.8,"1,856"
2,6649276,Chocolate Zucchini Cake,15 mins,50 mins,, 1 hr 5 mins,24 ,1 (9x13-inch) cake,24,269,18g,3g,31mg,188mg,27g,2g,17g,3g,3mg,28mg,1mg,117mg,4.8,"1,035"
3,6570823,German Apple Cake,15 mins,45 mins,, 1 hr,24 ,1 (9x13-inch) cake,24,201,10g,1g,16mg,107mg,28g,1g,19g,2g,1mg,7mg,1mg,41mg,4.6,"1,581"
4,6568271,"Moist, Tender Spice Cake",15 mins,40 mins,,55 mins,16 ,1 9x13-inch cake,16,275,13g,8g,67mg,222mg,36g,1g,19g,4g,0mg,115mg,1mg,90mg,3.9,207
5,6598241,Jewish Apple Cake,20 mins, 1 hr 10 mins,, 1 hr 30 mins,14 ,1 (10-inch) tube cake,14,394,18g,3g,53mg,191mg,56g,2g,34g,5g,4mg,66mg,2mg,91mg,4.6,228
6,6600196,Buttery Cinnamon Cake,30 mins,45 mins,20 mins, 1 hr 35 mins,14 ,1 10-inch bundt cake,14,321,16g,6g,54mg,284mg,41g,1g,27g,4g,,85mg,1mg,56mg,4.2,292
7,6572177,Sugar-Free Cake,15 mins, 1 hr 5 mins,, 1 hr 20 mins,12 ,1 (10-inch) Bundt cake,12,363,21g,2g,31mg,211mg,41g,3g,18g,6g,5mg,37mg,2mg,289mg,4.5,42
8,6569874,Great Canadian Heinz Ketchup Cake,30 mins,30 mins,30 mins, 1 hr 30 mins,12 ,1 9-inch layer cake,12,624,29g,18g,108mg,506mg,89g,1g,68g,5g,,98mg,2mg,98mg,4.2,20
9,6601520,Apple Spice Cake,,,,,14 ,1 tube cake,14,357,15g,9g,88mg,288mg,54g,2g,38g,4g,2mg,22mg,1mg,122mg,4.7,325
