,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6737994,Strawberry Pie,15 mins,15 mins, 3 hrs, 3 hrs 30 mins,8 ,1 9-inch pie,8,265,11g,5g,20mg,109mg,42g,2g,29g,2g,45mg,26mg,1mg,147mg,4.6,"1,299"
1,6664688,Strawberry Rhubarb Pie,20 mins,35 mins,30 mins, 1 hr 25 mins,8 ,1 9-inch pie,8,437,19g,6g,33mg,259mg,64g,5g,33g,5g,57mg,72mg,2mg,341mg,4.6,"1,035"
2,6650242,No Bake Sugar Free Strawberry Cheesecake,20 mins,, 1 hr, 1 hr 20 mins,6 ,1 8-inch cheesecake,6,312,21g,13g,61mg,448mg,25g,3g,12g,6g,70mg,126mg,1mg,335mg,4.6,97
3,6664302,Old-Fashioned Strawberry Pie,15 mins,35 mins,,50 mins,8 ,1 9-inch pie,8,412,17g,4g,8mg,301mg,63g,2g,35g,3g,45mg,25mg,1mg,173mg,4.3,298
4,6603606,DanDan's Strawberry Cream Pie,20 mins,, 3 hrs, 3 hrs 20 mins,8 ,1 (9-inch) pie,8,395,28g,15g,72mg,265mg,33g,1g,23g,4g,12mg,52mg,1mg,114mg,4.7,57
5,6578199,Strawberry Tarts,,,,,6 ,12 tarts,6,643,25g,5g,,288mg,97g,2g,45g,8g,46mg,16mg,3mg,239mg,4.5,45
6,6650106,Strawberry Rhubarb Custard Pie,20 mins, 1 hr, 1 hr, 2 hrs 20 mins,8 ,1 9-inch pie,8,342,11g,4g,74mg,159mg,57g,2g,42g,5g,15mg,64mg,1mg,217mg,4.5,223
7,6578947,Strawberry Glazed Pie,,,,,8 ,1 to 9 - inch pie,8,279,8g,2g,,186mg,52g,3g,37g,2g,73mg,26mg,1mg,217mg,4.6,131
8,6568892,Fresh Strawberry Pie with Jell-O,15 mins,5 mins, 2 hrs 15 mins, 2 hrs 35 mins,16 ,2 8-inch pies,16,167,4g,1g,,104mg,32g,2g,22g,2g,56mg,18mg,1mg,161mg,4.6,350
9,6568306,Strawberry Yogurt Pie I,,,,,8 ,1 to 9 - inch pie,8,317,18g,11g,1mg,221mg,36g,1g,26g,4g,13mg,98mg,1mg,157mg,4.2,64
10,6603911,Crumb-Topped Strawberry Rhubarb Pie,30 mins,50 mins,, 1 hr 20 mins,8 ,1 9-inch pie,8,506,19g,10g,41mg,148mg,81g,3g,51g,5g,27mg,48mg,2mg,216mg,4.8,100
11,6598048,Strawberry Pretzel Pie,20 mins,10 mins, 2 hrs, 2 hrs 30 mins,16 ,1 9x13 inch pan,16,332,17g,8g,15mg,368mg,44g,1g,34g,3g,15mg,23mg,1mg,74mg,4.6,91
12,6572897,Strawberry Frozen Pie,10 mins,, 2 hrs, 2 hrs 10 mins,16 ,2 9-inch pies,16,427,27g,15g,39mg,292mg,43g,1g,34g,6g,27mg,107mg,1mg,224mg,4.3,14
