,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Active Time:,Yield:,Additional Time:
0,7507354,10 mins,5 mins,15 mins,6 ,6,144,10g,6g,39mg,635mg,6g,2g,4g,8g,97mg,27mg,1mg,287mg,,,,,
1,7151642,,20 mins,40 mins,4 ,4,513,13g,4g,70mg,1046mg,64g,5g,,32g,,,,541mg,4.8,8,20 mins,,
2,6649763,5 mins, 1 hr 25 mins, 1 hr 30 mins,6 ,6,248,9g,4g,46mg,564mg,26g,4g,6g,16g,96mg,40mg,3mg,659mg,4.4,"2,040",,6 stuffed peppers,
3,6649613,30 mins,30 mins, 1 hr,6 ,6,463,24g,13g,89mg,971mg,36g,4g,12g,27g,157mg,351mg,5mg,783mg,4.5,"3,020",,,
4,6740851,30 mins, 1 hr 20 mins, 1 hr 50 mins,8 ,8,377,17g,7g,52mg,1274mg,35g,4g,9g,20g,74mg,172mg,4mg,636mg,4.8,"2,509",,,
5,6737325,20 mins, 1 hr 15 mins, 1 hr 35 mins,4 ,4,454,23g,11g,99mg,459mg,30g,4g,7g,30g,105mg,273mg,6mg,666mg,4.6,127,,,
6,6650595,20 mins, 1 hr 20 mins, 1 hr 40 mins,6 ,6,376,17g,7g,82mg,1724mg,26g,4g,9g,30g,111mg,141mg,5mg,937mg,4.7,228,,,
7,7372944,10 mins, 1 hr 5 mins, 1 hr 15 mins,8 servings,8,349,19g,9g,77mg,1024mg,18g,2g,4g,25g,42mg,251mg,3mg,576mg,5.0,2,,,
8,6650314,15 mins,40 mins,55 mins,4 ,4,509,23g,14g,55mg,1964mg,56g,12g,,24g,143mg,458mg,4mg,845mg,4.7,561,,4 stuffed peppers,
9,6569135,15 mins, 1 hr 45 mins, 2 hrs,6 ,6,291,11g,4g,53mg,549mg,29g,4g,9g,20g,205mg,90mg,3mg,842mg,4.6,146,,6 stuffed peppers,
10,6737607,20 mins,40 mins, 1 hr,4 ,4,279,16g,3g,84mg,472mg,10g,3g,6g,25g,31mg,83mg,5mg,657mg,4.5,658,,,
11,6649777,10 mins,30 mins,40 mins,2 ,2,385,15g,7g,33mg,1595mg,53g,5g,6g,11g,107mg,247mg,2mg,463mg,4.6,"1,351",,4 stuffed peppers,
12,6603358,30 mins, 1 hr 30 mins, 2 hrs,4 ,4,557,26g,10g,165mg,1510mg,39g,6g,12g,43g,110mg,172mg,7mg,1343mg,4.5,137,,,
13,6648157,25 mins, 1 hr 15 mins, 1 hr 40 mins,4 ,4,532,21g,5g,18mg,1396mg,38g,8g,9g,57g,109mg,367mg,11mg,761mg,4.4,283,,,
14,6596910,15 mins,20 mins,35 mins,4 ,4,179,4g,2g,12mg,352mg,28g,7g,6g,9g,112mg,136mg,2mg,379mg,4.3,131,,,
15,6649735,20 mins, 6 hrs 5 mins, 6 hrs 25 mins,6 ,6,233,11g,4g,46mg,295mg,19g,3g,6g,16g,97mg,24mg,2mg,411mg,3.9,61,,6 servings,
16,6568346,25 mins,50 mins, 1 hr 15 mins,8 ,8,512,31g,14g,94mg,1467mg,30g,4g,13g,28g,99mg,284mg,6mg,915mg,4.7,97,,8 servings,
17,6586568,15 mins, 1 hr 30 mins, 1 hr 45 mins,4 ,4,638,33g,14g,172mg,1411mg,37g,7g,13g,48g,134mg,547mg,4mg,742mg,4.6,56,,8 stuffed pepper halves,
18,6665039,15 mins, 1 hr, 1 hr 15 mins,6 ,6,322,19g,10g,73mg,1182mg,17g,3g,7g,21g,111mg,27mg,3mg,598mg,4.6,483,,6 servings,
19,6664195,25 mins, 1 hr 30 mins, 1 hr 55 mins,12 ,12,498,24g,9g,122mg,1164mg,40g,3g,6g,29g,83mg,91mg,4mg,574mg,4.4,120,,12 servings,
20,6649579,45 mins,15 mins, 1 hr,6 ,6,307,10g,2g,90mg,954mg,40g,5g,7g,17g,151mg,79mg,4mg,631mg,4.7,181,,6 servings,
21,6597236,30 mins, 1 hr, 1 hr 30 mins,6 ,6,1277,53g,26g,133mg,1142mg,155g,5g,8g,44g,125mg,581mg,11mg,570mg,4.3,175,,6 servings,
22,6586091,20 mins,25 mins,50 mins,8 ,8,321,26g,13g,73mg,803mg,7g,2g,3g,15g,106mg,182mg,1mg,361mg,4.5,2,,8 stuffed pepper halves,5 mins
23,6570012,15 mins,40 mins,55 mins,6 ,6,312,18g,8g,77mg,292mg,14g,4g,8g,23g,161mg,187mg,4mg,615mg,4.2,47,,6 stuffed peppers,
24,6595569,20 mins, 1 hr 40 mins, 2 hrs,6 ,6,504,13g,5g,50mg,1095mg,74g,9g,17g,24g,176mg,143mg,7mg,1442mg,4.4,23,,6 stuffed peppers,
25,6572439,40 mins, 1 hr, 1 hr 40 mins,6 ,6,559,35g,14g,83mg,1478mg,34g,4g,10g,28g,147mg,246mg,5mg,984mg,4.6,264,,6 servings,
26,6605385,20 mins, 1 hr, 1 hr 20 mins,6 ,6,595,26g,10g,183mg,1405mg,53g,8g,24g,35g,157mg,145mg,6mg,1203mg,4.6,48,,6 servings,
27,6737993,30 mins, 1 hr 20 mins, 1 hr 50 mins,6 ,6,310,20g,8g,54mg,511mg,17g,3g,6g,14g,95mg,113mg,2mg,507mg,4.7,469,,6 servings,
