,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Chill Time:,Yield:,Additional Time:,Cool Time:,Stand Time:
0,7968770,5 mins,14 mins,19 mins,4 ,4,411,23g,14g,61mg,376mg,48g,1g,25g,3g,0mg,113mg,1mg,46mg,,,,,,,,
1,6664789,20 mins,, 1 hr 26 mins,60 ,60,110,5g,3g,25mg,93mg,15g,0g,7g,2g,,14mg,1mg,17mg,4.5,"11,116",6 mins, 1 hr,60 cookies,,,
2,6650740,20 mins,10 mins,30 mins,48 ,48,86,4g,3g,14mg,60mg,12g,0g,6g,1g,,6mg,0mg,11mg,4.5,"8,598",,,4 dozen,,,
3,6648990,20 mins,15 mins, 2 hrs 35 mins,48 ,48,97,4g,1g,8mg,81mg,14g,0g,6g,1g,,10mg,1mg,16mg,4.5,"1,619",,,4 dozen, 2 hrs,,
4,6663712,45 mins,10 mins, 1 hr 25 mins,24 ,24,188,8g,5g,36mg,135mg,27g,0g,15g,2g,,7mg,1mg,25mg,4.5,138,,,2 dozen,30 mins,,
5,6603888,20 mins,10 mins, 1 hr,30 ,30,71,3g,1g,,86mg,11g,0g,5g,1g,,1mg,0mg,9mg,4.3,20,,,2 1/2 dozen,30 mins,,
6,6740829,15 mins,10 mins,25 mins,24 ,24,226,11g,5g,29mg,129mg,29g,1g,,3g,,29mg,1mg,28mg,4.6,"2,252",,,24 cookies,,,
7,6740874,30 mins,15 mins, 8 hrs 45 mins,72 ,72,53,3g,2g,11mg,38mg,6g,0g,3g,1g,,3mg,0mg,7mg,4.4,"1,048",,,6 dozen cookies, 8 hrs,,
8,7376623,20 mins,10 mins, 3 hrs 30 mins,28 ,28,140,4g,2g,19mg,36mg,26g,0g,19g,1g,0mg,9mg,0mg,15mg,,,, 1 hr,28 cookies,,30 mins, 1 hr 30 mins
9,6741076, 1 hr,20 mins, 1 hr 45 mins,20 ,20,201,10g,6g,35mg,78mg,26g,1g,,2g,,,,24mg,4.0,1,,,20 cookies,25 mins,,
