,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,6649789,25 mins,15 mins,40 mins,6 ,6,166,12g,3g,43mg,337mg,6g,2g,2g,10g,7mg,109mg,2mg,414mg,4.4,336,,
1,6665035,45 mins,, 1 hr 45 mins,4 ,4,410,17g,3g,221mg,2626mg,42g,9g,21g,29g,49mg,114mg,6mg,1349mg,4.9,239, 1 hr,
2,6589707,10 mins,10 mins,20 mins,4 ,4,297,5g,1g,48mg,728mg,51g,1g,1g,25g,0mg,72mg,8mg,67mg,4.4,5,,
3,6651113,15 mins,5 mins,20 mins,4 ,4,227,15g,2g,173mg,344mg,3g,0g,0g,19g,5mg,43mg,3mg,196mg,4.6,78,,
4,6737487,25 mins,20 mins, 1 hr 30 mins,4 ,4,678,55g,8g,21mg,3885mg,43g,6g,3g,6g,47mg,60mg,3mg,1039mg,4.6,81,45 mins,
5,6663601,35 mins,45 mins, 2 hrs 20 mins,6 ,6,477,32g,7g,199mg,449mg,36g,4g,5g,13g,28mg,59mg,2mg,631mg,4.4,86, 1 hr,1 spanish tortilla
6,6664613,15 mins,25 mins,45 mins,4 ,4,405,27g,16g,142mg,382mg,11g,0g,,27g,3mg,133mg,5mg,293mg,4.6,52,5 mins,
7,6598866,45 mins, 1 hr 15 mins, 2 hrs 30 mins,12 ,12,303,19g,3g,,573mg,31g,1g,1g,4g,12mg,76mg,2mg,88mg,4.4,129,30 mins,60 stuffed grape leaves
8,6663634,15 mins,25 mins,40 mins,2 ,2,1564,151g,21g,10mg,5111mg,54g,8g,10g,7g,98mg,113mg,5mg,1448mg,4.0,8,,2 servings
9,6572394,30 mins,,30 mins,10 ,10,58,6g,1g,,3mg,2g,,,0g,0mg,4mg,0mg,10mg,4.7,384,,20 skewers
10,6650553,15 mins,10 mins, 2 hrs 25 mins,6 ,6,447,38g,5g,230mg,800mg,4g,1g,0g,25g,25mg,75mg,5mg,308mg,4.8,"1,699", 2 hrs,
11,6648170,30 mins,40 mins, 2 hrs 10 mins,8 ,8,237,2g,0g,107mg,168mg,29g,4g,5g,26g,26mg,94mg,3mg,929mg,4.4,26, 1 hr,8 servings
12,6663151,30 mins,, 1 hr 30 mins,6 ,6,117,6g,1g,42mg,247mg,7g,2g,2g,11g,24mg,29mg,1mg,430mg,4.9,28, 1 hr,6 servings
13,6664174,15 mins,10 mins,25 mins,4 ,4,169,5g,1g,,600mg,26g,6g,2g,7g,10mg,133mg,3mg,450mg,4.5,447,,4 servings
14,6597314,20 mins, 1 hr 10 mins, 1 hr 30 mins,4 ,4,477,37g,14g,82mg,1238mg,12g,2g,1g,24g,36mg,73mg,2mg,486mg,4.8,106,,4 servings
15,6585630,10 mins,4 mins,44 mins,12 ,12,271,13g,7g,59mg,406mg,29g,1g,10g,11g,,175mg,1mg,118mg,4.5,2,30 mins,12 wedges
