,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C
0,6663864,10 mins,30 mins, 1 hr, 1 hr 40 mins,32 ,about 2 1/2 pounds,32,226,17g,9g,31mg,101mg,20g,1g,18g,2g,18mg,1mg,74mg,4.7,"1,375",
1,6650700,10 mins,15 mins,30 mins,55 mins,35 ,,35,150,10g,5g,14mg,73mg,15g,1g,12g,1g,11mg,0mg,57mg,4.7,"1,622",
2,6663550,10 mins,10 mins,30 mins,50 mins,8 ,,8,71,,,,161mg,19g,,16g,,1mg,,2mg,4.3,33,
3,6648168,5 mins,15 mins,,20 mins,16 ,,16,222,16g,9g,31mg,83mg,23g,1g,21g,1g,11mg,0mg,54mg,4.2,223,
4,6602742,10 mins,25 mins,35 mins, 1 hr 10 mins,48 ,48 servings,48,91,5g,3g,15mg,41mg,10g,0g,6g,1g,7mg,0mg,26mg,4.6,39,
5,6738583,10 mins,20 mins,30 mins, 1 hr,48 ,48 servings,48,153,11g,6g,20mg,56mg,14g,1g,13g,1g,9mg,0mg,42mg,4.3,280,
6,6584108,30 mins,20 mins, 2 hrs, 2 hrs 50 mins,10 ,10 candies,10,152,5g,4g,16mg,69mg,24g,1g,22g,3g,119mg,0mg,156mg,4.1,26,1mg
7,6573566,10 mins,30 mins, 1 hr, 1 hr 40 mins,24 ,24 servings,24,252,20g,10g,41mg,110mg,19g,1g,18g,2g,27mg,,48mg,3.6,10,
8,6566120,10 mins,25 mins,15 mins,50 mins,25 ,,25,110,4g,2g,7mg,24mg,19g,0g,18g,1g,34mg,0mg,58mg,3.7,3,0mg
9,6577160,10 mins,20 mins,,30 mins,48 ,48 servings,48,76,6g,2g,5mg,58mg,6g,0g,4g,1g,6mg,0mg,20mg,4.6,15,
10,6589568,15 mins,10 mins, 1 hr, 1 hr 25 mins,64 ,64 1-inch pieces,64,59,3g,1g,6mg,16mg,7g,0g,7g,0g,4mg,0mg,11mg,3.5,4,
11,6591466,15 mins,15 mins,,30 mins,25 ,1 to 15 x pan,25,236,15g,7g,20mg,176mg,26g,2g,16g,3g,32mg,1mg,112mg,4.7,119,
12,6573011,10 mins,10 mins,,20 mins,32 ,1 pound of candy,32,123,9g,4g,10mg,34mg,10g,1g,8g,2g,19mg,0mg,44mg,4.1,16,0mg
13,6595634,5 mins,8 mins,47 mins, 1 hr,8 ,1 9-inch disk toffee,8,356,23g,12g,36mg,576mg,39g,0g,34g,3g,31mg,1mg,77mg,4.9,45,
14,6581895,15 mins,25 mins,45 mins, 1 hr 25 mins,30 ,30 servings,30,206,13g,7g,16mg,48mg,24g,1g,18g,2g,15mg,1mg,96mg,4.8,20,
15,6586009,5 mins,15 mins, 1 hr 5 mins, 1 hr 25 mins,30 ,30 pieces,30,134,8g,2g,,73mg,16g,0g,11g,1g,11mg,1mg,47mg,3.9,8,
16,6603976,15 mins,30 mins,,45 mins,48 ,4 dozen candies,48,43,2g,1g,5mg,3mg,7g,0g,6g,0g,14mg,0mg,83mg,3.3,3,
