,id_recipe,Prep Time:,Cook Time:,Soak Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron,Yield:,Cholesterol
0,7099950,20 mins,20 mins,30 mins,10 mins, 1 hr 20 mins,4 ,4,80,1g,0g,927mg,11g,1g,7g,43mg,5.0,1,,,,,,,
1,6596374,15 mins,5 mins,,, 1 hr 20 mins,4 ,4,145,9g,1g,295mg,10g,3g,8g,286mg,4.4,100, 1 hr,5g,25mg,132mg,2mg,,
2,6571776,10 mins,15 mins,,, 1 hr 25 mins,6 ,6,220,18g,3g,880mg,5g,1g,12g,207mg,4.7,28, 1 hr,1g,1mg,464mg,8mg,12 tofu slices,
3,6737069,15 mins, 1 hr,,, 1 hr 15 mins,4 ,4,166,10g,2g,460mg,12g,1g,10g,170mg,4.6,192,,,0mg,422mg,7mg,,
4,6591913,25 mins,15 mins,,, 1 hr 20 mins,6 ,6,151,11g,2g,59mg,4g,2g,11g,201mg,3.9,56,40 mins,1g,1mg,435mg,2mg,6 burgers,28mg
5,6649907,30 mins, 1 hr 4 mins,,, 1 hr 34 mins,6 ,6,483,13g,2g,1209mg,78g,5g,17g,535mg,4.9,15,,3g,13mg,530mg,9mg,6 bowls,
6,6596820,20 mins,15 mins,,,35 mins,4 ,4,441,26g,8g,649mg,39g,5g,17g,663mg,4.8,82,,12g,51mg,413mg,7mg,,
7,6588852,25 mins,20 mins,,,45 mins,4 ,4,357,22g,6g,841mg,19g,4g,26g,475mg,4.5,"1,275",,4g,5mg,924mg,4mg,4 servings,24mg
8,6581886,10 mins,15 mins,,, 1 hr 10 mins,4 ,4,122,9g,1g,141mg,3g,1g,9g,147mg,4.0,5,45 mins,0g,1mg,391mg,2mg,4 servings,
9,6664561,10 mins,35 mins,,,45 mins,4 ,4,282,26g,15g,1018mg,8g,2g,10g,340mg,4.1,282,,1g,4mg,190mg,4mg,4 servings,8mg
10,6737271,15 mins,30 mins,,,45 mins,3 ,3,579,40g,7g,1171mg,57g,16g,22g,1765mg,4.9,52,,9g,51mg,572mg,12mg,3 servings,
11,6740896,,,,,,10 ,10,470,32g,4g,1295mg,22g,3g,27g,491mg,4.2,66,,5g,7mg,436mg,6mg,10 servings,
12,6571239,30 mins,20 mins,,, 2 hrs,4 ,4,397,23g,4g,1234mg,40g,5g,13g,430mg,4.3,77, 1 hr 10 mins,10g,29mg,204mg,5mg,4 servings,41mg
13,6603687,20 mins,35 mins,,,55 mins,7 ,7,324,15g,6g,569mg,26g,3g,24g,344mg,4.4,284,,5g,1mg,693mg,3mg,6 to 8 servings,81mg
14,6585223,5 mins,5 mins,,,35 mins,4 ,4,161,15g,2g,297mg,2g,0g,7g,102mg,4.3,15,25 mins,0g,0mg,294mg,5mg,12 ounces,
15,6602671,10 mins,20 mins,,, 2 hrs 30 mins,8 ,8,371,18g,3g,249mg,46g,1g,8g,134mg,4.1,58, 2 hrs,37g,2mg,301mg,5mg,1 to 9 - inch cheesecake,
16,6578999,15 mins,6 mins,,,21 mins,2 ,2,340,23g,4g,2631mg,14g,3g,25g,549mg,4.3,4,,7g,7mg,485mg,7mg,2 servings,93mg
17,6577357,30 mins,25 mins,,, 1 hr 10 mins,4 ,4,339,23g,5g,917mg,19g,2g,16g,316mg,4.2,14,15 mins,4g,7mg,511mg,7mg,16 meatballs,55mg
18,6578320,20 mins,15 mins,,,35 mins,4 ,4,289,12g,2g,661mg,25g,9g,26g,1304mg,3.7,6,,8g,108mg,963mg,6mg,4 servings,
19,6595041,20 mins,15 mins,,,35 mins,3 ,3,233,10g,2g,1187mg,28g,3g,12g,516mg,4.8,56,,20g,18mg,439mg,7mg,3 servings,
20,6741776,30 mins, 2 hrs,,, 2 hrs 30 mins,8 ,8,511,16g,2g,1074mg,70g,11g,33g,1384mg,4.4,194,,12g,37mg,1030mg,10mg,8 servings,
21,6569117,10 mins,5 mins,,,35 mins,4 ,4,130,11g,2g,458mg,3g,1g,7g,136mg,4.9,9,20 mins,1g,1mg,300mg,5mg,,
22,6597528,25 mins, 1 hr 10 mins,,, 1 hr 35 mins,4 ,4,554,25g,8g,813mg,56g,8g,29g,984mg,4.2,87,,16g,195mg,643mg,4mg,4 servings,38mg
23,6581592,25 mins,15 mins,,,40 mins,6 ,6,232,13g,5g,680mg,17g,5g,17g,741mg,4.4,739,,5g,78mg,635mg,4mg,,
24,6585933,5 mins,8 mins,,, 1 hr 3 mins,4 ,4,688,57g,9g,1094mg,45g,2g,13g,136mg,4.8,4,50 mins,11g,2mg,350mg,6mg,4 servings,21mg
25,6580912,10 mins,15 mins,,,25 mins,4 ,4,168,9g,1g,1002mg,13g,1g,13g,246mg,4.0,465,,9g,2mg,230mg,3mg,4 servings,
26,6579381,25 mins,10 mins,,, 2 hrs 35 mins,4 ,4,185,12g,2g,30mg,7g,3g,16g,306mg,4.1,36, 2 hrs,0g,7mg,690mg,3mg,4 servings,
27,6585577,10 mins,10 mins,,,20 mins,4 ,4,248,15g,2g,59mg,9g,6g,24g,513mg,4.6,5,,0g,0mg,776mg,4mg,,
28,6571269,20 mins,50 mins,,, 1 hr 15 mins,6 ,6,337,20g,4g,532mg,26g,5g,18g,511mg,4.3,93,5 mins,3g,70mg,572mg,4mg,1 9-inch pie,
29,6737358,15 mins,15 mins,,,30 mins,4 ,4,285,18g,2g,823mg,19g,3g,16g,294mg,4.3,280,,2g,1mg,213mg,3mg,4 servings,
30,6575164,15 mins,15 mins,,, 8 hrs 40 mins,20 ,20,35,1g,0g,243mg,6g,0g,2g,15mg,5.0,5, 8 hrs 10 mins,0g,,40mg,1mg,20 tofu bites,
31,6574128,15 mins,10 mins,,,25 mins,6 ,6,217,7g,2g,166mg,28g,2g,10g,346mg,3.2,10,,2g,5mg,187mg,4mg,,124mg
32,6600454,10 mins,10 mins,,,35 mins,3 ,3,335,15g,2g,1313mg,38g,2g,13g,196mg,4.6,14,15 mins,1g,0mg,537mg,8mg,24 pieces,
33,6737008,15 mins,10 mins,,, 1 hr 25 mins,2 ,2,301,20g,3g,2466mg,19g,5g,17g,1005mg,4.7,78, 1 hr,8g,102mg,428mg,9mg,2 servings,
34,6582729,10 mins,,,, 1 hr 10 mins,4 ,4,124,4g,1g,12mg,21g,3g,6g,375mg,4.3,56, 1 hr,13g,3mg,42mg,2mg,,
35,6579614,35 mins,5 mins,,, 1 hr 40 mins,4 ,4,272,19g,3g,695mg,11g,4g,18g,429mg,4.6,21, 1 hr,3g,9mg,717mg,3mg,,
36,6602579,10 mins,15 mins,,,25 mins,6 ,6,105,8g,1g,582mg,3g,1g,7g,126mg,4.5,13,,1g,1mg,303mg,5mg,12 slices,
37,6590493,5 mins,10 mins,,,15 mins,2 ,2,407,14g,2g,360mg,64g,1g,11g,410mg,4.0,30,,54g,6mg,487mg,8mg,,
38,6572267,10 mins,55 mins,,, 2 hrs 5 mins,8 ,8,230,9g,2g,413mg,35g,3g,5g,208mg,4.5,33, 1 hr,21g,3mg,33mg,2mg,1 9-inch pie,
39,6591880,20 mins,,,, 8 hrs 20 mins,4 ,4,370,32g,5g,632mg,7g,3g,19g,331mg,4.3,111, 8 hrs,1g,3mg,786mg,3mg,,10mg
40,6581053,15 mins,30 mins,,,50 mins,6 ,6,288,19g,7g,489mg,19g,3g,13g,282mg,4.4,179,5 mins,2g,3mg,376mg,4mg,,22mg
41,6568949,30 mins,15 mins,,,45 mins,4 ,4,215,9g,1g,507mg,24g,6g,14g,585mg,3.8,131,,15g,42mg,449mg,7mg,,
42,6578318,,,,,,4 ,4,285,21g,4g,179mg,11g,4g,20g,403mg,3.7,185,,3g,2mg,701mg,3mg,4 servings,
43,6575601,30 mins,30 mins,,, 2 hrs,5 ,5,289,5g,1g,734mg,54g,4g,8g,281mg,4.3,24, 1 hr,3g,4mg,132mg,3mg,,
44,6739763,10 mins,10 mins,,,20 mins,4 ,4,443,30g,5g,642mg,24g,7g,29g,927mg,4.1,415,,9g,91mg,842mg,5mg,,
45,6596817,15 mins,,,,3 days 15 mins,4 ,4,124,7g,1g,12mg,4g,2g,13g,202mg,4.3,43,3 days,,0mg,582mg,2mg,2 cups,
46,6568817,20 mins,,,,20 mins,6 ,6,136,6g,1g,841mg,10g,2g,14g,457mg,,,,4g,32mg,275mg,5mg,6 servings,6mg
47,6578078,15 mins,30 mins,,,45 mins,8 ,8,216,15g,2g,142mg,6g,3g,18g,287mg,3.9,59,,0g,3mg,780mg,3mg,,
48,6599943,10 mins,30 mins,,, 1 hr 45 mins,4 ,4,88,4g,1g,686mg,6g,1g,7g,135mg,4.4,30, 1 hr 5 mins,2g,1mg,298mg,5mg,,0mg
49,6587305,15 mins,45 mins,,, 1 hr,6 ,6,125,10g,2g,70mg,6g,0g,5g,78mg,4.3,20,,1g,0mg,204mg,3mg,,
50,6573973,15 mins,25 mins,,, 1 hr 40 mins,8 ,8,351,20g,4g,537mg,28g,3g,18g,413mg,4.4,22, 1 hr,5g,2mg,514mg,3mg,,7mg
51,6572506,25 mins,10 mins,,,35 mins,8 ,8,278,18g,5g,382mg,20g,5g,11g,487mg,4.4,164,,4g,12mg,255mg,2mg,8 tacos,15mg
52,6604066,10 mins,15 mins,,,25 mins,4 ,4,190,12g,5g,306mg,10g,2g,12g,461mg,4.2,83,,5g,18mg,225mg,4mg,4 servings,18mg
53,6597933,5 mins,,,,5 mins,8 ,8,111,10g,1g,4mg,2g,0g,5g,90mg,4.7,38,,1g,1mg,206mg,3mg,,
54,6594087,10 mins,10 mins,,, 1 hr,4 ,4,298,19g,3g,1456mg,26g,1g,10g,222mg,4.6,8,40 mins,10g,3mg,366mg,6mg,4 servings,
55,6581600,20 mins,45 mins,,, 1 hr 5 mins,4 ,4,765,39g,21g,749mg,91g,8g,21g,761mg,4.6,7,,8g,60mg,291mg,8mg,,
56,6587985,10 mins,12 mins,,,52 mins,4 ,4,110,7g,1g,235mg,4g,1g,11g,170mg,4.8,5,30 mins,1g,0mg,444mg,7mg,4 servings,
57,6586312,20 mins,40 mins,,, 2 hrs,12 ,12,234,11g,4g,55mg,34g,2g,4g,151mg,4.4,25, 1 hr,21g,,56mg,2mg,1 8-inch square pan,0mg
58,6597096,10 mins,,,,50 mins,4 ,4,361,12g,1g,39mg,57g,1g,10g,174mg,5.0,2,40 mins,53g,7mg,317mg,6mg,2 cups,
59,6595664,40 mins,10 mins,,,50 mins,6 ,6,295,14g,2g,946mg,36g,2g,9g,427mg,3.9,18,,7g,19mg,316mg,6mg,6 servings,
