,id_recipe,Prep Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Yield:
0,6738915,10 mins,20 mins,30 mins,4 ,4,233,18g,6g,25mg,486mg,14g,4g,9g,7g,46mg,189mg,3mg,662mg,5.0,23,,
1,6738941,15 mins,,25 mins,4 ,4,580,39g,18g,89mg,331mg,35g,2g,32g,22g,19mg,692mg,2mg,400mg,4.7,191,10 mins,
2,6664449,15 mins, 2 hrs, 2 hrs 15 mins,6 ,6,156,10g,2g,,784mg,18g,3g,12g,2g,15mg,37mg,1mg,394mg,4.7,766,,
3,6663733,10 mins,,10 mins,6 ,6,199,15g,5g,24mg,338mg,6g,1g,4g,10g,12mg,311mg,1mg,261mg,4.8,90,,
4,6587919,15 mins,,15 mins,4 ,4,140,12g,3g,6mg,89mg,7g,2g,5g,2g,16mg,66mg,1mg,328mg,4.6,319,,
5,6738908,15 mins,,15 mins,6 ,6,187,16g,5g,22mg,347mg,8g,2g,4g,5g,16mg,152mg,1mg,358mg,4.7,671,,
6,6596871,15 mins, 1 hr, 1 hr 20 mins,6 ,6,341,32g,5g,,940mg,13g,3g,3g,5g,23mg,60mg,4mg,377mg,4.7,262,5 mins,6 servings
7,6577928,10 mins,,10 mins,4 ,4,46,0g,0g,0mg,156mg,10g,2g,6g,2g,24mg,29mg,1mg,481mg,4.3,174,,
8,6599731,25 mins,,25 mins,5 ,5,272,22g,3g,,1415mg,18g,4g,7g,4g,70mg,101mg,3mg,694mg,4.5,132,,5 servings
9,6582902,10 mins, 2 hrs, 2 hrs 10 mins,4 ,4,262,12g,2g,,404mg,33g,7g,1g,7g,22mg,61mg,3mg,376mg,4.5,311,,4 servings
10,6585520,15 mins, 2 hrs, 2 hrs 15 mins,8 ,8,201,13g,2g,5mg,340mg,18g,1g,3g,2g,10mg,5mg,0mg,66mg,4.6,55,,8 servings
11,6603239,35 mins, 3 hrs, 3 hrs 35 mins,8 ,8,93,7g,1g,,29mg,7g,2g,4g,1g,40mg,25mg,1mg,341mg,4.9,11,,8 servings
12,6600795,15 mins,10 mins,25 mins,4 ,4,266,27g,4g,,585mg,7g,1g,2g,1g,8mg,14mg,1mg,204mg,4.6,130,,
13,6606240,10 mins,,10 mins,1 ,1,157,14g,2g,,9mg,8g,2g,5g,2g,24mg,23mg,1mg,447mg,4.7,22,,
14,6587664,30 mins,,30 mins,6 ,6,198,14g,2g,,214mg,18g,10g,7g,4g,90mg,43mg,1mg,952mg,4.6,9,,6 servings
15,6602495,15 mins,,23 mins,8 ,8,255,7g,2g,7mg,275mg,39g,2g,2g,10g,5mg,100mg,2mg,163mg,4.4,285,8 mins,8 servings
16,6589978,15 mins,,15 mins,6 ,6,259,23g,5g,16mg,445mg,10g,2g,5g,5g,19mg,163mg,1mg,310mg,4.3,3,,6 servings
17,6602767,20 mins,,20 mins,6 ,6,208,18g,3g,,973mg,11g,2g,5g,2g,52mg,55mg,2mg,437mg,4.4,59,,6 servings
18,6599461,15 mins,,15 mins,4 ,4,68,4g,2g,6mg,380mg,7g,2g,4g,2g,15mg,38mg,1mg,346mg,4.2,51,,4 servings
19,6599155,15 mins,15 mins,30 mins,4 ,4,434,29g,9g,36mg,746mg,31g,4g,5g,19g,15mg,487mg,3mg,350mg,4.9,45,,4 servings
20,6576127,15 mins,, 1 hr 15 mins,6 ,6,88,5g,1g,,395mg,11g,2g,7g,2g,17mg,32mg,1mg,391mg,4.5,119, 1 hr,6 servings
21,6586967,15 mins,,15 mins,4 ,4,84,7g,1g,,7mg,5g,1g,3g,1g,10mg,18mg,0mg,255mg,4.5,46,,
22,6577921,15 mins,,20 mins,4 ,4,174,12g,7g,31mg,97mg,16g,3g,4g,3g,13mg,18mg,1mg,326mg,4.5,169,5 mins,4 servings
23,6577775,15 mins,,15 mins,4 ,4,142,11g,2g,5mg,87mg,10g,2g,5g,2g,19mg,35mg,1mg,436mg,4.2,127,,
24,6582099,10 mins, 1 hr, 1 hr 10 mins,8 ,8,95,8g,2g,3mg,54mg,5g,1g,3g,2g,16mg,57mg,1mg,244mg,4.6,74,,8 servings
25,6605184,20 mins,,20 mins,6 ,6,41,0g,0g,,8mg,10g,2g,5g,2g,17mg,31mg,1mg,385mg,4.4,88,,
26,6739131,15 mins,,15 mins,1 ,1,329,27g,11g,45mg,486mg,6g,2g,4g,10g,19mg,20mg,4mg,361mg,4.9,43,,
27,6574797,20 mins,,20 mins,4 ,4,449,36g,16g,90mg,875mg,6g,1g,2g,26g,26mg,594mg,1mg,277mg,4.2,17,,4 servings
