,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Total Sugars,Vitamin C,Calcium,Iron,Additional Time:,Yield:
0,7112582,5 mins,15 mins,20 mins,5 ,5,799,39g,21g,114mg,2991mg,71g,12g,33g,1866mg,4.0,1,,,,,,
1,7092202,5 mins,10 mins,15 mins,5 ,5,660,36g,21g,127mg,1110mg,61g,3g,26g,50mg,3.0,2,,,,,,
2,6822560,10 mins,20 mins,30 mins,5 ,5,497,32g,19g,107mg,717mg,38g,4g,19g,313mg,5.0,3,,,,,,
3,6741324,10 mins,30 mins,40 mins,6 ,6,783,46g,23g,153mg,1412mg,57g,6g,33g,666mg,5.0,7,,,,,,
4,6570813,30 mins,15 mins,45 mins,6 ,6,344,27g,10g,50mg,344mg,18g,1g,5g,171mg,4.6,300,4g,6mg,81mg,1mg,,
5,6825737,10 mins,,10 mins,4 ,4,436,23g,12g,78mg,980mg,42g,4g,16g,331mg,,,,,,,,
6,6648822,10 mins,15 mins,25 mins,8 ,8,292,14g,8g,54mg,498mg,32g,2g,11g,238mg,4.7,"2,351",4g,8mg,182mg,2mg,,
7,6591423,5 mins,10 mins,15 mins,4 ,4,224,6g,3g,28mg,294mg,33g,4g,12g,261mg,4.3,296,2g,4mg,98mg,2mg,,
8,6599324,20 mins,10 mins, 2 hrs 30 mins,8 ,8,415,26g,8g,53mg,729mg,30g,3g,17g,73mg,4.6,186,2g,6mg,183mg,1mg, 2 hrs,
9,6571649,10 mins,30 mins,40 mins,4 ,4,529,29g,14g,114mg,1645mg,40g,4g,28g,601mg,4.5,90,3g,5mg,337mg,5mg,,4 servings
10,6739302,15 mins, 1 hr 10 mins, 1 hr 25 mins,8 ,8,398,20g,9g,56mg,1136mg,33g,4g,21g,497mg,4.7,211,11g,17mg,261mg,2mg,,8 servings
11,6597087,10 mins,20 mins,30 mins,12 ,12,322,16g,4g,20mg,341mg,39g,4g,9g,372mg,4.6,703,18g,68mg,100mg,1mg,,12 servings
12,6664016,10 mins,25 mins,35 mins,6 ,6,792,53g,18g,85mg,1248mg,45g,5g,31g,661mg,4.2,63,3g,12mg,555mg,4mg,,6 servings
13,6593879,15 mins,25 mins,40 mins,6 ,6,687,47g,27g,201mg,843mg,38g,2g,30g,298mg,4.7,44,3g,4mg,114mg,1mg,,6 servings
14,6601170,15 mins,55 mins, 1 hr 10 mins,6 ,6,249,9g,4g,22mg,542mg,28g,4g,12g,763mg,4.8,573,10g,52mg,121mg,2mg,,
15,6590673,15 mins, 1 hr 30 mins, 1 hr 45 mins,8 ,8,225,7g,2g,81mg,743mg,23g,4g,18g,443mg,4.7,42,3g,11mg,118mg,3mg,,
16,6572880,15 mins, 7 hrs 25 mins, 7 hrs 40 mins,6 ,6,468,24g,11g,82mg,1186mg,35g,4g,27g,531mg,4.4,634,10g,7mg,280mg,3mg,,
17,6586724,15 mins,15 mins,30 mins,4 ,4,558,35g,21g,116mg,675mg,43g,5g,23g,699mg,4.3,210,,20mg,294mg,3mg,,
18,6580253,15 mins,10 mins,25 mins,4 ,4,204,6g,3g,30mg,335mg,27g,2g,11g,56mg,4.9,15,2g,6mg,58mg,0mg,,
19,6576888,15 mins,10 mins,25 mins,6 ,6,419,23g,6g,95mg,366mg,41g,2g,13g,38mg,4.2,56,3g,1mg,20mg,2mg,,
20,6739501,15 mins,15 mins,30 mins,6 ,6,607,33g,14g,92mg,1471mg,49g,6g,28g,457mg,4.4,77,13g,20mg,332mg,1mg,,
21,6605873,15 mins,10 mins, 3 hrs 25 mins,6 ,6,305,10g,3g,64mg,1477mg,44g,4g,10g,190mg,4.9,18,18g,12mg,127mg,3mg, 3 hrs,6 servings
22,6589655,10 mins,30 mins,40 mins,6 ,6,634,35g,14g,143mg,835mg,38g,3g,44g,348mg,4.9,15,2g,6mg,325mg,2mg,,
