,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Cool Time:
0,7496443,Shrimp Tostadas,25 mins,5 mins,30 mins,4 ,4,639,47g,14g,102mg,1292mg,42g,7g,9g,17g,45mg,307mg,3mg,636mg,4.5,2,,,
1,6664398,Chef John's Chicken Tinga,15 mins, 1 hr 15 mins, 1 hr 30 mins,6 ,6,483,30g,8g,137mg,1915mg,14g,3g,6g,39g,17mg,107mg,4mg,592mg,4.8,58,,,
2,6569561,Crispy Oven Beef-and-Bean Tostadas,10 mins,20 mins,30 mins,3 ,3,743,41g,18g,120mg,1229mg,56g,14g,4g,40g,17mg,538mg,6mg,938mg,4.4,8,6 tostadas,,
3,6589010,Tuna Lime Tostadas,10 mins,,10 mins,8 ,8,139,4g,1g,17mg,217mg,12g,1g,1g,14g,6mg,29mg,1mg,214mg,4.3,95,,,
4,6594456,Shredded Beef Tostadas,20 mins, 2 hrs 20 mins, 2 hrs 40 mins,6 ,6,559,34g,15g,108mg,783mg,32g,8g,6g,33g,35mg,300mg,5mg,756mg,5.0,1,6 tostadas,,
5,6582966,Instant Pot® Chicken Tinga,5 mins,27 mins,52 mins,6 ,6,380,11g,2g,129mg,782mg,20g,4g,1g,50g,14mg,83mg,3mg,809mg,4.7,6,6 servings,20 mins,
6,6562980,Ceviche de Soya,20 mins,10 mins, 1 hr 30 mins,8 ,8,333,15g,2g,,414mg,31g,9g,3g,27g,27mg,130mg,6mg,574mg,,,8 servings, 1 hr,
7,6591624,Crispy Ground Turkey Tostadas,30 mins,29 mins,59 mins,6 ,6,420,25g,8g,93mg,815mg,26g,5g,4g,25g,28mg,146mg,3mg,568mg,5.0,4,6 tostadas,,
8,6579453,Chicken Tostadas,15 mins,15 mins,30 mins,6 ,6,312,15g,7g,55mg,712mg,27g,6g,3g,20g,21mg,219mg,2mg,472mg,5.0,4,6 tostadas,,
9,6598343,Butternut Squash and Black Bean Tostadas,15 mins,25 mins,40 mins,10 ,10,228,4g,1g,4mg,397mg,43g,11g,3g,10g,42mg,165mg,4mg,1022mg,5.0,2,10 tostadas,,
10,6574742,Black Bean Tostadas,15 mins,5 mins,20 mins,8 ,8,291,14g,7g,28mg,814mg,27g,8g,2g,15g,13mg,279mg,2mg,310mg,5.0,1,8 tostadas,,
11,6571876,Vegan Jicama Ceviche,15 mins,,35 mins,12 ,12,194,10g,2g,,100mg,25g,9g,4g,3g,36mg,49mg,1mg,480mg,3.0,1,12 tostadas,20 mins,
12,6606046,Ground Beef and Potato Tostadas,15 mins,15 mins,30 mins,6 ,6,334,20g,9g,69mg,829mg,18g,2g,2g,19g,6mg,175mg,2mg,311mg,5.0,2,6 tostadas,,
13,6579553,Low-Carb Jicama Tostadas,10 mins,,10 mins,8 ,8,57,0g,,,6mg,13g,7g,3g,1g,30mg,18mg,1mg,225mg,,,8 tostadas,,
14,7488406,Deviled Shrimp Tostadas,20 mins,10 mins, 1 hr 35 mins,,,1536,92g,12g,93mg,1291mg,181g,49g,62g,30g,347mg,329mg,7mg,3846mg,5.0,1,,, 1 hr 5 mins
15,6569602,Carrot Ceviche (Vegan),25 mins,, 1 hr 25 mins,8 ,8,150,7g,1g,,307mg,22g,5g,8g,3g,27mg,55mg,1mg,428mg,4.0,1,8 tostadas, 1 hr,
