,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,6580217,Easy Tuna Pasta Bake,15 mins,30 mins,45 mins,4 ,4,857,39g,21g,140mg,518mg,80g,4g,5g,49g,2mg,355mg,5mg,533mg,4.3,17,,
1,7373575,One-Pan Tuna Noodle Casserole,10 mins,35 mins,45 mins,6 ,6,474,15g,6g,47mg,796mg,59g,7g,12g,30g,80mg,356mg,4mg,770mg,3.8,6,,
2,6648983,Best Tuna Casserole,10 mins,20 mins,30 mins,6 ,6,595,26g,12g,99mg,1061mg,58g,4g,5g,32g,7mg,319mg,5mg,602mg,4.3,"2,851",,
3,6573719,Campbell's Tuna Noodle Casserole,10 mins,35 mins,45 mins,8 ,,,,,,,,,,,,,,,4.4,511,,
4,6663824,Quick and Easy Tuna Casserole,5 mins,25 mins,30 mins,6 ,6,545,20g,10g,93mg,1523mg,58g,4g,,32g,9mg,270mg,5mg,374mg,4.3,691,,
5,6663479,Easy Tuna Casserole,15 mins,30 mins,45 mins,8 ,8,462,29g,10g,23mg,706mg,37g,1g,1g,12g,,113mg,1mg,93mg,4.3,"1,772",,
6,6663602,Easy Macaroni Tuna Casserole,10 mins,35 mins,45 mins,6 ,6,438,27g,16g,74mg,882mg,31g,1g,6g,18g,1mg,240mg,3mg,308mg,4.5,117,,
7,6739117,Tuna Noodle Casserole from Scratch,30 mins,50 mins, 1 hr 20 mins,6 ,6,546,31g,19g,121mg,786mg,40g,3g,7g,27g,7mg,302mg,3mg,486mg,4.4,"1,719",,
8,6649494,Classic Tuna Noodle Casserole,10 mins,25 mins,35 mins,4 ,4,362,9g,4g,81mg,497mg,36g,4g,5g,33g,6mg,91mg,3mg,710mg,4.3,162,1 (1 1/2-quart) dish,
9,6567457,Best Tuna Noodle Casserole,20 mins,35 mins,55 mins,8 ,8,481,20g,10g,91mg,1481mg,51g,3g,6g,28g,8mg,256mg,3mg,466mg,4.6,61,1 9x13-inch casserole,
10,6650539,Tuna Noodle Casserole I,10 mins,50 mins, 1 hr,6 ,6,346,15g,8g,71mg,721mg,34g,3g,5g,19g,5mg,239mg,3mg,263mg,4.2,441,6 servings,
11,6601969,Kraft Mac and Cheese Tuna Casserole,20 mins,50 mins, 1 hr 10 mins,8 ,8,532,33g,13g,43mg,1012mg,42g,2g,6g,15g,4mg,179mg,2mg,280mg,4.9,12,,
12,6576561,Easy Cheesy Tuna Casserole,10 mins,30 mins,40 mins,2 ,2,1697,68g,34g,164mg,2354mg,190g,16g,10g,86g,8mg,1110mg,11mg,1088mg,4.1,105,2 servings,
13,6648799,Chef John's Tuna Noodle Casserole,15 mins,55 mins, 1 hr 20 mins,8 ,8,511,23g,10g,86mg,809mg,46g,3g,8g,30g,4mg,362mg,3mg,446mg,4.3,87,1 9x13-inch casserole,10 mins
14,6576384,Tuna Noodle Casserole II,10 mins,50 mins, 1 hr,8 ,8,467,16g,6g,30mg,1143mg,58g,3g,4g,23g,3mg,157mg,3mg,512mg,4.2,612,8 servings,
15,6604776,Easy Cheesy Tuna Noodle Casserole,10 mins,40 mins,50 mins,6 ,6,754,29g,10g,140mg,3491mg,80g,6g,8g,43g,5mg,447mg,7mg,591mg,4.5,17,6 servings,
16,6597034,One Pot Tuna Casserole,10 mins,20 mins,30 mins,8 ,8,395,17g,9g,79mg,452mg,43g,3g,4g,17g,6mg,166mg,3mg,197mg,4.1,295,8 servings,
17,6603767,Gluten Free Tuna Casserole,20 mins,30 mins,50 mins,6 ,6,1128,65g,32g,178mg,681mg,95g,4g,3g,42g,21mg,529mg,3mg,587mg,4.8,30,1 9x13-inch dish,
18,6738863,Hearty Tuna Casserole,15 mins,45 mins, 1 hr,6 ,6,356,25g,8g,56mg,364mg,16g,2g,2g,19g,8mg,184mg,2mg,308mg,4.3,260,1 2-quart casserole,
19,6590614,Grandma's Tuna Casserole with Potato Chips and No Noodles,10 mins,30 mins,40 mins,10 ,10,511,33g,9g,8mg,936mg,44g,5g,2g,13g,17mg,43mg,3mg,1412mg,4.2,6,1 10x14-inch casserole,
20,6588839,Tuna and Vegetable Casserole,20 mins,30 mins,50 mins,8 ,8,398,21g,7g,33mg,626mg,38g,3g,5g,14g,11mg,100mg,2mg,368mg,4.0,27,1 casserole,
21,6583199,Cheesy Tuna Noodle Casserole,20 mins,35 mins,55 mins,6 ,6,373,12g,4g,66mg,600mg,49g,3g,3g,17g,14mg,103mg,3mg,309mg,3.8,141,1 2-quart casserole,
22,6598972,Tuna Noodle Casserole III,5 mins,30 mins,35 mins,4 ,4,551,28g,15g,114mg,1073mg,50g,2g,3g,25g,,205mg,4mg,323mg,4.3,251,4 servings,
