,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Bake Time:,Chill Time:
0,7484937,Peppercorn Sauce,5 mins,15 mins,20 mins,4 ,2/3 cup,4,214,17g,11g,47mg,188mg,7g,1g,2g,2g,2mg,38mg,1mg,213mg,,,,,
1,6604224,Bacon-Wrapped Scallops,5 mins,20 mins,25 mins,4 ,12 scallops,4,235,19g,6g,43mg,422mg,2g,,0g,13g,7mg,14mg,0mg,246mg,4.3,93,,,
2,6601621,Lobster Risotto,15 mins, 1 hr, 1 hr 15 mins,6 ,,6,565,25g,11g,87mg,1393mg,60g,2g,6g,19g,5mg,161mg,1mg,368mg,4.6,23,,,
3,6649960,Homemade Melt-In-Your-Mouth Dark Chocolate (Paleo),10 mins,, 1 hr 10 mins,8 ,,8,157,15g,13g,,2mg,9g,2g,7g,1g,,7mg,1mg,86mg,4.6,219, 1 hr,,
4,6739412,Red Velvet Cheesecake Swirl Brownies,20 mins,30 mins, 1 hr 20 mins,12 ,1 8x8-inch pan,12,265,16g,10g,87mg,123mg,28g,1g,21g,4g,,28mg,1mg,78mg,4.6,144,30 mins,,
5,6740925,Simple Garlic Shrimp,15 mins,10 mins,25 mins,4 ,,4,196,12g,5g,188mg,244mg,3g,0g,0g,19g,15mg,53mg,3mg,226mg,4.8,"1,549",,,
6,6592386,Simple Lobster Scampi,10 mins,20 mins,30 mins,6 ,,6,385,25g,15g,146mg,713mg,9g,1g,1g,26g,1mg,135mg,1mg,452mg,4.5,2,,,
7,6606118,Chicken Saltimbocca,15 mins,15 mins,30 mins,8 ,,8,350,19g,7g,116mg,694mg,1g,,0g,36g,,26mg,1mg,243mg,4.7,55,,,
8,6650796,Strawberry Vanilla Pancakes,10 mins,10 mins,20 mins,4 ,8 pancakes,4,280,10g,2g,51mg,807mg,38g,2g,12g,7g,23mg,195mg,2mg,220mg,4.1,344,,,
9,6588179,French Toast Pancakes,15 mins,10 mins,25 mins,9 ,,9,115,5g,1g,23mg,208mg,14g,1g,3g,3g,0mg,68mg,1mg,64mg,4.3,24,,,
10,6664370,Real Strawberry Frosting,20 mins,20 mins,40 mins,18 ,,18,177,10g,6g,27mg,82mg,22g,0g,21g,0g,6mg,5mg,0mg,19mg,4.6,457,,,
11,6585829,Shrimp Linguine,10 mins,15 mins,25 mins,8 ,,8,517,25g,14g,243mg,436mg,43g,2g,2g,33g,8mg,188mg,4mg,391mg,4.6,417,,,
