,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Additional Time:,Yield:,Bake Time:
0,7571415,Pasta alla Trapanese (Sicilian Tomato Pesto),20 mins,15 mins,35 mins,8 ,8,312,21g,4g,10mg,348mg,22g,3g,2g,9g,9mg,147mg,1mg,244mg,5.0,7,,,,
1,6585100,Cabbage Curry,20 mins,10 mins,30 mins,8 ,8,128,11g,8g,8mg,93mg,8g,3g,4g,1g,10mg,34mg,1mg,205mg,4.4,33,,,,
2,7568002,Saucy Vegetable Pinwheels,15 mins,, 1 hr 15 mins,,,1273,26g,6g,5mg,2273mg,217g,23g,39g,46g,292mg,941mg,14mg,2580mg,,, 1 hr,,,
3,7567956,Sweet Potato and Black Bean Taco Cups,15 mins,30 mins,45 mins,12 ,12,171,7g,2g,8mg,269mg,23g,3g,2g,6g,9mg,79mg,2mg,274mg,4.7,3,,,,
4,7568001,Watermelon “Tuna” Poke Bowl,20 mins, 1 hr, 5 hrs 20 mins,4 ,4,913,59g,8g,12mg,1373mg,89g,15g,23g,14g,46mg,120mg,5mg,1464mg,5.0,1, 4 hrs,,,
5,7568012,Green Beans with Olives and Tomatoes,15 mins,5 mins,20 mins,4 ,4,109,6g,1g,0mg,215mg,14g,5g,7g,3g,24mg,76mg,1mg,392mg,,,,,,
6,6571006,Pesto Spaghetti Squash,25 mins, 1 hr 5 mins, 1 hr 40 mins,6 ,6,161,11g,5g,20mg,461mg,14g,1g,2g,4g,20mg,132mg,1mg,306mg,4.5,225,,10 mins,,
7,7546676,Air Fryer Blooming Onion,15 mins,20 mins,35 mins,4 ,4,871,25g,5g,64mg,955mg,149g,16g,84g,20g,77mg,420mg,6mg,2081mg,4.2,5,,,,
8,7510128,Air Fryer Samosas,25 mins,25 mins,50 mins,12 ,12,141,3g,1g,19mg,321mg,20g,2g,2g,7g,6mg,44mg,1mg,269mg,,,,,12 samosas,
9,7488575,Whipped Feta Sandwich,10 mins,0 mins,10 mins,2 servings,2,466,24g,12g,64mg,1049mg,48g,5g,13g,17g,20mg,442mg,4mg,746mg,4.5,2,,,,
10,6580886,Grilled Sweet Potato Wedges,10 mins,20 mins,30 mins,4 ,4,177,14g,2g,,327mg,13g,2g,3g,1g,2mg,21mg,1mg,228mg,4.7,18,,,,
11,6746960,Spinach-Artichoke Garlic Naan Pizza,15 mins,10 mins,25 mins,3 ,3,301,19g,4g,20mg,493mg,23g,5g,,12g,,,,162mg,5.0,4,,,,
12,6891411,Savory Stuffed Butternut Squash,20 mins,, 1 hr 35 mins,2 ,2,1031,49g,14g,38mg,844mg,146g,16g,,21g,,,,2590mg,,,,,, 1 hr 15 mins
13,6674331,Gnocchi with Pomodoro Sauce,10 mins,,10 mins,4 ,,,,,,,,,,,,,,,5.0,1,,,,
14,6564823,Instant Pot Wheat Berries,5 mins,40 mins, 1 hr,10 ,10,126,1g,0g,,102mg,27g,5g,0g,5g,,17mg,1mg,141mg,5.0,2,,15 mins,5 cups,
15,6602936,Grilled Halloumi with Herbed Berry Salsa,20 mins,15 mins,35 mins,4 ,4,406,29g,11g,43mg,735mg,26g,4g,13g,16g,24mg,35mg,2mg,229mg,5.0,1,,,4 servings,
16,6585319,Vegan Pumpkin Pancakes,15 mins,10 mins,25 mins,6 ,6,288,10g,4g,,1206mg,45g,4g,4g,6g,2mg,244mg,3mg,236mg,5.0,1,,,6 servings,
17,6825737,Creamy Vegetarian Tortellini Soup,10 mins,,10 mins,4 ,4,436,23g,12g,78mg,980mg,42g,4g,,16g,,,,331mg,,,,,,
18,6664591,Classic Macaroni Salad,20 mins,10 mins, 4 hrs 30 mins,10 ,10,390,19g,3g,8mg,529mg,49g,3g,16g,7g,13mg,21mg,2mg,134mg,4.4,"2,821",, 4 hrs,,
19,6650488,Guacamole,15 mins,,15 mins,4 ,4,262,22g,3g,,596mg,18g,11g,3g,4g,26mg,35mg,1mg,866mg,4.8,"7,610",,,,
20,6663422,Awesome Broccoli-Cheese Casserole,15 mins,45 mins, 1 hr,8 ,8,387,34g,10g,64mg,619mg,9g,3g,3g,11g,46mg,241mg,1mg,71mg,4.5,606,,,,
21,6664067,Best Fried Green Tomatoes,5 mins,15 mins,20 mins,4 ,4,510,27g,4g,95mg,1136mg,56g,5g,10g,13g,43mg,104mg,4mg,556mg,4.7,"1,057",,,,
22,6648910,Mouth-Watering Stuffed Mushrooms,25 mins,20 mins,45 mins,12 ,12,88,8g,5g,22mg,82mg,2g,0g,0g,3g,1mg,36mg,0mg,86mg,4.6,"4,336",,,12 large mushrooms,
23,6650609,Pan-Fried Asparagus,5 mins,15 mins,20 mins,4 ,4,188,18g,8g,31mg,525mg,5g,2g,2g,3g,7mg,36mg,8mg,247mg,4.6,"1,785",,,,
24,6740967,Fluffy Pancakes,10 mins,10 mins,25 mins,4 ,4,230,8g,5g,65mg,650mg,33g,1g,9g,6g,0mg,134mg,2mg,121mg,4.8,"16,943",,5 mins,8 pancakes,
25,6648446,Hot Spinach Artichoke Dip,15 mins,25 mins,40 mins,12 ,12,134,12g,6g,28mg,315mg,3g,1g,0g,4g,3mg,88mg,0mg,54mg,4.7,"3,106",,,,
