,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C
0,6648518,25 mins,25 mins, 2 hrs, 2 hrs 50 mins,36 ,3 loaves,36,134,2g,1g,4mg,207mg,26g,2g,5g,4g,8mg,1mg,76mg,4.8,"2,536",
1,6585801,10 mins,10 mins,,20 mins,8 ,8 servings,8,127,1g,0g,,221mg,27g,5g,0g,5g,14mg,2mg,152mg,4.8,21,
2,6650320,15 mins,10 mins,5 mins,30 mins,10 ,10 chapatis,10,110,3g,0g,,234mg,18g,2g,0g,3g,7mg,1mg,62mg,4.6,228,
3,6650997,25 mins,, 1 hr 55 mins, 2 hrs 20 mins,10 ,1 large pizza crust,10,167,2g,0g,,236mg,33g,4g,1g,6g,13mg,2mg,142mg,4.6,"1,094",
4,6585808,5 mins, 3 hrs,, 3 hrs 5 mins,10 ,1 loaf,10,180,4g,1g,,79mg,33g,3g,5g,5g,10mg,2mg,109mg,4.6,531,
5,6596597,15 mins, 1 hr,, 1 hr 15 mins,10 ,1 loaf,10,225,11g,2g,2mg,555mg,28g,4g,4g,6g,72mg,1mg,212mg,4.5,64,1mg
6,6663831,10 mins, 3 hrs 45 mins,, 3 hrs 55 mins,12 ,1 (1-1/2 pound) loaf,12,119,2g,0g,,295mg,22g,3g,5g,3g,29mg,2mg,291mg,4.4,228,0mg
7,6588860,10 mins,, 3 hrs, 3 hrs 10 mins,12 ,1 pound loaf,12,117,2g,0g,,206mg,22g,3g,6g,5g,23mg,1mg,98mg,4.8,12,
8,6599544,40 mins,35 mins, 2 hrs 35 mins, 3 hrs 50 mins,12 ,1 loaf,12,140,2g,0g,,150mg,28g,4g,3g,5g,13mg,3mg,150mg,4.4,27,
9,6650168,30 mins,30 mins, 1 hr, 2 hrs,24 ,2 loaves,24,172,4g,1g,,98mg,31g,2g,4g,4g,8mg,2mg,81mg,4.5,390,
10,6737528,15 mins,55 mins,, 1 hr 10 mins,12 ,1 9x5-inch loaf,12,218,11g,1g,31mg,215mg,29g,3g,14g,4g,17mg,1mg,179mg,4.6,714,2mg
