,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6648944,20 mins,10 mins,30 mins,6 ,6 sandwich cookies,6,873,46g,12g,65mg,527mg,110g,3g,75g,9g,0mg,115mg,3mg,200mg,4.3,157,
1,6651093,30 mins,10 mins,40 mins,18 ,3 dozen,18,425,22g,4g,21mg,295mg,56g,2g,38g,3g,1mg,56mg,2mg,117mg,4.7,505,
2,6739277,,,,24 ,24 cupcakes,24,214,12g,3g,5mg,163mg,25g,0g,18g,2g,,33mg,1mg,120mg,4.1,202,
3,6584524,30 mins,10 mins, 1 hr,25 ,25 whoopie pies,25,451,21g,8g,37mg,364mg,63g,1g,41g,4g,0mg,45mg,1mg,109mg,3.7,15,20 mins
4,6602043,30 mins,10 mins,40 mins,6 ,1 dozen,6,811,41g,23g,120mg,513mg,107g,4g,70g,11g,,58mg,3mg,276mg,3.7,86,
5,6569013,25 mins,10 mins, 1 hr 10 mins,10 ,10 whoopie pies,10,615,29g,11g,62mg,194mg,91g,3g,39g,5g,0mg,25mg,2mg,201mg,3.7,3,35 mins
6,6736510,30 mins,12 mins, 1 hr 12 mins,12 ,1 dozen whoopie pies,12,423,18g,8g,47mg,371mg,63g,1g,42g,4g,,53mg,2mg,262mg,4.0,38,30 mins
7,6590125,25 mins,10 mins,35 mins,12 ,1 dozen,12,367,20g,6g,23mg,267mg,45g,1g,26g,4g,,38mg,2mg,105mg,3.9,80,
8,6737498,30 mins,20 mins, 1 hr 20 mins,24 ,24 whoopie pies,24,531,32g,13g,50mg,215mg,58g,2g,38g,6g,0mg,74mg,2mg,167mg,4.0,23,30 mins
9,6587908,20 mins,12 mins,32 mins,18 ,1 1/2 dozen,18,325,16g,4g,22mg,144mg,44g,1g,28g,4g,0mg,44mg,1mg,97mg,2.6,7,
10,6577157,30 mins,10 mins, 1 hr 10 mins,25 ,25 whoopie pies,25,316,14g,9g,50mg,249mg,45g,2g,25g,4g,,41mg,2mg,141mg,4.2,13,30 mins
11,6596139,30 mins,15 mins,45 mins,16 ,16 servings,16,331,11g,7g,39mg,196mg,57g,2g,36g,3g,0mg,41mg,1mg,122mg,,,
12,6594728,20 mins,10 mins, 1 hr 45 mins,9 ,9 whoopie pies,9,334,16g,6g,41mg,346mg,45g,0g,26g,3g,,74mg,1mg,46mg,,, 1 hr 15 mins
13,6585496,40 mins,10 mins,50 mins,18 ,18 whoopie pies,18,396,18g,7g,41mg,236mg,57g,1g,37g,4g,,52mg,2mg,100mg,4.4,148,
