,id_recipe,Prep Time:,Cook Time:,Rise Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Bake Time:,Cool Time:
0,7643590,30 mins,20 mins, 3 hrs,20 mins, 4 hrs 10 mins,8 ,8,431,14g,8g,78mg,265mg,66g,2g,12g,10g,1mg,42mg,4mg,133mg,,,,,,
1,7564428,15 mins,15 mins,,,30 mins,8 ,8,336,18g,12g,49mg,427mg,40g,1g,18g,4g,13mg,141mg,2mg,103mg,4.5,2,8 biscuits,,,
2,7510692,45 mins,30 mins, 2 hrs 15 mins,, 3 hrs 30 mins,8 ,8,379,22g,10g,105mg,502mg,34g,1g,5g,13g,1mg,61mg,2mg,232mg,4.7,3,8 kolaches,,,
3,6578547,45 mins,15 mins,,, 4 hrs,9 ,9,1326,78g,47g,101mg,337mg,153g,6g,118g,16g,0mg,287mg,3mg,80mg,4.7,17,9 croissants, 3 hrs,,
4,7368465,5 mins,20 mins,,,25 mins,4 ,4,287,11g,4g,15mg,439mg,41g,2g,1g,6g,0mg,16mg,3mg,80mg,4.0,1,,,,
5,7111578,45 mins,10 mins, 2 hrs 5 mins,30 mins, 3 hrs 30 mins,20 ,,,,,,,,,,,,,,,,,20 doughnuts,,,
6,7109372,45 mins,, 2 hrs 20 mins,, 3 hrs 17 mins,12 ,12,515,28g,13g,76mg,193mg,58g,3g,,9g,,,,230mg,5.0,2,12 semla buns,,12 mins,
7,6737363,30 mins,20 mins,,, 2 hrs,16 ,16,399,14g,6g,23mg,278mg,64g,2g,28g,6g,0mg,81mg,2mg,122mg,4.4,270,16 cinnamon rolls, 1 hr 10 mins,,
8,6573492,20 mins,45 mins,,, 2 hrs 5 mins,24 ,24,221,5g,1g,,585mg,40g,5g,12g,6g,0mg,17mg,2mg,175mg,4.2,46,2 loaves, 1 hr,,
9,7094756,40 mins,25 mins,, 2 hrs 5 mins, 3 hrs 10 mins,4 ,4,715,31g,16g,88mg,814mg,78g,3g,,30g,,,,292mg,3.5,2,4 khachapuri,,,
10,6752540,45 mins,, 2 hrs 25 mins,, 3 hrs 50 mins,12 ,12,530,24g,15g,77mg,370mg,73g,2g,,7g,,,,219mg,1.0,1,,,25 mins,15 mins
