,id_recipe,Quantity,Unit of Measure,Ingredient
0,6589581,2,cups,egg whites
1,6589581,¼,teaspoon,salt
2,6589581,1 ¼,teaspoons,cream of tartar
3,6589581,1 ¼,cups,white sugar
4,6589581,1 ¼,cups,confectioners' sugar
5,6589581,1 ¼,cups,cake flour
6,6589581,¼,cup,unsweetened cocoa powder
7,6589581,1 ¼,teaspoons,vanilla extract
8,6581123,1,cup,cake flour
9,6581123,1 ½,cups,"white sugar, divided"
10,6581123,12,,egg whites
11,6581123,1 ½,teaspoons,vanilla extract
12,6581123,1 ½,teaspoons,cream of tartar
13,6581123,½,teaspoon,salt
14,6604035,4 ½,cups,cake flour
15,6604035,4,cups,white sugar
16,6604035,2,teaspoons,salt
17,6604035,2,cups,boiling water
18,6604035,16,,egg whites
19,6604035,2,tablespoons,baking powder
20,6604035,2,teaspoons,cream of tartar
21,6604035,2,teaspoons,vanilla extract
22,6604035,1,teaspoon,almond extract
23,6593854,1,(9 inch),angel food cake
24,6593854,2,(3 ounce) packages,raspberry-flavored gelatin mix (such as Jell-O®)
25,6593854,1 ¼,cups,boiling water
26,6593854,1,(15 ounce) package,"frozen raspberries in syrup, thawed and undrained"
27,6593854,1,pint,heavy whipping cream
28,6589268,1,cup,cake flour
29,6589268,1,cup,egg whites
30,6589268,1,teaspoon,cream of tartar
31,6589268,¼,teaspoon,salt
32,6589268,1 ¼,cups,white sugar
33,6589268,¾,teaspoon,vanilla extract
34,6589268,¼,teaspoon,almond extract
35,6589268,⅓,cup,"maraschino cherries, drained and sliced"
36,6569681,1 ⅓,cups,sifted cake flour
37,6569681,1 ⅛,cups,white sugar
38,6569681,1 ½,cups,egg whites
39,6569681,1 ¼,teaspoons,cream of tartar
40,6569681,¾,teaspoon,salt
41,6569681,1,teaspoon,vanilla extract
42,6569681,½,teaspoon,lemon extract
43,6565455,1,(16 ounce) package,angel food cake mix
44,6565455,1,(20 ounce) can,"crushed pineapple, in juice"
45,6585977,18,,egg whites
46,6585977,2,teaspoons,cream of tartar
47,6585977,1,pinch,salt
48,6585977,1 ½,cups,white sugar
49,6585977,1,cup,cake flour
50,6585977,½,cup,confectioners' sugar
51,6585977,1,teaspoon,vanilla extract
52,6564704,3,tablespoons,angel food cake mix
53,6564704,2,teaspoons,water
54,6564704,1,teaspoon,vanilla extract
55,6583374,1,cup,white rice flour
56,6583374,½,cup,powdered sugar
57,6583374,¼,teaspoon,xanthan gum
58,6583374,18,large,egg whites
59,6583374,2,teaspoons,cream of tartar
60,6583374,1,pinch,salt
61,6583374,1 ½,cups,white sugar
62,6583374,1,teaspoon,pure vanilla extract
63,6592331,1 ½,cups,egg whites
64,6592331,½,teaspoon,salt
65,6592331,1 ¾,teaspoons,cream of tartar
66,6592331,½,cup,honey
67,6592331,1,cup,sifted cake flour
68,6592331,1,cup,white sugar
69,6592331,1,teaspoon,vanilla extract
70,6589191,¾,cup,cake flour
71,6589191,¼,cup,unsweetened cocoa powder
72,6589191,1 ½,cups,white sugar
73,6589191,3,(1 ounce) squares,"semisweet chocolate, grated"
74,6589191,12,,egg whites
75,6589191,1,teaspoon,cream of tartar
76,6589191,¼,teaspoon,salt
77,6589191,¼,teaspoon,vanilla extract
78,6589191,1 ½,teaspoons,lemon juice
79,6589191,,,confectioners' sugar for dusting
80,6571241,1,cup,sifted cake flour
81,6571241,¾,cup,confectioners' sugar
82,6571241,1 ½,cups,egg whites
83,6571241,¼,teaspoon,salt
84,6571241,1 ½,teaspoons,cream of tartar
85,6571241,1,teaspoon,vanilla extract
86,6571241,¼,teaspoon,almond extract
87,6571241,1,cup,white sugar
88,6571241,2,cups,confectioners' sugar
89,6571241,¼,cup,"butter, softened"
90,6571241,3,tablespoons,cream
91,6571241,1,teaspoon,vanilla extract
92,6589050,1 ¾,cups,white sugar
93,6589050,1,cup,cake flour
94,6589050,¼,teaspoon,salt
95,6589050,12,,"egg whites, at room temperature"
96,6589050,⅓,cup,water
97,6589050,1 ½,teaspoons,cream of tartar
98,6589050,1,teaspoon,lemon extract
99,6568350,6,,egg whites
100,6568350,½,teaspoon,cream of tartar
101,6568350,¼,teaspoon,salt
102,6568350,¾,cup,white sugar
103,6568350,½,cup,all-purpose flour
104,6568350,½,teaspoon,vanilla extract
105,6568350,6,,egg yolks
106,6568350,¾,cup,white sugar
107,6568350,¼,teaspoon,salt
108,6568350,¾,cup,all-purpose flour
109,6568350,¼,cup,boiling water
110,6568350,¾,teaspoon,baking powder
111,6568350,1,teaspoon,vanilla extract
112,6648407,1 ½,cups,egg whites
113,6648407,1,teaspoon,cream of tartar
114,6648407,½,teaspoon,vanilla extract
115,6648407,½,teaspoon,almond extract
116,6648407,1 ¼,cups,cake flour
117,6648407,1 ¾,cups,white sugar
118,6648407,¼,teaspoon,salt
119,6562933,,,nonstick cooking spray
120,6562933,¾,cup,cake flour (not self-rising)
121,6562933,1,cup,"superfine sugar, divided"
122,6562933,¼,teaspoon,salt
123,6562933,9,large,egg whites
124,6562933,1 ½,teaspoons,vanilla extract
125,6562933,¾,teaspoon,cream of tartar
126,6562933,2,tablespoons,superfine sugar
127,6562933,¼,cup,"confectioners' sugar, or as needed"
