,id_recipe,Quantity,Unit of Measure,Ingredient
0,7494546,6,pounds,beef roast
1,7494546,3,pounds,pork loin roast
2,7494546,2,tablespoons,"adobo seasoning, divided, or to taste"
3,7494546,2,tablespoons,"ground cumin, divided, or to taste"
4,7494546,2,large,onions
5,7494546,1,head,garlic
6,7494546,2,,red bell peppers
7,7494546,1,,orange bell pepper
8,7494546,1,,yellow bell pepper
9,7494546,10,ounces,green olives
10,7494546,4,cup,vegetables (giardiniera)
11,7494546,1/4,cup,capers
12,7494546,1/2,cup,chopped cilantro
13,7494546,1/2,cup,corn oil
14,7494546,1,cup,red wine
15,7494546,1,cup,chicken broth
16,7494546,,,salt to taste
17,6664604,2,pounds,"beef stew meat, cut into 1-inch pieces"
18,6664604,¼,cup,all-purpose flour
19,6664604,½,teaspoon,salt
20,6664604,½,teaspoon,ground black pepper
21,6664604,1 ½,cups,beef broth
22,6664604,4,medium,"carrots, sliced"
23,6664604,3,medium,"potatoes, diced"
24,6664604,1,medium,"onion, chopped"
25,6664604,1,stalk,"celery, chopped"
26,6664604,1,teaspoon,Worcestershire sauce
27,6664604,1,teaspoon,ground paprika
28,6664604,1,clove,"garlic, minced"
29,6664604,1,large,bay leaf
30,6568739,3,,"russet potatoes, diced"
31,6568739,1,pound,baby carrots
32,6568739,1,large,"onion, chopped"
33,6568739,4,cloves,"garlic, minced"
34,6568739,1,tablespoon,"olive oil, or to taste"
35,6568739,2,pounds,"beef chuck roast, cubed"
36,6568739,1,(16 ounce) bottle,"stout beer, divided"
37,6568739,1,(6 ounce) can,tomato paste
38,6568739,1,cup,beef broth
39,6568739,1,tablespoon,garlic powder
40,6568739,1,tablespoon,onion powder
41,6568739,1,tablespoon,smoked paprika
42,6568739,,,salt and ground black pepper to taste
43,6650895,4,slices,"bacon, cut into small pieces"
44,6650895,2 ½,pounds,"boneless beef chuck, cut into 2-inch pieces"
45,6650895,1 ½,teaspoons,"salt, divided, or more to taste"
46,6650895,,,freshly ground black pepper to taste
47,6650895,2,,"onions, coarsely chopped"
48,6650895,4,cloves,"garlic, minced"
49,6650895,1,(14.9 ounce) can,dark beer (such as Guinness®)
50,6650895,¼,cup,tomato paste
51,6650895,3,,"carrots, cut into 1-inch pieces"
52,6650895,2,stalks,"celery, cut into 1-inch pieces"
53,6650895,4,sprigs,fresh thyme
54,6650895,1,teaspoon,white sugar
55,6650895,½,teaspoon,"freshly ground black pepper, or to taste"
56,6650895,2 ½,cups,"chicken stock, or as needed to cover"
57,6650895,4,cups,mashed potatoes (Optional)
58,6648264,3,tablespoons,vegetable oil
59,6648264,2,pounds,cubed beef stew meat
60,6648264,4,cubes,"beef bouillon, crumbled"
61,6648264,4,cups,water
62,6648264,1,teaspoon,dried rosemary
63,6648264,1,teaspoon,dried parsley
64,6648264,½,teaspoon,ground black pepper
65,6648264,3,large,"potatoes, peeled and cubed"
66,6648264,4,,"carrots, cut into 1 inch pieces"
67,6648264,4,stalks,"celery, cut into 1 inch pieces"
68,6648264,1,large,"onion, chopped"
69,6648264,2,teaspoons,cornstarch
70,6648264,2,teaspoons,cold water
71,6664066,3,tablespoons,olive oil
72,6664066,1,large,"onion, chopped"
73,6664066,5,cloves,"garlic, chopped"
74,6664066,3,sprigs,"fresh cilantro, chopped"
75,6664066,¼,teaspoon,ground white pepper
76,6664066,1,pinch,dried oregano
77,6664066,,,salt to taste
78,6664066,1 ½,pounds,"beef stew meat, cut into small pieces"
79,6664066,2,quarts,"water, or as needed"
80,6664066,½,(6.5 ounce) can,tomato sauce
81,6664066,2,cubes,beef bouillon
82,6664066,1,cup,"chopped fresh green beans, cut into 1 1/2-inch pieces"
83,6664066,2,,"carrots, peeled and sliced"
84,6664066,⅓,cup,chopped celery
85,6664066,1,,"large chayote squash - peeled, cored, and sliced lengthwise"
86,6664066,1,(15.5 ounce) can,"small white beans, rinsed and drained"
87,6664066,½,head,"cabbage, chopped"
88,6664066,1,,"green banana, peeled and sliced into 3/4-inch pieces"
89,6664066,1,,"yellow plantain, peeled and cut into 1-inch pieces"
90,6664066,5,,"large llautias (yautias), peeled and quartered"
91,6664066,6,,"potatoes, peeled and quartered"
92,6664066,½,cup,chopped peeled pumpkin
93,6664066,2,ears,"fresh corn, sliced into 6 pieces each"
94,6664066,⅓,cup,chopped green bell pepper
95,6578560,1,tablespoon,butter
96,6578560,1,pound,"beef chuck, cut into 1-inch cubes"
97,6578560,4,,"Yukon Gold potatoes, cubed"
98,6578560,1 ½,cups,"mushrooms, halved"
99,6578560,1,,"onion, cut into 6 wedges"
100,6578560,2,,"carrots, cut into 1/2-inch thick slices"
101,6578560,2,cloves,"garlic, minced"
102,6578560,3,cups,beef broth
103,6578560,1,tablespoon,Worcestershire sauce
104,6578560,1,tablespoon,tomato paste
105,6578560,1,teaspoon,salt
106,6578560,½,teaspoon,ground black pepper
107,6578560,½,teaspoon,dried rosemary
108,6579133,¼,cup,"canola oil, divided"
109,6579133,1,large,"yellow onion, finely chopped"
110,6579133,1,teaspoon,ground turmeric
111,6579133,1 ½,pounds,"boneless chuck roast, cut into 1 1/2-inch cubes"
112,6579133,1 ½,cups,finely chopped spinach
113,6579133,1,cup,finely chopped green onions (green part only)
114,6579133,½,cup,finely chopped Italian flat-leaf parsley
115,6579133,¼,cup,finely chopped cilantro
116,6579133,¼,cup,finely chopped chives
117,6579133,¼,cup,finely chopped fenugreek leaves
118,6579133,1 ½,cups,"water, or more as needed"
119,6579133,,,salt and ground black pepper to taste
120,6579133,1,,"lemon, juiced"
121,6579133,4,,"dried Persian limes (limoo amani), or more to taste"
122,6579133,1,(15 ounce) can,"red kidney beans, drained and rinsed"
123,6585605,1,tablespoon,vegetable oil
124,6585605,3,pounds,"beef oxtail, cut into pieces"
125,6585605,1 ½,pounds,"russet potatoes, peeled and cut into chunks"
126,6585605,4,,"carrots, peeled and cut into large chunks"
127,6585605,3,stalks,"celery, cut into large chunks"
128,6585605,1,,"onion, chopped"
129,6585605,1,(15 ounce) can,tomato sauce
