,id_recipe,Quantity,Unit of Measure,Ingredient
0,6649232,2,pounds,bulk breakfast sausage
1,6649232,1,medium,"onion, finely chopped"
2,6649232,1,medium,"bell pepper, finely chopped"
3,6649232,,,cooking spray
4,6649232,1,(16 ounce) package,frozen shredded hash browns
5,6649232,2 ½,cups,shredded Cheddar cheese
6,6649232,12,large,eggs
7,6649232,1,cup,milk
8,6649232,1,teaspoon,kosher salt
9,6649232,½,teaspoon,ground black pepper
10,6649232,12,(10 inch),"flour tortillas, warmed"
11,6650593,1,(12 ounce) package,bacon
12,6650593,10,large,eggs
13,6650593,3,tablespoons,milk
14,6650593,¼,teaspoon,salt
15,6650593,3,tablespoons,vegetable oil
16,6650593,4,cups,frozen hash brown potatoes with peppers and onion (such as Ore-Ida® Potatoes O'Brien®)
17,6650593,½,teaspoon,garlic salt
18,6650593,¼,teaspoon,ground black pepper
19,6650593,10,sheets,aluminum foil
20,6650593,10,large,flour tortillas
21,6650593,1 ½,cups,shredded Cheddar cheese
22,6650593,1,cup,"salsa, or to taste"
23,6649548,6,ounces,chorizo sausage
24,6649548,,,cooking spray
25,6649548,6,large,eggs
26,6649548,¼,cup,milk
27,6649548,½,teaspoon,salt
28,6649548,½,teaspoon,pepper
29,6649548,8,(6 inch),corn tortillas
30,6649548,1,cup,shredded Monterey Jack cheese
31,6649548,½,cup,salsa
32,6649548,1,dash,"hot pepper sauce (e.g. Tabasco™), or to taste"
33,6604670,,,cooking spray
34,6604670,¾,pound,"chorizo sausage, casings removed and crumbled"
35,6604670,½,cup,chopped red onion
36,6604670,1,,"green chile pepper, seeded and diced"
37,6604670,4,large,eggs
38,6604670,4,,flour tortillas
39,6604670,1,cup,shredded Cheddar cheese
40,6738878,2,tablespoons,"vegetable oil, or more if needed"
41,6738878,4,(6 inch),corn tortillas
42,6738878,1,cup,refried beans with green chiles
43,6738878,1,teaspoon,butter
44,6738878,4,,eggs
45,6738878,1,cup,shredded Cheddar cheese
46,6738878,8,slices,"bacon, cooked and crumbled"
47,6738878,½,cup,salsa (Optional)
48,6663324,12,large,eggs
49,6663324,⅔,cup,milk
50,6663324,½,teaspoon,salt
51,6663324,2,tablespoons,butter
