,id_recipe,Quantity,Unit of Measure,Ingredient
0,6664978,2,tablespoons,butter
1,6664978,2,tablespoons,extra-virgin olive oil
2,6664978,1,large,"onion, chopped"
3,6664978,5,large,"Yukon Gold potatoes, peeled and cut into 1/4-inch cubes"
4,6664978,1,large,"carrot, coarsely shredded"
5,6664978,2,pounds,"cooked corned beef, cubed"
6,6664978,2,tablespoons,chopped fresh parsley
7,6664978,½,teaspoon,"ground black pepper, or to taste"
8,6664978,¼,teaspoon,dried thyme leaves
9,6664978,1,pinch,salt to taste
10,6650561,3,medium,"russet potatoes, cubed"
11,6650561,3,tablespoons,butter or margarine
12,6650561,,,salt and ground black pepper to taste
13,6650844,2,,"russet potatoes, peeled"
14,6650844,3,tablespoons,clarified butter
15,6650844,1,pinch,"cayenne pepper, or to taste"
16,6650844,1,pinch,"paprika, or to taste"
17,6650844,,,salt and ground black pepper to taste
18,6649094,6,small,"potatoes, peeled and cut into 1/2-inch cubes"
19,6649094,7,tablespoons,"butter, divided"
20,6649094,⅔,pound,"leftover cooked ham, cut into 1/2-inch cubes"
21,6649094,1,small,"onion, finely chopped"
22,6649094,3,tablespoons,all-purpose flour
23,6649094,1 ½,cups,milk
24,6649094,,,salt and ground black pepper to taste
25,6649094,1,(8 ounce) package,shredded Cheddar cheese
26,6649094,¼,cup,bread crumbs
27,6664796,1,(2 pound) package,"frozen hash brown potatoes, thawed"
28,6664796,1,pound,pork sausage
29,6664796,1,small,"onion, diced"
30,6664796,5,,eggs
31,6664796,½,cup,milk
32,6664796,½,teaspoon,onion powder
33,6664796,⅛,teaspoon,garlic powder
34,6664796,,,salt and ground black pepper to taste
35,6664796,12,ounces,shredded Cheddar cheese
36,7496452,2 1/4,pounds,Yukon Gold potatoes
37,7496452,6,cups,water
38,7496452,4 1/2,teaspoons,kosher salt
39,7496452,1/2,teaspoon,baking soda
40,7496452,3,tablespoons,olive oil
41,7496452,1/8,teaspoon,garlic powder
42,7496452,1/8,teaspoon,onion powder
43,7496452,1/4,teaspoon,smoked paprika
44,7496452,1/4,teaspoon,black pepper
45,7496452,,a pinch of,cayenne
46,6650026,1,pound,"sliced bacon, diced"
47,6650026,1,medium,"sweet onion, chopped"
48,6650026,9,large,"eggs, lightly beaten"
49,6650026,4,cups,"frozen shredded hash brown potatoes, thawed"
50,6650026,2,cups,shredded Cheddar cheese
51,6650026,1 ½,cups,small curd cottage cheese
52,6650026,1 ¼,cups,shredded Swiss cheese
53,6738656,2,large,eggs
54,6738656,2,tablespoons,all-purpose flour
55,6738656,¼,teaspoon,baking powder
56,6738656,½,teaspoon,salt
57,6738656,¼,teaspoon,pepper
58,6738656,6,medium,"potatoes, peeled and shredded"
59,6738656,½,cup,finely chopped onion
60,6738656,¼,cup,vegetable oil
61,6648941,,,cooking spray
62,6648941,5,small,"tri-color baby potatoes, thinly sliced"
63,6648941,¼,stick,butter
64,6648941,10,small,eggs
65,6648941,1,small,"yellow bell pepper, finely chopped"
66,6648941,1,small,"tomato, finely chopped"
67,6648941,½,cup,fresh spinach
68,6648941,¼,cup,chopped ham
69,6648941,¼,cup,chopped white onion
70,6648941,1,slice,"mozzarella cheese, cut into 12 cubes"
71,6738466,1,pound,sage flavored breakfast sausage
72,6738466,3,cups,"shredded potatoes, drained and pressed"
73,6738466,¼,cup,"butter, melted"
74,6738466,1,(16 ounce) container,small curd cottage cheese
75,6738466,12,ounces,"mild Cheddar cheese, shredded"
76,6738466,½,cup,"onion, shredded"
77,6738466,6,jumbo,eggs
78,6649685,,,cooking spray
79,6649685,1,(32 ounce) package,frozen hash brown potatoes
80,6649685,2,(10.5 ounce) cans,condensed cream of potato soup
81,6649685,1,(16 ounce) container,sour cream
82,6649685,2,cups,shredded sharp Cheddar cheese
83,6649685,8,ounces,"cooked, diced ham"
84,6649685,1 ½,cups,grated Parmesan cheese
85,6651024,1,pound,cooked potatoes
86,6651024,4,ounces,self-rising flour
87,6651024,2,ounces,butter
88,6651024,½,pinch,salt
89,6739681,2,tablespoons,butter
90,6739681,1,,"onion, chopped"
91,6739681,1,tablespoon,minced garlic
92,6739681,2,cups,mashed potatoes
