,id_recipe,Quantity,Unit of Measure,Ingredient
0,6581988,3,pounds,"chicken wings, separated at joints, tips discarded"
1,6581988,1,cup,Louisiana-style hot sauce
2,6581988,1,(12 fluid ounce) can or bottle,cola-flavored carbonated beverage
3,6581988,¼,teaspoon,"cayenne pepper, or to taste"
4,6581988,¼,teaspoon,"ground black pepper, or to taste"
5,6581988,1,tablespoon,soy sauce
6,6737760,12,,small chicken wings
7,6737760,¼,teaspoon,"seasoned salt, or to taste"
8,6737760,1,cup,all-purpose flour
9,6737760,1,teaspoon,coarse salt
10,6737760,½,teaspoon,ground black pepper
11,6737760,¼,teaspoon,cayenne pepper
12,6737760,¼,teaspoon,ground paprika
13,6737760,2,quarts,vegetable oil for frying
14,6737760,1,(12 fluid ounce) bottle,"Buffalo wing sauce (such as Frank's®), or to taste"
15,6648643,½,cup,all-purpose flour
16,6648643,¼,teaspoon,ground paprika
17,6648643,¼,teaspoon,cayenne pepper
18,6648643,¼,teaspoon,salt
19,6648643,10,,chicken wings
20,6648643,2,cups,"vegetable oil for frying, or as needed"
21,6648643,¼,cup,butter
22,6648643,¼,cup,hot sauce
23,6648643,1,pinch,ground black pepper
24,6648643,1,pinch,garlic powder
25,6650523,,,cooking spray
26,6650523,¾,cup,all-purpose flour
27,6650523,½,teaspoon,cayenne pepper
28,6650523,½,teaspoon,garlic powder
29,6650523,½,teaspoon,salt
30,6650523,20,,chicken wings
31,6650523,½,cup,melted butter
32,6650523,½,cup,hot pepper sauce (such as Frank's RedHot®)
33,6596207,1,tablespoon,dark brown sugar
34,6596207,1,tablespoon,sweet paprika
35,6596207,½,tablespoon,kosher salt
36,6596207,1,teaspoon,garlic powder
37,6596207,1,teaspoon,onion powder
38,6596207,1,teaspoon,poultry seasoning
39,6596207,½,teaspoon,mustard powder
40,6596207,½,teaspoon,freshly ground black pepper
41,6596207,8,,"chicken wings, or more as needed"
42,6737059,1,quart,vegetable oil for deep frying
43,6737059,24,,"chicken wings, tips removed and wings cut in half at joint"
44,6737059,4,tablespoons,butter
45,6737059,1,tablespoon,distilled white vinegar
46,6737059,5,tablespoons,hot pepper sauce
47,6737059,,,salt and pepper to taste
48,6588683,12,,skinless chicken wings
49,6588683,¾,cup,all-purpose flour
50,6588683,1,tablespoon,salt
51,6588683,1,tablespoon,ground black pepper
52,6588683,1,tablespoon,garlic powder
53,6588683,1,quart,vegetable oil for frying
54,6588683,¾,cup,hot pepper sauce (such as Frank's RedHot®)
55,6588683,1,tablespoon,butter
56,6577410,4,pounds,chicken wings
57,6577410,,,salt and pepper to taste
58,6577410,4,cups,vegetable oil
59,6577410,¼,cup,butter
60,6577410,2,teaspoons,hot pepper sauce
61,6577410,1,teaspoon,distilled white vinegar
62,6598759,2,pounds,chicken wings
63,6598759,3,tablespoons,apple cider vinegar
64,6598759,1,teaspoon,garlic salt
65,6598759,1,teaspoon,paprika
66,6598759,1,teaspoon,crushed red pepper flakes
67,6598759,½,teaspoon,onion salt
68,6598759,½,teaspoon,ground black pepper
69,6598759,½,cup,all-purpose flour
70,6598759,1,cup,shortening
71,6601482,2,tablespoons,ground paprika
72,6601482,1,tablespoon,ground black pepper
73,6601482,1,tablespoon,chili powder
74,6601482,1,tablespoon,seasoned salt
75,6601482,2,teaspoons,cayenne pepper
76,6601482,1 ½,teaspoons,onion powder
77,6601482,1 ½,teaspoons,garlic powder
78,6601482,1,teaspoon,ground white pepper
79,6601482,1,teaspoon,mustard powder
80,6739716,20,,"chicken wings, split and tips discarded"
81,6739716,½,cup,"butter, melted"
82,6739716,½,cup,red pepper sauce
83,6739716,¾,cup,tomato sauce
84,6739716,1 ½,tablespoons,chili powder
85,6739716,1,teaspoon,cayenne pepper
86,6574849,½,cup,all-purpose flour
87,6574849,¼,teaspoon,paprika
88,6574849,¼,teaspoon,cayenne pepper
89,6574849,¼,teaspoon,salt
90,6574849,10,,chicken wings
91,6574849,2,tablespoons,butter
92,6574849,¼,cup,hot sauce
93,6574849,1,clove,"garlic, minced"
94,6574849,1,dash,ground black pepper
95,6737129,1 ½,pounds,"bone-in, skin-on chicken thighs"
96,6737129,1,teaspoon,salt
97,6737129,¼,cup,unsalted butter
98,6737129,¼,cup,Louisiana-style hot sauce
99,6737129,3,tablespoons,water
100,6737129,⅓,cup,finely chopped celery
101,6737129,1,pinch,"cayenne pepper, or to taste (Optional)"
102,6663430,1,pound,"frozen, ready-to-cook chicken wings"
103,6663430,½,(8 ounce) bottle,Buffalo wing sauce
104,6597874,15,,chicken wings
105,6597874,½,cup,all-purpose flour
106,6597874,,,oil for deep frying
107,6597874,¼,cup,butter
108,6597874,¼,cup,hot pepper sauce (such as Frank's RedHot®)
109,6597874,1,tablespoon,chile-garlic sauce (such as Sriracha®)
110,6597874,½,teaspoon,Thai red chile paste
111,6597874,2,tablespoons,Asian sweet chile sauce (such as Mae Ploy® Sweet Chilli Sauce)
112,6597874,2,tablespoons,honey
113,6570593,1,pound,chicken wings
114,6570593,2,teaspoons,sea salt
115,6570593,1,teaspoon,garlic powder
116,6570593,1,teaspoon,mustard powder
117,6570593,1,teaspoon,ground coriander
118,6570593,1,teaspoon,smoked paprika
119,6570593,½,teaspoon,cayenne pepper
120,6570593,¼,teaspoon,ground black pepper
121,6598608,½,pound,"chicken wings, split and tips discarded"
122,6598608,½,teaspoon,salt
123,6598608,½,teaspoon,ground black pepper
124,6598608,½,cup,butter
125,6598608,¾,cup,red hot sauce
126,6598608,¼,cup,brown sugar (Optional)
127,6598608,2,teaspoons,onion powder
128,6598608,2,teaspoons,garlic powder
129,6598608,1,teaspoon,cayenne pepper
130,7108113,6,,"boneless, skinless chicken thighs"
131,7108113,2,tablespoons,melted butter
132,7108113,,,salt to taste
