,id_recipe,Quantity,Unit of Measure,Ingredient
0,6649611,1,(.25 ounce) package,active dry yeast
1,6649611,1,cup,warm water
2,6649611,1,tablespoon,olive oil
3,6649611,1,teaspoon,white sugar
4,6649611,1,teaspoon,salt
5,6649611,2 ½,cups,"all-purpose flour, plus more for dusting"
6,6649611,1,teaspoon,olive oil
7,6649611,1,large,"egg, beaten"
8,6737346,1,(10 ounce) package,pizza crust dough
9,6737346,½,pound,lean ground beef
10,6737346,1,(14 ounce) jar,pizza sauce
11,6737346,1,cup,"cooked ham, diced"
12,6737346,1,medium,"green bell pepper, chopped"
13,6737346,1,medium,"red onion, finely chopped"
14,6737346,1,(4.5 ounce) can,"mushrooms, drained"
15,6737346,1,(8 ounce) package,sliced pepperoni sausage
16,6737346,1,cup,shredded mozzarella cheese
17,6737346,¼,cup,"butter, melted"
18,6739102,1,pound,"skinless, boneless chicken breast halves"
19,6739102,2,tablespoons,butter
20,6739102,¼,cup,Buffalo wing sauce
21,6739102,1,,refrigerated pizza dough
22,6739102,2,tablespoons,"vegetable oil, divided"
23,6739102,2,cups,shredded mozzarella cheese
24,6604997,2,(16 ounce) packages,refrigerated pizza crust dough
25,6604997,1,(28 ounce) jar,spaghetti sauce
26,6604997,¼,pound,"cooked ham, sliced"
27,6604997,¼,pound,"Capacola sausage, sliced"
28,6604997,¼,pound,"salami, sliced"
29,6604997,¼,pound,"pepperoni sausage, sliced"
30,6604997,,,garlic powder to taste
31,6604997,¼,pound,"mozzarella cheese, shredded"
32,6604997,1,,"onion, sliced"
33,6604997,6,,"mushrooms, sliced"
34,6604997,1,,"green bell pepper, sliced"
35,6737531,24,ounces,prepared pizza dough
36,6737531,8,slices,prosciutto
37,6737531,2,cups,"ricotta cheese, drained"
38,6737531,½,teaspoon,salt
39,6737531,½,teaspoon,freshly ground black pepper to taste
40,6737531,½,teaspoon,cayenne pepper
41,6737531,1 ½,cups,finely diced smoked ham
42,6737531,4,ounces,"fresh mozzarella cheese, thinly sliced, drained on paper towels"
43,6737531,1,teaspoon,extra-virgin olive oil
44,6737531,1,tablespoon,cornmeal
45,6737531,1,,egg
46,6737531,1,teaspoon,water
47,6737531,1,tablespoon,freshly grated Parmigiano-Reggiano cheese
48,6737531,2,cups,"marinara sauce for dipping, heated (Optional)"
49,6572311,1,(15 ounce) container,ricotta cheese
50,6572311,2,,eggs
51,6572311,2,tablespoons,dried Italian seasoning
52,6572311,3,cups,shredded mozzarella cheese
53,6572311,1,cup,freshly grated Parmesan cheese
54,6572311,1,(10 ounce) package,"frozen chopped spinach, thawed and squeezed dry"
55,6572311,,,salt and pepper to taste
56,6572311,1,(32 ounce) package,"frozen white bread dough, thawed"
57,6569956,1,(13.8 ounce) package,refrigerated pizza dough (such as Pillsbury®)
58,6569956,9,teaspoons,pizza sauce
59,6569956,1,(1.75 ounce) package,pepperoni (such as Hormel®)
60,6569956,4 ½,tablespoons,shredded mozzarella cheese
61,6569956,,,avocado oil cooking spray
62,6579033,1,(1 pound) loaf,"frozen bread dough, thawed"
63,6579033,1,tablespoon,"olive oil, or to taste"
64,6579033,1,teaspoon,dried oregano
65,6579033,1,teaspoon,dried basil
66,6579033,16,slices,mortadella
67,6579033,12,slices,provolone cheese
68,6579033,12,thin slices,capicola ham
69,6579033,12,slices,Genoa salami
70,6579033,1 ½,cups,sliced Roma tomatoes (Optional)
71,6579033,1 ½,cups,thinly sliced fresh mushrooms (Optional)
72,6579033,1,,"egg, beaten"
73,6579033,2,tablespoons,sesame seeds (Optional)
74,6738448,1,teaspoon,white sugar
75,6738448,1,cup,warm water (110 degrees F/45 degrees C)
76,6738448,1,(.25 ounce) package,active dry yeast
77,6738448,2,tablespoons,olive oil
78,6738448,1 ½,teaspoons,kosher salt
79,6738448,3,cups,"all-purpose flour, divided"
80,6739573,1 ¼,cups,water
81,6739573,1,teaspoon,salt
82,6739573,3,cups,bread flour
83,6739573,1,teaspoon,dry milk powder
84,6739573,1 ½,tablespoons,white sugar
85,6739573,2,teaspoons,active dry yeast
86,6739573,¾,cup,pizza sauce
87,6739573,4,ounces,"pepperoni sausage, chopped"
88,6739573,1 ¼,cups,shredded mozzarella cheese
89,6739573,2,tablespoons,"butter, melted"
90,6588326,4,slices,bacon
91,6588326,3,cups,"shredded, cooked chicken breast meat"
92,6588326,½,small,"onion, chopped"
93,6588326,⅔,cup,barbeque sauce
94,6588326,1,(10 ounce) can,refrigerated pizza crust dough
95,6588326,1,cup,shredded mozzarella cheese
96,6588326,2,tablespoons,chopped fresh cilantro
97,6589317,1 ½,cups,"all-purpose flour, or more if needed"
98,6589317,1,envelope,Fleischmann's® Pizza Crust Yeast
99,6589317,1,teaspoon,sugar
100,6589317,¾,teaspoon,salt
101,6589317,⅔,cup,very warm water (120 degrees F to 130 degrees F)
102,6589317,1,tablespoon,vegetable oil
103,6585242,½,pound,ground beef
104,6585242,1,(8 ounce) package,spaghetti
105,6585242,1,(28 ounce) jar,spaghetti sauce
106,6585242,½,cup,grated Parmesan cheese
107,6585242,1,(13.8 ounce) can,refrigerated pizza dough (such as Pillsbury®)
108,6585242,2,cups,shredded mozzarella cheese
109,6585242,3,tablespoons,olive oil
110,6585242,1,clove,"garlic, minced"
111,6583546,1 ¼,cups,water
112,6583546,2,teaspoons,active dry yeast
113,6583546,1 ½,tablespoons,white sugar
