,id_recipe,Quantity,Unit of Measure,Ingredient
0,7107699,5,small,"navel oranges (about 2 1/4 lb. total), washed and scrubbed"
1,7107699,1,medium,"(5 oz.) lemon, washed and scrubbed"
2,7107699,6,cups,water
3,7107699,3 ½,cups,granulated sugar
4,6648286,2,pounds,"fresh strawberries, hulled"
5,6648286,4,cups,white sugar
6,6648286,¼,cup,lemon juice
7,6649594,10,pounds,"fresh small beets, stems removed"
8,6649594,2,cups,white sugar
9,6649594,1,tablespoon,pickling salt
10,6649594,1,quart,white vinegar
11,6649594,¼,cup,"whole cloves, or as needed"
12,6650098,2 ½,cups,distilled white vinegar
13,6650098,2,cups,water
14,6650098,¼,cup,salt
15,6650098,1,clove,"garlic, peeled"
16,6650098,2 ½,pounds,fresh green beans
17,6650098,6,large,sprigs dill
18,6650098,¾,teaspoon,red pepper flakes (Optional)
19,6588212,8,ounces,"fresh young ginger root, peeled"
20,6588212,1 ½,teaspoons,sea salt
21,6588212,1,cup,rice vinegar
22,6588212,⅓,cup,white sugar
23,6649302,2 ½,cups,finely chopped red bell peppers
24,6649302,1 ¼,cups,finely chopped green bell peppers
25,6649302,¼,cup,finely chopped jalapeno peppers
26,6649302,1,cup,apple cider vinegar
27,6649302,1,(1.75 ounce) package,powdered pectin
28,6649302,5,cups,white sugar
29,6648783,3 ½,cups,water
30,6648783,1 ¼,cups,white vinegar
31,6648783,1,tablespoon,white sugar
32,6648783,1,tablespoon,sea salt
33,6648783,4,cups,cucumber spears
34,6648783,2,cloves,"garlic, whole"
35,6648783,2,heads,fresh dill
36,6738659,3 ½,pounds,Concord grapes
37,6738659,½,cup,water
38,6738659,7,cups,white sugar
39,6738659,1,(3 ounce) pouch,liquid pectin
40,6650285,4,cups,fresh blueberries
41,6650285,1,cup,white sugar
42,6650285,1,tablespoon,fresh lemon juice
43,6650285,1,pinch,ground cinnamon (Optional)
44,6738384,¾,cup,water
45,6738384,¾,cup,distilled white vinegar
46,6738384,3,tablespoons,white sugar
47,6738384,1,tablespoon,kosher salt
48,6738384,1,clove,"garlic, crushed"
49,6738384,½,teaspoon,oregano
50,6738384,10,large,"jalapeño peppers, sliced into rings"
51,6738077,2,cups,crushed fresh strawberries
52,6738077,4,cups,sugar
53,6738077,1,(1.75 ounce) package,dry pectin
54,6738077,¾,cup,water
55,6736465,2,heads,napa cabbage
56,6736465,1 ¼,cups,coarse sea salt
57,6736465,1,tablespoon,fish sauce
58,6736465,5,,"green onions, chopped"
59,6736465,½,small,"white onion, minced"
60,6736465,2,cloves,"garlic, pressed"
61,6736465,2,tablespoons,white sugar
62,6736465,1,teaspoon,ground ginger
63,6736465,5,tablespoons,gochugaru (Korean chili powder)
64,6582530,1,large,green bell pepper
65,6582530,12,,jalapeño peppers
66,6582530,1 ½,cups,apple cider vinegar
67,6582530,1,pinch,salt
68,6582530,4 ¼,cups,granulated sugar
69,6582530,4,ounces,liquid pectin
70,6582530,4,,"jalapeño peppers, seeded and finely chopped"
71,6648311,25,,"cucumbers, thinly sliced"
72,6648311,6,,"onions, thinly sliced"
73,6648311,2,,"green bell peppers, diced"
74,6648311,3,cloves,"garlic, chopped"
75,6648311,½,cup,salt
76,6648311,5,cups,white sugar
77,6648311,3,cups,cider vinegar
78,6648311,2,tablespoons,mustard seed
79,6648311,1,tablespoon,ground turmeric
80,6648311,1 ½,teaspoons,celery seed
81,6648311,½,teaspoon,whole cloves
82,6572536,2 ½,pounds,"fresh rhubarb, chopped"
83,6572536,2,cups,white sugar
84,6572536,½,cup,water
85,6572536,⅓,cup,orange juice
86,6572536,2,teaspoons,grated orange zest
87,6650635,4,cups,sugar
88,6650635,1,(12 fluid ounce) can,"frozen juice concentrate - any flavor except citrus, thawed"
89,6650635,1,(.25 ounce) package,active dry yeast
90,6650635,3 ½,quarts,"cold water, or as needed"
91,6581206,1 ½,pounds,fresh okra
92,6581206,3,,dried red chile peppers
93,6581206,3,teaspoons,dried dill
94,6581206,2,cups,water
95,6581206,1,cup,vinegar
96,6581206,2,tablespoons,salt
97,6576405,10,pounds,"apples, quartered"
98,6576405,4,cups,unsweetened apple juice
99,6576405,1,cup,white sugar
100,6576405,1,tablespoon,apple cider vinegar
101,6576405,1 ½,teaspoons,ground cinnamon
102,6576405,½,teaspoon,ground cloves
103,6576405,½,teaspoon,ground allspice
104,6576405,6,,half-pint canning jars with lids and rings
105,6648623,4,cups,mashed raspberries
106,6648623,4,cups,white sugar
107,6648623,1,tablespoon,freshly squeezed lemon juice
108,6664971,2,,"green bell peppers, diced"
109,6664971,2,,"red bell peppers, diced"
110,6664971,8,,"fresh jalapeno peppers, sliced"
111,6664971,1,,"celery stalk, diced"
112,6664971,1,medium,"carrot, diced"
113,6664971,1,small,"onion, chopped"
114,6664971,½,cup,fresh cauliflower florets
115,6664971,½,cup,salt
116,6664971,1,(5 ounce) jar,"pimento-stuffed green olives, chopped"
117,6664971,2,cloves,"garlic, finely chopped"
118,6664971,1,tablespoon,dried oregano
119,6664971,1,teaspoon,red pepper flakes
120,6664971,½,teaspoon,black pepper
121,6664971,1,cup,white vinegar
122,6664971,1,cup,olive oil
123,6651125,5 ½,pounds,"apples - peeled, cored and finely chopped"
124,6651125,4,cups,white sugar
125,6651125,2,teaspoons,ground cinnamon
126,6651125,¼,teaspoon,ground cloves
127,6651125,¼,teaspoon,salt
128,6650234,2,cups,prepared kumquats
129,6650234,1,cup,white sugar
130,6650234,1,cup,cold water
131,6650234,,,Zest and juice of 1 lemon
132,6650234,,,1 star anise (I removed it after 10 minutes of simmering)
133,6650234,,,small pinch of cayenne
134,6738674,12,,"fresh peaches, pitted and chopped"
135,6738674,4 ½,cups,white sugar
136,6738674,1,(2 ounce) package,dry pectin
137,6605723,1 ½,cups,packed fresh mint leaves and stems
