,id_recipe,Quantity,Unit of Measure,Ingredient
0,7966464,1/2,cup (1 stick),butter
1,7966464,4 cups,,"rotisserie chicken meat, shredded"
2,7966464,1,(15 ounce) bag,"frozen mixed vegetables (such as corn, peas, carrots and beans)"
3,7966464,1,(11.36 ounce) package,Cheddar bay biscuit mix (
4,7966464,2,cups,milk
5,7966464,1 (10.5 ounce) can,,cream of chicken soup
6,7966464,2,cups,chicken stock
7,7966464,2,tablespoons fresh,chopped parsley (optional)
8,7969090,1,cup,orzo pasta
9,7969090,1 1/2,cups,chicken broth
10,7969090,1/2,cup,"spinach artichoke dip, or more to taste"
11,7969090,2,,"garlic cloves, minced"
12,7969090,1,pinch,crushed red pepper flakes
13,7969090,1,pound,"boneless skinless chicken, cubed"
14,7969090,1/4,teaspoon,"salt, or to taste"
15,7969090,1/2,teaspoon,talian seasoning
16,7969090,2,tablespoons,panko bread crumbs
17,7969090,1/3,cup,shredded mozzarella cheese
18,7969090,2,teaspoons,seasoning
19,7965584,8,,frozen hash brown patties
20,7965584,1,,onion
21,7965584,1,cup,mayonnaise
22,7965584,2,teaspoons,"osher salt, divided"
23,7965584,2,tablespoons,pickle relish
24,7965584,2,teaspoons,white vinegar
25,7965584,2,teaspoons,sugar
26,7965584,2,teaspoons,mustard
27,7965584,1 1/2,teaspoons,paprika
28,7965584,1,teaspoon,onion powder
29,7965584,1,tablespoon,olive oil
30,7965584,1 1/4,lb,ground sirloin
31,7965584,1,teaspoon,ground black pepper
32,7965584,2,teaspoons,orcestershire sauce
33,7965584,8,ounces,"heddar cheese, grated, divided"
34,7965584,2,teaspoons,sesame seeds
35,7965584,3,cups shredded,iceberg lettuce
36,7965584,½,cup,"hamburger dill pickle slices,"
37,7644847,10,ounces,penne pasta
38,7644847,1,tablespoon,butter
39,7644847,1/2,,"onion, chopped"
40,7644847,1/2,,"red bell pepper, chopped"
41,7644847,8,ounces,"shrimp, peeled and deveined"
42,7644847,8,ounces,"andouille sausage, quartered"
43,7565354,1,pound,lean ground beef
44,7565354,1,cup,yellow onion
45,7565354,1,cup,red bell pepper
46,7565354,1,ounce) packet,taco seasoning
47,7565354,1/2,cup,water
48,7565354,1 (14.5-ounce),can,"diced tomatoes and green chiles (such as RO*TEL®), drained"
49,7565354,1 (15-,ounce),"can black beans, drained and rinsed"
50,7565354,1,cup,"sour cream, plus more for serving"
51,7565354,1,(9 1/4-ounce) bag,nacho cheese or cool ranch Doritos®
52,7565354,3,cups,shredded Cheddar-Jack cheese
53,6592169,3,cups,cooked shredded chicken
54,6592169,2,cups,cooked chopped broccoli
55,6592169,2,(10.5 ounce) cans,condensed cream of chicken soup
56,6592169,1/2,cup,sour cream
57,6592169,1,pinch,ground black pepper to taste
58,6592169,2 1/2,cups,shredded Cheddar cheese
59,6592169,1 1/2,cups,bread crumbs
60,6592169,1/4,cup,"salted butter, melted"
61,7151715,1,(24 ounce) jar,marinara sauce
62,7151715,1,(9 ounce) package,frozen cheese ravioli
63,7151715,1,(14 ounce) package,"frozen cooked meatballs, thawed"
64,7151715,2,cups,shredded mozzarella cheese
65,7151715,¼,cup,"grated Parmesan cheese, or more to taste"
66,7151715,¼,teaspoon,"crushed red pepper flakes, or to taste (Optional)"
67,7111662,2,tablespoons,olive oil
68,7111662,2,cups,chopped yellow onion
69,7111662,1,pound,ground chuck beef (80% lean)
70,7111662,½,teaspoon,garlic powder
71,7111662,½,teaspoon,onion powder
72,7111662,½,teaspoon,black pepper
73,7111662,2,(10.5 ounce) cans,condensed cream of mushroom soup
74,7111662,2,cups,"frozen cut green beans, thawed"
75,7111662,2,cups,"frozen sweet corn, thawed"
76,7111662,1 ½,pounds,frozen tater tots
77,7111662,¼,teaspoon,seasoned salt (such as Lawry's®)
78,7111662,½,cup,shredded sharp Cheddar cheese
79,7111662,2,small,"scallions, thinly sliced"
80,7111517,1 ½,cups,cottage cheese
81,7111517,1 ½,cups,evaporated milk
82,7111517,3 ½,ounces,freshly grated Parmesan cheese
83,7111517,¼,teaspoon,granulated garlic
84,7111517,1,pinch,ground white pepper
85,7111517,1,tablespoon,chopped fresh parsley
86,7109681,1,(32 ounce) package,frozen bite-size potato nuggets (such as Tater Tots®)
87,7109681,3,tablespoons,"olive oil, divided, or as needed"
88,7109681,3,tablespoons,"barbeque seasoning, divided, or to taste"
89,7109681,4,,"skinless, boneless chicken thighs"
90,7109681,4,tablespoons,butter
91,7109681,2 1/2,cups,"hot pepper sauce (such as Frank's RedHot®), or to taste"
92,7109681,1,tablespoon,"hot honey, or to taste"
93,7109681,2,cups,shredded Mexican-style cheese blend
94,7109681,1,cup,white Mexican cheese sauce (queso blanco)
