,id_recipe,Quantity,Unit of Measure,Ingredient
0,6664296,1,cup,dry white wine
1,6664296,2,tablespoons,all-purpose flour
2,6664296,¼,teaspoon,ground nutmeg
3,6664296,½,pound,shredded Swiss cheese
4,6664296,½,pound,shredded Gruyere cheese
5,6664296,¼,teaspoon,salt
6,6664296,1,(1 pound) loaf,"French bread, cut into 1 inch cubes"
7,6597286,1,cup,white wine
8,6597286,1,tablespoon,butter
9,6597286,1,tablespoon,all-purpose flour
10,6597286,7,ounces,"Gruyere cheese, cubed"
11,6597286,7,ounces,"sharp Cheddar cheese, cubed"
12,6597286,7,ounces,"Emmentaler cheese, cubed"
13,6592672,8,ounces,shredded sharp Cheddar cheese
14,6592672,8,ounces,shredded Swiss cheese
15,6592672,2,tablespoons,all-purpose flour
16,6592672,½,teaspoon,salt
17,6592672,¼,teaspoon,ground black pepper
18,6592672,1,clove,"garlic, halved"
19,6592672,1,(12 fluid ounce) can or bottle,beer
20,6592672,1,dash,hot pepper sauce (such as Tabasco®)
21,6582888,1,pound,shredded sharp Cheddar cheese
22,6582888,1,tablespoon,all-purpose flour
23,6582888,¾,cup,lager beer
24,6582888,1,tablespoon,minced garlic
25,6582888,2,teaspoons,Worcestershire sauce
26,6582888,1 ½,teaspoons,mustard powder
27,6576518,2,cups,milk
28,6576518,3,tablespoons,all-purpose flour
29,6576518,1,tablespoon,Worcestershire sauce
30,6576518,2,teaspoons,ground dry mustard
31,6576518,1,clove,"garlic, peeled and crushed"
32,6576518,6,cups,shredded Cheddar cheese
33,6605647,1,(8 ounce) package,Neufchatel cheese
34,6605647,1,cup,milk
35,6605647,¾,cup,grated Parmesan cheese
36,6605647,½,teaspoon,garlic salt
37,6605647,1,,"small loaf French bread, cut into cubes"
38,6649730,1 ¼,cups,dry white wine (such as Sauvignon Blanc)
39,6649730,1,tablespoon,cherry brandy
40,6649730,1,clove,"garlic, slightly crushed"
41,6649730,1,pinch,cayenne pepper
42,6649730,1,pinch,freshly grated nutmeg
43,6649730,4,teaspoons,cornstarch
44,6649730,8,ounces,shredded Gruyere cheese
45,6649730,8,ounces,shredded Emmentaler cheese
46,6602184,1,(8 ounce) package,"cream cheese, softened"
47,6602184,½,cup,dry white wine
48,6602184,6,ounces,shredded Swiss cheese
49,6602184,1,teaspoon,cornstarch
50,6602184,2,,"Snow Crab clusters, shelled and chopped"
51,6602184,3,tablespoons,milk
52,6602184,2,teaspoons,Worcestershire sauce
53,6602184,1,teaspoon,snipped fresh parsley
54,6650097,1,tablespoon,"olive oil, or as needed"
55,6650097,1,,"onion, finely minced"
56,6650097,1,pound,ground beef
57,6650097,2,(15 ounce) cans,pizza sauce
58,6650097,10,ounces,"shredded mozzarella cheese, or more to taste"
59,6650097,4,ounces,"shredded Cheddar cheese, or more to taste"
60,6648184,2 ½,cups,shredded Gruyere cheese
61,6648184,2 ½,cups,shredded Emmental cheese
62,6648184,2,tablespoons,cornstarch
63,6648184,1,clove,"garlic, halved"
64,6648184,1 ½,cups,dry white wine
65,6581234,1 ⅛,cups,shredded extra-sharp white Cheddar cheese
66,6581234,1 ⅛,cups,shredded Swiss cheese
67,6581234,2,tablespoons,freshly shredded Parmesan cheese
68,6581234,1 ½,tablespoons,cornstarch
69,6581234,½,(12 fluid ounce) can or bottle,Irish stout beer (such as Guinness®)
70,6581234,1,tablespoon,steak sauce
71,6581234,1,teaspoon,Worcestershire sauce
72,6581234,1,teaspoon,garlic powder
73,6581234,½,teaspoon,hot pepper sauce (such as Cholula®)
74,6581234,¼,teaspoon,ground dry mustard
75,6581234,,,freshly ground black pepper to taste
76,6567744,¼,cup,butter
77,6567744,¼,cup,all-purpose flour
78,6567744,⅓,cup,dry white wine
79,6567744,½,teaspoon,dry mustard
80,6567744,¼,teaspoon,cayenne pepper
81,6567744,2,cups,heavy whipping cream
82,6567744,½,cup,chicken stock
83,6567744,2,cups,shredded fontina cheese
84,6562069,1,(14 ounce) package,"Hillshire Farm Lit'l Smokies® Smoked Sausage, divided"
85,6562069,2,tablespoons,olive oil
86,6562069,1,clove,"garlic, minced"
87,6562069,½,cup,white wine (sweet like Riesling)
88,6562069,2,cups,whole milk
89,6562069,1,(8 ounce) wheel,"Brie cheese, rind removed and cheese diced"
90,6562069,4,ounces,shredded sharp Cheddar cheese
91,6562069,¼,cup,all-purpose flour
92,6562069,,,Dash of salt and pepper
93,6562069,¼,teaspoon,nutmeg
94,6562069,2,,"apples, cored and thinly sliced"
95,6562069,1,small,"French baguette, sliced 1/4 inch thick and toasted"
96,6562069,,,Honey for drizzling
