,id_recipe,Quantity,Unit of Measure,Ingredient
0,7511030,,,1 (14.1 ounce) package refrigerated pie crusts
1,7511030,1,pound,"cherries, pitted"
2,7511030,2,tablespoons minute,tapioca
3,7511030,1/3,cup,sugar
4,7511030,1/2,teaspoon,almond extract
5,7511030,1,pinch,salt
6,7511030,1/2,cup,"whipped cream, or as needed (optional)"
7,7511030,,,chocolate as needed for garnish (optional)
8,6595987,1 ¼,pounds,"round steak, cut into small pieces"
9,6595987,1,cup,apple cider
10,6595987,4,,"Granny Smith apples - peeled, cored and finely diced"
11,6595987,2 ½,cups,dried currants
12,6595987,2 ½,cups,raisins
13,6595987,1,(16 ounce) jar,sour cherry preserves
14,6595987,1 ⅓,cups,white sugar
15,6595987,½,pound,chopped candied mixed fruit peel
16,6595987,½,cup,butter
17,6595987,1,teaspoon,ground ginger
18,6595987,½,teaspoon,ground cloves
19,6595987,½,teaspoon,ground nutmeg
20,6595987,½,teaspoon,ground cinnamon
21,6595987,½,teaspoon,salt
22,6595987,1,(16 ounce) can,"pitted sour cherries, drained"
23,6595987,1,(14.1 ounce) package,"double-crust pie pastry, thawed"
24,6595987,2,tablespoons,heavy cream
25,6595987,1,teaspoon,"white sugar, for sprinkling"
26,6597318,1,(15 ounce) package,double crust ready-to-use pie crust
27,6597318,3,cups,"cherries, pitted"
28,6597318,¾,cup,white sugar
29,6597318,3,tablespoons,cornstarch
30,6597318,¼,teaspoon,almond extract
31,6597318,2,tablespoons,"salted butter, cut into bits"
32,6590828,1,recipe,pastry for a 9 inch double crust pie
33,6590828,4,tablespoons,quick-cooking tapioca
34,6590828,⅛,teaspoon,salt
35,6590828,1,cup,white sugar
36,6590828,4,cups,pitted cherries
37,6590828,¼,teaspoon,almond extract
38,6590828,½,teaspoon,vanilla extract
39,6590828,1 ½,tablespoons,butter
40,6569099,2 ½,cups,ground cherries
41,6569099,½,cup,packed brown sugar
42,6569099,1,tablespoon,all-purpose flour
43,6569099,2,tablespoons,water
44,6569099,1,(9 inch),pie shell
45,6569099,3,tablespoons,all-purpose flour
46,6569099,3,tablespoons,white sugar
47,6569099,2,tablespoons,butter
48,6585221,1,(9 inch),prepared graham cracker crust
49,6585221,1,(8 ounce) package,"cream cheese, softened"
50,6585221,½,cup,white sugar
51,6585221,2,cups,"frozen whipped topping, thawed"
52,6585221,1,(21 ounce) can,cherry pie filling
53,6569014,¾,cup,"unsalted butter, softened"
54,6569014,1 ⅓,cups,white sugar
55,6569014,1,teaspoon,vanilla extract
56,6569014,1,,egg
57,6569014,4 ½,cups,all-purpose flour
58,6569014,2,teaspoons,baking powder
59,6569014,1,teaspoon,salt
60,6569014,½,cup,milk
61,6569014,1,(12.5 ounce) can,cherry pie filling
62,6569014,1,,egg white (for egg wash)
63,6649742,1,,1 (9 inch) unbaked pie crust (see footnote for recipe link)
64,6649742,½,cup,slivered almonds
65,6649742,½,cup,light brown sugar
66,6649742,⅓,cup,rolled oats
67,6649742,⅓,cup,all-purpose flour
68,6649742,¾,teaspoon,salt
69,6649742,6,tablespoons,"cold, unsalted butter, cut into pieces"
70,6649742,2,pounds,"cherries, pitted"
71,6649742,½,,"lemon, juiced"
72,6649742,⅓,cup,"white sugar, or more to taste"
73,6649742,¼,cup,cornstarch
74,6571346,1,(9 inch),"pie crust, baked"
75,6571346,1,(15 ounce) can,"crushed pineapple, drained"
76,6571346,¼,cup,lemon juice
77,6571346,1,(12 ounce) container,"frozen whipped topping, thawed"
78,6571346,½,cup,"maraschino cherries, chopped"
79,6571346,1,(14 ounce) can,sweetened condensed milk
80,6571346,1,cup,chopped walnuts
81,6598720,1,(8 ounce) package,cream cheese
82,6598720,1,(14 ounce) can,sweetened condensed milk
83,6598720,⅓,cup,lemon juice
84,6598720,1,teaspoon,vanilla extract
85,6598720,1,(9 inch),prepared graham cracker crust
86,6598720,1,(21 ounce) can,cherry pie filling
87,6590380,1,(14.1 ounce) package,refrigerated pie dough
