,id_recipe,Quantity,Unit of Measure,Ingredient
0,6649653,1,cup,all-purpose flour
1,6649653,2,teaspoons,baking powder
2,6649653,1,teaspoon,white sugar
3,6649653,½,teaspoon,salt
4,6649653,1,tablespoon,margarine
5,6649653,½,cup,milk
6,6650706,4,,"skinless, boneless chicken breast halves"
7,6650706,2,tablespoons,butter
8,6650706,2,(10.5 ounce) cans,condensed cream of chicken soup
9,6650706,1,medium,"onion, finely diced"
10,6650706,1,(10 ounce) package,refrigerated biscuit dough
11,6650706,2,cups,"water, or as needed to cover"
12,6664718,2,(10.5 ounce) cans,condensed cream of chicken soup
13,6664718,3,(14 ounce) cans,chicken broth
14,6664718,3,cups,shredded cooked chicken meat
15,6664718,2,(10 ounce) cans,refrigerated biscuit dough
16,6745286,3,tablespoons,unsalted butter
17,6745286,½,pound,"skinless, boneless chicken thighs, cubed"
18,6745286,1,,"yellow onion, diced"
19,6745286,⅓,cup,flour
20,6745286,,,salt and freshly ground black pepper to taste
21,6745286,1,pinch,cayenne pepper
22,6745286,6,cups,chicken broth
23,6745286,2,,"celery, diced"
24,6745286,1,large,"carrot, diced"
25,6745286,½,teaspoon,fresh thyme leaves (Optional)
26,6745286,2,tablespoons,sliced green onions
27,6651161,1,(3 pound),rotisserie chicken
28,6651161,2,tablespoons,butter
29,6651161,1,,"onion, diced"
30,6651161,2,ribs,"celery, sliced thin"
31,6651161,2,tablespoons,all-purpose flour
32,6651161,2,(14.5 ounce) cans,chicken broth
33,6651161,¾,pound,"new potatoes, cut into 1/2-inch dice"
34,6651161,2,cups,frozen mixed vegetables
35,6651161,1,teaspoon,salt
36,6651161,½,teaspoon,ground black pepper
37,6651161,½,teaspoon,dried basil
38,6651161,¼,teaspoon,dried thyme
39,6741022,7,pounds,cut up chicken pieces
40,6741022,4,cups,chicken stock
41,6741022,2,,"onions, chopped"
42,6741022,3,stalks,"celery, chopped"
43,6741022,2,teaspoons,salt
44,6568789,2,cups,all-purpose flour
45,6568789,2,teaspoons,baking powder
46,6568789,1,teaspoon,salt
47,6568789,⅓,cup,shortening
48,6568789,½,cup,milk
49,6568789,2,(14.5 ounce) cans,chicken broth
50,6648797,½,tablespoon,olive oil
51,6648797,1,cup,diced onion
52,6648797,½,cup,diced carrot
53,6648797,½,cup,diced celery
54,6648797,1,,bay leaf
55,6648797,4,cups,low-sodium chicken broth
56,6648797,1,pound,"boneless, skinless chicken thighs"
57,6648797,1,pound,"bone-in chicken breasts, skin removed"
58,6648797,1,teaspoon,salt (Optional)
59,6648797,½,teaspoon,thyme (Optional)
60,6648797,½,teaspoon,dried marjoram
61,6648797,¼,teaspoon,freshly ground black pepper
62,6648797,2,tablespoons,"unsalted butter, softened"
63,6648797,2,tablespoons,all-purpose flour
64,6648797,,,salt and ground black pepper to taste (Optional)
65,6648797,½,cup,frozen petite peas
66,6648797,½,cup,frozen cut green beans
67,6605217,1 ½,cups,all-purpose flour
68,6605217,2,teaspoons,baking powder
69,6605217,¾,teaspoon,salt
70,6605217,3,tablespoons,shortening
71,6605217,¾,cup,milk
72,6664858,1,(32 ounce) container,chicken broth
73,6664858,4,,"skinless, boneless chicken breast halves, cubed, or more as needed"
74,6664858,1,,"onion, chopped"
75,6664858,½,½ pound,baby carrots
76,6664858,2,stalks,"celery, chopped"
77,6664858,1,,bay leaf
78,6664858,,,salt and ground black pepper to taste
79,6664858,2 ¼,cups,baking mix (such as Bisquick)
80,6664858,⅔,cup,milk
81,6593651,1 ½,cups,all-purpose flour
82,6593651,1,teaspoon,salt
83,6593651,1,teaspoon,baking soda
84,6593651,2,teaspoons,baking powder
85,6593651,1,teaspoon,dried thyme
86,6593651,1,teaspoon,dried parsley
87,6593651,1,teaspoon,dried oregano
88,6593651,3,tablespoons,butter
89,6593651,¾,cup,milk
90,6571308,1 ½,pounds,"skinless, boneless chicken breasts, cut into 1-inch pieces"
91,6571308,2,medium,"Yukon Gold potatoes, cut into 1-inch pieces"
92,6571308,2,cups,whole baby carrots
93,6571308,2,stalks,"celery, sliced"
94,6571308,2,(10.75 ounce) cans,Campbell's® Condensed Cream of Chicken Soup (Regular or 98% Fat Free)
95,6571308,1,cup,water
96,6571308,1,teaspoon,"dried thyme leaves, crushed"
97,6571308,¼,teaspoon,ground black pepper
98,6571308,2,cups,all-purpose baking mix
99,6571308,⅔,cup,milk
100,6737174,2,tablespoons,clarified butter
101,6737174,1,pound,"skinless, boneless chicken thighs"
102,6737174,4,slices,bacon
103,6737174,5,,"new potatoes, chopped"
104,6737174,2,,"carrots, chopped"
105,6737174,2,stalks,"celery, chopped"
106,6737174,½,,"red onion, finely chopped"
107,6737174,2,cloves,"garlic, finely chopped"
108,6737174,1,cup,chicken broth
109,6737174,1,cup,2% milk
110,6737174,1,(10.75 ounce) can,condensed cream of mushroom soup
111,6737174,½,(10 ounce) package,frozen corn
112,6737174,¼,teaspoon,smoked paprika
113,6737174,,,salt and ground black pepper to taste
114,6604814,1,(2 to 3 pound),whole chicken
115,6604814,2,cups,all-purpose flour
116,6604814,1,teaspoon,baking powder
117,6604814,1,cup,hot chicken broth
118,6604814,1,,egg
119,6574278,2,(10.75 ounce) cans,condensed cream of chicken soup
120,6574278,3,cups,water
121,6574278,1,cup,chopped celery
122,6574278,2,,"onions, quartered"
123,6574278,1,teaspoon,salt
124,6574278,½,teaspoon,poultry seasoning
125,6574278,½,teaspoon,ground black pepper
126,6574278,4,,"skinless, boneless chicken breast halves"
127,6574278,5,,"carrots, sliced"
128,6574278,1,(10 ounce) package,frozen green peas
129,6574278,4,,"potatoes, quartered"
130,6574278,3,cups,baking mix
131,6574278,1 ⅓,cups,milk
132,6581741,2,cups,all-purpose flour
133,6581741,½,cup,shortening
134,6581741,1,,egg
135,6581741,½,cup,milk
136,6581741,1,,whole chicken
137,6581741,2,cubes,chicken bouillon
138,6581741,2,cups,chopped celery
139,6581741,2,cups,chopped carrots
140,6581741,1,small,"onion, chopped"
141,6581741,,,salt and ground black pepper to taste
142,6590433,1,(10.75 ounce) can,reduced fat cream of chicken soup
143,6590433,1,(14.5 ounce) can,"low-fat, low sodium chicken broth"
144,6590433,½,cup,milk
145,6590433,1,tablespoon,vegetable oil
146,6590433,¼,cup,chopped onion
147,6590433,½,cup,chopped celery
148,6590433,3,,"skinless, boneless chicken breast halves - cut into strips"
149,6590433,1,teaspoon,celery seed
150,6590433,,,ground black pepper to taste
151,6590433,1,cup,sifted all-purpose flour
152,6590433,2,teaspoons,baking powder
153,6590433,½,teaspoon,salt
154,6590433,½,cup,milk
155,6590433,2,tablespoons,vegetable oil
156,6738388,1,(3 to 3 1/2 pound),whole chicken
157,6738388,2 ½,quarts,cold water
158,6738388,1,large,"carrot, cubed"
159,6738388,1,stalk,"celery, chopped"
160,6738388,1,,"onion, chopped"
161,6738388,3,sprigs,fresh thyme
162,6738388,1,,bay leaf
163,6738388,2,tablespoons,"all-purpose flour, or as needed"
164,6738388,,,salt and freshly ground black pepper to taste
165,6738388,½,teaspoon,"cayenne pepper, or more to taste"
166,6738388,½,cup,creme fraiche
167,6738388,½,cup,milk
168,6738388,2,teaspoons,chopped fresh thyme leaves
169,6738388,2,,eggs
170,6738388,2,cups,self-rising flour
171,6738388,4,sprigs,"thyme, for garnish"
172,6593309,1,(3 pound),whole chicken
173,6593309,4,cubes,chicken bouillon
174,6593309,2,cups,all-purpose flour
175,6593309,4,,eggs
176,6593309,1,teaspoon,salt
177,6738988,4,pounds,"boneless, skinless chicken meat"
178,6738988,2,small,"carrots, sliced"
179,6738988,3,,"sweet potatoes, peeled and cubed"
180,6738988,3,,"Irish potatoes, cubed"
181,6738988,5,small,onions
182,6738988,5,cups,water
183,6738988,,,salt to taste
184,6738988,,,ground black pepper to taste
185,6738988,1,,bay leaf
186,6738988,3,stalks,celery tops
187,6738988,1,pinch,cayenne pepper
188,6738988,2,cups,all-purpose flour
189,6738988,½,teaspoon,salt
190,6738988,1,teaspoon,baking powder
191,6738988,4,tablespoons,rendered chicken fat
192,6597760,1,(3 pound),whole chicken
193,6597760,1,,"onion, quartered"
194,6597760,2,slices,lemon
195,6597760,,,salt and pepper to taste
196,6597760,3,cups,water
197,6597760,1,,bay leaf
198,6597760,½,teaspoon,dried thyme
199,6597760,2,cups,all-purpose flour
200,6597760,3,tablespoons,shortening
201,6597760,1,teaspoon,salt
202,6597760,¼,cup,water
203,6663203,1,,whole chicken
204,6663203,1,pinch,salt
205,6663203,,,water to cover
206,6663203,1,,"lemon, halved"
207,6663203,2,stalks,"celery, sliced"
208,6663203,1,small,"onion, chopped"
209,6663203,2,,"carrots, sliced, or more to taste"
210,6663203,2,cups,all-purpose flour
211,6663203,,,salt and ground black pepper to taste
212,6592404,2 ¼,cups,biscuit baking mix
213,6592404,⅔,cup,milk
214,6592404,2,(14 ounce) cans,chicken broth
215,6592404,2,(10 ounce) cans,"chunk chicken, drained"
216,6600056,6,,"skinless, boneless chicken breast halves"
217,6600056,6,cups,water
218,6600056,1,tablespoon,butter
219,6600056,,,salt and pepper to taste
220,6600056,2,cups,all-purpose baking mix
221,6600056,⅔,cup,milk
222,6600056,½,cup,all-purpose flour
223,6600056,½,cup,cold water
224,6572036,4,,"skinless, boneless chicken breast halves"
225,6572036,2,(10.75 ounce) cans,condensed cream of mushroom soup
226,6572036,1,,"onion, minced"
227,6572036,2,tablespoons,butter
228,6572036,2,tablespoons,rosemary
229,6572036,,,ground black pepper to taste
230,6572036,1,cup,"vegetable broth, or as needed"
231,6572036,2,(10 ounce) packages,"refrigerated biscuit dough, torn into pieces"
232,6583820,¼,cup,"water, or as needed"
233,6583820,1,teaspoon,poultry seasoning
234,6583820,,,salt and ground black pepper to taste
235,6583820,4,,"skinless, boneless chicken breast halves"
236,6583820,1,(10.75 ounce) can,"low-sodium chicken broth, divided"
237,6583820,1,large,"onion, finely diced"
238,6583820,3,,"carrots, chopped"
239,6583820,4,stalks,"celery, chopped"
240,6583820,2,tablespoons,butter
241,6583820,1,(10.75 ounce) can,reduced-fat condensed cream of celery soup (such as Campbell's®)
242,6583820,1,(10.75 ounce) can,reduced-fat condensed cream of chicken soup (such as Campbell's® Healthy Request)
243,6583820,½,teaspoon,dried rosemary
244,6583820,1,(10 ounce) package,"refrigerated biscuit dough, torn into pieces"
245,6579886,1,(3 pound),whole chicken
246,6579886,1,,"onion, chopped"
247,6579886,1,stalk,"celery, with leaves"
248,6579886,1,tablespoon,poultry seasoning
249,6579886,1,teaspoon,whole allspice
250,6579886,1,teaspoon,dried basil
251,6579886,½,teaspoon,salt
252,6579886,1,teaspoon,black pepper
253,6579886,1,teaspoon,seasoning salt
254,6579886,1,(10.75 ounce) can,condensed cream of chicken soup (Optional)
255,6588449,4,,"skinless, boneless chicken breast halves"
256,6588449,2,tablespoons,butter
257,6588449,2,cups,natural cream of chicken soup
258,6588449,1,,"onion, finely diced"
259,6588449,3,,"carrots, sliced"
260,6588449,10,ounces,"refrigerated reduced-fat biscuit dough, torn into pieces"
261,6588449,1,cup,frozen peas
262,6604239,2,tablespoons,butter
263,6604239,1,small,"onion, diced"
264,6604239,3,,"skinless, boneless chicken thighs, cut into cubes"
265,6604239,1,,"skinless, boneless chicken breast half, cut into cubes"
266,6604239,6,cups,water
267,6604239,1,(10.5 ounce) can,condensed cream of chicken soup
268,6604239,3,cubes,chicken bouillon
269,6604239,1,teaspoon,poultry seasoning
270,6604239,¾,cup,milk
271,6604239,1 ½,cups,all-purpose baking mix (such as Bisquick®)
272,6589517,¾,cup,milk
273,6589517,3,tablespoons,butter
274,6589517,2,cups,all-purpose flour
275,6589517,1,tablespoon,baking powder
276,6589517,1,tablespoon,chopped fresh parsley
277,6589517,¾,teaspoon,salt
278,6589517,¼,cup,club soda
279,6572798,3,cups,chopped cooked chicken breast
280,6572798,2,,eggs
281,6572798,4 ¾,cups,"chicken broth, divided"
282,6572798,1,cup,all-purpose flour
283,6572798,¼,cup,chopped fresh parsley
284,6572798,2,teaspoons,salt
285,6572798,⅛,teaspoon,black pepper
286,6572798,½,teaspoon,dried tarragon
287,6572798,¼,cup,butter
288,6572798,2,cups,chopped onion
289,6572798,1 ½,cups,thinly sliced celery
290,6572798,2,cloves,"garlic, minced"
291,6572798,½,cup,all-purpose flour
292,6572798,2,quarts,chicken broth
293,6572798,1 ½,teaspoons,salt
294,6572798,1 ½,cups,chopped carrots
295,6572798,3,cups,chopped cooked chicken breast
296,6573434,2,tablespoons,butter
297,6573434,1,medium,"onion, diced"
298,6573434,3,large,bone-in chicken breast halves with skin
299,6573434,1,(32 ounce) can,chicken broth
300,6573434,1,cup,"water, or as needed"
301,6594964,3,cups,all-purpose flour
302,6594964,¼,teaspoon,baking soda
303,6594964,¼,teaspoon,salt
304,6594964,2,tablespoons,shortening
305,6594964,1,cup,ice water
306,6594964,1,(4 pound),"whole chicken, cut into 8 pieces"
307,6594964,1,tablespoon,"seasoning salt, or to taste"
308,6594964,3 ½,quarts,water
309,6594964,½,small,"onion, chopped"
310,6594964,2,stalks,"celery, chopped"
311,6594964,¼,cup,margarine
312,6594964,,,salt and pepper to taste
313,6594964,1,teaspoon,poultry seasoning
314,6592247,8,cups,water
315,6592247,2,cups,chopped baby carrots
316,6592247,1,large,"onion, chopped"
317,6592247,4,stalks,"celery, chopped"
318,6592247,2,tablespoons,dried thyme
319,6592247,1,tablespoon,dried rosemary
320,6592247,2,teaspoons,salt
321,6592247,1,teaspoon,ground black pepper
322,6592247,4,,"skinless, boneless chicken breast halves, chopped"
323,6592247,1,(10 ounce) can,"refrigerated biscuit dough, separated and chopped"
324,6575512,6,,boneless chicken thighs
325,6575512,5,cups,"water, or as needed to cover"
326,6575512,2,(10.5 ounce) cans,condensed cream of celery soup
327,6575512,,,salt and pepper to taste
328,6575512,1,(12 ounce) package,refrigerated biscuit dough
329,6601063,4,(14.5 ounce) cans,chicken broth
330,6601063,3,(12.5 fl oz) cans,"chunk chicken (such as Kirkland®), drained and broken into chunks"
331,6601063,4,,"baking potatoes, peeled and cubed"
332,6601063,4,,"carrots, sliced"
333,6601063,2,cups,chopped broccoli
334,6601063,1,cup,water
335,6601063,2,tablespoons,quick-mixing flour (such as Wondra®)
336,6601063,,,salt and cracked black pepper to taste
337,6601063,2 ¼,cups,all-purpose baking mix (such as Bisquick®)
338,6601063,⅔,cup,milk
339,6598536,3,slices,bacon
340,6598536,3,large,"potatoes, peeled and diced"
341,6598536,1,,"onion, diced"
