,id_recipe,Quantity,Unit of Measure,Ingredient
0,6587601,1,cup,diced English cucumbers
1,6587601,1 ¼,teaspoons,"salt, divided"
2,6587601,2,tablespoons,diced red onion
3,6587601,1,cup,Greek yogurt
4,6587601,⅓,cup,chopped Kalamata olives
5,6587601,1 ½,tablespoons,chopped fresh dill
6,6587601,2,teaspoons,red wine vinegar
7,6587601,2,teaspoons,lemon juice
8,6587601,1,teaspoon,"garlic, minced"
9,6587601,1,teaspoon,lemon zest
10,6587601,½,teaspoon,dried oregano
11,6587601,¼,teaspoon,ground black pepper
12,6587601,3,cups,diced cooked chicken
13,6587601,¾,cup,crumbled feta cheese
14,6587601,½,cup,diced seeded plum tomatoes
15,6587601,1,head,"Bibb lettuce, or more as needed"
16,6579634,2,,"cooked chicken breast halves, diced"
17,6579634,1,,"ripe avocado, sliced"
18,6579634,½,cup,sour cream
19,6579634,1 ½,teaspoons,"ground black pepper, or to taste"
20,6579634,1,teaspoon,lime juice
21,6579634,½,teaspoon,garlic powder
22,6579634,½,teaspoon,onion powder
23,6579634,¼,teaspoon,salt
24,7487086,1/4,cup,pecans
25,7487086,1,,"lemon, juiced"
26,7487086,2,tablespoons,fresh dill
27,7487086,1,teaspoon,white sugar
28,7487086,1/2,cup,mayonnaise
29,7487086,1/2,cup,plain Greek yogurt
30,7487086,1,stalk,"celery, minced"
31,7487086,2,pounds,"cooked chicken breasts, shredded"
32,7487086,1/4,cup,chicken broth
33,7487086,,,salt and freshly ground black pepper to taste
34,6739750,1,pound,"skinless, boneless chicken breast halves"
35,6739750,½,cup,pecans
36,6739750,⅓,cup,red wine vinegar
37,6739750,½,cup,white sugar
38,6739750,1,cup,vegetable oil
39,6739750,½,,"onion, minced"
40,6739750,1,teaspoon,ground mustard
41,6739750,1,teaspoon,salt
42,6739750,¼,teaspoon,ground white pepper
43,6739750,2,heads,"Bibb lettuce - rinsed, dried and torn"
44,6739750,1,cup,sliced fresh strawberries
45,6739626,½,cup,mayonnaise
46,6739626,½,cup,plain Greek yogurt
47,6739626,2,teaspoons,white wine vinegar
48,6739626,½,teaspoon,garlic powder
49,6739626,¼,teaspoon,dried thyme
50,6739626,,,1/2 teaspoon Park Hill maple pepper (such as Savory Spice Shop®)
51,6739626,2,cups,chopped cooked chicken
52,6739626,2,stalks,"celery, sliced"
53,6739626,⅓,cup,chopped toasted pecans
54,6739626,2,tablespoons,minced red onion
55,6650128,½,cup,blanched slivered almonds
56,6650128,½,cup,mayonnaise
57,6650128,1,tablespoon,lemon juice
58,6650128,¼,teaspoon,ground black pepper
59,6650128,2,cups,"chopped, cooked chicken meat"
60,6650128,1,stalk,"celery, chopped"
61,7108168,1,,"avocado - peeled, pitted, and chopped"
62,7108168,¼,cup,sour cream
63,7108168,1,tablespoon,mayonnaise
64,7108168,1,tablespoon,water
65,7108168,2,tablespoons,freshly squeezed lime juice
66,7108168,½,(1 ounce) packet,ranch dressing mix
67,7108168,½,teaspoon,salt
68,7108168,2,(6 ounce),"skinless, boneless chicken breast halves"
69,7108168,1,tablespoon,olive oil
70,7108168,1 ½,tablespoons,fajita seasoning
71,7108168,1,medium ear,"corn, husk and silk removed"
72,7108168,1,medium head,"romaine lettuce, chopped"
73,7108168,½,cup,halved grape tomatoes
74,7108168,1,(15 ounce) can,"black beans, rinsed and drained"
75,7108168,½,small,"red onion, sliced into petals"
76,6587918,2,,"cooked chicken breast halves, chopped"
77,6587918,½,cup,"mayonnaise, or to taste"
78,6587918,2,,"green onions, chopped"
79,6587918,½,cup,sweetened dried cranberries (such as Ocean Spray® Craisins®)
80,6587918,¼,,"green apple, shredded"
81,6587918,¼,cup,chopped pecans
82,6587918,1,tablespoon,lime juice
83,6587918,¼,teaspoon,dried dill weed
84,6587918,1,pinch,"salt and black pepper, or to taste"
85,6572894,4,,"cooked chicken breasts, shredded"
86,6572894,2,medium,"Granny Smith apples, cut into small chunks"
87,6572894,2,cups,"chopped walnuts, or to taste"
88,6572894,½,,"red onion, chopped"
89,6572894,3,stalks,"celery, chopped"
90,6572894,3,tablespoons,lemon juice
91,6572894,½,cup,vanilla yogurt
92,6572894,5,tablespoons,creamy salad dressing (such as Miracle Whip®)
93,6572894,5,tablespoons,mayonnaise
94,6572894,25,,"seedless red grapes, halved"
95,6664241,2,cups,diced cooked chicken
96,6664241,3,large,"hard-boiled eggs, diced"
97,6664241,½,,"onion, chopped"
98,6664241,1,stalk,"celery, diced"
99,6664241,2,tablespoons,"mayonnaise, or to taste"
100,6664241,2,tablespoons,chopped fresh cilantro
101,6664241,1,tablespoon,chopped fresh parsley
102,6664241,,,salt and cracked black pepper to taste
103,6737020,5,slices,bacon
104,6737020,¾,cup,mayonnaise
105,6737020,2,tablespoons,minced green onion
106,6737020,1,tablespoon,chopped parsley
107,6737020,1,teaspoon,lemon juice
108,6737020,1,dash,Worcestershire sauce
109,6737020,,,salt and ground black pepper to taste
110,6737020,3,cups,diced cooked chicken
111,6737020,1,cup,chopped fresh tomato
112,6737020,2,stalks,"celery, thinly sliced"
113,6737020,12,leaves,romaine lettuce
114,6737020,1,large,"avocado, sliced"
115,6571504,2,,"cooked skinless, boneless chicken breast halves, cut into cubes"
116,6571504,3,stalks,"celery, finely diced"
117,6571504,¾,cup,chopped pecans
118,6571504,½,cup,mayonnaise
119,6571504,2,tablespoons,minced yellow onion
120,6571504,1 ½,tablespoons,sweet pickle relish
121,6571504,2,teaspoons,prepared mustard
122,6571504,1 ½,teaspoons,ground black pepper
123,6571504,1 ½,teaspoons,minced fresh dill
124,6571504,1,teaspoon,lemon juice
125,6571504,½,teaspoon,white sugar
126,6571504,½,teaspoon,salt
127,6571504,½,teaspoon,garlic powder
128,6571504,½,teaspoon,paprika
129,6649788,1,(10 ounce) can,"chicken chunks, drained"
130,6649788,½,cup,"sweet pickles, chopped"
131,6649788,⅓,cup,low-fat mayonnaise
132,6649788,¼,cup,chopped celery
133,6649788,½,teaspoon,onion powder
134,6594092,,,cooking spray
135,6594092,2,pounds,"skinless, boneless chicken breast halves"
136,6594092,1,teaspoon,"kosher salt, divided"
137,6594092,¾,teaspoon,"ground black pepper, divided"
138,6594092,¾,teaspoon,onion powder
139,6594092,1,cup,"mayonnaise, or more to taste"
140,6594092,½,cup,sour cream
141,6594092,¼,cup,sweet relish
142,6594092,3,stalks,"green onions (white and light green parts only), minced"
143,6594092,2,tablespoons,chopped fresh parsley
144,6594092,1,tablespoon,Dijon mustard
145,6594092,1,tablespoon,lemon juice
146,6594092,1,teaspoon,dried dill weed
147,6594092,½,cup,finely chopped celery
148,6649526,½,cup,mayonnaise
149,6649526,½,teaspoon,salt
150,6649526,¾,teaspoon,poultry seasoning
151,6649526,¼,teaspoon,onion powder
152,6649526,¼,teaspoon,garlic powder
153,6649526,¼,teaspoon,ground black pepper
154,6649526,1,tablespoon,lemon juice
155,6649526,3,cups,"diced, cooked chicken breast meat"
156,6649526,½,cup,finely chopped celery
157,6649526,½,cup,chopped green onions
158,6649526,1,(8 ounce) can,"water chestnuts, drained and chopped"
159,6649526,1 ½,cups,diced Swiss cheese
160,6649526,1 ½,cups,halved green grapes
161,6649617,1,(6 ounce) container,fat-free Greek yogurt (such as Fage®)
162,6649617,½,cup,low-fat cottage cheese
163,6649617,½,cup,chopped celery
164,6649617,½,cup,diced apple
165,6649617,¼,cup,sweetened dried cranberries (such as Craisins®)
166,6649617,2,tablespoons,chopped onion
167,6649617,2,tablespoons,chopped pecans
168,6649617,½,tablespoon,Dijon mustard
169,6649617,1 ¼,cups,"cubed, cooked chicken"
170,6649617,,,salt and ground black pepper to taste
171,6593655,½,cup,butter
172,6593655,2,cups,mayonnaise
173,6593655,¼,cup,minced garlic
174,6593655,2,tablespoons,chopped fresh parsley
175,6593655,1,teaspoon,curry powder
176,6593655,4,cups,shredded cooked chicken
177,6593655,2,cups,halved red grapes
