,id_recipe,Quantity,Unit of Measure,Ingredient
0,6598821,½,cup,white sugar
1,6598821,1,tablespoon,cornstarch
2,6598821,1,cup,water or 1/2 cup for a thicker filling
3,6598821,3,cups,"strawberries, hulled"
4,6598821,2,tablespoons,"butter, diced"
5,6598821,1,cup,all-purpose flour
6,6598821,1,tablespoon,white sugar
7,6598821,1 ½,teaspoons,baking powder
8,6598821,½,teaspoon,salt
9,6598821,3,tablespoons,butter
10,6598821,½,cup,heavy whipping cream
11,6746701,,,cooking spray
12,6746701,1,(16 ounce) package,frozen blackberries
13,6746701,2,tablespoons,white sugar
14,6746701,1,teaspoon,freshly squeezed lemon juice
15,6746701,¼,teaspoon,vanilla extract
16,6746701,1,cup,all-purpose flour
17,6746701,1,cup,white sugar
18,6746701,1,large,egg
19,6746701,5,tablespoons,"butter, melted"
20,6746701,,,"frozen whipped topping, thawed"
21,6596794,3,(15 ounce) cans,"peaches, drained"
22,6596794,1,teaspoon,cinnamon sugar
23,6596794,1 ½,cups,white cake mix
24,6596794,¼,teaspoon,ground cinnamon
25,6596794,4,tablespoons,unsalted butter
26,6596794,½,cup,water
27,6649785,8,,"fresh peaches - peeled, pitted and sliced into thin wedges"
28,6649785,¼,cup,white sugar
29,6649785,¼,cup,brown sugar
30,6649785,¼,teaspoon,ground cinnamon
31,6649785,⅛,teaspoon,ground nutmeg
32,6649785,1,teaspoon,fresh lemon juice
33,6649785,2,teaspoons,cornstarch
34,6649785,1,cup,all-purpose flour
35,6649785,¼,cup,white sugar
36,6649785,¼,cup,brown sugar
37,6649785,1,teaspoon,baking powder
38,6649785,½,teaspoon,salt
39,6649785,6,tablespoons,"unsalted butter, chilled and cut into small pieces"
40,6649785,¼,cup,boiling water
41,6649785,3,tablespoons,white sugar
42,6649785,1,teaspoon,ground cinnamon
43,6648712,½,cup,"unsalted butter, melted"
44,6648712,1,cup,self-rising flour
45,6648712,1,cup,white sugar
46,6648712,1,cup,milk
47,6648712,2,(16 ounce) cans,sliced peaches in heavy syrup
48,6650277,2 ½,cups,all-purpose flour
49,6650277,4,tablespoons,"white sugar, divided"
50,6650277,1,teaspoon,salt
51,6650277,1,cup,shortening
52,6650277,1,large,egg
53,6650277,¼,cup,cold water
54,6650277,1,tablespoon,"butter, melted"
55,6577819,1,cup,Original Bisquick mix
56,6577819,1,cup,milk
57,6577819,½,teaspoon,ground nutmeg
58,6577819,½,cup,"butter or margarine, melted"
59,6577819,1,(29 ounce) can,"sliced peaches, drained"
60,6577819,1,cup,sugar
61,6649810,½,cup,butter
62,6649810,1,cup,all-purpose flour
63,6649810,1 ¾,cups,"white sugar, divided"
64,6649810,1,teaspoon,baking powder
65,6649810,1,cup,milk
66,6649810,2,cups,pitted sour cherries
67,6649810,1,tablespoon,all-purpose flour
68,6591034,½,cup,butter
69,6591034,1,cup,self-rising flour
70,6591034,1,cup,white sugar
71,6591034,1,cup,milk
