,id_recipe,Quantity,Unit of Measure,Ingredient
0,7642461,1,cup,cornmeal
1,7642461,1,cup,flour
2,7642461,4,teaspoons,baking powder
3,7642461,1,teaspoon,salt
4,7642461,1/3,cup,honey
5,7642461,1,large,egg
6,7642461,1,cup,milk
7,7642461,1/4,cup,vegetable oil
8,7642461,2,cups,heddar cheese
9,7642461,2,,"jalapeno peppers, seeded and chopped"
10,7642461,2,,"mozzarella sticks, each cut into 6 pieces"
11,7642461,12,,jalapeno pepper (optional)
12,7499186,1,cup,cornmeal
13,7499186,1,cup,"all-purpose flour, sifted"
14,7499186,1/4,cup,sugar
15,7499186,1,tablespoon,baking powder
16,7499186,1,teaspoon,salt
17,7499186,1,teaspoon,pepper
18,7499186,1/4,cup,vegetable oil
19,7499186,2,,jalape
20,7499186,1,small,"yellow onion, minced"
21,7499186,3/4,cup,sharp Cheddar cheese
22,7499186,1,large,"egg, beaten"
23,7499186,1,cup,buttermilk
24,7499186,1,tablespoon,"vegetable oil, or as needed"
25,6665023,1,cup,all-purpose flour
26,6665023,1,cup,yellow cornmeal
27,6665023,⅔,cup,white sugar
28,6665023,3 ½,teaspoons,baking powder
29,6665023,1,teaspoon,salt
30,6665023,1,cup,milk
31,6665023,⅓,cup,vegetable oil
32,6665023,1,large,egg
33,6649532,½,cup,butter
34,6649532,⅔,cup,white sugar
35,6649532,2,large,eggs
36,6649532,1,cup,buttermilk
37,6649532,½,teaspoon,baking soda
38,6649532,1,cup,cornmeal
39,6649532,1,cup,all-purpose flour
40,6649532,¼,teaspoon,salt
41,7643020,1/4,cup,unsalted butter
42,7643020,1/2,cup,onion
43,7643020,1/4,cup,jalape
44,7643020,2,large,"eggs, lightly beaten"
45,7643020,1,cup,buttermilk
46,7643020,1,cup,yellow cornmeal
47,7643020,1/2,cup,all-purpose flour
48,7643020,1,teaspoon,"taco seasoning, or to taste"
49,7643020,1,teaspoon,"salt, or to taste"
50,7643020,1/2,teaspoon,baking soda
51,7095787,2,cups,self-rising flour (see Tip)
52,7095787,1,cup,yellow cornmeal
53,7095787,2,tablespoons,white sugar
54,7095787,½,teaspoon,salt
55,7095787,1,teaspoon,baking soda
56,7095787,1,stick,"(1/2 cup) very cold unsalted butter, cubed"
57,7095787,1 ¼,cups,cold buttermilk
58,7095787,2,ounces,pepper Jack cheese
59,7095787,2,tablespoons,melted butter for brushing tops
60,6648555,1,cup,cornmeal
61,6648555,1,cup,all-purpose flour
62,6648555,⅓,cup,white sugar
63,6648555,2,teaspoons,baking powder
64,6648555,½,teaspoon,salt
65,6648555,1,,"egg, beaten"
