,id_recipe,Quantity,Unit of Measure,Ingredient
0,7096286,1,(32 ounce) package,frozen fried potato nuggets
1,7096286,6,ounces,"corned beef, chopped (1 cup)"
2,7096286,½,cup,"sauerkraut, drained"
3,7096286,1,cup,shredded Swiss cheese (4 oz.)
4,7096286,1,cup,shredded Colby and Monterey Jack cheese (4 oz.)
5,7096286,½,cup,Thousand Island salad dressing
6,7096286,1,tablespoon,spicy brown mustard
7,7096286,2,tablespoons,chopped green onion
8,7096286,¼,teaspoon,"caraway seeds, toasted"
9,6663249,10,,"baby red potatoes, quartered"
10,6663249,4,large,"carrots, peeled and cut into matchstick pieces"
11,6663249,1,,"onion, peeled and cut into bite-sized pieces"
12,6663249,4,cups,water
13,6663249,1,(4 pound),corned beef brisket with spice packet
14,6663249,6,ounces,beer
15,6663249,½,head,"cabbage, coarsely chopped"
16,6649667,1,(3 pound),corned beef brisket with spice packet
17,6649667,10,small,red potatoes
18,6649667,5,medium,carrots
19,6649667,1,large head,cabbage
20,6740935,8,slices,rye bread
21,6740935,½,cup,Thousand Island dressing
22,6740935,8,slices,Swiss cheese
23,6740935,8,slices,deli sliced corned beef
24,6740935,1,cup,"sauerkraut, drained"
25,6740935,2,tablespoons,"butter, softened"
26,6663160,2,cups,water
27,6663160,1,(12 fluid ounce) can or bottle,beer
28,6663160,4,cloves,"garlic, minced"
29,6663160,1,(3 pound),corned beef brisket with spice packet
30,6664783,1,(5 pound),flat-cut corned beef brisket
31,6664783,1,tablespoon,"browning sauce (such as Kitchen Bouquet®), or as desired"
32,6664783,1,tablespoon,vegetable oil
33,6664783,1,,"onion, sliced"
34,6664783,6,cloves,"garlic, sliced"
35,6664783,2,tablespoons,water
36,6663821,1,(5 1/2 pound),corned beef brisket
37,6663821,2,large,onions
38,6663821,10,,"carrots, cut into 1 inch pieces"
39,6663821,2,heads,"cabbage, cored and cut into wedges"
40,6663821,15,small,white (Irish) potatoes
41,6664421,½,cup,vegetable oil
42,6664421,2,cloves,"garlic, crushed"
43,6664421,¼,cup,coarsely ground fresh black pepper
44,6664421,2,tablespoons,smoked paprika
45,6664421,2,teaspoons,ground coriander
46,6664421,1,teaspoon,dry mustard
47,6664421,½,teaspoon,ground white pepper
48,6664421,¼,teaspoon,cayenne pepper
49,6664421,4,pounds,corned beef brisket
50,6649815,6,slices,"rye bread, cubed"
51,6649815,1,(16 ounce) can,"sauerkraut, drained and rinsed"
52,6649815,1,pound,"deli sliced corned beef, cut into strips"
53,6649815,¾,cup,Russian-style salad dressing
54,6649815,,,cooking spray
55,6649815,2,cups,shredded Swiss cheese
56,6664988,1,(3 pound),boneless corned beef brisket
57,6664988,1 ½,cups,yellow split peas
58,6664988,1,large head,"cabbage, quartered"
59,6664988,1,medium,"turnip, peeled and cubed"
60,6664988,6,,"carrots, peeled and cut in chunks"
61,6664988,6,large,"potatoes, peeled and quartered"
62,6664988,2,tablespoons,butter
63,6664988,½,teaspoon,black pepper
64,6598884,1,(5 1/2 pound),corned beef brisket with spice packet
65,6598884,7,small,"potatoes, peeled and diced"
66,6598884,4,medium,"carrots, peeled and diced"
67,6598884,1,medium,"onion, diced"
68,6598884,3,cloves,"garlic, chopped"
69,6736499,4,pounds,corned beef brisket
70,6736499,1,cup,brown sugar
71,6736499,1,(12 fluid ounce) can or bottle,Irish stout beer (e.g. Guinness(r))
72,6736756,4,,"potatoes, peeled and quartered"
