,id_recipe,Quantity,Unit of Measure,Ingredient
0,6578547,¼,cup,warm water
1,6578547,2 ¼,cups,bread flour
2,6578547,2,tablespoons,instant nonfat dry milk
3,6578547,1,tablespoon,white sugar
4,6578547,½,teaspoon,salt
5,6578547,2,tablespoons,"butter, softened"
6,6578547,1 ½,teaspoons,instant yeast
7,6578547,½,cup,"butter, softened"
8,6578547,1,,egg yolk
9,6578547,1,tablespoon,milk
10,6578547,9,ounces,semisweet chocolate chunks
11,6568840,2,cups,"unsalted butter, softened"
12,6568840,⅔,cup,all-purpose flour
13,6568840,8,cups,"all-purpose flour, divided"
14,6568840,4 ½,teaspoons,active dry yeast
15,6568840,2 ½,cups,milk
16,6568840,½,cup,white sugar
17,6568840,2,teaspoons,salt
18,6568840,2,large,eggs
19,6568840,1,teaspoon,lemon extract
20,6568840,1,teaspoon,almond extract
21,6568840,2,cups,"fruit preserves, any flavor"
22,6568840,1,large,"egg white, beaten"
23,6663119,1,large,"red apple, cored and very thinly sliced"
24,6663119,¼,cup,white sugar
25,6663119,1,teaspoon,ground cinnamon
26,6663119,1,sheet,"frozen puff pastry, thawed"
27,6663119,¼,cup,melted butter
28,6663119,1,large,egg
29,6663119,2,teaspoons,water
30,6663119,1,teaspoon,confectioners' sugar (Optional)
31,6570148,2,cups,"all-purpose flour, plus more as needed"
32,6570148,1/4,teaspoon,salt
33,6570148,1,cup,"cold butter, cubed"
34,6570148,1,cup,sour cream
35,6650557,2,(10 ounce) cans,refrigerated crescent roll dough
36,6650557,2,(8 ounce) packages,"cream cheese, diced"
37,6650557,¾,cup,white sugar
38,6650557,1 ½,teaspoons,lemon juice
39,6650557,1,teaspoon,vanilla extract
40,6650557,2,teaspoons,sour cream
41,6650557,1,cup,confectioners' sugar
42,6650557,1,tablespoon,milk
43,6650557,1,tablespoon,"butter, softened"
44,6603013,1,cup,all-purpose flour
45,6603013,½,cup,"butter, softened"
46,6603013,2,tablespoons,water
47,6603013,½,cup,butter
48,6603013,1,cup,water
49,6603013,1,teaspoon,almond extract
50,6603013,3,,"eggs, beaten"
51,6603013,1,cup,all-purpose flour
52,6603013,1,cup,confectioners' sugar
53,6603013,1,teaspoon,almond extract
54,6603013,1,tablespoon,"milk, or as needed"
55,6603013,2,tablespoons,candy sprinkles
56,6597706,2,cups,all-purpose flour
57,6597706,2,tablespoons,packed brown sugar
58,6597706,1,teaspoon,salt
59,6597706,1 ½,teaspoons,instant yeast
60,6597706,¾,cup,hot water
61,6597706,2,tablespoons,butter at room temperature
62,6604466,1,cup,lukewarm milk
63,6604466,1,,"egg, beaten"
64,6604466,1,tablespoon,"butter, room temperature"
65,6604466,3,tablespoons,white sugar
66,6604466,½,teaspoon,salt
67,6604466,3 ¼,cups,bread flour
68,6604466,¾,teaspoon,active dry yeast
69,6739524,1,cup,warm milk (110 degrees F/45 degrees C)
70,6739524,3,(0.6 ounce) cakes,cake yeast
71,6739524,6 ½,tablespoons,"butter, room temperature"
72,6739524,2,,eggs
73,6739524,½,teaspoon,ground cardamom
74,6739524,2,tablespoons,white sugar
75,6739524,¼,teaspoon,salt
76,6739524,4,cups,"all-purpose flour, or as needed"
77,6592894,¾,cup,milk
78,6592894,¼,cup,butter
79,6592894,2,cups,bread flour
80,6592894,2,cups,all-purpose flour
81,6592894,2,teaspoons,active dry yeast
82,6592894,¼,cup,white sugar
83,6592894,¼,cup,water (Optional)
84,6592894,1,large,egg
85,6592894,¾,teaspoon,salt
86,6584625,1,(8 ounce) package,refrigerated crescent rolls
87,6584625,½,cup,fresh blueberries
88,6584625,¼,cup,confectioners' sugar
89,6584625,¼,cup,prepared vanilla frosting (Optional)
90,6600439,½,cup,warm milk
91,6600439,1,tablespoon,white sugar
92,6600439,1,(.25 ounce) envelope,active dry yeast
93,6600439,1,cup,heavy cream
94,6600439,3 ½,cups,all-purpose flour
95,6600439,¼,cup,white sugar
96,6600439,1,teaspoon,salt
97,6600439,1,teaspoon,ground cardamom
98,6600439,½,cup,"butter, cut into small pieces"
99,6575787,⅓,cup,superfine sugar
100,6575787,¼,cup,"unsalted butter, softened"
101,6575787,2,,large egg yolks
102,6575787,¼,teaspoon,almond extract
103,6575787,1,cup,ground almonds
104,6575787,1,tablespoon,all-purpose flour
105,6575787,1,,"sheet puff pastry, thawed and rolled out into a 16x16-inch square"
106,6575787,1,,egg
107,6575787,1,tablespoon,water
108,6575787,2,tablespoons,"sliced almonds, or to taste"
109,6575787,2,tablespoons,"superfine sugar, or to taste"
110,6595269,1,cup,"unsalted butter, divided"
111,6595269,2,cups,"all-purpose flour, divided"
112,6595269,1,tablespoon,"water, or as needed"
113,6595269,1,cup,water
114,6595269,3,,eggs
115,6595269,1,teaspoon,almond extract
116,6595269,1,cup,confectioners' sugar
117,6595269,1,tablespoon,heavy cream
118,6595269,1,tablespoon,"unsalted butter, softened"
119,6595269,2,teaspoons,"almond extract, divided"
120,6739106,1,(17.25 ounce) package,"frozen puff pastry, thawed"
121,6739106,6,tablespoons,chocolate hazelnut spread
122,6739106,3,tablespoons,all fruit raspberry jam
123,6739106,1,,"egg, beaten"
124,6739106,¼,cup,confectioners' sugar for dusting (Optional)
125,6572530,2,cups,gluten-free pancake mix
126,6572530,¼,cup,"butter, room temperature"
127,6572530,2,tablespoons,white sugar
128,6572530,⅔,cup,milk
129,6572530,½,teaspoon,almond extract
130,6572530,¼,cup,raspberry jam
131,6572530,⅔,cup,confectioners' sugar
132,6572530,2,tablespoons,"milk, or more as needed"
133,6572530,½,teaspoon,vanilla extract
134,6572530,¼,teaspoon,almond extract
135,6595328,2,(8 ounce) tubes,"refrigerated crescent roll dough, divided"
136,6595328,1,(8 ounce) can,almond paste
137,6595328,1,(8 ounce) container,mascarpone cheese
138,6595328,½,cup,white sugar
139,6595328,1,large,"egg, separated, divided"
140,6595328,2 ¼,ounces,sliced almonds
141,6595328,1,tablespoon,"white sugar, or as needed"
142,6595328,½,cup,powdered sugar
143,6595328,2,tablespoons,water
144,6578498,4,cups,"all-purpose flour, or more as needed, divided"
145,6578498,½,cup,white sugar
146,6578498,1 ½,teaspoons,active dry yeast
147,6578498,½,teaspoon,salt
148,6578498,1,cup,milk
149,6578498,½,cup,butter
150,6578498,1,,egg
151,6572831,1,(24 ounce) carton,cottage cheese
152,6572831,3,,"apples - peeled, cored and thinly sliced"
153,6572831,1,teaspoon,lemon juice
154,6572831,1,(8 ounce) package,"cream cheese, at room temperature"
155,6572831,½,cup,white sugar
156,6572831,1,,egg
157,6572831,1,teaspoon,vanilla extract
158,6572831,1,(17.5 ounce) package,"frozen puff pastry, thawed"
159,6572831,3,tablespoons,white sugar for decoration
160,6576697,,,nonstick cooking spray
161,6576697,2,(8 ounce) packages,"cream cheese, softened"
162,6576697,1,cup,white sugar
163,6576697,1,,egg
164,6576697,1,teaspoon,vanilla extract
165,6576697,2,(8 ounce) cans,refrigerated crescent roll dough
166,6576697,½,cup,powdered sugar
167,6576697,1,tablespoon,milk
168,6578229,1,tablespoon,active dry yeast
169,6578229,¼,cup,warm water (110 degrees F/45 degrees C)
170,6578229,1,,"lemon, juiced and zested"
171,6578229,1,cup,milk
172,6578229,½,cup,"margarine, softened"
173,6578229,1,teaspoon,salt
174,6578229,½,cup,white sugar
175,6578229,2,,"eggs, beaten"
176,6578229,4 ½,cups,all-purpose flour
177,6578229,2,teaspoons,ground cinnamon
178,6578229,¼,cup,white sugar
179,6578229,¾,cup,chopped pecans
180,6578229,¼,teaspoon,vanilla extract
