,id_recipe,Quantity,Unit of Measure,Ingredient
0,6664968,3,large,"eggplant, peeled and thinly sliced"
1,6664968,2,large,"eggs, beaten"
2,6664968,4,cups,Italian seasoned bread crumbs
3,6664968,6,cups,"spaghetti sauce, divided"
4,6664968,1,(16 ounce) package,"mozzarella cheese, shredded and divided"
5,6664968,½,cup,"grated Parmesan cheese, divided"
6,6664968,½,teaspoon,dried basil
7,6739023,½,cup,Italian bread crumbs
8,6739023,¼,cup,freshly grated Parmesan cheese
9,6739023,1,teaspoon,Italian seasoning
10,6739023,1,teaspoon,salt
11,6739023,½,teaspoon,dried basil
12,6739023,½,teaspoon,garlic powder
13,6739023,½,teaspoon,onion powder
14,6739023,½,teaspoon,freshly ground black pepper
15,6739023,¼,cup,flour
16,6739023,2,large,"eggs, beaten"
17,6739023,1,medium,"eggplant, sliced into 1/2-inch rounds"
18,6739023,1,cup,"marinara sauce, or more to taste"
19,6739023,8,slices,"mozzarella cheese, or as needed"
20,6740892,2,,"eggplant, peeled and cut into 1/2-inch slices"
21,6740892,1,tablespoon,"salt, or as needed"
22,6740892,1,cup,Italian-style bread crumbs
23,6740892,¼,cup,grated Parmesan cheese
24,6740892,2,,"eggs, beaten"
25,6740892,1,(28 ounce) jar,garlic-and-tomato pasta sauce
26,6740892,¼,cup,grated Parmesan cheese
27,6740892,1,(16 ounce) package,"shredded mozzarella cheese, or as needed"
28,6740892,½,teaspoon,dried basil
29,6585626,1,large,egg
30,6585626,1,tablespoon,water
31,6585626,1,cup,"dried bread crumbs, seasoned"
32,6585626,1,,"small eggplant, cut into 3/4 inch thick slices"
33,6585626,¼,cup,"vegetable oil, or as needed"
34,6585626,1 ½,cups,shredded mozzarella cheese
35,6585626,¼,cup,spaghetti sauce
36,6585626,¼,teaspoon,crushed red pepper flakes
37,6585626,3,tablespoons,grated Parmesan cheese
38,6738940,2,medium,"eggplants, cut in half lengthwise and hollowed out to 1/4 inch flesh rim"
39,6738940,2,tablespoons,olive oil
40,6738940,½,cup,chopped onion
41,6738940,2,cloves,"garlic, crushed"
42,6738940,1,teaspoon,dried oregano
43,6738940,,,freshly ground black pepper to taste
44,6738940,¼,cup,grated Parmesan cheese
45,6738940,½,cup,bread crumbs
46,6738940,1,teaspoon,chopped fresh Italian parsley
47,6738940,2,cups,tomato sauce
48,6738940,1,cup,shredded mozzarella cheese
49,6595211,1 ½,cups,gluten-free bread crumbs (such as Hodgson Mill®)
50,6595211,1,,"eggplant, peeled into long strips 1/4-inch thick"
51,6595211,2,,"eggs, beaten"
52,6595211,¾,cup,"grated Parmesan cheese, divided"
53,6595211,2,tablespoons,olive oil
54,6595211,1,(16 ounce) jar,"spaghetti sauce, divided"
55,6595211,1,(8 ounce) package,"shredded mozzarella cheese, divided"
56,6595211,1,pinch,dried basil
57,6570994,4,,"eggplant, peeled and cut into 1/2-inch slices"
58,6570994,1,tablespoon,"salt, or as needed"
59,6570994,1,cup,"extra-virgin olive oil, or as needed"
60,6570994,2,,eggs
61,6570994,⅓,cup,water
62,6570994,3,tablespoons,all-purpose flour
63,6570994,⅓,cup,seasoned bread crumbs
64,6570994,½,cup,grated Parmesan cheese
65,6570994,1,(32 ounce) jar,prepared marinara sauce
66,6570994,1,(16 ounce) package,"mozzarella cheese, sliced"
67,6737689,,,canola oil for frying
68,6737689,2,cups,Italian seasoned bread crumbs
69,6737689,2,cups,all-purpose flour
70,6737689,¾,cup,"grated Parmesan cheese, divided"
71,6737689,3,large,"eggs, beaten"
72,6737689,1,,"eggplant, peeled and sliced"
73,6737689,1,(13.5 ounce) jar,roasted garlic flavored spaghetti sauce (such as Ragu® Roasted Garlic Pasta Sauce)
74,6737689,½,teaspoon,garlic powder
75,6736766,1,,"eggplant, cut into 3/4 inch slices"
76,6736766,1 ½,tablespoons,salt
77,6736766,8,tablespoons,olive oil
