,id_recipe,Quantity,Unit of Measure,Ingredient
0,6588199,1,tablespoon,vegetable oil
1,6588199,1,cup,diced onion
2,6588199,3,tablespoons,chopped garlic
3,6588199,1,teaspoon,dried oregano
4,6588199,1,teaspoon,ground cumin
5,6588199,¼,teaspoon,ground cinnamon
6,6588199,3,tablespoons,all-purpose flour
7,6588199,5,tablespoons,hot chili powder
8,6588199,4 ½,cups,chicken broth
9,6588199,½,(1 ounce) square,semisweet chocolate
10,6648617,2 ¼,pounds,"small green tomatillos, husks removed"
11,6648617,3,,serrano peppers
12,6648617,2,cloves,garlic
13,6648617,1,cup,vegetable oil for frying
14,6648617,9,,corn tortillas
15,6648617,3,cups,water
16,6648617,4,teaspoons,chicken bouillon granules
17,6648617,½,,"store-bought rotisserie chicken, meat removed and shredded"
18,6648617,¼,head,"iceberg lettuce, shredded"
19,6648617,1,cup,cilantro leaves
20,6648617,1,(8 ounce) container,"Mexican crema, crema fresca"
21,6648617,1,cup,grated cotija cheese
22,6649503,2,pounds,ground beef
23,6649503,¼,medium,"onion, finely chopped"
24,6649503,1 ¼,cups,"shredded Cheddar cheese, divided"
25,6649503,½,cup,sour cream
26,6649503,1,tablespoon,dried parsley
27,6649503,1,tablespoon,taco seasoning
28,6649503,1,teaspoon,dried oregano
29,6649503,½,teaspoon,ground black pepper
30,6649503,2 ½,cups,enchilada sauce
31,6649503,1 ½,teaspoons,chili powder
32,6649503,1,clove,"garlic, minced"
33,6649503,½,teaspoon,salt
34,6649503,8,,flour tortillas
35,6649503,1,(15 ounce) can,"black beans, rinsed and drained"
36,6649503,1,(4 ounce) can,"sliced black olives, drained"
37,6648696,1,tablespoon,"olive oil, or as needed"
38,6648696,4,,"skinless, boneless chicken breast halves"
39,6648696,1,,"onion, chopped"
40,6648696,1 ¾,cups,"shredded Cheddar cheese, divided"
41,6648696,½,pint,sour cream
42,6648696,1,tablespoon,dried parsley
43,6648696,½,teaspoon,dried oregano
44,6648696,½,teaspoon,ground black pepper
45,6648696,1,(15 ounce) can,tomato sauce
46,6648696,⅓,cup,chopped green bell pepper
47,6648696,1,clove,"garlic, minced"
48,6648696,1,tablespoon,chili powder
49,6648696,½,teaspoon,salt (Optional)
50,6648696,½,cup,water (Optional)
51,6648696,8,(10 inch),flour tortillas
52,6648696,1,(12 ounce) jar,taco sauce
53,6664579,4,,"skinless, boneless chicken breast halves"
54,6664579,,,garlic salt to taste
55,6664579,18,(6 inch),"corn tortillas, torn in half"
56,6664579,1,(28 ounce) can,green chile enchilada sauce
57,6664579,1,(16 ounce) package,shredded Monterey Jack cheese
58,6664579,1,(8 ounce) container,reduced fat sour cream
59,6664015,1,(10.5 ounce) can,condensed cream of chicken soup
60,6664015,½,cup,sour cream
61,6664015,1,tablespoon,margarine
62,6664015,1,,"onion, chopped"
63,6664015,1,teaspoon,chili powder
64,6664015,2,cups,chopped cooked chicken breast
65,6664015,1,(4 ounce) can,"chopped green chile peppers, drained"
66,6664015,8,,(8 inch) flour tortillas
67,6664015,1,cup,shredded Cheddar cheese
68,6651064,1,tablespoon,butter
69,6651064,½,cup,sliced green onions
70,6651064,2,cloves,"garlic, minced"
71,6651064,1,(10 ounce) package,"frozen chopped spinach , thawed, drained and squeezed dry"
72,6651064,2,cups,"shredded Monterey Jack cheese, divided"
73,6651064,1,cup,ricotta cheese
74,6651064,½,cup,sour cream
75,6651064,10,(6 inch),corn tortillas
76,6651064,1,(19 ounce) can,enchilada sauce
77,6650247,1,tablespoon,butter
78,6650247,½,cup,chopped green onions
79,6650247,½,teaspoon,garlic powder
80,6650247,1,(10.5 ounce) can,condensed cream of mushroom soup
81,6650247,1,(4 ounce) can,diced green chiles
82,6650247,½,cup,sour cream
83,6650247,1 ½,cups,cubed cooked chicken breast meat
84,6650247,1,cup,"shredded Cheddar cheese, divided"
85,6650247,6,(12 inch),flour tortillas
86,6650247,¼,cup,milk
87,6738859,2,tablespoons,butter
88,6738859,⅔,cup,chopped Spanish onion
89,6738859,2,tablespoons,all-purpose flour
90,6738859,1 ½,cups,chicken broth
91,6738859,1,cup,chopped green chile peppers
92,6738859,1,clove,"garlic, minced"
93,6738859,¾,teaspoon,salt
94,6738859,1,pinch,ground cumin
95,6648989,6,,dried chile de arbol peppers
96,6648989,¾,cup,"water, or as needed"
97,6648989,1,clove,garlic
98,6648989,1,teaspoon,salt
99,6648989,1,cup,vegetable oil for frying
100,6648989,18,(6 inch),corn tortillas
101,6648989,3,cups,"crumbled queso fresco, divided"
102,6648602,,,cooking spray
103,6648602,2,(16 ounce) cans,refried beans
104,6648602,2,cups,"shredded Mexican cheese blend, divided"
105,6648602,½,cup,chopped onion
106,6648602,12,(6 inch),corn tortillas
107,6648602,2,(10 ounce) cans,red enchilada sauce
108,6663725,2,pounds,"skinless, boneless chicken breast meat - cut into chunks"
109,6663725,1 ¼,cups,sour cream
110,6663725,1,(10.5 ounce) can,condensed cream of chicken soup
111,6663725,¼,teaspoon,chili powder
112,6663725,1,tablespoon,butter
113,6663725,1,small,"onion, chopped"
114,6663725,1,cup,water
115,6663725,1,bunch,"green onions, chopped, divided"
116,6663725,1,(4 ounce) can,"chopped green chiles, drained"
117,6663725,1,(1.25 ounce) package,mild taco seasoning mix
118,6663725,1,teaspoon,lime juice
119,6663725,½,teaspoon,onion powder
120,6663725,½,teaspoon,garlic powder
121,6663725,5,(12 inch),flour tortillas
122,6663725,3,cups,shredded Cheddar cheese
123,6663725,1,(10 ounce) can,enchilada sauce
124,6663725,1,(6 ounce) can,"sliced black olives, drained"
125,6591661,1,(10 ounce) can,Old El Paso® Red Enchilada Sauce
126,6591661,2 ½,cups,shredded deli rotisserie chicken
127,6591661,1 ½,cups,shredded Cheddar cheese
128,6591661,1,(8 ounce) package,"cream cheese, cut into 1/2-inch cubes"
129,6591661,1,(1 ounce) package,fajita seasoning mix*
130,6591661,10,,Old El Paso® flour tortillas for soft tacos & fajitas (6 inch)
131,6650990,1,pound,lean ground beef
132,6650990,1,small,"onion, chopped"
133,6650990,1,(1.5 ounce) package,dry enchilada sauce mix
134,6650990,10,(10 inch),flour tortillas
135,6650990,2,cups,"shredded Cheddar cheese, divided"
136,6650990,1,(2.25 ounce) can,"sliced black olives, drained"
137,6579103,1,tablespoon,butter
138,6579103,1,medium,"onion, chopped"
139,6579103,½,pound,fresh crabmeat
140,6579103,¼,pound,"shrimp - peeled, deveined and coarsely chopped"
141,6579103,8,ounces,"Colby cheese, shredded"
142,6579103,6,(10 inch),flour tortillas
143,6594038,2,cups,shredded Cheddar-Monterey Jack cheese blend
144,6594038,1,(19 ounce) can,red enchilada sauce
145,6594038,1,medium,"onion, chopped"
146,6594038,1,(2 ounce) can,sliced black olives
147,6594038,1,tablespoon,"oil, divided, or more as needed"
148,6594038,24,(6 inch),corn tortillas
149,6594038,4,cups,"cooked turkey, chopped"
150,6570892,3,pounds,beef chuck roast
151,6570892,¼,cup,water
152,6570892,1 ½,cups,beef broth
153,6570892,3,tablespoons,red wine vinegar
154,6570892,2,tablespoons,chili powder
155,6570892,1,tablespoon,ground cumin
156,6577309,1 ½,teaspoons,chili powder
157,6577309,1,teaspoon,salt
158,6577309,1,teaspoon,ground cumin
159,6577309,1 ½,pounds,"skinless, boneless chicken breasts, or more to taste"
160,6577309,½,cup,chicken broth
161,6577309,3,cups,"shredded Monterey Jack cheese, divided"
162,6577309,2,(10 ounce) cans,"green enchilada sauce, divided"
163,6577309,1,(4 ounce) can,chopped green chilies
164,6577309,½,cup,chopped onion
165,6577309,2,,"jalapeño peppers, chopped, or more to taste"
166,6577309,1,tablespoon,olive oil
167,6577309,16,,"corn tortillas, or more to taste"
168,6577309,1,(10 ounce) can,red enchilada sauce
169,6573101,1,pound,"skinless, boneless chicken breast halves"
170,6573101,1,(8 ounce) package,shredded Monterey Jack cheese
171,6573101,12,(10 inch),flour tortillas
172,6573101,1,(19 ounce) can,green enchilada sauce
173,6603839,2,tablespoons,"vegetable oil, or more as needed"
174,6603839,12,,corn tortillas
175,6603839,3,,"cooked boneless skinless chicken breast halves, shredded"
176,6603839,12,ounces,"shredded Monterey Jack cheese, divided"
177,6603839,¾,cup,minced onion
178,6603839,¼,cup,butter
179,6603839,¼,cup,all-purpose flour
180,6603839,2,cups,chicken broth
181,6603839,1,cup,sour cream
182,6603839,1,(4 ounce) can,"chopped green chiles, drained"
183,6603839,½,cup,chopped green onions
184,6603839,½,cup,chopped fresh cilantro
185,6585224,2,,bone-in chicken breast halves
186,6585224,2,cups,chicken broth
187,6585224,½,,"white onion, halved, divided"
188,6585224,2,teaspoons,salt
189,6585224,2,cloves,"garlic, divided"
190,6585224,1,pound,"fresh tomatillos, husks removed"
191,6585224,5,,"serrano peppers, or to taste"
192,6585224,1,pinch,salt
193,6585224,¼,cup,vegetable oil
194,6585224,12,,corn tortillas
195,6585224,1,cup,crumbled queso fresco
196,6585224,½,,"white onion, chopped"
197,6585224,1,bunch,"fresh cilantro, chopped"
198,6664816,1,(8 ounce) package,cream cheese
199,6664816,1,cup,salsa
200,6664816,2,cups,chopped cooked chicken breast meat
201,6664816,1,(15.5 ounce) can,"pinto beans, drained"
202,6664816,6,(6 inch),flour tortillas
203,6664816,2,cups,shredded Colby-Jack cheese
204,6649918,1,tablespoon,olive oil
205,6649918,1,,"green bell pepper, chopped"
206,6649918,1,,"onion, chopped"
207,6649918,3,cloves,"garlic, minced"
208,6649918,1,(15 ounce) can,"black beans, rinsed and drained"
209,6649918,1,(14.5 ounce) can,diced tomatoes and green chilies
210,6649918,¼,cup,picante sauce
211,6649918,1,tablespoon,chili powder
212,6649918,1,teaspoon,ground cumin
213,6649918,¼,teaspoon,red pepper flakes
214,6649918,2,cups,cooked brown rice
215,6649918,8,(6 inch),"flour tortillas, warmed"
216,6649918,1,cup,salsa
217,6649918,1,cup,shredded Cheddar cheese
218,6649918,3,tablespoons,chopped fresh cilantro leaves
219,6649918,¼,cup,shredded Cheddar cheese
220,6738111,1 ¼,pounds,"skinless, boneless chicken breast halves"
221,6738111,2,teaspoons,"kosher salt, divided"
222,6738111,2,teaspoons,"chili powder, divided"
223,6738111,1 ½,teaspoons,"ground cumin, divided"
224,6738111,12,(6 inch),flour tortillas
225,6738111,2,tablespoons,butter
226,6738111,1,tablespoon,olive oil
227,6738111,1,small,"onion, finely chopped"
228,6738111,1,medium,"poblano pepper, seeded and chopped"
229,6738111,1,small,"yellow bell pepper, finely chopped"
230,6738111,1,(10 ounce) can,diced tomatoes and green chiles (such as RO*TEL®)
231,6738111,½,(8 ounce) package,cream cheese
232,6738111,4,ounces,sour cream
233,6738111,4,cups,"shredded Cheddar-Monterey Jack cheese blend, divided"
234,6738111,1,cup,refried beans
