,id_recipe,Quantity,Unit of Measure,Ingredient
0,6587631,1 ½,(15 ounce) cans,"chickpeas, drained"
1,6587631,1 ½,,"onions, chopped"
2,6587631,¾,cup,chopped fresh parsley
3,6587631,3,cloves,"garlic, chopped"
4,6587631,2,,eggs
5,6587631,1,tablespoon,ground cumin
6,6587631,1 ½,teaspoons,ground coriander
7,6587631,1 ½,teaspoons,salt
8,6587631,1 ½,teaspoons,lemon juice
9,6587631,1 ½,teaspoons,baking powder
10,6587631,1,pinch,"ground black pepper, or to taste"
11,6587631,1,pinch,"cayenne pepper, or to taste"
12,6587631,1 ½,cups,bread crumbs
13,6587631,1,tablespoon,"olive oil, or as needed"
14,6650019,2,cups,dried split fava beans
15,6650019,1,,"red onion, quartered"
16,6650019,½,cup,fresh parsley
17,6650019,½,cup,fresh cilantro
18,6650019,½,cup,fresh dill
19,6650019,3,cloves,garlic
20,6650019,1 ½,teaspoons,ground coriander
21,6650019,1 ½,teaspoons,salt
22,6650019,1,teaspoon,ground cumin
23,6650019,1,cup,sesame seeds (Optional)
24,6650019,1,quart,"vegetable oil for frying, or as needed"
25,6650959,1,(6 ounce) container,plain yogurt
26,6650959,½,,"cucumber - peeled, seeded, and finely chopped"
27,6650959,1,tablespoon,mayonnaise (Optional)
28,6650959,1,teaspoon,dried dill weed
29,6650959,,,salt and pepper to taste
30,6738947,1,cup,dry garbanzo beans
31,6738947,½,,"yellow onion, diced"
32,6738947,½,cup,chopped fresh flat-leaf parsley
33,6738947,4,cloves,minced garlic
34,6738947,1,tablespoon,"all-purpose flour, or more as needed"
35,6738947,2,teaspoons,lemon juice
36,6738947,1 ½,teaspoons,"salt, or to taste"
37,6738947,1,teaspoon,ground cumin
38,6738947,½,teaspoon,ground coriander
39,6738947,¼,teaspoon,baking soda
40,6738947,⅛,teaspoon,cayenne pepper
41,6738947,,,oil for frying
42,6599348,1,(15 ounce) can,"chickpeas (garbanzo beans), drained and mashed with fork"
43,6599348,¾,cup,panko bread crumbs
44,6599348,1,small,"unpeeled red potato, shredded"
45,6599348,¼,cup,diced red onion
46,6599348,2,cloves,"garlic, crushed"
47,6599348,1,,egg
48,6599348,1,tablespoon,olive oil
49,6599348,1,tablespoon,chopped fresh cilantro
50,6599348,1,teaspoon,lemon juice
51,6599348,1,teaspoon,ground cumin
52,6599348,¼,teaspoon,salt
53,6599348,¼,teaspoon,ground black pepper
54,6599348,¼,cup,panko bread crumbs
55,6599348,1,cup,canola oil for frying
56,6599348,1,cup,plain yogurt
57,6599348,⅓,cup,finely chopped fresh dill
58,6599348,½,,"lemon, juiced"
59,6599348,½,teaspoon,garlic salt
60,6599348,¼,teaspoon,ground white pepper
61,6593265,¼,cup,chopped onion
62,6593265,1,(15 ounce) can,"garbanzo beans, rinsed and drained"
