,id_recipe,Quantity,Unit of Measure,Ingredient
0,6650657,24,ounces,dry fettuccine pasta
1,6650657,1,cup,butter
2,6650657,¾,pint,heavy cream
3,6650657,,,salt and pepper to taste
4,6650657,1,dash,garlic salt
5,6650657,¾,cup,grated Romano cheese
6,6650657,½,cup,grated Parmesan cheese
7,6649182,1,(16 ounce) package,fettuccine noodles
8,6649182,6,tablespoons,"butter, cut into pieces"
9,6649182,⅓,cup,grated Parmesan cheese
10,6649182,,,salt and ground black pepper to taste
11,6591131,8,ounces,fettuccini pasta
12,6591131,2,tablespoons,butter
13,6591131,3,,"skinless, boneless chicken breast halves - cut into chunks"
14,6591131,8,ounces,"mushrooms, sliced"
15,6591131,1,teaspoon,garlic salt
16,6591131,⅛,teaspoon,ground black pepper
17,6591131,1 ½,cups,heavy cream
18,6591131,¼,cup,grated Parmesan cheese
19,6737986,1,pound,fettuccini pasta
20,6737986,1,tablespoon,butter
21,6737986,1,pound,cooked shrimp - peeled and deveined
22,6737986,4,cloves,"garlic, minced"
23,6737986,1,cup,half-and-half
24,6737986,6,tablespoons,grated Parmesan cheese
25,6737986,1,tablespoon,chopped fresh parsley
26,6737986,,,salt to taste
27,6648995,8,ounces,fettuccine pasta
28,6648995,2,tablespoons,olive oil
29,6648995,¾,pound,"fresh white mushrooms, sliced"
30,6648995,¼,pound,"fresh shiitake mushrooms, stemmed and sliced"
31,6648995,,,salt and ground black pepper to taste
32,6648995,2,cloves,"garlic, minced"
33,6648995,2,fluid ounces,sherry
34,6648995,1,cup,chicken stock
35,6648995,1,cup,heavy whipping cream
36,6648995,1 ½,teaspoons,chopped fresh thyme
37,6648995,1 ½,teaspoons,chopped fresh chives
38,6648995,1 ½,teaspoons,chopped fresh tarragon
39,6648995,9,tablespoons,"freshly shredded Parmigiano-Reggiano cheese, divided"
40,6593113,5,teaspoons,olive oil
41,6593113,4,,"shallots, diced"
42,6593113,1,pound,"bacon, cut into strips"
43,6593113,1,large,"onion, cut into thin strips"
44,6593113,1,clove,"garlic, chopped"
45,6593113,1,(16 ounce) package,dry fettuccine pasta
46,6593113,¾,cup,shredded Parmesan cheese
47,6593113,½,cup,heavy cream
48,6593113,3,,egg yolks
49,6593113,,,salt and pepper to taste
50,6737400,1,(16 ounce) package,penne pasta
51,6737400,6,tablespoons,butter
52,6737400,½,,"onion, finely chopped"
53,6737400,2,tablespoons,all-purpose flour
54,6737400,2,teaspoons,garlic powder
55,6737400,2,cups,skim milk
56,6737400,½,cup,grated Romano cheese
57,6737400,1,cup,"frozen green peas, thawed and drained"
58,6737400,½,cup,"canned mushrooms, drained"
59,6737400,10,ounces,"smoked salmon, chopped"
60,6739401,8,ounces,"pasta, cooked, drained"
61,6739401,1,(14 ounce) package,"Hillshire Farm® Smoked Sausage, diagonally cut into 1/4-inch slices"
62,6739401,2,cups,heavy cream
63,6739401,2,teaspoons,Cajun seasoning
64,6739401,½,cup,grated Parmesan cheese
65,6579326,8,ounces,dry fettuccine pasta
66,6579326,2,tablespoons,olive oil
67,6579326,1,medium,"yellow onion, chopped"
68,6579326,3,cloves,"garlic, crushed"
69,6579326,1,medium,"lemon, juiced"
70,6579326,1,(3.75 ounce) can,sardines in tomato sauce
71,6579326,¼,cup,freshly grated Parmesan cheese
72,6579326,1,pinch,"red pepper flakes, or to taste"
73,6737857,1,pound,dry fettuccine pasta
74,6737857,2,cups,heavy whipping cream
75,6737857,1,cup,chopped green onions
76,6737857,1,cup,chopped parsley
77,6737857,1,tablespoon,chopped fresh basil
78,6737857,1,tablespoon,chopped fresh thyme
79,6737857,2,teaspoons,salt
80,6737857,2,teaspoons,ground black pepper
81,6737857,1 ½,teaspoons,crushed red pepper flakes
82,6737857,1,teaspoon,ground white pepper
83,6737857,½,pound,"shrimp, peeled and deveined"
84,6737857,½,pound,scallops
85,6737857,½,cup,shredded Swiss cheese
86,6737857,½,cup,grated Parmesan cheese
87,6738522,6,tablespoons,"butter, divided"
88,6738522,6,,"skinless, boneless chicken breast halves, cut into cubes"
89,6738522,4,cloves,"garlic, minced, divided"
90,6738522,1,tablespoon,Italian seasoning
91,6738522,1,(16 ounce) package,fettuccine pasta
92,6738522,1,,"onion, diced"
93,6738522,1,(8 ounce) package,sliced mushrooms
94,6738522,⅓,cup,all-purpose flour
95,6738522,1,tablespoon,salt
96,6738522,¾,teaspoon,ground white pepper
97,6738522,3,cups,milk
98,6738522,1,cup,half-and-half
99,6738522,8,ounces,shredded Colby-Monterey Jack cheese
100,6738522,¾,cup,grated Parmesan cheese
101,6738522,3,,"oma (plum) tomatoes, diced"
