,id_recipe,Quantity,Unit of Measure,Ingredient
0,6582418,1 ½,cups,white sugar
1,6582418,12,ounces,candied mixed fruit
2,6582418,1,cup,milk
3,6582418,¾,cup,butter
4,6582418,5,ounces,"glace cherries, roughly chopped"
5,6582418,2,ounces,candied mixed citrus peel
6,6582418,2,ounces,chopped walnuts
7,6582418,1,teaspoon,ground allspice
8,6582418,½,teaspoon,baking soda
9,6582418,12,ounces,sifted self-rising flour
10,6582418,2,large,eggs
11,6649648,2,cups,butter
12,6649648,2,cups,white sugar
13,6649648,9,large,eggs
14,6649648,¼,cup,white rum (Optional)
15,6649648,1,tablespoon,lime juice
16,6649648,1,tablespoon,almond extract
17,6649648,1,teaspoon,vanilla extract
18,6649648,1,,grated zest of one lime
19,6649648,2,pounds,chopped dried mixed fruit
20,6649648,2,cups,red wine
21,6649648,1,cup,dark molasses
22,6649648,2 ½,cups,all-purpose flour
23,6649648,3,teaspoons,baking powder
24,6649648,½,teaspoon,ground nutmeg
25,6649648,½,teaspoon,ground allspice
26,6649648,½,teaspoon,ground cinnamon
27,6649648,1,pinch,salt
28,6596143,1 ¾,cups,self-rising flour
29,6596143,½,cup,unsalted butter
30,6596143,1 ¼,cups,dried mixed fruit
31,6596143,½,cup,white sugar
32,6596143,1,tablespoon,white sugar
33,6596143,1,teaspoon,mixed spice (Optional)
34,6596143,5,tablespoons,milk
35,6596143,1,,egg
36,6596143,2,tablespoons,"light brown sugar, or as needed"
37,6594628,6,cups,golden raisins
38,6594628,3,cups,dried currants
39,6594628,1 ½,cups,pitted dates
40,6594628,6,cups,raisins
41,6594628,1,pound,candied mixed citrus peel
42,6594628,½,pound,candied cherries
43,6594628,2,cups,almonds
44,6594628,2,cups,butter
45,6594628,3 ¼,cups,all-purpose flour
46,6594628,3,teaspoons,baking powder
47,6594628,½,teaspoon,baking soda
48,6594628,½,teaspoon,salt
49,6594628,2,teaspoons,ground allspice
50,6594628,4,teaspoons,ground cinnamon
51,6594628,1,teaspoon,ground nutmeg
52,6594628,½,teaspoon,ground cloves
53,6594628,1,tablespoon,vanilla extract
54,6594628,1,tablespoon,almond extract
55,6594628,2,cups,white sugar
56,6594628,12,,egg yolks
57,6594628,½,cup,molasses
58,6594628,12,,egg whites
59,6594628,½,cup,grape juice
60,6594628,½,cup,strong brewed coffee
61,6595455,1,cup,water
62,6595455,4,cups,candied mixed fruit
63,6595455,1,cup,white sugar
64,6595455,¾,cup,butter
65,6595455,2,cups,all-purpose flour
66,6595455,1,teaspoon,baking soda
67,6595455,1,teaspoon,mixed spice
68,6595455,2,,"eggs, beaten"
69,6584090,3,cups,golden raisins
70,6584090,1 ½,cups,candied pineapple chunks
71,6584090,1 ½,cups,candied cherries
72,6584090,1,cup,dried currants
73,6584090,2,ounces,candied orange peel
74,6584090,2,ounces,candied citron peel
75,6584090,½,cup,orange juice
76,6584090,2,cups,"unsalted butter, softened"
77,6584090,4,cups,confectioners' sugar
78,6584090,8,large,"eggs, separated"
79,6584090,4,cups,"pecans, chopped"
80,6584090,3,cups,sifted all-purpose flour
81,6593435,2,cups,water
82,6593435,2,cups,raisins
83,6593435,1,cup,light molasses
84,6593435,1,cup,white sugar
85,6593435,⅔,cup,shortening
86,6593435,3,cups,all-purpose flour
87,6593435,1,teaspoon,baking soda
88,6593435,1,tablespoon,ground cinnamon
89,6568100,1,pound,halved candied cherries
90,6568100,4,cups,chopped pecans
91,6568100,1,(14 ounce) can,sweetened condensed milk
92,6568100,1,(14 ounce) can,coconut milk
93,6568100,1,cup,flaked coconut
94,6568100,1,cup,raisins
95,6568100,1,teaspoon,vanilla extract
96,6568100,1,(12 ounce) package,"vanilla wafers, crushed"
97,6593033,1,cup,chopped pecans
98,6593033,1,cup,chopped walnuts
99,6593033,1,cup,chopped raisins
100,6593033,1,(4 ounce) jar,"maraschino cherries, drained and chopped"
101,6593033,1,(14 ounce) can,sweetened condensed milk
102,6593033,1,(12 ounce) package,"vanilla wafers, crushed"
103,6585436,¾,cup,butter
104,6585436,1,cup,white sugar
105,6585436,2,,eggs
106,6585436,2,cups,all-purpose flour
107,6585436,2,teaspoons,baking powder
108,6585436,1,teaspoon,salt
109,6585436,1,teaspoon,almond extract
110,6585436,3,cups,golden raisins
111,6585436,½,cup,red candied cherries
112,6585436,1,cup,candied mixed fruit peel
113,6585436,1,(15 ounce) can,crushed pineapple with juice
114,6594651,1,cup,butter
115,6594651,2,cups,white sugar
116,6594651,3,,eggs
117,6594651,1,cup,warm water (110 degrees F/45 degrees C)
118,6594651,3 ½,cups,all-purpose flour
119,6594651,1 ½,teaspoons,baking powder
120,6594651,1 ½,teaspoons,salt
121,6594651,1,teaspoon,lemon extract
122,6594651,1,teaspoon,vanilla extract
123,6594651,1,cup,"gumdrops, chopped"
124,6594651,1,cup,raisins
125,6594651,¼,cup,all-purpose flour for coating
126,6581960,¼,cup,raisins
127,6581960,¼,cup,golden raisins
128,6581960,¼,cup,dried cranberries
129,6581960,¼,cup,dried cherries
130,6581960,5 ½,fluid ounces,spiced rum
131,6581960,1,,"orange, zested and juiced"
132,6581960,½,cup,brown rice flour
133,6581960,½,cup,almond meal
134,6581960,⅓,cup,potato starch
135,6581960,¼,cup,tapioca starch
136,6581960,1,teaspoon,ground cinnamon
137,6581960,½,teaspoon,ground nutmeg
138,6581960,¼,teaspoon,ground cloves
139,6581960,¼,teaspoon,ground cardamom
140,6581960,¼,teaspoon,ground ginger
141,6581960,1,teaspoon,baking powder
142,6581960,6,,"dates, pitted and chopped"
143,6581960,2,,"large dried figs, chopped"
144,6581960,¼,cup,"candied mixed fruit, chopped"
145,6581960,⅔,cup,"butter, at room temperature"
146,6581960,½,cup,raw cane sugar
147,6581960,1,teaspoon,vanilla extract
148,6581960,2,,"eggs, at room temperature"
149,6581960,½,cup,unsweetened applesauce
150,6581960,¼,cup,whole raw hazelnuts
151,6581960,¼,cup,raw walnut halves
152,6581960,¼,cup,raw pecan halves
153,6581960,¼,cup,raw whole almonds
154,6581960,1,ounce,candied mixed fruit slices
155,6581960,3,tablespoons,cherry brandy liqueur
156,6578955,2,cups,raisins
157,6578955,2,cups,flaked coconut
158,6578955,1,cup,chopped pecans
159,6578955,3,cups,"all-purpose flour, divided"
160,6578955,2,cups,white sugar
161,6578955,1,cup,butter
162,6578955,6,large,egg yolks
163,6578955,4,teaspoons,baking powder
164,6578955,2,teaspoons,ground cinnamon
165,6578955,1,teaspoon,nutmeg
166,6578955,1,teaspoon,ground cloves
167,6578955,1,cup,milk
168,6578955,6,large,egg whites
169,6599962,1,cup,raisins
170,6599962,1,cup,dried currants
171,6599962,⅓,cup,diced candied citrus peel
172,6599962,⅓,cup,"candied cherries, quartered"
173,6599962,2,tablespoons,grated orange zest
174,6599962,2,cups,"all-purpose flour, divided"
175,6599962,1,cup,"butter, softened"
176,6599962,1,cup,white sugar
177,6599962,4,large,eggs
178,6599962,1,ounce,ground almonds
179,6599962,1,teaspoon,baking powder
180,6599962,½,cup,whole almonds
181,6599962,1,tablespoon,corn syrup
182,6604185,3,cups,dried currants
183,6604185,1 ¼,cups,raisins
184,6604185,1,cup,sultana raisins
185,6604185,½,cup,"candied red cherries, chopped"
186,6604185,8,fluid ounces,brandy
187,6604185,1,large,"orange, zested"
188,6604185,1,large,"lemon, zested"
189,6604185,1,cup,"unsalted butter, softened"
190,6604185,2,tablespoons,"unsalted butter, softened"
191,6604185,1,cup,brown sugar
192,6604185,2,tablespoons,brown sugar
193,6604185,3,large,"eggs, beaten"
194,6604185,1,tablespoon,"molasses, or more to taste"
195,6604185,1,cup,chopped almonds
196,6604185,1,cup,all-purpose flour
197,6604185,½,cup,self-rising flour
198,6604185,½,cup,ground almonds
199,6604185,2,teaspoons,mixed spice
200,6580123,2,cups,raisins
201,6580123,2,cups,water
202,6580123,1,cup,packed brown sugar
203,6580123,¾,cup,shortening
204,6580123,3,cups,all-purpose flour
205,6580123,4,teaspoons,ground cinnamon
206,6580123,2,teaspoons,baking soda
207,6580123,1,teaspoon,ground nutmeg
208,6580123,1,teaspoon,ground cloves
209,6580123,1,teaspoon,salt
210,6566890,3,cups,raisins
211,6566890,2,cups,currants
212,6566890,1,cup,prunes
213,6566890,⅔,cup,candied mixed peel
214,6566890,1 ¼,cups,cherry brandy
215,6566890,½,cup,dark brown sugar
216,6566890,6,tablespoons,dark rum
217,6566890,1,teaspoon,mixed spice
218,6588661,1,cup,chopped candied orange peel
219,6588661,1,cup,chopped candied citron
220,6588661,1,cup,chopped candied pineapple
221,6588661,1,cup,halved red candied cherries
222,6588661,1,cup,halved green candied cherries
223,6588661,1,cup,dried currants
224,6588661,1,cup,raisins
225,6588661,1,cup,chopped pitted dates
226,6588661,1,cup,chopped walnuts
227,6588661,¾,cup,chopped almonds
228,6588661,½,cup,orange juice
229,6588661,⅔,cup,bourbon whiskey
230,6588661,4,cups,all-purpose flour
231,6588661,2,teaspoons,ground cinnamon
232,6588661,2,teaspoons,ground nutmeg
233,6588661,1,teaspoon,ground cloves
234,6588661,1,teaspoon,ground allspice
235,6588661,1,teaspoon,ground ginger
236,6588661,2,teaspoons,unsweetened cocoa powder
237,6588661,1,teaspoon,baking powder
238,6588661,½,teaspoon,salt
239,6588661,1 ½,cups,"butter, room temperature"
240,6588661,1,cup,packed brown sugar
241,6588661,½,cup,white sugar
242,6588661,6,,egg yolks
243,6588661,¾,cup,applesauce
244,6588661,½,cup,bourbon whiskey
245,6588661,1,teaspoon,vanilla extract
246,6588661,½,cup,molasses
247,6588661,6,,egg whites
248,6591249,1,tablespoon,"butter for greasing, or as needed"
249,6591249,2 ½,cups,sifted all-purpose flour
250,6591249,1,teaspoon,baking soda
251,6591249,1,(28 ounce) jar,prepared mincemeat pie filling
252,6591249,2,cups,candied mixed fruit
253,6591249,1,(14 ounce) can,sweetened condensed milk
254,6591249,1,cup,chopped walnuts
255,6591249,2,large,"eggs, lightly beaten"
256,6602426,1 ½,pounds,blanched whole almonds
257,6602426,1,pound,Brazil nuts
258,6602426,½,pound,walnut halves
259,6602426,½,pound,pecan halves
260,6602426,1 ½,pounds,pitted dates
261,6602426,⅓,pound,red candied cherries
262,6602426,⅓,pound,green candied cherries
263,6602426,1,cup,all-purpose flour
264,6602426,1,cup,white sugar
265,6602426,1,teaspoon,baking powder
266,6602426,¾,teaspoon,salt
267,6602426,4,,eggs
268,6602426,2,teaspoons,vanilla extract
269,6739405,1,pound,candied cherries
270,6739405,1,pound,candied pineapple
271,6739405,1,pound,pitted dates
272,6739405,1,pound,chopped pecans
273,6739405,4,(8 ounce) packages,flaked coconut
274,6739405,3,tablespoons,all-purpose flour
275,6739405,2,(14 ounce) cans,sweetened condensed milk
276,6599436,1,cup,"margarine, softened"
277,6599436,1,cup,light brown sugar
278,6599436,4,,eggs
279,6599436,1.7999999523163,cups,self-rising flour
280,6599436,1 ⅓,cups,golden raisins
281,6599436,1,cup,dried currants
282,6599436,⅔,cup,"candied cherries - rinsed, dried and quartered"
283,6599436,¼,cup,"candied mixed fruit peel, chopped"
284,6599436,2,tablespoons,grated lemon zest
285,6599436,2,teaspoons,mixed spice
286,6599436,1,pound,almond paste
287,6599436,2,tablespoons,apricot jam
288,6599436,1,,"egg, beaten"
289,6599827,1 ½,cups,white sugar
290,6599827,1,cup,shortening
291,6599827,2,,eggs
292,6599827,3 ¼,cups,all-purpose flour
293,6599827,1 ½,teaspoons,baking soda
294,6599827,2,teaspoons,ground cinnamon
295,6599827,1,teaspoon,ground allspice
296,6599827,1,teaspoon,ground cloves
297,6599827,½,teaspoon,salt
298,6599827,1 ½,cups,chopped walnuts
299,6599827,1 ½,cups,raisins
300,6599827,1 ½,cups,"dates, pitted and chopped"
301,6599827,½,cup,"maraschino cherries, coarsely chopped"
302,6599827,2,cups,applesauce
303,6599827,6,,"maraschino cherries, halved"
304,6599827,6,,pecan halves
305,6593080,3,cups,water
306,6593080,1 ½,cups,raisins
307,6593080,3,cups,all-purpose flour
308,6593080,2,tablespoons,ground cinnamon
309,6593080,1 ½,tablespoons,baking powder
310,6593080,1,tablespoon,baking soda
311,6593080,½,teaspoon,salt
312,6593080,1,pound,pecan halves
313,6593080,2,tablespoons,all-purpose flour
314,6593080,2,cups,white sugar
315,6593080,1 ½,cups,canola oil
316,6593080,4,,"eggs, beaten"
317,6593080,3,cups,candied fruit
318,6598512,1,serving,cooking spray with flour
319,6598512,1,(18.25 ounce) package,lemon cake mix (such as Duncan Hines® Lemon Supreme)
320,6598512,4,,eggs
321,6598512,½,cup,vegetable oil
322,6598512,1,(3 ounce) package,instant lemon pudding mix
323,6598512,1,tablespoon,lemon extract
324,6598512,1,tablespoon,vanilla extract
325,6598512,8,ounces,"candied red cherries, halved"
326,6598512,8,ounces,"candied pineapple slices, cut into thirds"
327,6598512,1 ½,cups,chopped pecans
328,6598512,1,cup,sweetened dried cranberries
329,6588101,1 ¼,cups,chopped pitted prunes
330,6588101,1 ¼,cups,raisins
331,6588101,¾,cup,"whole almonds, skin removed"
332,6588101,¾,cup,chopped walnuts
333,6588101,¾,cup,toasted hazelnuts
334,6588101,2,tablespoons,white sugar
335,6588101,1,tablespoon,orange marmalade
336,6588101,2,tablespoons,chopped candied orange peel
337,6588101,½,teaspoon,"ground cinnamon, or to taste"
338,6588101,2,tablespoons,white wine
339,6588101,2,tablespoons,extra virgin olive oil
340,6588101,¾,cup,"all-purpose flour, or more as needed"
341,6576151,4,cups,all-purpose flour
342,6576151,2,cups,white sugar
343,6576151,¼,cup,unsweetened cocoa powder
344,6576151,2,tablespoons,cornstarch
345,6576151,2,teaspoons,baking soda
346,6576151,1,teaspoon,salt
347,6576151,2,teaspoons,ground cinnamon
348,6576151,2,teaspoons,ground cloves
349,6576151,3,cups,unsweetened applesauce
350,6576151,¾,cup,vegetable oil
351,6576151,1,cup,raisins
352,6576151,1,cup,chopped pitted dates
353,6576151,1,pound,candied mixed fruit
354,6576151,2,cups,chopped walnuts
355,6576151,½,cup,walnut halves (Optional)
356,6576151,1,cup,halved candied cherries (Optional)
357,6738391,½,cup,"dates, pitted and chopped"
358,6738391,½,cup,dried cherries
359,6738391,½,cup,golden raisins
360,6738391,½,cup,dried blueberries
361,6738391,½,cup,"dried apricots, chopped"
362,6738391,¼,cup,"crystallized ginger, chopped"
363,6738391,½,cup,spiced rum
364,6738391,½,cup,strongly brewed chai tea
365,6738391,1,cup,orange juice
366,6738391,¾,cup,unsalted butter
367,6738391,½,cup,white sugar
368,6738391,1,,"orange, zested"
369,6738391,1,,"lemon, zested"
370,6738391,1,,cinnamon stick
371,6738391,1 ¾,cups,all-purpose flour
372,6738391,1 ½,teaspoons,salt
373,6738391,1,teaspoon,baking soda
374,6738391,1,teaspoon,baking powder
375,6738391,¼,teaspoon,ground cinnamon
376,6738391,¼,teaspoon,ground allspice
377,6738391,¼,teaspoon,ground nutmeg
378,6738391,,,baking spray
379,6738391,2,,"eggs, lightly beaten"
380,6738391,¾,cup,"unsalted mixed nuts, chopped"
381,6601280,2,cups,candied cherries
382,6601280,1,cup,raisins
383,6601280,1,cup,blanched almonds
384,6601280,1,cup,dried pineapple pieces
385,6601280,3 ½,cups,"all-purpose flour, divided"
386,6601280,2,cups,white sugar
387,6601280,1 ½,cups,butter
388,6601280,6,,eggs
389,6601280,1,teaspoon,baking powder
390,6601280,¼,teaspoon,salt
391,6601280,1,teaspoon,vanilla extract
392,6601280,1,teaspoon,almond extract
393,6586659,1 ½,cups,"brewed black tea, cold"
394,6586659,1,cup,packed light brown sugar
395,6586659,1 ¼,cups,golden raisins
396,6586659,¼,cup,chopped candied citron
397,6586659,1 ¼,cups,self-rising flour
398,6586659,1,,"egg, beaten"
399,6590520,2,cups,ground almonds
400,6590520,3,cups,red candied cherries
401,6590520,1 ½,cups,green candied cherries
402,6590520,1,(8 ounce) package,diced candied citron
403,6590520,6,cups,golden raisins
404,6590520,8,ounces,"candied pineapple, diced"
405,6590520,1,cup,all-purpose flour
406,6590520,1,cup,shortening
407,6590520,1,cup,all-purpose flour
408,6590520,2 ⅔,cups,white sugar
409,6590520,8,,egg yolks
410,6590520,4,teaspoons,almond extract
411,6590520,⅔,cup,brandy
412,6590520,⅔,cup,milk
413,6590520,4 ½,cups,all-purpose flour
414,6590520,8,,egg whites
415,6590520,1 ½,teaspoons,cream of tartar
416,6739959,¼,cup,dried cranberries
417,6739959,¼,cup,dried currants
418,6739959,⅛,cup,chopped dried cherries
419,6739959,⅛,cup,chopped dried mango
420,6739959,⅛,cup,chopped candied citron
421,6739959,¼,cup,dark rum
422,6601159,2,cups,bourbon
423,6601159,8,ounces,golden raisins
424,6601159,16,ounces,"red candied cherries, halved"
425,6601159,¾,pound,butter
426,6601159,2,cups,white sugar
427,6601159,6,,egg yolks
428,6601159,6,,egg whites
429,6601159,2,cups,packed brown sugar
430,6601159,2,teaspoons,ground nutmeg
431,6601159,1,teaspoon,baking powder
432,6601159,5,cups,all-purpose flour
433,6601159,1,pound,chopped pecans
434,6601159,1,cup,bourbon
435,6594086,1 ½,cups,raisins
436,6594086,1,cup,red and green candied cherries
437,6594086,¾,cup,"dates, pitted and chopped"
438,6594086,¾,cup,"candied pineapple, diced"
439,6594086,¾,cup,chopped walnuts
440,6594086,½,cup,flaked coconut
441,6594086,3,cups,all-purpose flour
442,6594086,1,teaspoon,baking powder
443,6594086,½,teaspoon,salt
444,6594086,1,cup,butter
445,6594086,1 ¼,cups,white sugar
446,6594086,1,teaspoon,lemon zest
447,6594086,4,,eggs
448,6594086,2,teaspoons,lemon juice
449,6591216,2,(8 ounce) containers,candied cherries
450,6591216,1,(8 ounce) container,candied mixed citrus peel
451,6591216,2,(2.25 ounce) packages,blanched slivered almonds
452,6591216,2,cups,raisins
453,6591216,1,cup,dried currants
454,6591216,1,cup,"dates, pitted and chopped"
455,6591216,½,cup,brandy
456,6591216,2 ½,cups,"all-purpose flour, divided"
457,6591216,1,teaspoon,ground cloves
458,6591216,1,teaspoon,ground allspice
459,6591216,1,teaspoon,ground cinnamon
460,6591216,½,teaspoon,baking soda
461,6591216,½,teaspoon,salt
462,6591216,¾,cup,molasses
463,6591216,¾,cup,apple juice
464,6591216,1,cup,"unsalted butter, softened"
465,6591216,2,cups,packed brown sugar
466,6591216,6,large,eggs
467,6585187,2,cups,packed brown sugar
468,6585187,3,cups,all-purpose flour
469,6585187,1,tablespoon,baking soda
470,6585187,2,tablespoons,ground cinnamon
471,6585187,2,tablespoons,ground cloves
472,6585187,2,tablespoons,ground allspice
473,6585187,2,tablespoons,ground nutmeg
474,6585187,4,,eggs
475,6585187,2,tablespoons,lemon zest
476,6585187,2,tablespoons,vanilla extract
477,6585187,½,cup,brandy
478,6585187,1 ½,cups,raisins
479,6585187,1 ½,cups,chopped nuts
480,6585187,1 ½,cups,dried mixed fruit
481,6585187,1 ½,cups,"butter, melted"
482,6585187,1 ¾,cups,brandy
483,6581806,2,pounds,"dates, pitted and chopped"
484,6581806,2,pounds,"English walnuts, coarsely chopped"
485,6581806,1 ¼,cups,all-purpose flour
486,6581806,1,cup,white sugar
487,6581806,1,tablespoon,baking powder
488,6581806,4,large,egg yolks
489,6581806,4,large,egg whites
490,6576212,12,cups,raisins
491,6576212,3,cups,dried currants
492,6576212,2,pounds,candied mixed fruit
493,6576212,1,pound,candied cherries
494,6576212,1,(16 ounce) jar,"maraschino cherries, drained"
495,6576212,1 ¼,cups,"dates, pitted and chopped"
496,6576212,1,cup,all-purpose flour
497,6576212,2,cups,"butter, softened"
498,6576212,2,cups,white sugar
499,6576212,12,,egg yolks
500,6576212,1,(20 ounce) can,crushed pineapple with juice
501,6576212,1,tablespoon,vanilla extract
502,6576212,2 ¼,cups,all-purpose flour
503,6576212,1,tablespoon,baking powder
504,6576212,½,teaspoon,baking soda
505,6576212,1,teaspoon,salt
506,6576212,4,teaspoons,cocoa
507,6576212,4,teaspoons,ground cinnamon
508,6576212,2,teaspoons,ground nutmeg
509,6576212,1,cup,orange juice
510,6576212,4,cups,whole or chopped walnuts
511,6576212,12,,egg whites
512,6570369,1,cup,dried apricots
513,6570369,1,cup,water
514,6570369,¾,cup,butter
515,6570369,1,cup,white sugar
516,6570369,4,,eggs
517,6570369,1,cup,golden raisins
518,6570369,1,pound,red and green candied cherries
519,6570369,6,,candied pineapple slices
520,6570369,1,pound,dried mixed fruit
521,6570369,2,cups,"all-purpose flour, divided"
522,6570369,½,teaspoon,baking soda
523,6570369,½,teaspoon,salt
524,6570369,½,cup,apricot nectar
525,6570369,1,cup,chopped walnuts
526,6562504,,,cooking spray
527,6650351,2,(8 ounce) packages,"cream cheese, softened"
528,6650351,½,cup,white sugar
529,6650351,½,teaspoon,vanilla extract
530,6650351,2,large,eggs
531,6650351,1,(9 inch),prepared graham cracker crust
532,6649760,2,cups,white sugar
533,6649760,1 ¼,cups,vegetable oil
534,6649760,4,,eggs
535,6649760,2,teaspoons,vanilla extract
536,6649760,2,cups,all-purpose flour
537,6649760,2,teaspoons,baking soda
538,6649760,2,teaspoons,baking powder
539,6649760,2,teaspoons,ground cinnamon
540,6649760,½,teaspoon,salt
541,6649760,3,cups,grated carrots
542,6649760,1,cup,chopped pecans
543,6664585,1,cup,white sugar
544,6664585,⅔,cup,pumpkin puree
545,6664585,3,large,"eggs, beaten"
546,6664585,½,teaspoon,ground cinnamon
547,6664585,¾,cup,all-purpose flour
548,6664585,1,teaspoon,baking soda
549,6738181,2,cups,heavy cream
550,6738181,½,cup,confectioners' sugar
551,6738181,½,cup,unsweetened cocoa powder
552,6738181,1,teaspoon,vanilla extract
553,6738181,6,,egg yolks
554,6738181,½,cup,white sugar
555,6738181,⅓,cup,unsweetened cocoa powder
556,6738181,1 ½,teaspoons,vanilla extract
557,6738181,⅛,teaspoon,salt
558,6738181,6,,egg whites
559,6738181,¼,cup,white sugar
560,6738181,,,confectioners' sugar for dusting
561,6664175,1,cup,chopped walnuts
562,6664175,1,(15.25 ounce) package,yellow cake mix
563,6664175,1,(3.4 ounce) package,instant vanilla pudding mix
564,6664175,4,large,eggs
565,6664175,1,cup,"dark rum, divided"
566,6664175,¾,cup,"water, divided"
567,6664175,½,cup,vegetable oil
568,6664175,1,cup,white sugar
569,6664175,½,cup,butter
570,6648378,1,(18.25 ounce) package,devil's food cake mix
571,6648378,1,(5.9 ounce) package,instant chocolate pudding mix
572,6648378,1,cup,sour cream
573,6648378,1,cup,vegetable oil
574,6648378,½,cup,warm water
575,6648378,4,,eggs
576,6648378,2,cups,semisweet chocolate chips
577,6648936,15,,"graham crackers, crushed"
578,6648936,2,tablespoons,"butter, melted"
579,6648936,4,(8 ounce) packages,cream cheese
580,6648936,1 ½,cups,white sugar
581,6648936,¾,cup,milk
582,6648936,4,,eggs
583,6648936,1,cup,sour cream
584,6648936,¼,cup,all-purpose flour
585,6648936,1,tablespoon,vanilla extract
586,6663740,1 ⅔,cups,powdered sugar
587,6663740,½,cup,"unsalted butter, at room temperature"
588,6663740,2,tablespoons,coffee-flavored liqueur
589,6663740,1 ½,tablespoons,unsweetened cocoa powder
590,6663740,1,pinch,salt
591,6663740,⅓,cup,mascarpone cheese
592,6577714,2,cups,graham cracker crumbs
593,6577714,¾,cup,white sugar
594,6577714,¼,pound,"butter, melted"
595,6577714,2,(8 ounce) packages,cream cheese
596,6577714,1 ½,cups,confectioners' sugar
597,6577714,4,,"bananas, sliced"
598,6577714,1,(15 ounce) can,"crushed pineapple, drained"
599,6577714,1,(16 ounce) container,"frozen whipped topping, thawed"
600,6577714,1,(16 ounce) jar,"maraschino cherries, drained"
601,6577714,12,ounces,crushed peanuts
602,6739623,2,(8 ounce) packages,"cream cheese, softened"
603,6739623,1,(16 ounce) container,ricotta cheese
604,6739623,4,large,eggs
605,6739623,1 ½,cups,white sugar
606,6739623,½,cup,"butter, melted and cooled"
607,6739623,3,tablespoons,flour
608,6739623,3,tablespoons,cornstarch
609,6739623,1,tablespoon,lemon juice
610,6739623,1,teaspoon,vanilla extract
611,6739623,1,pint,sour cream
612,6648580,1,cup,chocolate cookie crumbs
613,6648580,¼,cup,"butter, melted"
614,6648580,3,tablespoons,white sugar
615,6663316,1,cup,buttermilk
616,6663316,1,teaspoon,baking soda
617,6663316,½,cup,butter
618,6663316,½,cup,shortening
619,6663316,2,cups,white sugar
620,6663316,5,large,eggs
621,6663316,1,teaspoon,vanilla extract
622,6663316,1,cup,flaked coconut
623,6663316,1,teaspoon,baking powder
624,6663316,2,cups,all-purpose flour
625,6648372,,,cooking spray
626,6648372,1,(15.25 ounce) package,chocolate cake mix
627,6648372,1,cup,water
628,6648372,3,large,eggs
629,6648372,⅓,cup,vegetable oil
630,6648372,1,(16 ounce) container,prepared chocolate frosting
631,6648372,1,(3 ounce) bar,chocolate flavored confectioners coating
632,6649941,3,cups,all-purpose flour
633,6649941,2,cups,white sugar
