,id_recipe,Quantity,Unit of Measure,Ingredient
0,7970546,2,tablespoons,butter
1,7970546,1 (12,ounce) package prepared,gnocchi
2,7970546,8,ounces,"frozen mixed vegetables,"
3,7970546,1/2,cup,evaporated milk
4,7970546,1,tablespoon,pesto
5,7970546,2,ounces,Garlic & Herbs Soft Spreadable Cheese
6,6590776,1,pound,sweet potatoes
7,6590776,1,large,egg
8,6590776,1,clove,"garlic, pressed"
9,6590776,½,teaspoon,salt
10,6590776,½,teaspoon,ground nutmeg or to taste
11,6590776,2,cups,"all-purpose flour, or as needed"
12,6664138,2,,"potatoes, peeled"
13,6664138,2,cups,all-purpose flour
14,6664138,1,,egg
15,6674331,¼,cup,olive oil
16,6674331,2,(12 ounce) packages,refrigerated gnocchi
17,6674331,3,cloves,"garlic, minced, or more to taste"
18,6674331,¼,teaspoon,crushed red pepper flakes
19,6674331,1,pinch,salt
20,6674331,1,pinch,sugar
21,6674331,1,(28 ounce) can,whole Italian plum tomatoes (preferably San Marzano)
22,6674331,8,ounces,marinated mozzarella balls
23,6674331,,,fresh parsley or basil (optional)
24,6598403,1,tablespoon,olive oil
25,6598403,1,small,"onion, diced"
26,6598403,3,stalks,"celery, diced"
27,6598403,3,cloves,"garlic, minced"
28,6598403,2,,"carrots, shredded"
29,6598403,1,pound,"cooked, cubed chicken breast"
30,6598403,4,cups,chicken broth
31,6598403,1,(16 ounce) package,mini potato gnocchi
32,6598403,1,(6 ounce) bag,baby spinach leaves
33,6598403,1,tablespoon,cornstarch (Optional)
34,6598403,2,tablespoons,cold water (Optional)
35,6598403,2,cups,half-and-half cream
36,6598403,,,salt and ground black pepper to taste
37,6581478,2,(12 ounce) packages,potato gnocchi
38,6581478,¼,cup,butter
39,6581478,1,clove,"garlic, minced"
40,6581478,1,teaspoon,dried sage
41,6581478,¼,teaspoon,salt
42,6581478,¼,cup,grated Parmesan cheese
43,6581478,¼,teaspoon,ground black pepper
44,6581478,2,tablespoons,grated Parmesan cheese
45,6664311,1,(8 ounce) container,ricotta cheese
46,6664311,2,large,eggs
47,6664311,½,cup,freshly grated Parmesan cheese
48,6664311,1,teaspoon,salt
49,6664311,1,teaspoon,pepper
50,6664311,1,teaspoon,garlic powder
51,6664311,1,cup,"all-purpose flour, or as needed"
52,6592490,1 ½,pounds,potatoes
53,6592490,1,,"egg at room temperature, lightly beaten"
54,6592490,⅓,cup,potato starch
55,6592490,1,tablespoon,sweet rice flour
56,6592490,½,teaspoon,fine salt
57,6592490,2,tablespoons,"rice flour, or as needed"
58,6584718,1,cup,dry potato flakes
59,6584718,1,cup,boiling water
60,6584718,1,,"egg, beaten"
61,6584718,1,teaspoon,salt
62,6584718,⅛,teaspoon,ground black pepper
63,6584718,1 ½,cups,all-purpose flour
64,6741675,1,(18 ounce) package,frozen or fresh gnocchi
65,6741675,1,pound,bulk Italian sausage
66,6741675,1,(14 ounce) jar,spaghetti sauce
67,6741675,1 ½,cups,shredded mozzarella cheese
68,6581936,1 ½,tablespoons,extra-virgin olive oil
69,6581936,½,,"onion, finely chopped"
70,6581936,1 ½,(14.5 ounce) cans,passata (crushed tomatoes)
71,6581936,,,salt to taste
72,6581936,1,(18 ounce) package,potato gnocchi
73,6581936,2,tablespoons,grated Parmesan cheese
74,6581936,1,(4 ounce) ball,"fresh mozzarella, cubed"
75,6581936,4,,fresh basil leaves
76,6603856,1,pound,"fresh basil, stems removed"
77,6603856,1,cup,ricotta cheese
78,6603856,¾,cup,"all-purpose flour, divided"
79,6603856,½,cup,freshly grated Parmigiano-Reggiano
80,6603856,2,,"egg yolks, lightly beaten"
81,6603856,¼,teaspoon,freshly grated nutmeg
82,6603856,2,teaspoons,freshly ground white pepper
