,id_recipe,Quantity,Unit of Measure,Ingredient
0,6650288,1,tablespoon,olive oil
1,6650288,1,large,"yellow onion, chopped"
2,6650288,2,pounds,lean ground beef
3,6650288,3,cloves,"garlic, chopped"
4,6650288,3,cups,water
5,6650288,2,(15 ounce) cans,tomato sauce
6,6650288,2,(14.5 ounce) cans,diced tomatoes
7,6650288,3,tablespoons,soy sauce
8,6650288,2,tablespoons,dried Italian herb seasoning
9,6650288,1,tablespoon,"seasoned salt, or to taste"
10,6650288,3,,bay leaves
11,6650288,2,cups,uncooked elbow macaroni
12,6650265,⅓,cup,vegetable oil
13,6650265,3,,"onions, sliced"
14,6650265,2,tablespoons,Hungarian sweet paprika
15,6650265,3,teaspoons,"salt, divided"
16,6650265,½,teaspoon,ground black pepper
17,6650265,3,pounds,"beef stew meat, cut into 1 1/2 inch cubes"
18,6650265,1 ½,cups,water
19,6650265,1,(6 ounce) can,tomato paste
20,6650265,1,clove,"garlic, minced"
21,6736450,1,tablespoon,olive oil
22,6736450,2,pounds,ground beef
23,6736450,1,large,"onion, diced"
24,6736450,4,cloves,"garlic, minced"
25,6736450,2,large,bay leaves
26,6736450,2,tablespoons,paprika
27,6736450,2,teaspoons,Italian seasoning
28,6736450,2,teaspoons,kosher salt
29,6736450,½,teaspoon,ground black pepper
30,6736450,1,pinch,"cayenne pepper, or to taste"
31,6736450,1,quart,chicken broth
32,6736450,1,(24 ounce) jar,marinara sauce
33,6736450,1,(15 ounce) can,diced tomatoes
34,6736450,1,cup,water
35,6736450,2,tablespoons,soy sauce
36,6736450,2,cups,elbow macaroni
37,6736450,¼,cup,chopped Italian parsley
38,6736450,1,cup,shredded white Cheddar cheese (Optional)
39,6664882,2 ½,pounds,"boneless beef chuck roast, cut into 2-inch cubes"
40,6664882,,,salt and ground black pepper to taste
41,6664882,2,tablespoons,vegetable oil
42,6664882,2,,"onions, chopped"
43,6664882,2,teaspoons,olive oil
44,6664882,½,teaspoon,salt
45,6664882,2,tablespoons,Hungarian paprika
46,6664882,2,teaspoons,"caraway seeds, crushed"
47,6664882,1,teaspoon,freshly ground black pepper
48,6664882,1,teaspoon,dried marjoram
49,6664882,½,teaspoon,ground thyme
50,6664882,½,teaspoon,cayenne pepper
51,6664882,4,cups,"chicken broth, divided"
52,6664882,¼,cup,tomato paste
53,6664882,3,cloves,"garlic, crushed"
54,6664882,2,tablespoons,balsamic vinegar
55,6664882,1,teaspoon,white sugar
56,6664882,½,teaspoon,"salt, or to taste"
57,6664882,1,,bay leaf
58,6593628,2,tablespoons,butter
59,6593628,2,large,"onions, diced"
60,6593628,2,pounds,flank steak
61,6593628,⅛,teaspoon,caraway seed
62,6593628,¼,teaspoon,dried marjoram
63,6593628,1,clove,"garlic, minced"
64,6593628,5,tablespoons,paprika
65,6593628,2,cups,water
66,6593628,4,large,"potatoes, peeled and cubed"
67,6593628,,,salt and pepper to taste
68,6739699,1,pound,lean ground turkey
69,6739699,1,(14 ounce) can,"stewed, diced tomatoes"
70,6739699,3,cloves,"garlic, minced"
71,6739699,1,cup,tomato sauce
72,6739699,2,teaspoons,white sugar
73,6739699,½,teaspoon,dried basil
74,6739699,1,(16 ounce) package,bow tie pasta
75,6587570,1,pound,lean ground beef
76,6587570,4,,"potatoes, peeled and cubed"
77,6587570,¼,cup,sliced onion
78,6587570,1 ½,cups,frozen corn kernels
79,6587570,1,(15 ounce) can,"cut green beans, drained"
80,6587570,1,cup,elbow macaroni
81,6587570,1,teaspoon,salt
82,6587570,1,teaspoon,ground black pepper
83,6587570,2,(8 ounce) cans,tomato sauce
84,6587570,2,teaspoons,Worcestershire sauce (Optional)
85,6587570,1,teaspoon,garlic salt
86,6587570,½,teaspoon,dried basil
87,6596019,1,pound,ground beef
88,6596019,1,pint,sliced mushrooms
89,6596019,½,,"onion, chopped"
90,6596019,3,cloves,garlic
91,6596019,,,salt and ground black pepper to taste
92,6596019,2,(15 ounce) cans,tomato sauce
93,6596019,2,(15 ounce) cans,diced tomatoes
94,6596019,2 ½,cups,water
95,6596019,2,cups,noodles
96,6596019,3,tablespoons,soy sauce
97,6596019,2,tablespoons,Italian seasoning
98,6596019,3,,bay leaves
99,6649597,1,pound,lean ground beef
100,6649597,1,quart,stewed tomatoes
101,6649597,1 ½,cups,uncooked macaroni
102,6649597,½,cup,chopped onion
103,6649597,1,clove,"garlic, minced"
104,6649597,1,tablespoon,chili powder
105,6649597,2,teaspoons,paprika
106,6649597,6,ounces,tomato paste (Optional)
107,6649597,,,"water, as needed"
108,6572165,1,(12 ounce) package,egg noodles
109,6572165,1,pound,lean ground beef
110,6572165,1,(26 ounce) jar,spaghetti sauce
111,6572165,1,(15.25 ounce) can,whole kernel corn
112,6572165,1,,"onion, chopped"
113,6572165,1,cup,shredded Cheddar cheese
114,6604560,1,(16 ounce) package,elbow macaroni
115,6604560,1,pound,ground beef
116,6604560,1,(8 ounce) package,"cream cheese, softened"
117,6604560,2,(10.5 ounce) cans,condensed cream of mushroom soup
118,6604560,1,cup,"milk, or as needed"
119,6570716,3,cups,uncooked elbow macaroni
120,6570716,1,tablespoon,olive oil
121,6570716,1,,"onion, finely chopped"
122,6570716,2,cloves,"garlic, minced"
123,6570716,1,small,"green bell pepper, finely chopped"
124,6570716,1,(12 ounce) can,corned beef
125,6570716,1,(10.75 ounce) can,condensed tomato soup
126,6570716,⅓,cup,ketchup
127,6570716,,,salt and ground black pepper to taste
128,6570716,1,cup,freshly shredded Parmesan cheese
129,6574170,1,teaspoon,olive oil
130,6574170,½,medium,"onion, thinly sliced"
131,6574170,1,small,"green bell pepper, thinly sliced"
132,6574170,4,ounces,"mycoprotein pieces, e.g., Quorn™"
133,6574170,1,clove,"garlic, chopped"
134,6574170,1,teaspoon,paprika
135,6574170,1,(14.5 ounce) can,"whole peeled tomatoes, chopped, juice reserved"
136,6574170,½,cup,red wine
137,6574170,1,teaspoon,dried oregano
138,6574170,1,teaspoon,tomato puree
139,6574170,1,teaspoon,sugar
140,6574170,,,salt and pepper to taste
141,6596865,1,tablespoon,vegetable oil
142,6596865,3,,"onions, sliced"
143,6596865,3,cloves,"garlic, chopped"
144,6596865,¼,cup,smoked Spanish paprika
145,6596865,2,teaspoons,kosher salt
146,6596865,1,teaspoon,coarsely ground black pepper
