,id_recipe,Quantity,Unit of Measure,Ingredient
0,7566818,1/2,lb,ground sirloin
1,7566818,2,tablespoons,onion
2,7566818,1,clove,"garlic, minced"
3,7566818,3,tablespoons,milk
4,7566818,1,teaspoon,kosher salt
5,7566818,1/2,teaspoon,black pepper
6,7566818,1,teaspoon,dried basil
7,7566818,1/2,teaspoon,dried oregano
8,7566818,1,large,"egg, lightly beaten"
9,7566818,1/3,cup,seasoned breadcrumbs
10,7566818,48,,saltine crackers
11,7566818,6,oz,"mozzarella cheese, cut into 24 thin slices"
12,7566818,1/4,cup,olive oil
13,7566818,½,cup,marinara sauce
14,7563621,1,lb.,lean ground beef
15,7563621,1,cup,onion
16,7563621,1,package,aco seasoning
17,7563621,1/3,cup,water
18,7563621,3,tablespoons,"butter, melted, divided"
19,7563621,6,(10-inch),flour tortillas
20,7563621,2,cups,shredded Cheddar cheese
21,7563621,1/2,cup,chopped cilantro (optional)
22,7563621,3,medium,"tomatoes, seeded, diced, and drained on paper towels"
23,7563621,8,oz.,"sour cream, plus more for serving"
24,7563621,8,,tostada shells
25,7563621,1 (15,oz.) can,nacho cheese
26,7563621,1/2,cup,"shredded lettuce, or to taste"
27,7563621,2,tablespoons,2
28,7563621,1,teaspoon,1
29,7562950,2,pounds,ground beef
30,7562950,2,tablespoons,"chili powder, or to taste"
31,7562950,1/4,teaspoon,chipotle
32,7562950,1/2,teaspoon,ground black pepper
33,7562950,2,teaspoons,"kosher salt, plus more to taste"
34,7562950,1/8,teaspoon,cinnamon
35,7562950,12,ounces,beer
36,7562950,2,teaspoons,white sugar
37,7562950,1/2,teaspoon,dried oregano
38,7562950,1/4,teaspoon,garlic powder
39,7562950,1,(14.5 ounce),tomatoes with green chilies
40,7562950,2 (16 ounce jars) extra chunky,,salsa
41,7562950,2,15 ounce) cans,"pinto beans, drained"
42,7505087,1,tablespoon,olive oil
43,7505087,1,pound 93% lean,ground beef
44,7505087,2,teaspoons,taco seasoning mix
45,7505087,1,teaspoon,chili powder
46,7505087,1,teaspoon,ground cumin
47,7505087,1,teaspoon,smoked paprika
48,7505087,1,teaspoon,garlic granules
49,7505087,1/2,teaspoon,"cayenne pepper, or to taste"
50,7505087,1/2,teaspoon,"salt, or to taste"
51,7505087,1/2,teaspoon,"ground black pepper, or to taste"
52,7505087,4,cups,"potatoes, thawed (see Note)"
53,7505087,1 (10,ounce) can diced,tomatoes and green chilies
54,7505087,2,ounces,"heddar cheese, shredded"
55,7505087,2,,"green onions, sliced"
56,7505087,,,fresh cilantro sprigs for garnish (optional)
57,7499734,1,pound,ground sweet Italian pork sausage
58,7499734,1,pound,ground beef
59,7499734,2/3,cup,shallot
60,7499734,1/2,cup,"grated Parmesan cheese, plus more for serving"
61,7499734,1/4,cup,seasoned breadcrumbs
62,7499734,3,large,"eggs, lightly beaten"
63,7499734,1/2,cup,whole milk
64,7499734,1/2,teaspoon,ground black pepper (see Note)
65,7499734,1,cup,water
66,7499734,2 (24-,ounce) jars,tomato puree
67,7499734,5,cloves,"garlic, minced"
68,7499734,1,teaspoon,Italian herb seasoning blend
69,7499734,,,salt to taste
70,7499734,2,tablespoons,"extra virgin olive oil, or as needed"
71,7499734,,,fresh basil leaves
72,7498920,14,ounces,rice noodles
73,7498920,1/4,cup,cider vinegar
74,7498920,1,,lime
75,7498920,2,tablespoons,brown sugar
76,7498920,1/2,teaspoon,chili powder
77,7498920,4,cloves,"garlic, minced"
78,7498920,2,teaspoons,vegetable oil
79,7498920,1,pound,ground beef
80,7498920,1/2,teaspoon,hinese five-spice powder
81,7498920,1/2,teaspoon,salt
82,7498920,1,bunch,"asparagus, trimmed and cut into 3-inch pieces"
83,7498920,1,tablespoon,fresh ginger
84,7498920,1/4,cup,fresh cilantro
85,7498920,1/4,cup,"unsalted peanuts, coarsely chopped"
86,7482478,1,pound,ground beef
87,7482478,1/4,cup,yellow onion
88,7482478,1/4,cup chopped,fresh parsley
89,7482478,2,cloves,"garlic, minced"
90,7482478,1,teaspoon,cumin
91,7482478,1,teaspoon,ground coriander
92,7482478,1,teaspoon,salt
93,7482478,1/4,teaspoon,ground black pepper
94,7482478,1/4,teaspoon,ground cinnamon
95,7482478,,,8 (6-inch) skewers
96,7369568,2,tablespoons,olive oil
97,7369568,8,ounces,"crimini mushrooms, minced"
98,7369568,2,,"garlic cloves, minced"
99,7369568,1,pound,ground beef
100,7369568,2,tablespoons,fresh ginger
101,7369568,1,tablespoon,low-sodium soy sauce
102,7369568,1/2,teaspoon,ground black pepper
103,7369568,4,,"green onions, chopped"
104,7369568,,36,"wonton wrappers, or more as needed"
105,6811101,1,pound,ground beef
106,6811101,1,(10.75 ounce) can,cream of mushroom soup
107,6811101,1,(14.5 ounce) can,diced tomatoes with juice
108,6811101,½,cup,long grain white rice
109,6811101,¾,cup,shredded mozzarella cheese
110,6811101,,,salt and pepper to taste
111,6664323,1,(16.3 ounce) can,refrigerated biscuits
112,6664323,2,pounds,ground beef
113,6664323,1,(1 ounce) package,taco seasoning
114,6664323,¾,cup,water
115,6664323,1,medium,"onion, halved and sliced"
116,6664323,1,medium,"red bell pepper, halved and sliced (1 1/2 cups)"
117,6664323,½,cup,sour cream
118,6664323,½,cup,mayonnaise
119,6664323,8,ounces,"shredded Cheddar cheese, divided"
120,6664323,2,medium,"tomatoes, sliced"
121,6664323,1,(4 ounce) jar,"sliced jalapeno peppers, drained (Optional)"
122,6664822,3,pounds,baking potatoes
123,6664822,1,pound,lean ground beef
124,6664822,½,cup,chopped onion
125,6664822,3,cloves,"garlic, minced"
126,6664822,1,(15 ounce) can,tomato sauce
127,6664822,1,(15 ounce) can,chili beans
128,6664822,1,(1.25 ounce) package,chili seasoning mix
129,6664822,1,cup,low-sodium chicken broth
130,6664822,¼,cup,butter
131,6664822,4,cups,milk
132,6664822,1,cup,buttermilk
133,6664822,1,teaspoon,salt
134,6664822,½,teaspoon,ground black pepper
135,6664822,1 ½,cups,shredded white Cheddar cheese
136,6664822,½,cup,sour cream
137,6664822,,,chopped fresh chives (Optional)
138,7093286,1,tablespoon,unsalted butter
139,7093286,1,tablespoon,vegetable oil
140,7093286,1,cup,thinly sliced mushrooms
141,7093286,1,teaspoon,"salt, plus more to taste"
142,7093286,½,cup,diced onion
143,7093286,1,pound,ground beef
144,7093286,,,freshly ground black pepper
145,7093286,1,pinch,cayenne pepper
146,7093286,2,cloves,minced garlic
147,7093286,1 ⅓,tablespoons,flour
148,7093286,2,tablespoons,vodka (Optional)
149,7093286,2 ½,cups,"beef broth, or as needed"
150,7093286,1,cup,water
151,7093286,2 ½,cups,egg noodles
152,7093286,½,cup,"sour cream, plus more for serving"
153,7093286,2,tablespoons,fresh sliced chives or green onions
154,6741324,1,pound,ground beef
155,6741324,1,teaspoon,Italian seasoning
156,6741324,½,teaspoon,salt
157,6741324,½,teaspoon,granulated garlic
158,6741324,1,(28 ounce) jar,marinara sauce
159,6741324,1,(14.5 ounce) can,diced tomatoes
160,6741324,1,cup,water
161,6741324,¼,cup,Cabernet Sauvignon (or other dry red wine)
162,6741324,1,(16 ounce) package,tortellini
163,6741324,1,(8 ounce) package,"cream cheese, cubed"
164,6741324,4,ounces,shredded mozzarella cheese
165,6663843,1,pound,ground beef
166,6663843,2,teaspoons,gochujang (Korean hot pepper paste)
167,6663843,1,teaspoon,kosher salt
168,6663843,1,teaspoon,freshly ground black pepper
169,6663843,1,tablespoon,soy sauce
170,6663843,2,teaspoons,"grated fresh ginger (heated to 150 F degrees (65 degrees C) to deactivate enzymes, or soaked in 1 tablespoon vinegar for 5 minutes)"
171,6663843,4,cloves,"garlic, finely minced"
172,6663843,⅓,cup,"thinly sliced green onions, plus more for garnish"
