,id_recipe,Quantity,Unit of Measure,Ingredient
0,7570245,1,,ground chicken
1,7570245,4,cloves,"garlic, minced"
2,7570245,1,piece,"fresh ginger, peeled and minced"
3,7570245,1/2,,"onion, finely minced"
4,7570245,1,tablespoon,light soy sauce
5,7570245,1,tablespoon,sake
6,7570245,1,large,"egg, lightly beaten"
7,7570245,1/4,cup,panko breadcrumbs
8,7570245,1/4,cup,green onions
9,7113069,1,large,"egg, beaten"
10,7113069,¾,cup,grated Parmesan cheese
11,7113069,1 ¾,cups,"Italian-style panko bread crumbs, divided"
12,7113069,1,teaspoon,garlic powder
13,7113069,1,teaspoon,Italian seasoning
14,7113069,¾,teaspoon,crushed red pepper flakes
15,7113069,½,teaspoon,salt
16,7113069,½,teaspoon,freshly ground black pepper
17,7113069,1 ½,pounds,ground chicken
18,7113069,2,tablespoons,"olive oil, divided"
19,7113069,2,tablespoons,"unsalted butter, divided"
20,7113069,1,(28 ounce) jar,marinara sauce
21,7113069,½,cup,shredded mozzarella cheese
22,7113069,2,tablespoons,snipped fresh parsley (Optional)
23,7111885,1,pound,"boneless, skinless chicken thighs, cut into 1-inch pieces"
24,7111885,3,ounces,"pork fat, or fatty bacon, diced"
25,7111885,3,ounces,crumbled fresh French breadcrumbs
26,7111885,⅓,cup,sautéed onions (Optional)
27,7111885,1,large,"egg, beaten"
28,7111885,1,tablespoon,white wine
29,7111885,3,cloves,"garlic, finely minced"
30,7111885,¼,cup,chopped parsley
31,7111885,1 ½,teaspoons,kosher salt
32,7111885,½,teaspoon,freshly ground black pepper
33,7111885,¼,teaspoon,chili flakes
34,7111885,¼,teaspoon,"fennel seeds, crushed"
35,7111885,4,cups,prepared tomato sauce (Optional)
36,7111885,,,olive oil or cooking spray for greasing baking sheet
37,6739177,1,pound,extra-lean ground chicken
38,6739177,½,cup,"Italian-seasoned bread crumbs, divided"
39,6739177,½,small,"onion, finely grated"
40,6739177,1,,egg
41,6739177,2,cloves,"garlic, minced"
42,6739177,,,salt and ground black pepper to taste
43,6739177,2,teaspoons,olive oil
44,6663615,18,ounces,ground chicken
45,6663615,1,,"onion, finely chopped"
46,6663615,1,bunch,"fresh parsley, finely chopped"
47,6663615,1,large,egg
48,6663615,2,cloves,"garlic, crushed, or more to taste"
49,6663615,,,sea salt and freshly ground black pepper to taste
50,6663615,2,tablespoons,mayonnaise
51,6663615,¼,cup,"all-purpose flour, or as needed"
52,6663615,3,tablespoons,vegetable oil
53,6663768,2,ounces,dried thin rice noodles
54,6663768,¾,cup,ground chicken
55,6663768,¼,cup,"shrimp - washed, peeled, and cut into small pieces"
56,6663768,2,large,"eggs, beaten"
57,6663768,1,,"carrot, grated"
58,6663768,4,,"wood fungus mushrooms, chopped"
59,6663768,2,,"green onions, chopped"
60,6663768,½,teaspoon,white sugar
61,6663768,½,teaspoon,salt
62,6663768,½,teaspoon,ground black pepper
63,6663768,24,,rice paper wrappers
64,6663768,2,cups,vegetable oil for frying
65,6591848,2,cups,chicken broth
66,6591848,1,cup,quinoa
67,6591848,2,teaspoons,"vegetable oil, or as needed"
68,6591848,½,,"onion, chopped"
69,6591848,2,cloves,"garlic, or to taste, minced"
70,6591848,1 ½,pounds,ground chicken
71,6591848,1 ½,(10 ounce) cans,diced tomatoes with green chile peppers (such as RO*TEL®)
72,6650697,1,pound,ground chicken
73,6650697,½,cup,"mozzarella cheese, shredded"
74,6650697,¼,cup,freshly grated Parmesan cheese
75,6650697,3,cloves,"garlic, minced"
76,6650697,1,teaspoon,Italian seasoning
77,6650697,½,teaspoon,salt
78,6650697,¼,teaspoon,pepper
79,6650697,1,tablespoon,chopped fresh basil
80,6605911,4,medium,"carrots, peeled and chopped"
81,6605911,2,,"apples - peeled, cored, and chopped (make sure seeds are removed)"
82,6605911,¼,cup,water
83,6605911,6,,eggs
84,6605911,3,pounds,ground chicken
85,6605911,6,ounces,"chicken livers, chopped"
86,6605911,3,tablespoons,sunflower seed oil
87,6605911,4,cups,baby spinach leaves
88,6738943,⅓,head,"red cabbage, sliced and chopped"
89,6738943,4,small,"carrots, peeled and grated"
90,6738943,¼,cup,coleslaw dressing
91,6738943,¼,cup,red wine vinegar
92,6738943,2,tablespoons,soy sauce
93,6738943,2,tablespoons,teriyaki sauce
94,6738943,2,tablespoons,sesame oil
95,6738943,1,pound,ground chicken
96,6738943,¼,cup,stir-fry sauce
97,6738943,14,,wonton wrappers
98,6598025,1,tablespoon,vegetable oil
99,6598025,1,pound,ground chicken
100,6598025,2,tablespoons,chili powder
101,6598025,2,cloves,"garlic, minced"
102,6598025,1 ½,teaspoons,ground cumin
103,6598025,½,teaspoon,red pepper flakes
104,6598025,1,(29 ounce) can,"kidney beans, rinsed and drained"
105,6598025,2,(10 ounce) cans,diced tomatoes with green chile peppers
106,6598025,1,(15 ounce) can,"black beans, rinsed and drained"
107,6598025,1,medium,"onion, chopped"
108,6598025,1,medium,"jalapeno pepper, seeded and finely chopped (Optional)"
109,6598025,2,cups,chicken broth
110,6598025,1,(15.25 ounce) can,"whole kernel corn, drained"
111,6598025,1,tablespoon,"sour cream, or to taste (Optional)"
112,6598025,1,tablespoon,"shredded Cheddar cheese, or to taste (Optional)"
113,6598025,1,tablespoon,"chopped green onions, or to taste (Optional)"
114,6598025,1,,"jalapeno pepper, sliced, or to taste (Optional)"
115,6585018,1,cup,bread crumbs
116,6585018,¼,cup,minced onion
117,6585018,2,cloves,"garlic, minced"
118,6585018,2,tablespoons,grated Parmesan cheese
119,6585018,1 ½,teaspoons,"coarse sea salt, or to taste"
120,6585018,½,teaspoon,ground paprika
121,6585018,½,teaspoon,freshly ground black pepper
122,6585018,¼,teaspoon,cayenne pepper (Optional)
123,6585018,1,pound,ground chicken
124,6585018,1,large,egg
125,6739072,1,pound,ground chicken
126,6739072,¼,cup,butter
127,6739072,1,cup,cayenne pepper sauce (such as Frank's® RedHot®)
128,6739072,1,(16 ounce) container,whipped ricotta cheese
129,6739072,,,cooking spray
130,6739072,1,(16 ounce) package,jumbo pasta shells
131,6739072,1,(8 ounce) package,shredded Cheddar-Monterey Jack cheese blend
132,6739072,,,salt and ground black pepper to taste
133,6602564,1,pound,ground chicken (preferably white meat)
134,6602564,1,,"red onion, halved and thinly sliced"
135,6602564,¼,cup,sliced scallions (mostly white parts)
136,6602564,1,,"lime, juiced"
137,6602564,2,tablespoons,chopped fresh cilantro
138,6602564,1,tablespoon,finely chopped fresh mint (Optional)
139,6602564,2,teaspoons,minced fresh ginger
140,6602564,1,teaspoon,lemongrass paste (Optional)
141,6602564,1,teaspoon,"fish sauce, or more to taste"
142,6602564,1,teaspoon,"red pepper flakes, or more to taste"
143,6602564,1,teaspoon,sea salt
144,6649966,1,pound,ground chicken
145,6649966,1,,"egg, beaten"
146,6649966,¼,cup,low-fat cream cheese
147,6649966,¼,cup,grated Parmesan cheese
148,6649966,4,cloves,"garlic, grated"
149,6649966,1 ½,tablespoons,olive oil
150,6649966,1,tablespoon,dry bread crumbs
151,6649966,2,teaspoons,chopped fresh basil
152,6649966,1,teaspoon,crushed red pepper
153,6649966,1,teaspoon,garlic powder
154,6649966,½,teaspoon,sea salt
155,6649966,½,teaspoon,black pepper
156,6649966,½,teaspoon,dried parsley
157,6649966,½,teaspoon,dried oregano
158,6649966,1,cup,"chopped fresh mozzarella, or as needed"
159,6591148,1 ½,pounds,ground chicken
160,6591148,1,,"red bell pepper, cut into large dice"
161,6591148,½,cup,soy sauce
162,6591148,2,tablespoons,"rice wine vinegar, or more to taste"
163,6591148,1,tablespoon,grated fresh ginger
164,6591148,5,dashes,hot pepper sauce (such as Tabasco®)
165,6591148,1,teaspoon,Asian (toasted) sesame oil
166,6591148,½,cup,chunky peanut butter
167,6591148,3,tablespoons,hot water
