,id_recipe,Quantity,Unit of Measure,Ingredient
0,6737579,½,,"onion, cut into chunks"
1,6737579,1,pound,ground lamb
2,6737579,1,pound,ground beef
3,6737579,1,tablespoon,minced garlic
4,6737579,1,teaspoon,dried oregano
5,6737579,1,teaspoon,ground cumin
6,6737579,1,teaspoon,dried marjoram
7,6737579,1,teaspoon,ground dried rosemary
8,6737579,1,teaspoon,ground dried thyme
9,6737579,1,teaspoon,ground black pepper
10,6737579,¼,teaspoon,sea salt
11,6595889,1,teaspoon,all-purpose flour
12,6595889,1,teaspoon,dried oregano
13,6595889,½,teaspoon,salt
14,6595889,½,teaspoon,garlic powder
15,6595889,½,teaspoon,onion powder
16,6595889,½,teaspoon,dried Italian herb seasoning
17,6595889,¼,teaspoon,ground black pepper
18,6595889,¼,teaspoon,cayenne pepper
19,6595889,1 ¼,pounds,ground lamb
20,6595174,1,small,"onion, cut into chunks"
21,6595174,1,pound,ground lamb
22,6595174,1,pound,ground beef
23,6595174,1,tablespoon,minced garlic
24,6595174,1,teaspoon,dried oregano
25,6595174,1,teaspoon,ground cumin
26,6595174,1,teaspoon,dried marjoram
27,6595174,1,teaspoon,dried thyme
28,6595174,1,teaspoon,dried rosemary
29,6595174,1,teaspoon,freshly ground black pepper
30,6595174,¼,teaspoon,sea salt
31,6595174,12,tablespoons,hummus
32,6595174,12,,pita bread rounds
33,6595174,1,small head,"lettuce, shredded"
34,6595174,1,large,"tomato, sliced"
35,6595174,1,large,"red onion, sliced"
36,6595174,6,ounces,crumbled feta cheese
37,6595174,24,tablespoons,tzatziki sauce
38,6570657,1,teaspoon,salt
39,6570657,1,teaspoon,ground oregano
40,6570657,1,teaspoon,all-purpose flour
41,6570657,½,teaspoon,ground black pepper
42,6570657,½,teaspoon,Italian seasoning
43,6570657,½,teaspoon,garlic powder
44,6570657,½,teaspoon,onion powder
45,6570657,¼,teaspoon,cayenne pepper
46,6570657,1,pound,ground beef
47,6599360,1,pound,ground beef
48,6599360,2,teaspoons,cayenne pepper
49,6599360,1,teaspoon,ground black pepper
50,6599360,1,teaspoon,onion powder
51,6599360,1,teaspoon,garlic powder
52,6599360,1,teaspoon,salt
53,6599360,1,teaspoon,paprika
54,6599360,1,teaspoon,dried oregano
55,6597000,1 ½,pounds,ground beef
56,6597000,⅓,cup,bread crumbs
57,6597000,1 ½,teaspoons,paprika
58,6597000,1,teaspoon,cayenne pepper (Optional)
59,6597000,1,teaspoon,onion powder
60,6597000,1,teaspoon,garlic powder
61,6597000,1,teaspoon,ground black pepper
62,6597000,½,teaspoon,salt
63,6738487,1,(16 ounce) container,Greek yogurt
64,6738487,1,medium,"cucumber, peeled and coarsely chopped"
65,6738487,2,cloves,"garlic, minced"
66,6738487,1,tablespoon,extra-virgin olive oil
67,6738487,1 ½,teaspoons,dried dill weed
68,6738487,1,teaspoon,distilled white vinegar
69,6738487,1,teaspoon,lemon juice
70,6738487,,,salt and ground black pepper to taste
71,6663600,¼,cup,chopped red onion
72,6663600,1,tablespoon,minced garlic
73,6663600,1,tablespoon,dried marjoram
74,6663600,1,tablespoon,ground dried rosemary
75,6663600,2,teaspoons,kosher salt
76,6663600,½,teaspoon,freshly ground black pepper
77,6663600,1,pound,93%-lean ground beef
78,6663600,1,pound,ground lamb
79,6738926,1,pound,ground lamb
80,6738926,1,pound,ground beef
81,6738926,½,cup,finely diced yellow onion
82,6738926,4,cloves,"garlic, crushed"
83,6738926,1,tablespoon,minced fresh rosemary
84,6738926,2,teaspoons,dried oregano
85,6738926,2,teaspoons,"kosher salt, or to taste"
86,6738926,1,teaspoon,fresh ground black pepper
87,6738926,1,teaspoon,cumin
88,6738926,1,teaspoon,paprika
89,6738926,⅛,teaspoon,ground cinnamon
90,6738926,⅛,teaspoon,cayenne pepper
91,6738926,2,tablespoons,dry bread crumbs
92,6738926,1,tablespoon,olive oil
93,6737175,½,pound,lean ground beef
94,6737175,½,pound,lean ground lamb
95,6737175,½,,"onion, grated"
96,6737175,2,cloves,"garlic, pressed"
97,6737175,1,slice,"bread, toasted and crumbled"
98,6737175,½,teaspoon,dried savory
99,6737175,½,teaspoon,ground allspice
100,6737175,½,teaspoon,ground coriander
101,6737175,½,teaspoon,salt
102,6737175,½,teaspoon,ground black pepper
