,id_recipe,Quantity,Unit of Measure,Ingredient
0,6745427,1,(15 ounce) package,pretzel snaps (square waffle-shaped pretzels)
1,6745427,1,(10 ounce) bag,chocolate candies (such as Hershey®'s Hugs®)
2,6745427,1,(14 ounce) package,candy corn
3,6750360,1,cup,guacamole
4,6750360,1 ½,cups,"sour cream, divided"
5,6750360,1,(1.25 ounce) package,taco seasoning
6,6750360,1 ½,cups,finely shredded Cheddar and Monterey Jack cheese blend
7,6750360,1,(15 ounce) jar,salsa
8,6750360,1,(20 ounce) can,refried black beans
9,6750360,1,large,black olive
10,6750360,1,(6 ounce) can,sliced black olives
11,6750360,,,chopped green onions (for garnish)
12,6575128,1,(8 ounce) can,refrigerated crescent rolls
13,6575128,8,,hot dogs
14,6575128,2,tablespoons,"ketchup, or to taste"
15,6754872,3,ounces,"dark chocolate, chopped"
16,6754872,½,cup,"unsalted butter, melted"
17,6754872,2,large,eggs
18,6754872,1 ¼,cups,granulated sugar
19,6754872,1,teaspoon,vanilla extract
20,6754872,¾,teaspoon,kosher salt
21,6754872,⅔,cup,all-purpose flour
22,6575510,2 ½,cups,all-purpose flour
23,6575510,¼,cup,packed brown sugar
24,6575510,4,teaspoons,baking powder
25,6575510,2,teaspoons,ground cinnamon
26,6575510,1,teaspoon,ground allspice
27,6575510,1,teaspoon,ground ginger
28,6575510,½,teaspoon,salt
29,6575510,2,cups,milk
30,6575510,1,cup,canned pumpkin
31,6575510,4,,"eggs, separated"
32,6575510,¼,cup,"butter, melted"
33,6586247,1,cup,white sugar
34,6586247,½,cup,"butter, softened"
35,6586247,1,cup,solid pack pumpkin puree
36,6586247,1,large,egg
37,6586247,1,teaspoon,vanilla extract
38,6586247,2 ¼,cups,all-purpose flour
39,6586247,2,teaspoons,baking powder
40,6586247,1,teaspoon,baking soda
41,6586247,1,teaspoon,ground cinnamon
42,6586247,½,teaspoon,salt
43,6586247,1,cup,halved fresh cranberries
44,6586247,½,cup,chopped walnuts
45,6586247,1,tablespoon,orange zest
