,id_recipe,Quantity,Unit of Measure,Ingredient
0,6598884,1,(5 1/2 pound),corned beef brisket with spice packet
1,6598884,7,small,"potatoes, peeled and diced"
2,6598884,4,medium,"carrots, peeled and diced"
3,6598884,1,medium,"onion, diced"
4,6598884,3,cloves,"garlic, chopped"
5,6666385,,,cooking spray
6,6666385,6,,matzo sheets
7,6666385,8,large,eggs
8,6666385,1,cup,whole milk
9,6666385,¾,cup,white sugar
10,6666385,½,cup,sour cream
11,6666385,2,teaspoons,vanilla extract
12,6666385,1,teaspoon,ground cinnamon
13,6666385,¾,teaspoon,kosher salt
14,6666385,¼,teaspoon,ground nutmeg
15,6666385,¼,cup,chopped golden raisins
16,6666385,¼,cup,chopped dried apricots
17,6666385,¼,cup,chopped dried apples
18,6666157,1,cup,"unsalted butter, softened"
19,6666157,¾,cup,white sugar
20,6666157,2,large,eggs
21,6666157,1,tablespoon,vanilla extract
22,6666157,3 ½,cups,"all-purpose flour, plus more for dusting"
23,6666157,1,tablespoon,baking powder
24,6666157,¼,teaspoon,kosher salt
25,6666157,⅓,cup,whole milk
26,6663794,2,cups,unbleached bread flour (such as King Arthur®)
27,6663794,1,cup,dark rye flour
28,6663794,3,tablespoons,dry potato flakes
29,6663794,2,tablespoons,caraway seeds
30,6663794,1 ½,tablespoons,demerara sugar
31,6663794,2 ½,teaspoons,instant yeast
32,6663794,1 ½,teaspoons,sea salt
33,6663794,1,cup,warm water
34,6663794,¼,cup,canola oil
35,6663794,¼,cup,sour pickle juice
36,6581898,3,large,eggs
37,6581898,1,cup,granulated sugar
38,6581898,¾,cup,vegetable oil
39,6581898,½,cup,orange juice
40,6581898,2 ½,teaspoons,vanilla extract
41,6581898,5 ½,cups,all-purpose flour
42,6581898,1,tablespoon,baking powder
43,6581898,1,cup,"fruit preserves, any flavor"
44,6664946,3,tablespoons,olive oil
45,6664946,1 ⅓,cups,chopped onion
46,6664946,1,cup,"thinly sliced bell peppers, any color"
47,6664946,2,cloves,"garlic, minced, or to taste"
48,6664946,2 ½,cups,chopped tomatoes
49,6664946,1,,"hot chile pepper, seeded and finely chopped, or to taste"
50,6664946,1,teaspoon,ground cumin
51,6664946,1,teaspoon,paprika
52,6664946,1,teaspoon,salt
53,6664946,4,large,eggs
54,6663261,3,medium,"russet potatoes, peeled"
55,6663261,1,large,"egg, beaten, or more to taste"
56,6663261,2,tablespoons,all-purpose flour
57,6663261,1,tablespoon,grated onion
58,6663261,½,teaspoon,"salt, or more to taste"
59,6663261,¼,cup,"peanut oil for frying, or as needed"
60,6650956,1 ¼,cups,water
61,6650956,4 ½,cups,bread flour
62,6650956,3,tablespoons,white sugar
63,6650956,1,teaspoon,salt
64,6650956,2,tablespoons,vegetable oil
65,6650956,1,tablespoon,instant yeast
66,6650956,4,quarts,water
67,6650956,1,cup,honey (Optional)
68,6738191,2 ½,cups,warm water (110 degrees F/45 degrees C)
69,6738191,1,tablespoon,active dry yeast
70,6738191,½,cup,honey
71,6738191,4,tablespoons,vegetable oil
72,6738191,3,,"eggs, divided"
73,6738191,1,tablespoon,salt
74,6738191,8,cups,unbleached all-purpose flour
75,6738191,1,tablespoon,poppy seeds (Optional)
76,6736539,1,,whole chicken
77,6736539,2,quarts,"cold water, or as needed"
78,6736539,8,,"carrots, peeled and sliced"
79,6736539,2,stalks,"celery, chopped"
80,6736539,1,,"parsnip, chopped"
81,6736539,1,medium,"yellow onion, chopped"
82,6736539,1,bunch,"fresh dill weed, chopped"
83,6736539,,,salt and pepper to taste
84,6736539,3,cloves,"garlic, crushed"
85,6736539,2 ½,cups,matzo meal
86,6736539,6,,eggs
87,6736539,6,tablespoons,vegetable oil
88,6736539,2,teaspoons,salt
89,6587499,1,teaspoon,all-purpose flour for dusting*
90,6587499,1,cup,all-purpose flour*
91,6587499,⅓,cup,"water, or more if needed"
92,6587499,½,teaspoon,"kosher salt, or as needed (Optional)"
93,6587499,1,teaspoon,"olive oil, or as needed (Optional)"
94,6598241,5,teaspoons,white sugar
95,6598241,2,teaspoons,ground cinnamon
96,6738104,1,cup,milk
97,6738104,1,cup,all-purpose flour
98,6738104,¼,cup,cold water
99,6738104,3,large,eggs
100,6738104,2,tablespoons,vegetable oil
101,6738104,1,tablespoon,white sugar
102,6738104,½,teaspoon,salt
103,6738104,¼,teaspoon,vanilla extract
104,6738104,,,cooking spray
105,6738104,1,tablespoon,"butter, or as needed"
106,6664554,1,pound,"salmon fillet, bones removed"
107,6664554,½,cup,kosher salt
108,6664554,½,cup,white sugar
109,6664554,9,drops,liquid smoke flavoring (Optional)
110,6594900,6,,"apples - peeled, cored and chopped"
111,6594900,1,cup,finely chopped walnuts
112,6594900,½,teaspoon,ground cinnamon
113,6594900,1,teaspoon,white sugar
114,6594900,3 ½,teaspoons,honey
115,6594900,⅓,cup,sweet red wine
116,6650530,1,(16 ounce) jar,"sauerkraut, drained"
117,6650530,1,(8 ounce) package,"cream cheese, softened"
118,6650530,2,cups,shredded Swiss cheese
119,6650530,2,cups,shredded cooked corned beef
120,6650530,¼,cup,thousand island dressing
121,6664709,1,cup,warm water
122,6664709,½,cup,white sugar
123,6664709,½,cup,vegetable oil
124,6664709,2,large,"eggs, room temperature"
125,6664709,1,tablespoon,honey
126,6664709,2 ½,teaspoons,salt
127,6664709,4,cups,bread flour
128,6664709,2 ¼,teaspoons,bread machine yeast
129,6649286,2,(.25 ounce) packages,active dry yeast
130,6649286,1,cup,"warm water, no more than 100 degrees F (40 degrees C)"
131,6649286,½,cup,warm milk
132,6649286,¼,cup,white sugar
133,6649286,1,teaspoon,salt
134,6649286,4,cups,all-purpose flour
135,6649286,3,large,eggs
136,6649286,⅓,cup,"butter, softened"
137,6649286,½,cup,honey
138,6649286,½,cup,water
139,6649286,4,cups,"vegetable oil, or as needed"
140,6649286,2,teaspoons,ground cinnamon
141,6649555,1,large,"sweet potato, peeled and grated"
142,6649555,½,,"onion, grated"
143,6649555,2,large,eggs
144,6649555,¼,teaspoon,black pepper
145,6649555,2,teaspoons,"olive oil, or more if needed"
146,6649555,½,teaspoon,salt
147,6649555,1,cup,applesauce
148,6649555,1,cup,plain nonfat yogurt
149,6605844,7,,"baking potatoes, peeled and cubed"
150,6605844,¼,cup,vegetable oil
151,6605844,2,,"onions, chopped"
152,6605844,1,teaspoon,ground black pepper
153,6605844,2,teaspoons,salt
154,6605844,2,teaspoons,white sugar
155,6605844,1,teaspoon,minced garlic
156,6605844,2,,eggs
157,6605844,½,cup,vegetable oil
158,6605844,1,cup,warm water
159,6605844,1,teaspoon,salt
160,6605844,4,cups,all-purpose flour
161,6605844,2,,egg yolks
162,6605844,2,tablespoons,milk
163,6650299,1,teaspoon,ground cinnamon
164,6650299,¾,cup,white sugar
165,6650299,5,large,"Rome Beauty apples, peeled, cored, and chopped"
166,6650299,3,cups,all-purpose flour
167,6650299,1,teaspoon,salt
168,6650299,1,tablespoon,baking powder
169,6650299,4,,eggs
170,6650299,2,cups,white sugar
171,6650299,1,cup,vegetable oil
172,6650299,¼,cup,orange juice
173,6650299,1,tablespoon,vanilla extract
174,6649521,3,tablespoons,butter
175,6649521,2,(13 ounce) packages,frozen cheese-filled blintzes
176,6649521,4,,"eggs, beaten"
177,6649521,1 ½,cups,sour cream
178,6649521,1 ¼,cups,white sugar
179,6649521,½,teaspoon,salt
180,6649521,1,teaspoon,vanilla extract
181,6649521,1,tablespoon,orange juice
182,6737610,2,cups,all-purpose flour
183,6737610,¼,teaspoon,salt
184,6737610,1,cup,unsalted butter
185,6737610,1,(8 ounce) package,cream cheese
186,6737610,⅓,cup,sour cream
187,6737610,½,cup,white sugar
188,6737610,1,tablespoon,ground cinnamon
189,6737610,1,cup,finely chopped walnuts
190,6737610,½,cup,raisins
191,6736953,1,(16 ounce) package,egg noodles
192,6736953,½,cup,margarine
193,6736953,4,,"eggs, beaten"
194,6736953,1,cup,white sugar
195,6736953,1 ½,cups,applesauce
196,6736953,1,teaspoon,vanilla extract
197,6736953,,,"ground cinnamon, for dusting"
198,6650117,,,olive oil cooking spray (such as PAM®)
199,6650117,4,,"unsalted matzo boards, or more to taste"
200,6650117,1,cup,unsalted butter
201,6650117,1,cup,"light brown sugar, firmly packed"
202,6650117,¾,cup,chocolate chips
203,6650517,4,pounds,beef brisket
204,6650517,1,cup,water
205,6650517,1,cup,ketchup
206,6650517,½,cup,white vinegar
207,6650517,2,,"onions, sliced"
208,6650517,1,clove,"garlic, minced"
209,6650517,¾,cup,brown sugar
210,6650517,1,tablespoon,salt
211,6649272,4,,matzo sheets
212,6649272,3,,"eggs, beaten"
213,6649272,½,teaspoon,salt
214,6649272,½,cup,sugar
215,6649272,¼,cup,vegetable oil
216,6649272,1,teaspoon,"ground cinnamon, or to taste"
217,6649272,2,,"apples - peeled, cored and cubed"
218,6649272,½,cup,raisins
219,6648722,½,cup,white sugar
220,6648722,¼,cup,butter
221,6648722,1,teaspoon,salt
222,6648722,1,cup,hot milk (185 degrees F (85 degrees C))
223,6648722,2,(.25 ounce) packages,active dry yeast
224,6648722,¼,cup,warm water (110 degrees F (43 degrees C))
225,6648722,2,,eggs
226,6648722,4 ½,cups,all-purpose flour
227,6663993,1,(.25 ounce) package,active dry yeast
228,6663993,1,cup,warm water (100 degrees F/40 degrees C)
229,6663993,2,tablespoons,honey
230,6663993,1,teaspoon,salt
231,6663993,3,,beaten eggs
232,6663993,3 ½,cups,"all-purpose flour, plus more for kneading"
233,6663993,1,,"beaten egg yolk, or more if needed"
234,6663993,1,tablespoon,melted butter (Optional)
235,6599731,6,,"cucumbers, diced"
236,6599731,4,,"roma (plum) tomatoes, seeded and diced"
237,6599731,5,,"green onions, sliced"
238,6599731,1,,"red bell pepper, seeded and diced"
239,6599731,⅓,cup,chopped garlic
240,6599731,1,cup,chopped fresh parsley
241,6599731,½,cup,minced fresh mint leaves
242,6599731,½,cup,olive oil
243,6599731,2,tablespoons,fresh lemon juice
244,6599731,1,tablespoon,salt
245,6599731,1,tablespoon,ground black pepper
246,6589849,4,cups,whole wheat flour
247,6589849,1,teaspoon,salt
248,6589849,2 ¼,teaspoons,active dry yeast
249,6589849,2,tablespoons,vital wheat gluten (Optional)
250,6589849,½,cup,honey
251,6589849,½,cup,olive oil
252,6589849,1,cup,warm water
253,6589849,2,,eggs
254,6589849,¼,cup,"raisins, to taste (Optional)"
255,6575083,¾,cup,milk
256,6575083,2,,eggs
257,6575083,3,tablespoons,margarine
258,6575083,3,cups,bread flour
259,6575083,¼,cup,white sugar
260,6575083,1 ½,teaspoons,salt
261,6575083,1 ½,teaspoons,active dry yeast
262,6600608,6,,matzo sheets
263,6600608,4,,"eggs, lightly beaten"
264,6600608,1,(24 ounce) carton,cottage cheese
265,6600608,1,(8 ounce) package,"shredded mozzarella cheese, divided"
266,6600608,1,(28 ounce) jar,marinara sauce
267,6569481,1,tablespoon,active dry yeast
268,6569481,⅓,cup,white sugar
269,6569481,2,cups,warm water (110 degrees F/45 degrees C)
270,6569481,3,cups,all-purpose flour
271,6569481,4,,eggs
272,6569481,½,cup,vegetable oil
273,6569481,1,tablespoon,salt
274,6569481,1,cup,white sugar
275,6569481,6,cups,"all-purpose flour, or as needed"
276,6569481,1,,egg
277,6569481,1,teaspoon,vegetable oil
278,6569481,2,teaspoons,white sugar
279,6569481,1,teaspoon,water
280,6573042,2,cups,matzo meal
281,6573042,½,teaspoon,salt
282,6573042,½,teaspoon,white sugar
283,6573042,1,cup,water
284,6573042,½,cup,vegetable oil
285,6573042,4,,eggs
286,6591921,1 ½,cups,"butter or margarine, softened"
287,6591921,1,cup,white sugar
288,6591921,2,,eggs
289,6591921,6,tablespoons,orange juice
290,6591921,1,tablespoon,vanilla extract
291,6591921,2,teaspoons,baking powder
292,6591921,4 ½,cups,all-purpose flour
293,6591921,1,(12 ounce) can,poppyseed filling
294,6589506,½,cup,butter
295,6589506,1,cup,white sugar
296,6589506,2,,eggs
297,6589506,2,cups,all-purpose flour
298,6589506,1,teaspoon,baking soda
299,6589506,1,teaspoon,baking powder
300,6589506,1,cup,sour cream
301,6589506,1,teaspoon,vanilla extract
302,6589506,1,cup,chopped walnuts
303,6589506,½,cup,confectioners' sugar
304,6589506,2,teaspoons,ground cinnamon
305,6589506,2,tablespoons,"butter, melted"
306,6593265,¼,cup,chopped onion
307,6593265,1,(15 ounce) can,"garbanzo beans, rinsed and drained"
308,6593265,¼,cup,chopped fresh parsley
309,6593265,3,cloves,"garlic, minced"
310,6593265,1,teaspoon,ground cumin
311,6593265,¼,teaspoon,ground coriander
312,6593265,¼,teaspoon,salt
313,6593265,¼,teaspoon,baking soda
314,6593265,1,tablespoon,all-purpose flour
315,6593265,1,,"egg, beaten"
316,6593265,2,teaspoons,olive oil
317,6570168,4,,eggs
318,6570168,6,tablespoons,olive oil
319,6570168,⅓,cup,club soda
320,6570168,2,tablespoons,club soda
321,6570168,½,teaspoon,salt
322,6570168,1 ½,cups,"matzo meal, or more as needed"
323,6570168,4,quarts,water
324,6738703,1,(8 ounce) package,large egg noodles
325,6738703,6,tablespoons,"butter, sliced"
326,6738703,6,,"eggs, separated"
327,6738703,½,cup,white sugar
328,6738703,¾,(8 ounce) package,"cream cheese, softened"
329,6738703,4,tablespoons,sour cream
330,6738703,1,(16 ounce) package,"cottage cheese, creamed"
331,6738703,1,pinch,salt
332,6738703,4,tablespoons,"butter, melted"
333,6738703,¼,cup,white sugar
334,6738703,⅓,cup,graham cracker crumbs
335,6599973,¼,cup,vegetable oil
336,6599973,1,cup,sliced mushrooms
337,6599973,1,cup,grated carrot
338,6599973,1,cup,chopped celery
339,6599973,1,cup,chopped onion
340,6599973,2,cloves,"garlic, minced"
341,6599973,¼,cup,chopped fresh parsley
342,6599973,2,,eggs
343,6599973,½,cup,"water, or as needed"
344,6599973,,,salt and pepper to taste
345,6599973,8,cups,cubed white bread
346,6599973,5,pounds,veal breast
347,6599973,1,teaspoon,paprika
348,6599973,½,teaspoon,onion powder
349,6599973,¾,teaspoon,garlic powder
350,6599973,,,salt and pepper to taste
351,6582197,1,tablespoon,canola oil
352,6582197,1 ½,pounds,"carrots, peeled and cut into 1/4-inch rounds"
353,6582197,⅓,cup,seedless golden raisins
354,6582197,¼,cup,freshly squeezed orange juice
355,6582197,1 ½,tablespoons,honey
356,6582197,1 ½,tablespoons,brown sugar
357,6582197,,,kosher salt and ground black pepper to taste
358,6582197,2,tablespoons,minced fresh parsley
359,6579666,1,,"red bell pepper, cut into thin strips"
360,6579666,3,,"tomatoes, sliced"
361,6579666,6,(6 ounce),tilapia fillets
362,6579666,2,tablespoons,paprika
363,6579666,1,tablespoon,chicken bouillon granules
364,6579666,1,teaspoon,cayenne pepper
365,6579666,,,salt and pepper to taste
366,6579666,¼,cup,olive oil
367,6579666,1,cup,water
368,6579666,¼,cup,chopped fresh parsley
369,6571359,1,tablespoon,vegetable oil
370,6571359,1,(4 pound),beef brisket
371,6571359,,,ground black pepper to taste
372,6571359,2,,"onions, thickly sliced"
373,6571359,2,cloves,"garlic, peeled and cut in half"
374,6571359,,,salt and pepper to taste
375,6581363,4,pounds,bone-in beef shank
376,6581363,12,cups,water
377,6581363,3,,"carrots, peeled and cut into 3-inch pieces"
378,6581363,3,,"onions, peeled"
379,6581363,4,stalks,celery with leaves
380,6581363,1,,bay leaf
381,6581363,16,,peppercorns
382,6579434,4,pounds,whole chicken
383,6579434,2,,"onions, cut into 1-inch cubes"
384,6579434,3,,"carrots, sliced"
385,6579434,2,stalks,"celery, thickly sliced"
386,6579434,1,cup,chopped fresh dill weed
387,6579434,,,salt to taste
388,6579434,2,tablespoons,vegetable oil
389,6579434,2,tablespoons,"chicken cracklings (grebenes), finely minced"
390,6579434,2,,"eggs, beaten"
391,6579434,½,cup,matzo meal
392,6579434,1,teaspoon,salt
393,6579434,¼,cup,vegetable broth
394,6605733,½,teaspoon,vegetable oil
395,6605733,2,cups,hot water
396,6605733,2,(6 inch),matzo sheets
397,6605733,2,,large eggs
398,6605733,⅛,teaspoon,kosher salt
399,6605733,1,tablespoon,"butter, divided"
400,6605733,,,kosher salt to taste
401,6569149,6,large,"Yukon Gold potatoes, peeled"
402,6569149,¼,cup,butter
403,6569149,1,large,"onion, chopped"
404,6569149,1,cube,"chicken bouillon, crumbled"
405,6569149,,,salt and pepper to taste
406,6569149,18,sheets,phyllo dough
407,6569149,¼,cup,butter
408,6577859,2,(10 ounce) packages,matzo crackers
409,6577859,½,cup,butter
410,6577859,6,,eggs
411,6577859,,,salt and pepper to taste
412,6577859,3,tablespoons,minced fresh parsley
413,6577859,2,,"onions, minced"
414,6577859,5,ounces,matzo meal
415,6577859,96,ounces,chicken broth
416,6588052,1,(12 ounce) package,wide egg noodles
417,6588052,6,,"eggs, beaten"
418,6588052,1,(16 ounce) package,small curd cottage cheese
419,6588052,2,cups,whole milk
420,6588052,1,cup,sour cream
421,6588052,1,cup,white sugar
422,6588052,6,tablespoons,"butter, melted"
423,6588052,1,(4 ounce) package,"cream cheese, softened"
424,6588052,1,tablespoon,vanilla extract
425,6588052,1,teaspoon,salt
426,6588052,⅓,cup,white sugar
427,6588052,¼,cup,brown sugar
428,6588052,1,teaspoon,ground cinnamon
429,6737839,3,cups,shredded potato
430,6737839,¼,cup,grated onion
431,6737839,2,large,"eggs, beaten"
432,6737839,6,,"saltine crackers, or as needed, crushed"
433,6737839,½,teaspoon,"salt, or more to taste"
434,6737839,¼,teaspoon,ground black pepper
435,6737839,½,cup,"vegetable oil, or as needed"
436,6588270,½,cup,pareve margarine
437,6588270,8,ounces,"semisweet chocolate, chopped"
438,6588270,5,,"eggs, separated"
439,6588270,¾,cup,white sugar
440,6588270,1,cup,ground almonds
441,6569093,3,,"onions, quartered"
442,6569093,4,tablespoons,vegetable oil
443,6569093,4,pounds,"chuck roast, cut into large chunks"
444,6569093,1,cup,dry kidney beans
445,6569093,1,cup,dried pinto beans
446,6569093,1,cup,pearl barley
447,6569093,5,large,"potatoes, peeled and cut into thirds"
448,6569093,,,boiling water to cover
449,6569093,2,(1 ounce) packages,dry onion and mushroom soup mix
450,6569093,2,tablespoons,garlic powder
451,6569093,,,salt and pepper to taste
452,6588207,1 ½,tablespoons,honey
453,6588207,¼,cup,"ground cinnamon, or to taste"
454,6588207,5,cups,peeled and chopped apples
455,6588207,2,cups,grape juice
456,6588207,1,cup,chopped walnuts
457,6592894,¾,cup,milk
458,6592894,¼,cup,butter
459,6592894,2,cups,bread flour
460,6592894,2,cups,all-purpose flour
461,6592894,2,teaspoons,active dry yeast
462,6592894,¼,cup,white sugar
463,6592894,¼,cup,water (Optional)
464,6592894,1,large,egg
465,6592894,¾,teaspoon,salt
466,6581755,3,,eggs
467,6581755,1,cup,milk
468,6581755,2,tablespoons,vegetable oil
469,6581755,¾,cup,all-purpose flour
470,6581755,1,teaspoon,"vegetable oil, or as needed"
471,6583011,4,,"potatoes, peeled and cubed"
472,6583011,1,,"onion, chopped"
473,6583011,2,,eggs
474,6583011,2,teaspoons,salt
475,6583011,2,tablespoons,"all-purpose flour, or as needed"
476,6583011,1,teaspoon,baking powder
477,6583011,¼,cup,"canola oil, or as needed"
478,6596327,1,tablespoon,vegetable oil
479,6596327,1,,"onion, sliced"
480,6596327,4,,eggs
481,6596327,1,cup,mayonnaise
482,6596327,3,tablespoons,all-purpose flour
483,6596327,,,salt and pepper to taste
484,6596327,2,(16 ounce) bags,"frozen chopped broccoli, thawed"
485,6584781,4,large,potatoes
486,6584781,3,cloves,"garlic, crushed"
