,id_recipe,Quantity,Unit of Measure,Ingredient
0,6649212,18,,"fresh okra pods, sliced 1/3 inch thick"
1,6649212,1,tablespoon,olive oil
2,6649212,2,teaspoons,"kosher salt, or to taste"
3,6649212,2,teaspoons,"black pepper, or to taste"
4,6738090,½,cup,butter
5,6738090,1,,"whole chicken, cut into pieces"
6,6738090,3,teaspoons,"salt, divided"
7,6738090,¾,teaspoon,"ground black pepper, divided"
8,6738090,¾,cup,all-purpose flour
9,6738090,3,cups,chopped yellow onions
10,6738090,2,cups,chopped carrots
11,6738090,1,cup,chopped celery
12,6738090,3,cloves,"garlic, chopped"
13,6738090,3,tablespoons,all-purpose flour
14,6738090,3,cups,chicken broth
15,6738090,¼,teaspoon,cayenne pepper
16,6648596,6,cups,water
17,6648596,2,cups,uncooked grits
18,6648596,3,cups,"shredded Cheddar cheese, divided"
19,6648596,½,cup,"butter, cut into pieces, divided"
20,6648596,1,pound,ground pork sausage
21,6648596,12,large,eggs
22,6648596,½,cup,milk
23,6648596,,,salt and pepper to taste
24,6739044,¼,cup,olive oil
25,6739044,2,tablespoons,minced garlic
26,6739044,5,cups,chicken stock
27,6739044,1,,smoked turkey drumstick
28,6739044,5,bunches,"collard greens - rinsed, trimmed and chopped"
29,6739044,,,salt and black pepper to taste
30,6739044,1,tablespoon,crushed red pepper flakes (Optional)
31,6575257,2,cups,self-rising flour
32,6575257,1,cup,milk
33,6575257,6,tablespoons,mayonnaise
34,6740933,1,(3 pound),"whole chicken, cut into pieces"
35,6740933,,,salt to taste
36,6740933,,,ground black pepper to taste
37,6740933,1,teaspoon,paprika
38,6740933,1,cup,all-purpose flour
39,6740933,1,quart,vegetable oil for frying
40,6663427,6,,"skinless, boneless chicken breast halves - cut into chunks"
41,6663427,1,cup,water
42,6663427,4,,"limes, juiced"
43,6663427,2,tablespoons,vegetable oil
44,6663427,2,teaspoons,ground allspice
45,6663427,2,teaspoons,dried thyme
46,6663427,1 ½,teaspoons,ground black pepper
47,6663427,1,teaspoon,salt
48,6663427,1,teaspoon,brown sugar
49,6663427,1,teaspoon,ground ginger
50,6663427,½,teaspoon,ground nutmeg
51,6663427,2,,"onions, chopped"
52,6663427,1 ½,cups,chopped green onions
53,6663427,2,,"habanero peppers, chopped"
54,6663427,6,cloves,"garlic, chopped"
55,6573140,1,pound,dry pinto beans
56,6573140,1,,"large, meaty ham hock"
57,6573140,1,large,"onion, chopped"
58,6573140,2,cloves,"garlic, minced"
59,6573140,8,cups,water
60,6573140,1,teaspoon,chili powder
61,6573140,1,teaspoon,"salt, or to taste"
62,6573140,¼,teaspoon,"ground black pepper, or to taste"
63,6575281,1,bunch,"collard greens - rinsed, trimmed and chopped"
64,6575281,2,,smoked ham hocks
65,6575281,2,(10.5 ounce) cans,condensed chicken broth
66,6575281,21,fluid ounces,water
67,6575281,1,tablespoon,distilled white vinegar
68,6575281,,,salt and pepper to taste
69,6598528,2,tablespoons,olive oil
70,6598528,2,medium,"onions, chopped"
71,6598528,2,large,"red bell peppers, chopped"
72,6598528,4,cloves,"garlic, minced"
73,6598528,8,cups,vegetable broth or stock
74,6598528,1,(28 ounce) can,"crushed tomatoes, with liquid"
75,6598528,¼,teaspoon,freshly ground black pepper
76,6598528,¼,teaspoon,chili powder (Optional)
77,6598528,⅔,cup,extra crunchy peanut butter
78,6598528,½,cup,uncooked brown rice
79,6594858,2,cups,mashed sweet potatoes
80,6594858,¼,pound,"butter, softened"
81,6594858,2,,"eggs, separated"
82,6594858,1,cup,packed brown sugar
83,6594858,¼,teaspoon,salt
84,6594858,½,teaspoon,ground ginger
85,6594858,½,teaspoon,ground cinnamon
86,6594858,½,teaspoon,ground nutmeg
87,6594858,½,cup,evaporated milk
88,6594858,¼,cup,white sugar
89,6594858,1,(9 inch),unbaked pie crust
90,6603359,1,tablespoon,olive oil
91,6603359,1,,"onion, chopped"
92,6603359,2,cloves,"garlic, peeled and chopped"
93,6603359,1,,bay leaf
94,6603359,1,(14.5 ounce) can,"whole peeled tomatoes, drained"
95,6603359,2,teaspoons,curry powder
96,6603359,⅛,teaspoon,salt
97,6603359,1,(2 to 3 pound),"whole chicken, bones and skin removed, cut into pieces"
98,6603359,1,(14 ounce) can,unsweetened coconut milk
99,6603359,1,,"lemon, juiced"
100,6579518,1,cup,"butter, divided"
101,6579518,1,,"onion, chopped"
102,6579518,2 ½,cups,"water, divided"
103,6579518,1,(6 ounce) can,tomato paste
104,6579518,¾,cup,berbere seasoning
105,6579518,1,teaspoon,chopped garlic
106,6579518,½,teaspoon,ground ginger
107,6579518,4,,"skinless, boneless chicken breasts, cubed"
108,6579518,⅓,cup,sweet white wine
109,6579518,½,teaspoon,ground cardamom
110,6579518,½,teaspoon,freshly ground black pepper
111,6579518,4,,hard-boiled eggs
112,6663909,1,tablespoon,olive oil
113,6663909,1,large,"onion, sliced"
114,6663909,2,(14.5 ounce) cans,stewed tomatoes
115,6663909,½,(6 ounce) can,tomato paste
116,6663909,1,teaspoon,salt
117,6663909,¼,teaspoon,black pepper
118,6663909,¼,teaspoon,cayenne pepper
119,6663909,½,teaspoon,red pepper flakes
120,6663909,1,tablespoon,Worcestershire sauce
121,6663909,1,teaspoon,chopped fresh rosemary
122,6663909,2,cups,water
123,6663909,1,(3 pound),"whole chicken, cut into 8 pieces"
124,6663909,1,cup,uncooked white rice
125,6663909,1,cup,diced carrots
126,6663909,½,pound,"fresh green beans, trimmed and snapped into 1 to 2 inch pieces"
127,6663909,¼,teaspoon,ground nutmeg
128,6588807,2,slices,"bacon, chopped"
129,6588807,1,medium,"onion, chopped"
130,6588807,1,(10 ounce) package,frozen cut okra
131,6588807,1,(14.5 ounce) can,"diced tomatoes, drained"
