,id_recipe,Quantity,Unit of Measure,Ingredient
0,7968859,8,ounces,"andouille sausage, cut into 1/4-inch cubes"
1,7968859,2,tablespoons,olive oil
2,7968859,1,cup,onion
3,7968859,1,cup,green bell pepper
4,7968859,2/3,cup,celery
5,7968859,1/4,teaspoon,"kosher salt, plus more to taste"
6,7968859,1,teaspoon,paprika
7,7968859,1,teaspoon,cumin
8,7968859,1/2,teaspoon,ground black pepper
9,7968859,1/2,teaspoon,dried thyme
10,7968859,1/4,teaspoon,dried oregano
11,7968859,1,,bay leaf
12,7968859,6,cups,low-sodium chicken broth
13,7968859,8,ounces,"chicken thighs, cut into small pieces"
14,7968859,4,ounces,"smoked ham, diced"
15,7968859,3/4,cup,okra
16,7968859,1,cup,"lentils, rinsed"
17,7968859,1,teaspoon,orcestershire sauce
18,7968859,1/2,teaspoon,hot sauce
19,7968859,1/4,cup chopped,talian parsley
20,7968859,1/3,cup,green onions
21,7968859,2,cups,cooked white rice (optional)
22,7968859,1/3,cup,"green onions, or as needed"
23,7968859,,,"1/8 teaspoon cayenne pepper, or to taste"
24,6735371,3,tablespoons,extra-virgin olive oil
25,6735371,1 ½,,"onion, chopped"
26,6735371,2,cloves,"garlic, pressed"
27,6735371,½,(750 milliliter) bottle,dry white wine (such as Chenin Blanc)
28,6735371,½,pound,dry brown lentils
29,6735371,1,(32 fluid ounce) container,chicken stock
30,6735371,2,teaspoons,Italian seasoning
31,6735371,1,teaspoon,dried parsley
32,6735371,1,teaspoon,garlic powder
33,6735371,1,tablespoon,dried minced onion
34,6735371,,,salt and ground black pepper to taste
35,6664267,¼,cup,olive oil
36,6664267,1,,"onion, chopped"
37,6664267,2,,"carrots, diced"
38,6664267,2,stalks,"celery, chopped"
39,6664267,2,cloves,"garlic, minced"
40,6664267,1,,bay leaf
41,6664267,1,teaspoon,dried oregano
42,6664267,1,teaspoon,dried basil
43,6664267,2,cups,dry lentils
44,6664267,8,cups,water
45,6664267,1,(14.5 ounce) can,crushed tomatoes
46,6664267,½,cup,"spinach, rinsed and thinly sliced"
47,6664267,2,tablespoons,vinegar
48,6664267,,,salt to taste
49,6664267,,,ground black pepper to taste
50,6740637,2,tablespoons,"extra-virgin olive oil, plus more for garnish"
51,6740637,12,ounces,"boneless lamb shoulder, cut into 1/2 -inch pieces (Optional)"
52,6740637,1,large,"yellow onion, diced"
53,6740637,1,teaspoon,"kosher salt, divided, or to taste"
54,6740637,1 ½,teaspoons,smoked paprika
55,6740637,1,teaspoon,ground coriander
56,6740637,1,teaspoon,ground cumin
57,6740637,½,teaspoon,ground ginger
