,id_recipe,Quantity,Unit of Measure,Ingredient
0,6664377,16,,Boston Bibb or butter lettuce leaves
1,6664377,1,pound,lean ground beef
2,6664377,1,tablespoon,cooking oil
3,6664377,1,large,"onion, chopped"
4,6664377,¼,cup,hoisin sauce
5,6664377,2,cloves,"fresh garlic, minced"
6,6664377,1,tablespoon,soy sauce
7,6664377,1,tablespoon,rice wine vinegar
8,6664377,2,teaspoons,minced pickled ginger
9,6664377,1,dash,"Asian chile pepper sauce, or to taste (Optional)"
10,6664377,1,(8 ounce) can,"water chestnuts, drained and finely chopped"
11,6664377,1,bunch,"green onions, chopped"
12,6664377,2,teaspoons,Asian (dark) sesame oil
13,6649071,4,cups,water
14,6649071,2,cups,uncooked white rice
15,6649071,1,tablespoon,vegetable oil
16,6649071,1,pound,ground pork
17,6649071,1,bunch,"green onions, thinly sliced"
18,6649071,½,teaspoon,minced garlic
19,6649071,1,(14 ounce) package,"firm tofu, drained and cubed"
20,6649071,2,,"carrots, shredded"
21,6649071,3,tablespoons,hoisin sauce
22,6649071,2,tablespoons,soy sauce
23,6649071,1,teaspoon,sesame oil
24,6649071,¼,teaspoon,hot chile paste
25,6649071,1,head,"iceberg lettuce leaves, separated"
26,6737140,1 ½,pounds,"skinless, boneless chicken thighs, coarsely chopped"
27,6737140,1,(8 ounce) can,"water chestnuts, drained and minced"
28,6737140,1,cup,diced shiitake mushroom caps
29,6737140,½,cup,minced yellow onion
30,6737140,⅓,cup,chopped green onion
31,6737140,1,tablespoon,soy sauce
32,6737140,1,tablespoon,freshly grated ginger
33,6737140,2,teaspoons,brown sugar
34,6591148,1 ½,pounds,ground chicken
35,6591148,1,,"red bell pepper, cut into large dice"
36,6591148,½,cup,soy sauce
37,6591148,2,tablespoons,"rice wine vinegar, or more to taste"
38,6591148,1,tablespoon,grated fresh ginger
39,6591148,5,dashes,hot pepper sauce (such as Tabasco®)
40,6591148,1,teaspoon,Asian (toasted) sesame oil
41,6591148,½,cup,chunky peanut butter
42,6591148,3,tablespoons,hot water
43,6591148,3,tablespoons,soy sauce
44,6591148,5,dashes,hot pepper sauce (such as Tabasco®)
45,6591148,6,,large leaves of iceberg lettuce
46,6591148,2,,"carrots, shredded"
47,6591148,1,tablespoon,"chopped green onion, or to taste"
48,6591148,1,tablespoon,chopped fresh cilantro
49,6599632,1,(6 ounce) can,"chunk light tuna, drained"
50,6599632,2,tablespoons,chopped onion
51,6599632,1,tablespoon,light mayonnaise
52,6599632,,,salt and ground black pepper to taste
53,6599632,3,leaves,"green lettuce, rinsed and patted dry"
54,6599632,2,tablespoons,finely shredded low-fat Cheddar cheese (Optional)
55,6737593,1,,"green bell pepper, chopped"
56,6737593,1,,"yellow onion, chopped"
57,6737593,2,tablespoons,olive oil
58,6737593,2,tablespoons,chicken stock (Optional)
59,6737593,1,pound,ground beef
60,6737593,3,tablespoons,taco seasoning
61,6737593,2,large,"roma (plum) tomatoes, chopped"
62,6737593,½,teaspoon,salt
63,6737593,1,(8 ounce) package,shredded Cheddar cheese
64,6737593,12,,large romaine lettuce leaves
65,6737887,6,,whole duck legs
66,6737887,1,tablespoon,vegetable oil
67,6737887,1,tablespoon,kosher salt
68,6737887,2,teaspoons,five-spice powder
69,6737887,1,teaspoon,freshly ground black pepper
70,6737887,3,,"green onions, cut into large pieces"
71,6737887,5,cloves,"garlic, halved"
72,6737887,1,tablespoon,chopped green onion
73,6589017,⅓,cup,Kikkoman Stir-Fry Sauce
74,6589017,1,tablespoon,dry sherry
75,6589017,1,teaspoon,cornstarch
76,6589017,1,pound,ground pork
77,6589017,½,cup,chopped onion
78,6589017,2,cloves,"garlic, minced"
79,6589017,¼,cup,coarsely chopped cilantro leaves
80,6589017,½,teaspoon,Oriental sesame oil
81,6589017,,,Iceberg lettuce leaves
82,6648185,⅓,cup,unsweetened shredded dried coconut
83,6648185,2,tablespoons,finely chopped roasted peanuts
84,6648185,2,tablespoons,minced shallot
85,6648185,1,tablespoon,finely minced fresh ginger
86,6648185,1,small,"lime, zested and juiced"
87,6648185,½,cup,packed dark brown sugar
88,6648185,2,tablespoons,fish sauce
89,6648185,⅔,cup,water
90,6571502,1,bunch,"green onions, sliced"
91,6571502,1,(8 ounce) can,"water chestnuts, drained and diced"
92,6571502,¼,cup,hoisin sauce
93,6571502,2,tablespoons,light soy sauce
94,6571502,1,tablespoon,Sriracha
95,6571502,¾,tablespoon,rice vinegar
96,6571502,1,teaspoon,minced fresh ginger
97,6571502,½,teaspoon,red pepper flakes
98,6571502,1,tablespoon,olive oil
99,6571502,1,cup,diced yellow onion
100,6571502,1,pound,ground chicken
101,6571502,3,cloves,"garlic, minced"
102,6571502,1,tablespoon,sesame oil
103,6571502,,,salt and ground black pepper to taste
104,6571502,8,leaves,"Bibb lettuce, or more as needed"
105,6575955,1,tablespoon,olive oil
106,6575955,1,medium,"yellow onion, diced"
107,6575955,2,tablespoons,soy sauce
108,6575955,2,cloves,"garlic, minced"
109,6575955,1,pound,ground turkey
110,6580596,6,tablespoons,creamy peanut butter
111,6580596,3,tablespoons,low-sodium soy sauce
112,6580596,2,teaspoons,"sambal oelek (chile paste), or more to taste"
113,6580596,2,teaspoons,rice vinegar
114,6580596,1,teaspoon,grated ginger root
115,6580596,1,clove,"garlic, grated"
116,6580596,¼,teaspoon,red pepper flakes
117,6580596,¼,cup,"water, or more as needed"
118,6598228,2,slices,bacon
119,6598228,⅓,cup,shredded rotisserie chicken
120,6598228,,,coarse salt and ground black pepper to taste
121,6598228,1,,avocado
122,6598228,1,tablespoon,lemon juice
123,6598228,1,clove,"garlic, minced"
124,6598228,1,,"tomato, chopped"
125,6598228,1,,"onion, chopped"
126,6598228,2,,"lettuce leaves, or as needed"
127,6585339,⅓,cup,vegetarian hoisin sauce
128,6585339,1,teaspoon,"water, or more to taste"
129,6585339,½,teaspoon,"sambal oelek (chile paste), or more to taste (Optional)"
130,6739032,2,cups,water
131,6739032,2,ounces,mai fun (angel hair) rice noodles
132,6739032,1,teaspoon,vegetable oil
133,6739032,4,,"shiitake mushrooms, sliced"
134,6739032,2,teaspoons,vegetable oil
135,6739032,1,(16 ounce) package,ground turkey
136,6739032,6,,"green onions, chopped"
137,6739032,¼,cup,chopped water chestnuts
138,6739032,4,teaspoons,finely minced fresh ginger root
139,6739032,2,teaspoons,minced garlic
140,6739032,3,tablespoons,soy sauce
141,6739032,2,tablespoons,brown sugar
142,6739032,1,tablespoon,rice vinegar
143,6739032,1,teaspoon,sesame oil
144,6739032,1,teaspoon,finely grated orange zest
145,6739032,12,leaves,green leaf lettuce
146,6605536,1,splash,olive oil
147,6605536,1,cup,rice
148,6605536,¼,cup,chopped onion
149,6605536,1,clove,"garlic, chopped"
150,6605536,1,cup,vegetable broth
151,6605536,1 ½,cups,water
152,6605536,1,head,romaine lettuce leaves
153,6605536,1,dash,"soy sauce, or to taste (Optional)"
154,6605536,1,splash,"lime juice, or to taste (Optional)"
155,6651031,2,tablespoons,butter
156,6651031,½,,"red bell pepper, chopped"
157,6651031,1,pound,"large shrimp, peeled and deveined"
158,6651031,2,cloves,"garlic, minced"
