,id_recipe,Quantity,Unit of Measure,Ingredient
0,6663120,2,tablespoons,white sugar
1,6663120,1,tablespoon,lemon juice
2,6663120,6,ears,"corn on the cob, husks and silk removed"
3,6649411,4,,"apples - peeled, cored and chopped"
4,6649411,¾,cup,water
5,6649411,¼,cup,white sugar
6,6649411,½,teaspoon,ground cinnamon
7,6664373,2,tablespoons,oil
8,6664373,2,tablespoons,chopped onion
9,6664373,1 ½,cups,uncooked white rice
10,6664373,2,cups,chicken broth
11,6664373,1,cup,picante sauce
12,6649719,18,cups,thinly sliced apples
13,6649719,3,tablespoons,lemon juice
14,6649719,10,cups,water
15,6649719,4 ½,cups,white sugar
16,6649719,1,cup,cornstarch
17,6649719,2,teaspoons,ground cinnamon
18,6649719,1,teaspoon,salt
19,6649719,¼,teaspoon,ground nutmeg
20,6663158,1,teaspoon,olive oil
21,6663158,1,,"onion, chopped"
22,6663158,2,cloves,"garlic, minced"
23,6663158,¾,cup,uncooked white rice
24,6663158,1 ½,cups,"low sodium, low fat vegetable broth"
25,6663158,3 ½,cups,"canned black beans, drained"
26,6663158,1,teaspoon,ground cumin
27,6663158,¼,teaspoon,cayenne pepper
28,6650353,⅛,cup,olive oil
29,6650353,1,tablespoon,minced garlic
30,6650353,½,teaspoon,dried basil
31,6650353,½,teaspoon,dried marjoram
32,6650353,½,teaspoon,dried dill weed
33,6650353,½,teaspoon,dried thyme
34,6650353,½,teaspoon,dried oregano
35,6650353,½,teaspoon,dried parsley
36,6650353,½,teaspoon,crushed red pepper flakes
37,6650353,½,teaspoon,salt
38,6650353,4,large,"potatoes, peeled and cubed"
39,6738625,1 ½,cups,basmati rice
40,6738625,2,tablespoons,vegetable oil
41,6738625,1,(2 inch) piece,cinnamon stick
42,6738625,2,pods,green cardamom
43,6738625,2,,whole cloves
44,6738625,1,tablespoon,cumin seed
45,6738625,1,small,"onion, thinly sliced"
46,6738625,2 ½,cups,water
47,6738625,1,teaspoon,"salt, or to taste"
48,6651103,1,(16 ounce) package,bow tie pasta
49,6651103,1,teaspoon,olive oil
50,6651103,2,cloves,"garlic, minced"
51,6651103,2,,"skinless, boneless chicken breasts, cut into bite-sized pieces"
52,6651103,1,pinch,"crushed red pepper flakes, or to taste"
53,6651103,½,cup,pesto sauce
54,6651103,⅓,cup,"oil-packed sun-dried tomatoes, drained and cut into strips"
55,6650098,2 ½,cups,distilled white vinegar
56,6650098,2,cups,water
57,6650098,¼,cup,salt
58,6650098,1,clove,"garlic, peeled"
59,6650098,2 ½,pounds,fresh green beans
60,6650098,6,large,sprigs dill
61,6650098,¾,teaspoon,red pepper flakes (Optional)
62,6573552,2,large,"russet potatoes, scrubbed"
63,6573552,1,tablespoon,peanut oil
64,6573552,½,teaspoon,coarse sea salt
65,6648369,1,(2 pound),pork tenderloin
66,6648369,1,(12 fluid ounce) can or bottle,root beer
67,6648369,1,(18 ounce) bottle,your favorite barbecue sauce
68,6648369,8,,"hamburger buns, split and lightly toasted"
69,6663460,6,large,"sweet potatoes, peeled and cut into chunks"
70,6663460,1,cup,white sugar
71,6663460,½,cup,brown sugar
72,6663460,2,tablespoons,ground cinnamon
73,6663460,1,tablespoon,"butter, softened"
74,6663460,1,cup,"miniature marshmallows, or as needed"
75,6650463,2,teaspoons,vegetable oil
76,6650463,1,tablespoon,finely chopped garlic
77,6650463,½,teaspoon,grated fresh ginger root
78,6650463,⅔,cup,dark brown sugar
79,6650463,½,cup,soy sauce
80,6650463,½,cup,water
81,6650463,1,pound,"beef flank steak, sliced 1/4 inch thick on the diagonal"
82,6650463,¼,cup,cornstarch
83,6650463,1,cup,vegetable oil for frying
