,id_recipe,Quantity,Unit of Measure,Ingredient
0,6649828,4,cups,water
1,6649828,2,teaspoons,dashi granules
2,6649828,3,tablespoons,miso paste
3,6649828,1,(8 ounce) package,"silken tofu, diced"
4,6649828,2,,"green onions, sliced diagonally into 1/2 inch pieces"
5,6648782,1,tablespoon,olive oil
6,6648782,½,medium,"onion, chopped"
7,6648782,2,tablespoons,dried oregano
8,6648782,1,tablespoon,salt
9,6648782,1,teaspoon,ground cumin
10,6648782,2,,bay leaves
11,6648782,2,stalks,"celery, chopped"
12,6648782,2,,"green bell peppers, chopped"
13,6648782,2,,"jalapeno peppers, chopped"
14,6648782,3,cloves,"garlic, chopped"
15,6648782,2,(4 ounce) cans,"chopped green chile peppers, drained"
16,6648782,2,(12 ounce) packages,vegetarian burger crumbles
17,6648782,3,(28 ounce) cans,"whole peeled tomatoes, crushed"
18,6648782,¼,cup,chili powder
19,6648782,1,tablespoon,ground black pepper
20,6648782,1,(15 ounce) can,"kidney beans, drained"
21,6648782,1,(15 ounce) can,"garbanzo beans, drained"
22,6648782,1,(15 ounce) can,black beans
23,6648782,1,(15 ounce) can,whole kernel corn
24,6649095,1,pound,"fresh asparagus spears, trimmed"
25,6649095,1,tablespoon,olive oil
26,6649095,,,salt and pepper to taste
27,6738865,5,tablespoons,paprika
28,6738865,3,tablespoons,salt
29,6738865,2,tablespoons,onion powder
30,6738865,2,tablespoons,garlic powder
31,6738865,2,tablespoons,dried oregano
32,6738865,2,tablespoons,dried basil
33,6738865,1,tablespoon,dried thyme
34,6738865,1,tablespoon,black pepper
35,6738865,1,tablespoon,white pepper
36,6738865,1,tablespoon,cayenne pepper
37,6664737,3,pounds,boneless venison roast
38,6664737,1,large,"onion, sliced"
39,6664737,1,tablespoon,soy sauce
40,6664737,1,tablespoon,Worcestershire sauce
41,6664737,1,tablespoon,garlic salt
42,6664737,¼,teaspoon,ground black pepper
43,6664737,1,(1 ounce) package,dry onion soup mix
44,6664737,1,(10.75 ounce) can,condensed cream of mushroom soup
45,6664086,4,(4 ounce) fillets,tilapia
46,6664086,2,teaspoons,butter
47,6664086,½,teaspoon,"garlic salt, or to taste"
48,6664086,¼,teaspoon,"seafood seasoning (such as Old Bay®), or to taste"
49,6664086,1,,"lemon, sliced"
50,6664086,1,(16 ounce) package,frozen cauliflower with broccoli and red pepper
51,6664086,,,salt and ground black pepper to taste
52,6651103,1,(16 ounce) package,bow tie pasta
53,6651103,1,teaspoon,olive oil
54,6651103,2,cloves,"garlic, minced"
55,6651103,2,,"skinless, boneless chicken breasts, cut into bite-sized pieces"
56,6651103,1,pinch,"crushed red pepper flakes, or to taste"
57,6651103,½,cup,pesto sauce
58,6651103,⅓,cup,"oil-packed sun-dried tomatoes, drained and cut into strips"
59,6648626,1,pound,ground beef
60,6648626,¾,cup,diced onion
61,6648626,¾,cup,diced celery
62,6648626,¾,cup,diced green bell pepper
63,6648626,2,cloves,"garlic, minced"
64,6648626,2,(10.75 ounce) cans,tomato puree
65,6648626,1,(15 ounce) can,kidney beans with liquid
66,6648626,1,(15 ounce) can,"kidney beans, drained"
67,6648626,1,(15 ounce) can,cannellini beans with liquid
68,6648626,½,tablespoon,chili powder
69,6648626,1,teaspoon,salt
70,6648626,¾,teaspoon,dried basil
71,6648626,¾,teaspoon,dried oregano
72,6648626,½,teaspoon,dried parsley
73,6648626,¼,teaspoon,ground black pepper
74,6648626,⅛,teaspoon,hot pepper sauce
75,6648334,⅓,cup,water
76,6648334,¼,cup,lime juice
77,6648334,2,tablespoons,olive oil
78,6648334,4,cloves,"garlic, crushed"
79,6648334,2,teaspoons,soy sauce
80,6648334,1,teaspoon,salt
81,6648334,½,teaspoon,liquid smoke flavoring
82,6648334,½,teaspoon,cayenne pepper
83,6648334,½,teaspoon,ground black pepper
84,6740869,1,pound,dry great Northern beans
85,6740869,½,pound,"cooked ham, diced"
86,6740869,1,small,"onion, diced"
87,6740869,½,cup,brown sugar
88,6740869,1,tablespoon,dried parsley
89,6740869,¼,teaspoon,cayenne pepper
90,6740869,6,cups,"water, or as needed to cover"
91,6740869,,,salt and pepper to taste
92,6648532,1,tablespoon,vegetable oil
93,6648532,1,pound,ground turkey
94,6648532,,,cooking spray
95,6648532,2,(10.75 ounce) cans,low sodium tomato soup
96,6648532,2,(15 ounce) cans,"kidney beans, drained"
97,6648532,1,(15 ounce) can,"black beans, drained"
98,6648532,½,medium,"onion, chopped"
99,6648532,2,tablespoons,chili powder
100,6648532,½,tablespoon,garlic powder
101,6648532,½,tablespoon,ground cumin
102,6648532,1,teaspoon,red pepper flakes
103,6648532,1,pinch,ground black pepper
104,6648532,1,pinch,ground allspice
105,6648532,,,salt to taste
106,6651088,2,tablespoons,olive oil
107,6651088,3,large,sweet potatoes
108,6651088,2,pinches,dried oregano or to taste
109,6651088,2,pinches,salt
110,6651088,2,pinches,ground black pepper
111,6650991,4,tablespoons,dried basil
112,6650991,2,tablespoons,dried oregano
113,6650991,2,tablespoons,dried rosemary
114,6650991,2,tablespoons,dried marjoram
115,6650991,2,tablespoons,dried thyme
116,6650991,2,tablespoons,red pepper flakes
117,6648403,1,(15 ounce) can,tomato sauce
118,6648403,1,(6 ounce) can,tomato paste
119,6648403,1,tablespoon,ground oregano
120,6648403,1 ½,teaspoons,dried minced garlic
121,6648403,1,teaspoon,ground paprika
122,6578826,2,tablespoons,vegetable oil
123,6578826,1,(8 ounce) package,fideo pasta
124,6578826,1 ½,cups,"water, divided"
125,6578826,1,(8 ounce) can,"tomato sauce, divided"
126,6578826,1,tablespoon,chili powder
127,6578826,½,teaspoon,ground cumin
128,6578826,½,teaspoon,garlic salt
129,6650385,,,cooking spray
130,6650385,6,,"skinless, boneless chicken breast halves"
131,6650385,,,salt and pepper to taste
132,6650385,½,cup,honey
133,6650385,½,cup,prepared mustard
134,6650385,1,teaspoon,dried basil
135,6650385,1,teaspoon,paprika
136,6650385,½,teaspoon,dried parsley
137,6649234,,,cooking spray
138,6649234,1,(16 ounce) can,"black beans, drained and rinsed"
139,6649234,½,,"green bell pepper, cut into 2 inch pieces"
140,6649234,½,,"onion, cut into wedges"
141,6649234,3,cloves,"garlic, peeled"
142,6649234,1,,egg
143,6649234,1,tablespoon,chili powder
144,6649234,1,tablespoon,cumin
145,6649234,1,teaspoon,Thai chili sauce or hot sauce
146,6649234,½,cup,bread crumbs
147,6581206,1 ½,pounds,fresh okra
148,6581206,3,,dried red chile peppers
149,6581206,3,teaspoons,dried dill
150,6581206,2,cups,water
151,6581206,1,cup,vinegar
152,6581206,2,tablespoons,salt
153,6575205,2,cups,flaked smoked whitefish
154,6575205,4,tablespoons,fat-free sour cream
155,6575205,2,tablespoons,fat-free mayonnaise
156,6575205,4,drops,"hot pepper sauce, or to taste"
157,6575205,3,drops,"Worcestershire sauce, or to taste"
158,6575205,3,drops,liquid smoke flavoring (Optional)
159,6575205,1,pinch,"seafood seasoning, such as Old Bay"
160,6575205,,,cracked black pepper to taste
161,6665032,1,(15 ounce) can,cream style corn
162,6665032,1,(14.5 ounce) can,low-sodium chicken broth
163,6665032,1,tablespoon,cornstarch
164,6665032,2,tablespoons,water
165,6665032,1,large,"egg, beaten"
166,6740841,½,pound,"boneless pork loin, coarsely chopped"
167,6740841,2,ounces,"peeled shrimp, finely chopped"
168,6740841,1,tablespoon,Chinese rice wine
169,6740841,1,tablespoon,light soy sauce
170,6740841,1,teaspoon,brown sugar
171,6740841,1,teaspoon,finely chopped green onions
172,6740841,1,teaspoon,chopped fresh ginger root
173,6740841,24,(3.5 inch square),wonton wrappers
174,6739292,1,(6 ounce) can,tomato paste
175,6739292,6,fluid ounces,warm water (110 degrees F/45 degrees C)
176,6739292,3,tablespoons,grated Parmesan cheese
177,6739292,2,tablespoons,honey
178,6739292,1,teaspoon,minced garlic
179,6739292,1,teaspoon,anchovy paste
180,6739292,¾,teaspoon,onion powder
181,6739292,¼,teaspoon,dried oregano
182,6739292,¼,teaspoon,dried marjoram
183,6739292,¼,teaspoon,dried basil
184,6739292,¼,teaspoon,ground black pepper
185,6739292,⅛,teaspoon,cayenne pepper
186,6739292,⅛,teaspoon,dried red pepper flakes
187,6739292,,,salt to taste
188,6580242,4,,"skinless, boneless chicken breast halves"
