,id_recipe,Quantity,Unit of Measure,Ingredient
0,6664123,3,cups,long grain white rice
1,6664123,7,cups,"water, divided"
2,6664123,¾,cup,butter
3,6664123,1,large,"onion, chopped"
4,6664123,1,clove,"garlic, chopped"
5,6664123,¼,cup,all-purpose flour
6,6664123,2,tablespoons,canned tomato sauce
7,6664123,1,pound,crawfish tails
8,6664123,6,,"green onions, chopped"
9,6664123,,,salt and pepper to taste
10,6664123,1 ½,tablespoons,"Cajun seasoning, or to taste"
11,6664679,1,cup,all-purpose flour
12,6664679,¾,cup,bacon drippings
13,6664679,1,cup,coarsely chopped celery
14,6664679,1,large,"onion, coarsely chopped"
15,6664679,1,large,"green bell pepper, coarsely chopped"
16,6664679,2,cloves,"garlic, minced"
17,6664679,1,pound,"andouille sausage, sliced"
18,6664679,3,quarts,water
19,6664679,6,cubes,beef bouillon
20,6664679,1,tablespoon,white sugar
21,6664679,,,salt to taste
22,6664679,2,tablespoons,"hot pepper sauce (such as Tabasco®), or to taste"
23,6664679,½,teaspoon,"Cajun seasoning blend (such as Tony Chachere's®), or to taste"
24,6664679,4,,bay leaves
25,6664679,½,teaspoon,dried thyme leaves
26,6664679,1,(14.5 ounce) can,stewed tomatoes
27,6664679,1,(6 ounce) can,tomato sauce
28,6664679,4,teaspoons,"file powder, divided"
29,6664679,2,tablespoons,bacon drippings
30,6664679,2,(10 ounce) packages,"frozen cut okra, thawed"
31,6664679,2,tablespoons,distilled white vinegar
32,6664679,1,pound,lump crabmeat
33,6664679,3,pounds,"uncooked medium shrimp, peeled and deveined"
34,6664679,2,tablespoons,Worcestershire sauce
35,6664392,2,tablespoons,"peanut oil, divided"
36,6664392,1,tablespoon,Cajun seasoning
37,6664392,10,ounces,"andouille sausage, sliced into rounds"
38,6664392,1,pound,"boneless skinless chicken breasts, cut into 1 inch pieces"
39,6664392,1,,"onion, diced"
40,6664392,1,small,"green bell pepper, diced"
41,6664392,2,stalks,"celery, diced"
42,6664392,3,cloves,"garlic, minced"
43,6664392,1,(16 ounce) can,crushed Italian tomatoes
44,6664392,½,teaspoon,red pepper flakes
45,6664392,½,teaspoon,ground black pepper
46,6664392,1,teaspoon,salt
47,6664392,½,teaspoon,hot pepper sauce
48,6664392,2,teaspoons,Worcestershire sauce
49,6664392,1,teaspoon,file powder
50,6664392,1 ¼,cups,uncooked white rice
51,6664392,2 ½,cups,chicken broth
52,6648365,1,pound,dry kidney beans
53,6648365,¼,cup,olive oil
54,6648365,1,large,"onion, chopped"
55,6648365,1,,"green bell pepper, chopped"
56,6648365,2,stalks,"celery, chopped"
57,6648365,2,tablespoons,minced garlic
58,6648365,6,cups,water
59,6648365,2,,bay leaves
60,6648365,1,tablespoon,dried parsley
61,6648365,1,teaspoon,dried thyme
62,6648365,1,teaspoon,Cajun seasoning
63,6648365,½,teaspoon,cayenne pepper
64,6648365,¼,teaspoon,dried sage
65,6648365,1,pound,"andouille sausage, sliced"
66,6648365,4,cups,water
67,6648365,2,cups,long grain white rice
68,6663711,2 ½,teaspoons,paprika
69,6663711,2,teaspoons,salt
70,6663711,2,teaspoons,garlic powder
71,6663711,1 ¼,teaspoons,dried oregano
72,6663711,1 ¼,teaspoons,dried thyme
73,6663711,1,teaspoon,ground black pepper
74,6663711,1,teaspoon,onion powder
75,6663711,1,teaspoon,cayenne pepper
76,6663711,½,teaspoon,red pepper flakes (Optional)
77,6665006,¼,cup,butter
78,6665006,⅔,cup,dark brown sugar
79,6665006,3 ½,tablespoons,rum
80,6665006,1 ½,teaspoons,vanilla extract
81,6665006,½,teaspoon,ground cinnamon
82,6665006,3,,"bananas, peeled and sliced lengthwise and crosswise"
83,6665006,¼,cup,coarsely chopped walnuts
84,6665006,1,pint,vanilla ice cream
85,6738865,5,tablespoons,paprika
86,6738865,3,tablespoons,salt
87,6738865,2,tablespoons,onion powder
88,6738865,2,tablespoons,garlic powder
89,6738865,2,tablespoons,dried oregano
90,6738865,2,tablespoons,dried basil
91,6738865,1,tablespoon,dried thyme
92,6738865,1,tablespoon,black pepper
93,6738865,1,tablespoon,white pepper
94,6738865,1,tablespoon,cayenne pepper
95,6736714,3,gallons,"peanut oil for frying, or as needed"
96,6736714,1,(12 pound),"whole turkey, neck and giblets removed"
97,6736714,¼,cup,Creole seasoning
98,6736714,1,medium,white onion
99,6649212,18,,"fresh okra pods, sliced 1/3 inch thick"
100,6649212,1,tablespoon,olive oil
