,id_recipe,Quantity,Unit of Measure,Ingredient
0,6663440,1 ½,pounds,ground beef
1,6663440,1,,egg
2,6663440,1,,"onion, chopped"
3,6663440,1,cup,milk
4,6663440,1,cup,dried bread crumbs
5,6663440,,,salt and pepper to taste
6,6663440,⅓,cup,ketchup
7,6663440,2,tablespoons,brown sugar
8,6663440,2,tablespoons,prepared mustard
9,6664414,1,tablespoon,butter
10,6664414,¼,cup,minced onion
11,6664414,2,cloves,"garlic, minced"
12,6664414,1 ½,teaspoons,salt
13,6664414,1 ½,teaspoons,freshly ground black pepper
14,6664414,2,pounds,extra-lean ground beef
15,6664414,3,slices,"bread, toasted and crumbled"
16,6664414,7,,"buttery round crackers, crushed"
17,6664414,1,,"egg, lightly beaten"
18,6664414,3 ½,tablespoons,sour cream
19,6664414,1 ½,tablespoons,Worcestershire sauce
20,6664414,1,(15 ounce) can,"tomato sauce, divided"
21,6664414,¼,cup,"milk, or as needed (Optional)"
22,6664414,3,tablespoons,ketchup
23,6592570,1,pound,lean ground beef
24,6592570,1,small,"onion, finely chopped"
25,6592570,1,large,"egg, lightly beaten"
26,6592570,3,tablespoons,dry bread crumbs
27,6592570,1,tablespoon,chopped fresh thyme
28,6592570,1,teaspoon,salt
29,6592570,,,ground black pepper to taste
30,6592570,2,,"mushrooms, thickly sliced"
31,6592570,1,tablespoon,"olive oil, or as needed"
32,6649790,1 ½,pounds,ground turkey
33,6649790,¾,cup,crushed buttery round crackers
34,6649790,½,cup,milk
35,6649790,1,small,"onion, chopped"
36,6649790,1,,egg
37,6649790,2,cloves,"garlic, minced"
38,6649790,1 ½,teaspoons,salt
39,6649790,¼,teaspoon,ground black pepper
40,6775097,1,pound,lean ground beef
41,6775097,⅔,pound,ground turkey
42,6775097,1,,egg
43,6775097,¾,cup,finely chopped celery
44,6775097,¾,cup,regular rolled oats
45,6775097,½,cup,skim milk
46,6775097,½,cup,ketchup
47,6775097,½,cup,finely chopped onion
48,6775097,½,cup,finely chopped green bell pepper
49,6775097,1,tablespoon,dried parsley
50,6775097,1,teaspoon,dry mustard powder
51,6775097,⅔,teaspoon,salt
52,6775097,½,teaspoon,minced garlic
53,6775097,½,teaspoon,ground black pepper
54,6737579,½,,"onion, cut into chunks"
55,6737579,1,pound,ground lamb
56,6737579,1,pound,ground beef
57,6737579,1,tablespoon,minced garlic
58,6737579,1,teaspoon,dried oregano
59,6737579,1,teaspoon,ground cumin
60,6737579,1,teaspoon,dried marjoram
61,6737579,1,teaspoon,ground dried rosemary
62,6737579,1,teaspoon,ground dried thyme
63,6737579,1,teaspoon,ground black pepper
64,6737579,¼,teaspoon,sea salt
65,6649643,½,cup,ketchup
66,6649643,½,cup,packed brown sugar
67,6649643,1 ½,teaspoons,salt
68,6649643,½,teaspoon,chili powder
69,6649643,1 ½,pounds,lean ground beef
70,6649643,1 ½,cups,"croutons, crushed"
71,6649643,1,small,"onion, chopped"
72,6649643,2,,eggs
73,6649643,¼,cup,milk
74,6649643,¼,teaspoon,ground black pepper
75,6664021,2,tablespoons,vegetable oil
76,6664021,2,medium,"onions, minced"
77,6664021,1 ½,pounds,ground beef
78,6664021,1,cup,milk
79,6664021,2,slices,Texas toast thick-sliced bread
80,6664021,½,cup,raisins
81,6664021,1,tablespoon,hot chutney
82,6664021,½,tablespoon,curry powder
83,6664021,1,teaspoon,apricot jam
84,6664021,1,teaspoon,salt
85,6664021,½,teaspoon,ground black pepper
86,6664021,1,,large egg
87,6664021,1,pinch,salt
88,6664021,1,,bay leaf
89,6650692,,,cooking spray
90,6650692,½,cup,packed brown sugar
91,6650692,½,cup,ketchup
92,6650692,1 ½,pounds,lean ground beef
93,6650692,2,large,eggs
94,6650692,1,small,"onion, chopped"
95,6650692,¾,cup,milk
96,6650692,¾,cup,finely crushed saltine cracker crumbs
97,6650692,1 ½,teaspoons,salt
98,6650692,¼,teaspoon,ground black pepper
99,6650692,¼,teaspoon,ground ginger
100,6741688,1,cup,shredded Cheddar cheese
101,6741688,¾,cup,milk
102,6741688,½,cup,quick cooking oats
103,6741688,1,large,egg
104,6741688,1,teaspoon,salt
105,6741688,1,pound,ground beef
106,6741688,⅔,cup,ketchup
107,6741688,¼,cup,packed brown sugar
108,6741688,1 ½,teaspoons,prepared mustard
109,6663982,,,cooking spray
110,6663982,1,tablespoon,olive oil
111,6663982,1,,"green bell pepper, diced"
112,6663982,½,cup,diced sweet onion
113,6663982,½,teaspoon,minced garlic
114,6663982,1,pound,extra-lean (95%) ground beef
115,6663982,1,cup,whole wheat bread crumbs
116,6663982,¾,cup,shredded carrot
117,6663982,¾,cup,shredded zucchini
118,6663982,2,,large eggs
119,6663982,,,salt and ground black pepper to taste
120,6663982,¼,cup,"ketchup, or to taste"
121,6663881,2,large,eggs
122,6663881,⅔,cup,milk
