,id_recipe,Quantity,Unit of Measure,Ingredient
0,6595987,1 ¼,pounds,"round steak, cut into small pieces"
1,6595987,1,cup,apple cider
2,6595987,4,,"Granny Smith apples - peeled, cored and finely diced"
3,6595987,2 ½,cups,dried currants
4,6595987,2 ½,cups,raisins
5,6595987,1,(16 ounce) jar,sour cherry preserves
6,6595987,1 ⅓,cups,white sugar
7,6595987,½,pound,chopped candied mixed fruit peel
8,6595987,½,cup,butter
9,6595987,1,teaspoon,ground ginger
10,6595987,½,teaspoon,ground cloves
11,6595987,½,teaspoon,ground nutmeg
12,6595987,½,teaspoon,ground cinnamon
13,6595987,½,teaspoon,salt
14,6595987,1,(16 ounce) can,"pitted sour cherries, drained"
15,6595987,1,(14.1 ounce) package,"double-crust pie pastry, thawed"
16,6595987,2,tablespoons,heavy cream
17,6595987,1,teaspoon,"white sugar, for sprinkling"
18,6575145,8,quarts,"green tomatoes, minced"
19,6575145,8,quarts,"minced, cored apples"
20,6575145,½,pound,beef suet
21,6575145,6,pounds,brown sugar
22,6575145,1,cup,distilled white vinegar
23,6575145,2,tablespoons,salt
24,6575145,2,tablespoons,ground cinnamon
25,6575145,2,tablespoons,ground cloves
26,6575145,2,tablespoons,ground allspice
27,6575145,2,pounds,raisins
28,6575145,32,ounces,candied mixed citrus peel (Optional)
29,6575145,7,large,"orange, peeled, sectioned, and cut into bite-size"
30,6575145,2,,"lemons, finely chopped"
31,6576000,1,(14.1 ounce) package,"double-crust pie pastry, thawed"
32,6576000,1,(29 ounce) jar,Crosse & Blackwell® Mincemeat Filling & Topping or Crosse & Blackwell® Rum & Brandy Mincemeat Filling & Topping
33,6605377,1,(18 ounce) jar,prepared mincemeat pie filling
34,6605377,1 ½,cups,chopped walnuts
35,6605377,2,,"apple - peeled, cored, and chopped"
36,6605377,½,cup,packed brown sugar
37,6605377,¼,cup,rum
38,6605377,1,tablespoon,lemon juice
39,6605377,1,recipe,pastry for a 9 inch double crust pie
40,6594805,4,cups,chopped apples
41,6594805,1 ½,cups,diced cooked beef
42,6594805,1 ½,cups,raisins
43,6594805,1 ½,cups,white sugar
44,6594805,1,cup,beef broth
45,6594805,1,large,"orange - peeled, sectioned, and cut into bite-sized pieces"
46,6594805,½,cup,sorghum
47,6594805,¼,cup,sweet pickle juice
48,6594805,¼,cup,pineapple juice
49,6594805,1,teaspoon,ground cinnamon
50,6594805,1,teaspoon,ground nutmeg
51,6594805,½,teaspoon,ground cloves
52,6594805,½,teaspoon,salt
53,6605817,4,,"apples - peeled, cored and chopped"
54,6605817,2,tablespoons,butter
55,6605817,2,teaspoons,lemon juice
56,6605817,½,cup,white sugar
57,6605817,1 ½,teaspoons,vanilla extract
58,6605817,½,teaspoon,ground cinnamon
59,6605817,⅛,teaspoon,ground nutmeg
60,6605817,2,cups,prepared mincemeat (such as None Such®)
61,6605817,1,cup,chopped walnuts (Optional)
62,6605817,1,,package of refrigerated pastry for double-crust pie (such as Pillsbury®
63,6605817,1,,egg yolk
64,6605817,1,tablespoon,water
65,6664847,1 3/4,cups,all-purpose flour
66,6664847,1/2,cup,"confectioners' sugar, divided"
67,6664847,2,teaspoons,ground cinnamon
68,6664847,2/3,cup,"butter, softened"
69,6664847,2,tablespoons,grated orange zest
70,6664847,1/4,cup,ice water
71,6664847,3/4,cup,prepared mincemeat pie filling
72,6664847,1,large,"egg, beaten"
73,6588477,2,cups,chopped green tomato
74,6588477,2,cups,peeled and chopped tart green apples
75,6588477,1,cup,firmly packed brown sugar
76,6588477,½,cup,chopped raisins
77,6588477,3,tablespoons,cider vinegar
78,6588477,1,tablespoon,butter
79,6588477,1,teaspoon,ground cinnamon
80,6588477,½,teaspoon,salt
81,6588477,¼,teaspoon,ground nutmeg
82,6588477,¼,teaspoon,ground cloves
83,6588477,1,,pastry for a 9-inch double-crust pie
84,6568210,½,cup,cold butter
85,6568210,1 ½,cups,all-purpose flour
86,6568210,½,teaspoon,salt
87,6568210,½,cup,cold water
88,6568210,1 ½,cups,raisins
89,6568210,5,,"apples - peeled, cored and chopped"
90,6568210,2,tablespoons,finely chopped grapefruit peel without white layer
91,6568210,⅓,cup,orange juice
92,6568210,½,cup,apple cider
93,6568210,¾,cup,white sugar
94,6568210,½,teaspoon,ground cinnamon
95,6568210,¼,teaspoon,ground cloves
96,6568210,½,,"graham cracker, crushed"
97,6568210,⅓,cup,white sugar
98,6568210,¾,cup,all-purpose flour
99,6568210,6,tablespoons,butter
100,6568210,½,,"graham cracker, crushed"
101,6601462,1 ½,cups,seedless raisins
102,6601462,4,,"Granny Smith apples - peeled, cored and sliced"
103,6601462,1,tablespoon,orange zest
104,6601462,⅓,cup,orange juice
105,6601462,½,cup,apple cider
106,6601462,¾,cup,white sugar
107,6601462,½,teaspoon,ground cinnamon
108,6601462,½,teaspoon,ground cloves
109,6601462,2,,"soda crackers, finely crushed"
110,6601462,1,,pastry for a 9 inch double crust pie
111,6566798,2 ¼,cups,all-purpose flour
112,6566798,1,pinch,salt
113,6566798,½,cup,"butter, cubed"
114,6566798,¼,cup,"vegetable shortening, cubed"
115,6566798,¾,cup,white sugar
116,6566798,2,,"oranges, zested"
117,6566798,1,teaspoon,vanilla extract
118,6566798,¼,cup,"fresh orange juice, chilled"
119,6566798,7,ounces,"prepared mincemeat filling, or as needed"
120,6566798,1,tablespoon,confectioners' sugar
121,6565711,1,pound,suet
122,6565711,1,pound,brown sugar
123,6565711,1,pound,sultana raisins
124,6565711,1,pound,dark raisins
125,6565711,1,pound,dried currants
126,6565711,4,ounces,candied mixed fruit peel
127,6565711,4,ounces,chopped almonds
128,6565711,¼,cup,ground allspice
129,6565711,3,tablespoons,ground nutmeg
130,6565711,1,tablespoon,salt
131,6565711,3,pounds,"apples, grated"
