,id_recipe,Quantity,Unit of Measure,Ingredient
0,6575996,1,(10 ounce) package,"frozen raspberries, thawed"
1,6575996,2,tablespoons,white sugar
2,6575996,2,tablespoons,orange liqueur
3,6575996,1 ¾,cups,"heavy whipping cream, divided"
4,6575996,6,ounces,white chocolate chips
5,6575996,1,drop,red food coloring
6,6650642,3,ounces,"cream cheese, softened"
7,6650642,½,cup,heavy cream
8,6650642,1,teaspoon,vanilla extract
9,6650642,¼,cup,powdered zero-calorie sweetener (such as Swerve®)
10,6650642,2,tablespoons,cocoa powder
11,6650642,1,pinch,salt
12,6648758,½,cup,heavy cream
13,6648758,1,tablespoon,confectioners' sugar
14,6648758,1,(4 ounce) package,"cream cheese, softened"
15,6648758,1 ½,cups,lemon curd
16,6648758,½,teaspoon,vanilla extract
17,6648758,4,tablespoons,mixed fresh berries
18,6648758,4,,fresh mint leaves
19,6570252,½,cup,heavy whipping cream
20,6570252,2,tablespoons,unsweetened cocoa powder
21,6570252,2,tablespoons,powdered sugar
22,6570252,¼,teaspoon,vanilla extract
23,6570252,1,pinch,salt
24,6570535,1,cup,"heavy whipping cream, chilled"
25,6570535,½,cup,white sugar
26,6570535,¼,cup,white wine
27,6570535,2,tablespoons,fresh lemon juice
28,6570535,1,teaspoon,grated lemon zest
29,6570535,¼,teaspoon,ground nutmeg (or to taste)
30,6570535,6,thin slices,lemon
31,6570535,6,sprigs,fresh mint
32,6601404,2,tablespoons,freshly squeezed lemon juice
33,6601404,1,(.25 ounce) package,powdered gelatin (such as Knox®)
34,6601404,3,cups,heavy cream
35,6601404,½,cup,white sugar
36,6601404,2 ½,tablespoons,"fresh lemon zest, divided"
37,6601404,1,tablespoon,orange liqueur (such as Grand Marnier®) (Optional)
38,6739527,3 ½,ounces,"dark chocolate, chopped"
39,6739527,1,tablespoon,butter
40,6739527,2,tablespoons,water
41,6739527,⅛,teaspoon,ground dried chipotle pepper
42,6739527,1,tiny pinch,salt
43,6739527,2,,large egg yolks
44,6739527,2,tablespoons,water
45,6739527,1,tablespoon,white sugar
46,6739527,½,cup,"heavy whipping cream, chilled"
47,6739527,1,tablespoon,"heavy whipping cream, chilled"
48,6649510,8,,passion fruits
49,6649510,1,tablespoon,white sugar
50,6649510,1,(14 ounce) can,sweetened condensed milk
51,6649510,2,cups,cream
52,6602855,½,(12 ounce) bag,"semisweet chocolate chips, or more to taste"
