,id_recipe,Quantity,Unit of Measure,Ingredient
0,6664515,2,tablespoons,olive oil
1,6664515,1,tablespoon,ground paprika
2,6664515,2,teaspoons,dried oregano
3,6664515,,,salt and ground black pepper to taste
4,6649298,1,tablespoon,olive oil
5,6649298,½,(4 pound),"whole chicken, cut into 6 pieces"
6,6649298,½,(2 pound),"rabbit, cleaned and cut into pieces"
7,6649298,1,head,"garlic, cloves separated and peeled"
8,6649298,1,medium,"tomato, finely chopped"
9,6649298,1,(15.5 ounce) can,butter beans
10,6649298,½,(10 ounce) package,frozen green peas
11,6649298,½,(10 ounce) package,frozen green beans
12,6649298,1,teaspoon,"mild paprika, or to taste"
13,6649298,6,cups,"water, or as needed"
14,6649298,,,salt to taste
15,6649298,1,pinch,"saffron threads, or to taste"
16,6649298,1,pinch,"dried thyme, or to taste"
17,6649298,1,pinch,"dried rosemary, or to taste"
18,6649298,3,cups,"short-grain white rice, or as needed"
19,6664917,1,pound,"jumbo shrimp, peeled and deveined, shells reserved"
20,6664917,2,teaspoons,olive oil
21,6664917,½,teaspoon,"saffron threads, or more to taste"
22,6664917,2 ¼,cups,chicken broth
23,6649593,2,cups,water
24,6649593,1,(7 ounce) box,Spanish yellow rice mix (such as Goya®)
25,6649593,3,tablespoons,"olive oil, divided"
26,6649593,½,cup,diced onion
27,6649593,1,pound,"uncooked medium shrimp, peeled and deveined"
28,6649593,1,,"green bell pepper, diced"
29,6649593,1,,"red bell pepper, diced"
30,6649593,1,tablespoon,sweet and spicy seafood seasoning (such as McCormick®)
31,6649593,½,cup,"fresh parsley, or to taste"
32,6739178,2,tablespoons,olive oil
33,6739178,1,,"onion, finely diced"
34,6739178,½,,"tomato, finely diced"
35,6739178,1,pinch,salt
36,6739178,½,tablespoon,smoked paprika
37,6739178,6,,fresh romano or green beans
38,6739178,½,cup,"canned butter beans, drained and rinsed"
39,6739178,½,cup,white rice
40,6739178,6,,large shrimp
41,6739178,6,,mussels
42,6739178,6,,clams
43,6739178,1,cup,white wine
44,6739178,2,cups,seafood stock
45,6739178,1,pinch,saffron threads
46,6739178,1,teaspoon,finely chopped fresh rosemary
47,6739178,1,cup,fresh peas
48,6739178,5,,"baby squid, cut into rings and tentacles"
49,6739178,1,,"lemon, cut into wedges"
50,6739178,1,tablespoon,chopped fresh flat-leaf parsley
51,6595459,4,tablespoons,olive oil
52,6595459,1,,"onion, chopped"
53,6595459,2,cloves,"garlic, minced"
54,6595459,1,,"red bell pepper, chopped"
55,6595459,4,ounces,"Spanish chorizo (cured spiced pork sausage), casing discarded and sausage cut into 1/4-inch dice"
56,6595459,2,,"skinless, boneless chicken breast halves - cut into 1 inch cubes"
57,6595459,1,(12 ounce) package,uncooked Arborio rice
58,6595459,5,cups,chicken broth
59,6595459,½,cup,white wine
60,6595459,1,sprig,fresh thyme
61,6595459,1,pinch,saffron
62,6595459,,,salt to taste
63,6595459,,,ground black pepper to taste
64,6595459,2,,"squid, cleaned and cut into 1 inch pieces"
65,6595459,2,,"tomatoes, seeded and chopped"
66,6595459,½,cup,frozen green peas
67,6595459,12,large,"shrimp, peeled and deveined"
68,6595459,1,pound,"mussels, cleaned and debearded"
69,6595459,¼,cup,chopped Italian flat leaf parsley
70,6595459,8,slices,"lemon, for garnish"
71,6574103,2 ½,cups,uncooked white rice
72,6574103,6,cups,"chicken stock, divided"
73,6574103,3,cloves,garlic
74,6574103,1,teaspoon,chopped fresh parsley
75,6574103,½,teaspoon,curry powder
76,6574103,5,,saffron threads
77,6574103,,,salt and ground black pepper to taste
78,6574103,¼,cup,olive oil
79,6574103,1,,"onion, diced"
80,6574103,1,(3 pound),"whole chicken, cut into small pieces"
81,6574103,2,cups,"peeled and deveined small shrimp, diced"
82,6574103,6,small,lobster tails
83,6574103,½,pound,"clams in shell, scrubbed"
84,6574103,1,(8 ounce) jar,"mushrooms, drained"
85,6574103,1,cup,green peas
86,6574103,1,(2 ounce) can,mussels
87,6594579,2,teaspoons,salt
88,6594579,1,teaspoon,Spanish smoked paprika
89,6594579,1,teaspoon,red pepper (Optional)
90,6594579,1,teaspoon,ground turmeric (Optional)
91,6594579,½,teaspoon,saffron
92,6594579,2,tablespoons,"extra-virgin olive oil, or to taste"
93,6594579,4,,"boneless chicken thighs, cut into small pieces"
94,6594579,½,pound,"Spanish chorizo, cut into 1/4-inch slices"
95,6594579,1,large,"onion, chopped"
96,6594579,1,,"red bell pepper, chopped"
97,6594579,¼,cup,chopped parsley (Optional)
98,6594579,6,cloves,"garlic, chopped"
99,6594579,2,cups,short-grain brown rice
100,6594579,1,,"tomato, chopped"
101,6594579,1,(6 ounce) jar,"roasted red peppers, drained and chopped"
102,6594579,1,(32 ounce) carton,chicken broth
103,6594579,2,cups,"frozen peas and carrots, thawed"
104,6594579,2,tablespoons,sliced black olives
105,6594579,1,tablespoon,capers
106,6594579,1,teaspoon,"apple cider vinegar, or to taste (Optional)"
107,6577069,1,pound,chorizo sausage
108,6577069,1,,"skinless, boneless chicken breast, chopped"
109,6577069,3,cups,"cauliflower rice, divided"
110,6577069,1,medium,"onion, diced"
111,6577069,1,large,"yellow or orange bell pepper, seeded and chopped"
112,6577069,1,pinch,salt
113,6577069,,,ground black pepper to taste
114,6577069,3,cloves,"garlic, finely minced"
115,6577069,1,(14.5 ounce) can,Hunt's® Diced Tomatoes
116,6577069,2,large,bay leaves
117,6577069,1 ½,teaspoons,fresh thyme leaves
118,6577069,½,teaspoon,crushed saffron threads
119,6577069,½,teaspoon,dried basil
120,6577069,½,cup,water
121,6577069,2,tablespoons,tomato paste
122,6577069,2,cubes,chicken bouillon
123,6577069,1,cup,frozen peas
124,6577069,3,,frozen tilapia fillets
125,6598120,2,tablespoons,olive oil
126,6598120,4,,"bone-in, skin-on chicken thighs"
127,6598120,,,salt to taste
128,6598120,6,ounces,"smoked sausage, diced"
129,6598120,1,medium,"sweet onion (such as Vidalia), diced"
130,6598120,1,,"red bell pepper, chopped"
131,6598120,3,cloves,"garlic, minced"
132,6598120,1 ½,cups,medium-grain white rice
133,6598120,1 ½,teaspoons,smoked paprika
134,6598120,1 ½,teaspoons,ground turmeric
135,6598120,1,pinch,cayenne pepper
136,6598120,1,pinch,saffron (Optional)
137,6598120,¼,cup,dry sherry
138,6598120,2 ¾,cups,chicken broth
139,6598120,1,(10 ounce) can,diced tomatoes
140,6598120,½,cup,frozen peas
141,6574987,½,cup,olive oil
142,6574987,1 ¼,pounds,chicken thighs
143,6574987,½,cup,"onion, diced"
144,6574987,2,cloves,"garlic, chopped"
145,6574987,¼,pound,calamari rings
146,6574987,¼,pound,small shrimp - peeled and deveined
147,6574987,½,,"green bell pepper, diced"
148,6574987,½,,"red bell pepper, diced"
149,6574987,6,cups,water
150,6574987,3,cups,long grain rice
151,6574987,1,(14 ounce) can,crushed tomatoes
152,6574987,½,cup,peas
153,6574987,2,teaspoons,saffron threads
154,6574987,1,teaspoon,salt
155,6574987,6,large,"clams in shell, scrubbed"
156,6574987,6,,jumbo shrimp in shells (21-25 per lb.)
157,6574987,6,large,sea scallops
158,6574987,6,wedges,lemon
159,6576292,2,cups,boiling water
160,6576292,1,cup,white rice
161,6576292,1,tablespoon,olive oil
162,6576292,1,,"onion, chopped"
163,6576292,3,cloves,"garlic, minced"
164,6576292,1,,"green bell pepper, sliced"
165,6576292,1,,"red bell pepper, sliced"
166,6576292,1,,"tomato, diced"
167,6576292,2,cups,vegetable broth
168,6576292,1,tablespoon,paprika
169,6576292,1,teaspoon,salt
170,6576292,1,teaspoon,ground turmeric
171,6576292,1,cup,peas
172,6576292,1,cup,drained and quartered canned artichoke hearts
173,6563228,1 ½,pounds,chicken thighs
174,6563228,1 ½,teaspoons,"hot paprika, divided, or to taste"
175,6563228,,,salt and ground black pepper to taste
176,6563228,½,cup,"olive oil, divided"
177,6563228,1,(28 ounce) can,crushed fire-roasted tomatoes
178,6563228,2,cups,diced sweet onion
179,6563228,8,ounces,"dry-cured chorizo, thinly sliced"
180,6563228,5,cloves,"garlic, minced"
181,6563228,1,teaspoon,ground turmeric
182,6563228,½,teaspoon,saffron
183,6563228,½,teaspoon,dried oregano
184,6563228,2 ½,cups,uncooked Bomba rice
185,6563228,6,cups,"chicken stock, divided"
186,6563228,1,,"red bell pepper, cut into matchsticks"
187,6563228,2,cups,string beans
188,6563228,½,cup,"Marcona almonds, halved"
189,6592091,6,cups,chicken stock
190,6592091,2,,bay leaves
191,6592091,3,teaspoons,"kosher salt, or more to taste, divided"
192,6592091,2,teaspoons,"ground black pepper, divided"
