,id_recipe,Quantity,Unit of Measure,Ingredient
0,7971929,1/2,cup,peanut butter
1,7971929,6,tablespoons,maple syrup
2,7971929,1 1/2,cup,oats
3,7110236,1,cup,"butter, softened"
4,7110236,¾,cup,white sugar
5,7110236,½,teaspoon,salt
6,7110236,2,large,egg yolks
7,7110236,2,teaspoons,vanilla extract
8,7110236,2,cups,flour
9,7110236,1,cup,powdered sugar
10,7110236,1,cup,peanut butter
11,7110236,½,cup,heavy cream
12,7110236,8,ounces,"milk chocolate, chopped"
13,7110236,8,ounces,"chocolate-flavor candy coating, chopped"
14,7100435,1,cup,creamy peanut butter
15,7100435,¾,cup,firmly packed brown sugar
16,7100435,2,tablespoons,firmly packed brown sugar
17,7100435,1,large,"egg, at room temperature"
18,7100435,1,teaspoon,baking soda
19,7100435,1 ½,teaspoons,vanilla extract
20,7100435,¼,teaspoon,salt
21,7100435,⅛,teaspoon,ground nutmeg
22,7100435,½,cup,mini candy-coated chocolate pieces (such as mini M&M's®)
23,6663137,1,cup,peanut butter
24,6663137,1,cup,white sugar
25,6663137,1,,egg
26,6648993,1,cup,unsalted butter
27,6648993,1,cup,crunchy peanut butter
28,6648993,1,cup,white sugar
29,6648993,1,cup,packed brown sugar
30,6648993,2,large,eggs
31,6648993,2 ½,cups,all-purpose flour
32,6648993,1 ½,teaspoons,baking soda
33,6648993,1,teaspoon,baking powder
34,6648993,½,teaspoon,salt
35,6650662,1,cup,peanut butter
36,6650662,1,cup,white sugar
37,6650662,1,,egg
38,6663311,1 3/4,cups,"white sugar, divided"
39,6663311,1,(18 ounce) jar,smooth peanut butter
40,6663311,2,large,eggs
41,6663311,36,,"milk chocolate candy kisses (such as Hershey's Kisses), unwrapped"
42,6664860,1 ¾,cups,all-purpose flour
43,6664860,½,teaspoon,salt
44,6664860,1,teaspoon,baking soda
45,6664860,½,cup,"butter, softened"
46,6664860,½,cup,white sugar
47,6664860,½,cup,peanut butter
48,6664860,½,cup,packed brown sugar
49,6664860,1,,"egg, beaten"
50,6664860,1,teaspoon,vanilla extract
51,6664860,2,tablespoons,milk
52,6664860,40,,"miniature chocolate covered peanut butter cups, unwrapped"
53,6741040,2,cups,graham cracker crumbs
54,6741040,2,cups,confectioners' sugar
55,6741040,1,cup,"butter or margarine, melted"
56,6741040,1,cup,peanut butter
57,6741040,1 ½,cups,semisweet chocolate chips
58,6741040,4,tablespoons,peanut butter
59,6649175,1,cup,packed brown sugar
60,6649175,½,cup,white sugar
61,6649175,½,cup,"butter, softened"
62,6649175,½,cup,peanut butter
63,6649175,2,,eggs
64,6649175,2,tablespoons,light corn syrup
65,6649175,2,tablespoons,water
66,6649175,2,teaspoons,vanilla extract
67,6649175,2 ½,cups,all-purpose flour
68,6649175,1,teaspoon,baking soda
69,6649175,½,teaspoon,salt
70,6649175,2,cups,chopped semisweet chocolate
71,6737738,½,cup,shortening
72,6737738,½,cup,peanut butter
73,6737738,½,cup,packed brown sugar
74,6737738,½,cup,white sugar
75,6737738,1,,"egg, beaten"
76,6737738,2,tablespoons,milk
77,6737738,1,teaspoon,vanilla extract
78,6737738,1 ¾,cups,all-purpose flour
79,6737738,1,teaspoon,baking soda
80,6737738,½,teaspoon,salt
81,6737738,¼,cup,white sugar for rolling
82,6737738,24,,"chocolate candy spheres with smooth chocolate filling (such as Lindt Lindor Truffles), refrigerated until cold"
83,6737738,48,,decorative candy eyeballs
84,6737738,½,cup,prepared chocolate frosting
85,6590120,1,cup,peanut butter
86,6590120,½,cup,low-calorie natural sweetener (such as Swerve®)
87,6590120,1,,egg
88,6590120,1,teaspoon,sugar-free vanilla extract
89,6663876,1,cup,white sugar
90,6663876,1,cup,creamy peanut butter
91,6663876,1,large,egg
92,6663876,18,,"milk chocolate candy kisses, unwrapped"
93,6650192,1,cup,KRAFT Smooth Peanut Butter
94,6650192,½,cup,white sugar
95,6650192,1,large,egg
96,6663483,,,waxed paper
97,6663483,1,cup,butterscotch chips
98,6663483,½,cup,peanut butter
99,6663483,2,cups,chow mein noodles
100,6663483,½,cup,salted peanuts
101,6650854,1,cup,peanut butter
102,6650854,1,cup,packed brown sugar
103,6650854,¾,cup,white sugar
104,6650854,½,cup,shortening
105,6650854,½,cup,"margarine, softened"
106,6650854,2,large,eggs
107,6650854,1 ½,cups,all-purpose flour
108,6650854,2,teaspoons,baking soda
109,6650854,1,teaspoon,salt
110,6650854,1,cup,quick-cooking oats
111,6650007,1,cup,peanut butter
112,6650007,½,cup,"butter, softened"
113,6650007,½,cup,white sugar
114,6650007,½,cup,packed brown sugar
115,6650007,1,large,egg
116,6650007,3,tablespoons,milk
117,6650007,1,teaspoon,vanilla extract
118,6650007,1 ¼,cups,all-purpose flour
119,6650007,¾,teaspoon,baking powder
120,6650007,¼,teaspoon,salt
121,6740978,2 ¼,cups,creamy peanut butter
122,6740978,½,cup,butter
123,6740978,4,cups,confectioners' sugar
124,6740978,3,cups,crisp rice cereal
125,6740978,2,cups,semisweet chocolate chips
126,6588567,½,cup,"margarine, softened"
127,6588567,½,cup,peanut butter
128,6588567,½,cup,white sugar
129,6588567,½,cup,packed brown sugar
130,6588567,1,large,egg
131,6588567,½,teaspoon,vanilla extract
132,6588567,1 ¾,cups,all-purpose flour
133,6588567,¾,teaspoon,baking soda
134,6588567,¼,teaspoon,salt
135,6579168,2,cups,smooth natural peanut butter
136,6579168,2,cups,"granular no-calorie sucralose sweetener (e.g., Splenda ®)"
137,6579168,2,large,eggs
138,6606280,1 ½,cups,peanut butter
139,6606280,1,cup,butter
140,6606280,4,cups,confectioners' sugar
141,6606280,1 ⅓,cups,graham cracker crumbs
142,6606280,2,cups,semisweet chocolate chips
143,6606280,1,tablespoon,shortening
144,6578589,1 ¼,cups,firmly packed light brown sugar
145,6578589,¾,cup,JIF® Peanut Butter
146,6578589,½,cup,Butter Flavor CRISCO® Stick
147,6578589,3,tablespoons,milk
148,6578589,1,tablespoon,vanilla
149,6578589,1,,egg
150,6578589,1 ¾,cups,sifted all-purpose flour
151,6578589,¾,teaspoon,baking soda
152,6578589,¾,teaspoon,salt
153,6739163,2,cups,peanut butter
154,6739163,2,cups,white sugar
155,6739163,2,,eggs
156,6739163,2,teaspoons,baking soda
157,6739163,1,pinch,salt
158,6739163,1,teaspoon,vanilla extract
159,6584986,1 ½,cups,peanut butter
160,6584986,1,cup,shortening
161,6584986,⅔,cup,white sugar
162,6584986,⅔,cup,brown sugar
163,6584986,¼,cup,milk
164,6584986,2,,eggs
165,6584986,2,teaspoons,vanilla extract
166,6584986,3,cups,flour
167,6584986,2,teaspoons,baking soda
168,6584986,1,teaspoon,salt
169,6584986,¼,cup,"white sugar, or as needed"
170,6584986,2,(12 ounce) bags,"milk chocolate candy kisses (such as Hershey's Kisses®), unwrapped"
171,6603173,1,tablespoon,butter
172,6603173,1,tablespoon,peanut butter
173,6603173,1,tablespoon,brown sugar
174,6603173,1,tablespoon,white sugar
175,6603173,1,pinch,salt
176,6603173,1,,egg
177,6603173,3,tablespoons,all-purpose flour
178,6739543,¼,cup,butter
179,6739543,1 ½,cups,peanut butter
180,6739543,4,cups,confectioners' sugar
181,6739543,1,teaspoon,vanilla extract
182,6739543,1,teaspoon,maple flavored extract
183,6739543,2,cups,semisweet chocolate chips
184,6737478,1,cup,peanut butter
185,6737478,1,cup,white sugar
186,6737478,1,,egg
187,6577473,1,cup,peanut butter
188,6577473,1,cup,white sugar
189,6577473,1,,egg
190,6577473,1,teaspoon,baking soda
191,6574235,6,cups,crisp rice cereal
192,6574235,1,cup,white sugar
193,6574235,1,cup,peanut butter
194,6574235,1,cup,corn syrup
195,6574235,1,tablespoon,butter
196,6568429,1 ¼,cups,creamy peanut butter
197,6568429,1,cup,margarine
198,6568429,¾,cup,white sugar
199,6568429,¾,cup,packed light brown sugar
200,6568429,2,,eggs
201,6568429,½,teaspoon,vanilla extract
202,6568429,2 ¼,cups,all-purpose flour
203,6568429,1,teaspoon,baking powder
204,6568429,1,teaspoon,baking soda
205,6739185,½,cup,unsalted butter
206,6739185,½,cup,white sugar
207,6739185,½,cup,packed brown sugar
208,6739185,½,cup,creamy peanut butter
209,6739185,½,teaspoon,kosher salt
210,6739185,½,teaspoon,baking powder
211,6739185,½,teaspoon,baking soda
212,6739185,1,,egg
213,6739185,1 ¼,cups,all-purpose flour
214,6579292,3,cups,all-purpose flour
215,6579292,1,teaspoon,baking powder
216,6579292,1,teaspoon,salt
217,6579292,1,cup,"unsalted butter, softened"
218,6579292,1,cup,packed brown sugar
219,6579292,1,cup,white sugar
220,6579292,2,,eggs
221,6579292,2,cups,peanut butter chips
222,6579292,1,cup,peanut butter
223,6579292,2,teaspoons,vanilla extract
224,6594362,1 ¾,cups,white sugar
225,6594362,½,cup,milk
226,6594362,½,cup,margarine (such as Country Crock®)
227,6594362,¼,cup,unsweetened cocoa powder
228,6594362,3,cups,quick-cooking oats
229,6594362,½,cup,creamy peanut butter
230,6594362,1,teaspoon,vanilla extract
231,6602786,1,cup,peanut butter
232,6602786,½,cup,white sugar
