,id_recipe,Quantity,Unit of Measure,Ingredient
0,6737871,1 ½,cups,baby spinach leaves
1,6737871,¾,cup,fresh basil leaves
2,6737871,½,cup,toasted pine nuts
3,6737871,½,cup,grated Parmesan cheese
4,6737871,½,cup,"extra-virgin olive oil, divided"
5,6737871,4,cloves,"garlic, peeled and quartered"
6,6737871,1,tablespoon,fresh lemon juice
7,6737871,¾,teaspoon,kosher salt
8,6737871,½,teaspoon,lemon zest
9,6737871,½,teaspoon,freshly ground black pepper
10,6664516,3,cups,fresh basil leaves
11,6664516,1 ½,cups,chopped walnuts
12,6664516,4,cloves,"garlic, peeled"
13,6664516,¼,cup,grated Parmesan cheese
14,6664516,1,cup,olive oil
15,6664516,,,salt and pepper to taste
16,6648402,1,cup,half-and-half
17,6648402,¼,cup,prepared pesto
18,6648402,2,tablespoons,butter
19,6648402,¼,teaspoon,garlic powder
20,6648402,⅛,teaspoon,salt
21,6648402,⅛,teaspoon,ground black pepper
22,6576333,1,pound,"garlic scapes, cut into 2-inch pieces"
23,6576333,1 ¼,cups,grated Parmesan cheese
24,6576333,1,cup,olive oil
25,6576333,1,tablespoon,lemon juice
26,6576333,,,ground black pepper to taste
27,6561853,2,cups,fresh basil leaves
28,6561853,4,cloves,"garlic, minced"
29,6561853,¼,cup,olive oil
30,6561853,½,cup,grated Parmesan cheese
31,6561853,2,ounces,pine nuts
32,6561853,,,salt and pepper to taste
33,6561853,1,pint,light cream
34,6738331,4,cloves,"garlic, peeled"
35,6738331,¼,teaspoon,kosher salt
36,6738331,1,large bunch,fresh basil
37,6738331,3,tablespoons,pine nuts
38,6738331,2,ounces,finely grated Parmigiano-Reggiano cheese
39,6738331,½,cup,mild extra-virgin olive oil
40,6593802,4,cups,packed fresh basil leaves
41,6593802,1,cup,freshly grated Parmigiano-Reggiano cheese
42,6593802,1,cup,olive oil
43,6593802,⅔,cup,pine nuts (Optional)
44,6593802,6,cloves,"garlic, minced"
45,6593802,,,salt and ground black pepper to taste
46,6737768,2,cloves,"garlic, or more to taste"
47,6737768,2,tablespoons,pine nuts
48,6737768,1,bunch,fresh basil leaves
49,6737768,½,cup,grated Parmigiano-Reggiano cheese
50,6737768,1 ½,tablespoons,grated pecorino Romano cheese
51,6737768,½,cup,extra-virgin olive oil
52,6561751,3,cups,fresh basil leaves
53,6561751,1 ½,cups,pecans
54,6561751,4,cloves,garlic
55,6561751,½,cup,shredded Parmesan cheese
56,6561751,¾,cup,olive oil
57,6561751,½,teaspoon,kosher salt
58,6561751,1,pinch,ground black pepper to taste
59,6566706,4,ounces,sun-dried tomatoes
60,6566706,¼,cup,chopped pine nuts
61,6566706,3,tablespoons,chopped onion
62,6566706,2,tablespoons,chopped fresh basil
63,6566706,2,tablespoons,chopped fresh parsley
64,6566706,1,tablespoon,chopped garlic
65,6566706,⅓,cup,crushed tomatoes
66,6566706,¼,cup,balsamic vinegar
67,6566706,¼,cup,red wine
68,6566706,1,tablespoon,tomato paste
69,6566706,½,cup,olive oil
70,6566706,½,cup,grated Parmesan cheese
71,6566706,,,salt to taste
72,6664928,3,cups,packed fresh basil leaves
73,6664928,¾,cup,grated Parmesan cheese
74,6664928,½,cup,olive oil
75,6664928,¼,cup,pine nuts
76,6664928,4,cloves,"garlic, or to taste"
77,6664928,2,,"lemon juice, or more to taste (optional)"
78,6564707,1 ½,cups,fresh basil leaves
79,6564707,1,cup,"sun-dried tomatoes, or to taste"
80,6564707,1,cup,grated Parmesan cheese
81,6564707,⅔,cup,olive oil
82,6564707,½,cup,pine nuts
83,6564707,1,clove,"garlic, minced"
84,6564707,½,,"lemon, juiced"
85,6564707,,,salt and ground black pepper to taste
86,6565307,3,cups,chopped fresh basil
87,6565307,1,cup,extra virgin olive oil
88,6565307,½,cup,pine nuts
89,6565307,⅛,cup,Brazil nuts
90,6565307,⅔,cup,grated Parmesan cheese
91,6565307,2,tablespoons,minced garlic
92,6565307,½,teaspoon,chili powder
93,6563882,4,cups,packed fresh basil leaves
94,6563882,¼,cup,Italian parsley
95,6563882,2,cloves,"garlic, peeled and lightly crushed"
96,6563882,1,cup,pine nuts
97,6563882,1 ½,cups,shredded Parmigiano-Reggiano cheese
98,6563882,1,tablespoon,fresh lemon juice
99,6563882,½,cup,"extra-virgin olive oil, or more as needed"
100,6563882,,,salt and ground black pepper to taste
101,6565026,¼,cup,almonds
102,6565026,3,cloves,garlic
103,6565026,1 ½,cups,fresh basil leaves
104,6565026,½,cup,olive oil
105,6565026,1,pinch,ground nutmeg
106,6565026,,,salt and pepper to taste
107,6562508,¼,cup,walnuts
108,6562508,2,cloves,garlic
109,6562508,2,cups,packed fresh basil leaves
110,6562508,¾,cup,shredded Parmagiano-Reggiano cheese
111,6562508,1,,"jalapeno pepper, stem removed"
112,6562508,⅔,cup,olive oil
113,6562508,,,salt and ground black pepper to taste
114,6568941,2,cups,"fresh baby spinach, stems removed"
115,6568941,1,cup,freshly grated Parmesan cheese
116,6568941,1,cup,"fresh parsley leaves, chopped"
117,6568941,½,cup,chopped walnuts
118,6568941,¼,cup,water
119,6568941,3,cloves,garlic
120,6568941,¼,teaspoon,"salt, or more to taste"
121,6568941,⅛,teaspoon,ground black pepper
122,6568941,½,cup,extra-virgin olive oil
123,6585487,2,cups,packed fresh basil
124,6585487,½,cup,extra-virgin olive oil
125,6585487,¼,cup,toasted pine nuts
126,6585487,3,cloves,"garlic, peeled"
127,6585487,1,dash,fresh lemon juice
128,6585487,½,cup,freshly grated Pecorino Romano cheese
129,6585487,,,kosher salt and freshly ground black pepper to taste
130,6583142,2,cups,basil leaves
131,6583142,½,cup,walnuts
132,6583142,¼,cup,olive oil
133,6583142,2,cloves,garlic
134,6583142,1,tablespoon,lemon juice
