,id_recipe,Quantity,Unit of Measure,Ingredient
0,6650325,2 ½,cups,whole wheat flour
1,6650325,2,large,eggs
2,6650325,½,cup,canned pumpkin
3,6650325,2,tablespoons,peanut butter
4,6650325,½,teaspoon,salt
5,6650325,½,teaspoon,ground cinnamon
6,6650325,1,teaspoon,"water, or more if necessary (Optional)"
7,6664740,1,pound,ground turkey
8,6664740,6,cups,water
9,6664740,2,cups,brown rice
10,6664740,1,teaspoon,dried rosemary
11,6664740,½,(16 ounce) package,"frozen broccoli, carrots and cauliflower combination"
12,6740871,1,,egg
13,6740871,⅓,cup,honey (Optional)
14,6740871,¼,cup,peanut butter
15,6740871,¼,cup,cooking oil
16,6740871,1,teaspoon,vanilla extract
17,6740871,1,cup,shredded carrots
18,6740871,1,cup,whole wheat or white flour
19,6740871,1,teaspoon,baking soda
20,6584171,,,cooking spray
21,6584171,1,(6 ounce) can,"tuna, drained"
22,6584171,2,tablespoons,all-purpose flour
23,6584171,1,,egg white
24,6584171,⅛,teaspoon,shredded mild Cheddar cheese
25,6584171,4,,"peeled, cooked shrimp"
26,6648863,3,pounds,minced chicken meat
27,6648863,4,cups,rice
28,6648863,2 ½,cups,"frozen vegetable blend (no garlic or onions), minced"
29,6648863,6 ½,cups,water
30,6737395,1,,sweet potato
31,6737395,2 ½,cups,whole wheat flour
32,6737395,2,large,eggs
33,6737395,¼,cup,unsweetened applesauce
34,6569249,1,cup,rolled oats
35,6569249,1,cup,all-purpose flour
36,6569249,½,pound,"chicken livers, rinsed and trimmed"
37,6569249,2,large,eggs
38,6569249,1,tablespoon,"vegetable oil, or more as needed"
39,6605911,4,medium,"carrots, peeled and chopped"
40,6605911,2,,"apples - peeled, cored, and chopped (make sure seeds are removed)"
41,6605911,¼,cup,water
42,6605911,6,,eggs
43,6605911,3,pounds,ground chicken
44,6605911,6,ounces,"chicken livers, chopped"
45,6605911,3,tablespoons,sunflower seed oil
46,6605911,4,cups,baby spinach leaves
47,6602865,1 ¼,cups,grated carrots
48,6602865,1 ¼,cups,quick-cooking oats
49,6602865,1,cup,grated apple
50,6602865,½,cup,natural peanut butter
51,6602865,2,,eggs
52,6561815,2,pounds,ground beef
53,6561815,6,cups,"water, or more as needed"
54,6561815,4,cups,uncooked brown rice
55,6561815,1,pound,"assorted beef bones (shin, shank, short ribs, or marrow bones)"
56,6561815,1,tablespoon,chopped fresh rosemary
57,6561815,1,(15 ounce) can,"sliced carrots, drained"
58,6561815,1,(13.5 ounce) can,"spinach, drained"
59,6561815,6,,eggs
60,6561815,1,(15 ounce) can,pumpkin puree
61,6650065,1,,egg
62,6650065,⅓,cup,peanut butter
63,6650065,½,cup,mashed banana
64,6650065,1,tablespoon,honey
65,6650065,1,cup,whole wheat flour
66,6650065,½,cup,wheat germ
67,6650065,1,,"egg white, lightly beaten, for brushing"
68,6649026,1 ½,pounds,"beef liver, cut into pieces"
69,6649026,½,cup,whole wheat flour
70,6649026,2,,eggs
71,6649026,,,parchment paper
72,6569540,1 ½,pounds,lean ground beef
73,6569540,3,stalks,"celery, chopped"
74,6569540,2,,"carrots, grated"
75,6569540,1,,"apple, cored and diced"
76,6569540,2,,eggs
77,6569540,2,slices,"white bread, torn into pieces"
78,6569540,1,cup,regular rolled oats
79,6569540,1,cup,wheat germ
80,6569540,1,(6 ounce) can,tomato paste
81,6569540,4,medium,"potatoes, cubed"
82,6569540,3,,"carrots, chopped"
83,6569540,1,stalk,"celery, cubed"
84,6576912,2,cups,water
85,6576912,2,,"bananas, mashed"
86,6576912,2,tablespoons,honey
87,6576912,1,teaspoon,vanilla extract
88,6576912,1,,egg
89,6576912,4 ½,cups,whole wheat flour
90,6576912,1,teaspoon,baking powder
91,6575960,2,cups,whole wheat flour
92,6575960,1,tablespoon,baking powder
93,6575960,1,cup,unsalted natural peanut butter
94,6575960,1,cup,skim milk
95,6582911,2,large,eggs
96,6582911,1,cup,milk
97,6582911,½,cup,water
98,6582911,1,teaspoon,salt
99,6582911,10,tablespoons,"bacon fat, melted"
100,6582911,5,cups,whole wheat flour
101,6736818,1 ½,cups,whole wheat flour
102,6736818,½,cup,all-purpose flour
103,6736818,½,cup,cornmeal
104,6736818,½,cup,rolled oats
105,6736818,1 ½,cups,"water, or as needed"
106,6736818,½,cup,canola oil
107,6736818,2,large,eggs
108,6736818,3,tablespoons,peanut butter
109,6736818,2,tablespoons,vanilla extract
110,6574716,1,cup,grated carrot
111,6574716,¾,cup,"natural peanut butter, chunky"
112,6574716,½,cup,unsweetened applesauce
113,6574716,½,cup,pumpkin puree
114,6574716,¼,cup,water
115,6574716,2,,eggs
116,6574716,2 ½,cups,whole wheat flour
117,6574716,1,teaspoon,ground cinnamon
118,6574716,4,tablespoons,"whole wheat flour, or as needed"
119,6582338,,,cooking spray
120,6582338,3,cubes,beef bouillon
121,6582338,1 ½,cups,boiling water
