,id_recipe,Quantity,Unit of Measure,Ingredient
0,7565344,1,cup,flour
1,7565344,1/2,teaspoon,kosher salt
2,7565344,1/2,cup,"butter, but into pieces"
3,7565344,3,tablespoons,"ice water, or more as needed"
4,6751344,2,large,egg yolks
5,6751344,¼,cup,heavy whipping cream
6,6751344,½,teaspoon,vanilla extract
7,6751344,3,cups,"all-purpose flour, plus more for dusting"
8,6751344,¾,cup,granulated sugar
9,6751344,1,teaspoon,kosher salt
10,6751344,1,cup,"cold unsalted butter, cut into 1/2-inch pieces"
11,6648423,1 ½,cups,finely ground graham cracker crumbs
12,6648423,⅓,cup,white sugar
13,6648423,6,tablespoons,"unsalted butter, melted"
14,6648423,½,teaspoon,ground cinnamon (Optional)
15,6649097,1 ¼,cups,all-purpose flour
16,6649097,¼,teaspoon,salt
17,6649097,½,cup,"butter, diced and then chilled"
18,6649097,¼,cup,"ice cold water, or as needed"
19,6604880,1,(16 ounce) package,gingersnap cookies
20,6604880,⅓,cup,brown sugar
21,6604880,6,tablespoons,"unsalted butter, melted"
22,6650424,2 ½,cups,all-purpose flour
23,6650424,1,cup,"unsalted butter - chilled, cut into tablespoon-size pieces"
24,6650424,½,teaspoon,salt
25,6650424,7,tablespoons,ice water
26,6650424,1,tablespoon,cider vinegar
27,6663360,2,cups,all-purpose flour
28,6663360,1,teaspoon,salt
29,6663360,1,cup,"shortening, cut into small pieces and frozen for 30 minutes"
30,6663360,½,cup,"ice-cold water, or as needed"
31,6565652,1,cup,brown sugar
32,6565652,1,cup,all-purpose flour
33,6565652,¼,cup,"butter, diced"
34,6562954,2,cups,all-purpose flour
35,6562954,1,teaspoon,salt
36,6562954,⅔,cup,lard
37,6562954,5,tablespoons,"ice water, or as needed"
38,6566403,1,cup,baking mix (such as Bisquick®)
39,6566403,¼,cup,"unsalted butter, softened"
40,6566403,2,tablespoons,"boiling water, or more as needed"
41,6663832,2 ½,cups,all-purpose flour
42,6663832,¼,teaspoon,salt
43,6663832,1,cup,shortening
44,6663832,¼,cup,cold water
45,6663832,1,large,egg
46,6663832,1,tablespoon,distilled white vinegar
47,6740972,2,cups,all-purpose flour
48,6740972,½,cup,"butter, cut into 12 cubes, frozen"
49,6740972,1,tablespoon,sugar
50,6740972,1,teaspoon,salt
51,6740972,6,tablespoons,ice water
52,6663613,1 ½,cups,all-purpose flour
53,6663613,½,cup,vegetable oil
54,6663613,2,tablespoons,milk
55,6663613,2,teaspoons,white sugar
56,6663613,1,teaspoon,salt
57,6578940,1 ½,cups,all-purpose flour
58,6578940,5,tablespoons,"shortening, chilled and cubed"
59,6578940,4,tablespoons,"unsalted butter, chilled and cubed"
60,6578940,½,teaspoon,salt
61,6578940,3,tablespoons,ice water
62,6566166,1 ½,cups,graham cracker crumbs
63,6566166,6,tablespoons,"butter, softened"
64,6566166,⅓,cup,white sugar
65,6741740,1,cup,butter
66,6741740,½,cup,confectioners' sugar
67,6741740,2,cups,all-purpose flour
68,6741740,¼,teaspoon,baking powder
69,6566200,3,cups,sifted all-purpose flour
70,6566200,1 ¼,cups,shortening
71,6566200,½,teaspoon,salt
72,6566200,1,,egg
73,6566200,2,teaspoons,distilled white vinegar
74,6566200,5,tablespoons,ice water
75,6566436,3,cups,all-purpose flour
76,6566436,1,teaspoon,salt
77,6566436,¾,cup,shortening
78,6566436,1,,"egg, beaten"
79,6566436,¼,cup,water
80,6566436,1,teaspoon,distilled white vinegar
81,6597378,¾,cup,all-purpose flour
82,6597378,6,tablespoons,"cold butter, cut into small pieces"
83,6597378,¼,cup,shredded Cheddar cheese
84,6597378,5,teaspoons,cold water
85,6737829,½,cup,vegetable shortening
86,6737829,1 ½,cups,all-purpose flour
87,6737829,½,teaspoon,salt
88,6737829,½,cup,cold water
89,6739816,1 ¼,cups,all-purpose flour
90,6739816,¼,teaspoon,salt
91,6739816,½,cup,"shortening, chilled"
92,6739816,3,tablespoons,ice water
